EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LINKOEPING, SWEDEN (STAID: 4)
Blended and updated with sources:8909 8910 35825 35828 902562 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
     4,  8909,19310101,    5,    0
     4,  8909,19310102,   14,    0
     4,  8909,19310103,    2,    0
     4,  8909,19310104,  -15,    0
     4,  8909,19310105,  -36,    0
     4,  8909,19310106,  -49,    0
     4,  8909,19310107,  -58,    0
     4,  8909,19310108, -105,    0
     4,  8909,19310109,  -66,    0
     4,  8909,19310110,  -22,    0
     4,  8909,19310111,   14,    0
     4,  8909,19310112,   23,    0
     4,  8909,19310113,   -2,    0
     4,  8909,19310114,  -29,    0
     4,  8909,19310115,  -21,    0
     4,  8909,19310116,  -20,    0
     4,  8909,19310117,  -41,    0
     4,  8909,19310118, -109,    0
     4,  8909,19310119, -116,    0
     4,  8909,19310120, -140,    0
     4,  8909,19310121, -148,    0
     4,  8909,19310122,  -67,    0
     4,  8909,19310123,   -9,    0
     4,  8909,19310124,   16,    0
     4,  8909,19310125,   21,    0
     4,  8909,19310126,   17,    0
     4,  8909,19310127,    4,    0
     4,  8909,19310128,   -3,    0
     4,  8909,19310129,  -22,    0
     4,  8909,19310130,  -57,    0
     4,  8909,19310131,  -62,    0
     4,  8909,19310201,  -74,    0
     4,  8909,19310202,  -27,    0
     4,  8909,19310203,  -64,    0
     4,  8909,19310204,  -48,    0
     4,  8909,19310205,  -50,    0
     4,  8909,19310206,  -79,    0
     4,  8909,19310207, -130,    0
     4,  8909,19310208,  -96,    0
     4,  8909,19310209,  -18,    0
     4,  8909,19310210,   17,    0
     4,  8909,19310211,   25,    0
     4,  8909,19310212,   16,    0
     4,  8909,19310213,    4,    0
     4,  8909,19310214,   -2,    0
     4,  8909,19310215,  -17,    0
     4,  8909,19310216,  -28,    0
     4,  8909,19310217,  -46,    0
     4,  8909,19310218,  -49,    0
     4,  8909,19310219,  -24,    0
     4,  8909,19310220,   -3,    0
     4,  8909,19310221,   15,    0
     4,  8909,19310222,    1,    0
     4,  8909,19310223,  -27,    0
     4,  8909,19310224,  -23,    0
     4,  8909,19310225,    2,    0
     4,  8909,19310226,   17,    0
     4,  8909,19310227,  -30,    0
     4,  8909,19310228,  -39,    0
     4,  8909,19310301,  -61,    0
     4,  8909,19310302,  -79,    0
     4,  8909,19310303,  -80,    0
     4,  8909,19310304,  -65,    0
     4,  8909,19310305,  -73,    0
     4,  8909,19310306,  -76,    0
     4,  8909,19310307,  -50,    0
     4,  8909,19310308,  -63,    0
     4,  8909,19310309,  -70,    0
     4,  8909,19310310,  -43,    0
     4,  8909,19310311,  -46,    0
     4,  8909,19310312,  -76,    0
     4,  8909,19310313,  -83,    0
     4,  8909,19310314,  -50,    0
     4,  8909,19310315,  -58,    0
     4,  8909,19310316,  -71,    0
     4,  8909,19310317,  -82,    0
     4,  8909,19310318,  -47,    0
     4,  8909,19310319,  -61,    0
     4,  8909,19310320,  -26,    0
     4,  8909,19310321,   -3,    0
     4,  8909,19310322,   11,    0
     4,  8909,19310323,   25,    0
     4,  8909,19310324,   29,    0
     4,  8909,19310325,   -6,    0
     4,  8909,19310326,   18,    0
     4,  8909,19310327,   39,    0
     4,  8909,19310328,  -18,    0
     4,  8909,19310329,  -31,    0
     4,  8909,19310330,  -33,    0
     4,  8909,19310331,  -14,    0
     4,  8909,19310401,   16,    0
     4,  8909,19310402,   -7,    0
     4,  8909,19310403,   13,    0
     4,  8909,19310404,   21,    0
     4,  8909,19310405,   22,    0
     4,  8909,19310406,   18,    0
     4,  8909,19310407,   -1,    0
     4,  8909,19310408,   18,    0
     4,  8909,19310409,    5,    0
     4,  8909,19310410,   15,    0
     4,  8909,19310411,    3,    0
     4,  8909,19310412,   20,    0
     4,  8909,19310413,    6,    0
     4,  8909,19310414,   -6,    0
     4,  8909,19310415,    5,    0
     4,  8909,19310416,   16,    0
     4,  8909,19310417,   37,    0
     4,  8909,19310418,   25,    0
     4,  8909,19310419,   20,    0
     4,  8909,19310420,   20,    0
     4,  8909,19310421,   31,    0
     4,  8909,19310422,   15,    0
     4,  8909,19310423,   37,    0
     4,  8909,19310424,   79,    0
     4,  8909,19310425,   61,    0
     4,  8909,19310426,   57,    0
     4,  8909,19310427,   48,    0
     4,  8909,19310428,   65,    0
     4,  8909,19310429,   72,    0
     4,  8909,19310430,   66,    0
     4,  8909,19310501,   73,    0
     4,  8909,19310502,   74,    0
     4,  8909,19310503,   81,    0
     4,  8909,19310504,   59,    0
     4,  8909,19310505,  110,    0
     4,  8909,19310506,  112,    0
     4,  8909,19310507,  124,    0
     4,  8909,19310508,  107,    0
     4,  8909,19310509,  101,    0
     4,  8909,19310510,   92,    0
     4,  8909,19310511,  109,    0
     4,  8909,19310512,   97,    0
     4,  8909,19310513,  122,    0
     4,  8909,19310514,  146,    0
     4,  8909,19310515,  125,    0
     4,  8909,19310516,  103,    0
     4,  8909,19310517,  118,    0
     4,  8909,19310518,  134,    0
     4,  8909,19310519,  132,    0
     4,  8909,19310520,  131,    0
     4,  8909,19310521,   96,    0
     4,  8909,19310522,   93,    0
     4,  8909,19310523,  114,    0
     4,  8909,19310524,  141,    0
     4,  8909,19310525,  162,    0
     4,  8909,19310526,  159,    0
     4,  8909,19310527,  148,    0
     4,  8909,19310528,  123,    0
     4,  8909,19310529,  145,    0
     4,  8909,19310530,   90,    0
     4,  8909,19310531,  106,    0
     4,  8909,19310601,  127,    0
     4,  8909,19310602,  126,    0
     4,  8909,19310603,   98,    0
     4,  8909,19310604,   89,    0
     4,  8909,19310605,   77,    0
     4,  8909,19310606,   85,    0
     4,  8909,19310607,   97,    0
     4,  8909,19310608,   76,    0
     4,  8909,19310609,   90,    0
     4,  8909,19310610,  132,    0
     4,  8909,19310611,  118,    0
     4,  8909,19310612,  146,    0
     4,  8909,19310613,  143,    0
     4,  8909,19310614,  147,    0
     4,  8909,19310615,  155,    0
     4,  8909,19310616,  150,    0
     4,  8909,19310617,  159,    0
     4,  8909,19310618,  159,    0
     4,  8909,19310619,  149,    0
     4,  8909,19310620,  137,    0
     4,  8909,19310621,  128,    0
     4,  8909,19310622,  138,    0
     4,  8909,19310623,  131,    0
     4,  8909,19310624,  136,    0
     4,  8909,19310625,  146,    0
     4,  8909,19310626,  170,    0
     4,  8909,19310627,  172,    0
     4,  8909,19310628,  164,    0
     4,  8909,19310629,  128,    0
     4,  8909,19310630,  136,    0
     4,  8909,19310701,  144,    0
     4,  8909,19310702,  154,    0
     4,  8909,19310703,  156,    0
     4,  8909,19310704,  186,    0
     4,  8909,19310705,  207,    0
     4,  8909,19310706,  212,    0
     4,  8909,19310707,  179,    0
     4,  8909,19310708,  178,    0
     4,  8909,19310709,  143,    0
     4,  8909,19310710,  161,    0
     4,  8909,19310711,  151,    0
     4,  8909,19310712,  156,    0
     4,  8909,19310713,  161,    0
     4,  8909,19310714,  173,    0
     4,  8909,19310715,  168,    0
     4,  8909,19310716,  145,    0
     4,  8909,19310717,  149,    0
     4,  8909,19310718,  161,    0
     4,  8909,19310719,  149,    0
     4,  8909,19310720,  153,    0
     4,  8909,19310721,  143,    0
     4,  8909,19310722,  138,    0
     4,  8909,19310723,  160,    0
     4,  8909,19310724,  204,    0
     4,  8909,19310725,  217,    0
     4,  8909,19310726,  185,    0
     4,  8909,19310727,  197,    0
     4,  8909,19310728,  182,    0
     4,  8909,19310729,  174,    0
     4,  8909,19310730,  166,    0
     4,  8909,19310731,  177,    0
     4,  8909,19310801,  183,    0
     4,  8909,19310802,  200,    0
     4,  8909,19310803,  199,    0
     4,  8909,19310804,  215,    0
     4,  8909,19310805,  219,    0
     4,  8909,19310806,  222,    0
     4,  8909,19310807,  178,    0
     4,  8909,19310808,  163,    0
     4,  8909,19310809,  142,    0
     4,  8909,19310810,  122,    0
     4,  8909,19310811,  112,    0
     4,  8909,19310812,  117,    0
     4,  8909,19310813,  120,    0
     4,  8909,19310814,  127,    0
     4,  8909,19310815,  132,    0
     4,  8909,19310816,  145,    0
     4,  8909,19310817,  148,    0
     4,  8909,19310818,  158,    0
     4,  8909,19310819,  152,    0
     4,  8909,19310820,  138,    0
     4,  8909,19310821,  151,    0
     4,  8909,19310822,  144,    0
     4,  8909,19310823,  136,    0
     4,  8909,19310824,  115,    0
     4,  8909,19310825,  120,    0
     4,  8909,19310826,  119,    0
     4,  8909,19310827,  129,    0
     4,  8909,19310828,  149,    0
     4,  8909,19310829,  140,    0
     4,  8909,19310830,  128,    0
     4,  8909,19310831,  136,    0
     4,  8909,19310901,  144,    0
     4,  8909,19310902,  127,    0
     4,  8909,19310903,  145,    0
     4,  8909,19310904,   99,    0
     4,  8909,19310905,  102,    0
     4,  8909,19310906,   91,    0
     4,  8909,19310907,   90,    0
     4,  8909,19310908,   75,    0
     4,  8909,19310909,   77,    0
     4,  8909,19310910,   75,    0
     4,  8909,19310911,   88,    0
     4,  8909,19310912,   87,    0
     4,  8909,19310913,   86,    0
     4,  8909,19310914,   75,    0
     4,  8909,19310915,  121,    0
     4,  8909,19310916,  153,    0
     4,  8909,19310917,  132,    0
     4,  8909,19310918,  112,    0
     4,  8909,19310919,  102,    0
     4,  8909,19310920,   90,    0
     4,  8909,19310921,   64,    0
     4,  8909,19310922,   54,    0
     4,  8909,19310923,   48,    0
     4,  8909,19310924,  114,    0
     4,  8909,19310925,   95,    0
     4,  8909,19310926,   52,    0
     4,  8909,19310927,   60,    0
     4,  8909,19310928,   81,    0
     4,  8909,19310929,   86,    0
     4,  8909,19310930,   92,    0
     4,  8909,19311001,   97,    0
     4,  8909,19311002,  122,    0
     4,  8909,19311003,  108,    0
     4,  8909,19311004,   71,    0
     4,  8909,19311005,  118,    0
     4,  8909,19311006,  116,    0
     4,  8909,19311007,  129,    0
     4,  8909,19311008,   96,    0
     4,  8909,19311009,  108,    0
     4,  8909,19311010,  126,    0
     4,  8909,19311011,  106,    0
     4,  8909,19311012,   97,    0
     4,  8909,19311013,  111,    0
     4,  8909,19311014,   69,    0
     4,  8909,19311015,   54,    0
     4,  8909,19311016,   85,    0
     4,  8909,19311017,   86,    0
     4,  8909,19311018,   29,    0
     4,  8909,19311019,   62,    0
     4,  8909,19311020,   46,    0
     4,  8909,19311021,   26,    0
     4,  8909,19311022,   17,    0
     4,  8909,19311023,   31,    0
     4,  8909,19311024,    3,    0
     4,  8909,19311025,   -4,    0
     4,  8909,19311026,  -28,    0
     4,  8909,19311027,    4,    0
     4,  8909,19311028,    0,    0
