EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station INNSBRUCK, AUSTRIA (STAID: 13)
Blended and updated with sources:36 911120 911320 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
    13,    36,19010101,   -7,    0
    13,    36,19010102,  -41,    0
    13,    36,19010103,  -68,    0
    13,    36,19010104, -109,    0
    13,    36,19010105, -137,    0
    13,    36,19010106, -119,    0
    13,    36,19010107,  -93,    0
    13,    36,19010108,  -44,    0
    13,    36,19010109,  -33,    0
    13,    36,19010110,  -13,    0
    13,    36,19010111,  -40,    0
    13,    36,19010112,    8,    0
    13,    36,19010113,  -40,    0
    13,    36,19010114,  -90,    0
    13,    36,19010115,  -80,    0
    13,    36,19010116,  -40,    0
    13,    36,19010117,  -50,    0
    13,    36,19010118,  -46,    0
    13,    36,19010119,  -47,    0
    13,    36,19010120,    2,    0
    13,    36,19010121,   29,    0
    13,    36,19010122,   21,    0
    13,    36,19010123,    3,    0
    13,    36,19010124,   -3,    0
    13,    36,19010125,   22,    0
    13,    36,19010126,   20,    0
    13,    36,19010127,   41,    0
    13,    36,19010128,   58,    0
    13,    36,19010129,    6,    0
    13,    36,19010130,  -40,    0
    13,    36,19010131,  -57,    0
    13,    36,19010201,  -25,    0
    13,    36,19010202,   18,    0
    13,    36,19010203,  -39,    0
    13,    36,19010204,    6,    0
    13,    36,19010205,   30,    0
    13,    36,19010206,   -4,    0
    13,    36,19010207,  -14,    0
    13,    36,19010208,   -7,    0
    13,    36,19010209,  -15,    0
    13,    36,19010210,  -38,    0
    13,    36,19010211,  -16,    0
    13,    36,19010212,  -65,    0
    13,    36,19010213,  -93,    0
    13,    36,19010214,  -71,    0
    13,    36,19010215, -108,    0
    13,    36,19010216, -111,    0
    13,    36,19010217,  -44,    0
    13,    36,19010218,  -31,    0
    13,    36,19010219,  -76,    0
    13,    36,19010220,  -92,    0
    13,    36,19010221, -111,    0
    13,    36,19010222,  -99,    0
    13,    36,19010223,  -65,    0
    13,    36,19010224,  -27,    0
    13,    36,19010225,  -22,    0
    13,    36,19010226,   -3,    0
    13,    36,19010227,   35,    0
    13,    36,19010228,   31,    0
    13,    36,19010301,   61,    0
    13,    36,19010302,   58,    0
    13,    36,19010303,   48,    0
    13,    36,19010304,   28,    0
    13,    36,19010305,   14,    0
    13,    36,19010306,   42,    0
    13,    36,19010307,   12,    0
    13,    36,19010308,   20,    0
    13,    36,19010309,   21,    0
    13,    36,19010310,   39,    0
    13,    36,19010311,   53,    0
    13,    36,19010312,   44,    0
    13,    36,19010313,   56,    0
    13,    36,19010314,   52,    0
    13,    36,19010315,   80,    0
    13,    36,19010316,   85,    0
    13,    36,19010317,   68,    0
    13,    36,19010318,   98,    0
    13,    36,19010319,  106,    0
    13,    36,19010320,  120,    0
    13,    36,19010321,   59,    0
    13,    36,19010322,    1,    0
    13,    36,19010323,   -6,    0
    13,    36,19010324,   -1,    0
    13,    36,19010325,   11,    0
    13,    36,19010326,   38,    0
    13,    36,19010327,  -10,    0
    13,    36,19010328,  -19,    0
    13,    36,19010329,   -6,    0
    13,    36,19010330,   -8,    0
    13,    36,19010331,   64,    0
    13,    36,19010401,  121,    0
    13,    36,19010402,  104,    0
    13,    36,19010403,  113,    0
    13,    36,19010404,  105,    0
    13,    36,19010405,   93,    0
