EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORD ODAL, NORWAY (STAID: 183)
Blended and updated with sources:9694 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   183,  9694,20140801,-9999,    9
   183,  9694,20140802,-9999,    9
   183,  9694,20140803,-9999,    9
   183,  9694,20140804,-9999,    9
   183,  9694,20140805,-9999,    9
   183,  9694,20140806,-9999,    9
   183,  9694,20140807,-9999,    9
   183,  9694,20140808,-9999,    9
   183,  9694,20140809,-9999,    9
   183,  9694,20140810,-9999,    9
   183,  9694,20140811,-9999,    9
   183,  9694,20140812,-9999,    9
   183,  9694,20140813,-9999,    9
   183,  9694,20140814,-9999,    9
   183,  9694,20140815,-9999,    9
   183,  9694,20140816,-9999,    9
   183,  9694,20140817,-9999,    9
   183,  9694,20140818,-9999,    9
   183,  9694,20140819,-9999,    9
   183,  9694,20140820,-9999,    9
   183,  9694,20140821,-9999,    9
   183,  9694,20140822,-9999,    9
   183,  9694,20140823,-9999,    9
   183,  9694,20140824,-9999,    9
   183,  9694,20140825,-9999,    9
   183,  9694,20140826,-9999,    9
   183,  9694,20140827,-9999,    9
   183,  9694,20140828,-9999,    9
   183,  9694,20140829,-9999,    9
   183,  9694,20140830,-9999,    9
   183,  9694,20140831,-9999,    9
   183,  9694,20140901,-9999,    9
   183,  9694,20140902,-9999,    9
   183,  9694,20140903,-9999,    9
   183,  9694,20140904,-9999,    9
   183,  9694,20140905,-9999,    9
   183,  9694,20140906,-9999,    9
   183,  9694,20140907,-9999,    9
   183,  9694,20140908,-9999,    9
   183,  9694,20140909,-9999,    9
   183,  9694,20140910,-9999,    9
   183,  9694,20140911,-9999,    9
   183,  9694,20140912,-9999,    9
   183,  9694,20140913,-9999,    9
   183,  9694,20140914,-9999,    9
   183,  9694,20140915,-9999,    9
   183,  9694,20140916,-9999,    9
   183,  9694,20140917,-9999,    9
   183,  9694,20140918,-9999,    9
   183,  9694,20140919,-9999,    9
   183,  9694,20140920,-9999,    9
   183,  9694,20140921,-9999,    9
   183,  9694,20140922,-9999,    9
   183,  9694,20140923,-9999,    9
   183,  9694,20140924,-9999,    9
   183,  9694,20140925,-9999,    9
   183,  9694,20140926,-9999,    9
   183,  9694,20140927,-9999,    9
   183,  9694,20140928,-9999,    9
   183,  9694,20140929,-9999,    9
   183,  9694,20140930,-9999,    9
   183,  9694,20141001,-9999,    9
   183,  9694,20141002,-9999,    9
   183,  9694,20141003,-9999,    9
   183,  9694,20141004,-9999,    9
   183,  9694,20141005,-9999,    9
   183,  9694,20141006,-9999,    9
   183,  9694,20141007,-9999,    9
   183,  9694,20141008,-9999,    9
   183,  9694,20141009,-9999,    9
   183,  9694,20141010,-9999,    9
   183,  9694,20141011,-9999,    9
   183,  9694,20141012,-9999,    9
   183,  9694,20141013,-9999,    9
   183,  9694,20141014,-9999,    9
   183,  9694,20141015,-9999,    9
   183,  9694,20141016,-9999,    9
   183,  9694,20141017,-9999,    9
   183,  9694,20141018,-9999,    9
   183,  9694,20141019,-9999,    9
   183,  9694,20141020,-9999,    9
   183,  9694,20141021,-9999,    9
   183,  9694,20141022,-9999,    9
   183,  9694,20141023,-9999,    9
   183,  9694,20141024,-9999,    9
   183,  9694,20141025,-9999,    9
   183,  9694,20141026,-9999,    9
   183,  9694,20141027,-9999,    9
   183,  9694,20141028,-9999,    9
   183,  9694,20141029,-9999,    9
   183,  9694,20141030,-9999,    9
   183,  9694,20141031,-9999,    9
   183,  9694,20141101,-9999,    9
   183,  9694,20141102,-9999,    9
   183,  9694,20141103,-9999,    9
   183,  9694,20141104,-9999,    9
   183,  9694,20141105,-9999,    9
   183,  9694,20141106,-9999,    9
   183,  9694,20141107,-9999,    9
   183,  9694,20141108,-9999,    9
   183,  9694,20141109,-9999,    9
   183,  9694,20141110,-9999,    9
   183,  9694,20141111,-9999,    9
   183,  9694,20141112,-9999,    9
   183,  9694,20141113,-9999,    9
   183,  9694,20141114,   47,    0
   183,  9694,20141115,   51,    0
   183,  9694,20141116,   43,    0
   183,  9694,20141117,   33,    0
   183,  9694,20141118,   29,    0
   183,  9694,20141119,   23,    0
   183,  9694,20141120,   13,    0
   183,  9694,20141121,   10,    0
   183,  9694,20141122,    6,    0
   183,  9694,20141123,   31,    0
   183,  9694,20141124,   44,    0
   183,  9694,20141125,   -7,    0
   183,  9694,20141126,  -28,    0
   183,  9694,20141127,  -38,    0
   183,  9694,20141128,   -9,    0
   183,  9694,20141129,   -8,    0
   183,  9694,20141130,   -6,    0
   183,  9694,20141201,   -8,    0
   183,  9694,20141202,   -8,    0
   183,  9694,20141203,  -13,    0
   183,  9694,20141204,  -17,    0
   183,  9694,20141205,    4,    0
   183,  9694,20141206,  -16,    0
   183,  9694,20141207,   33,    0
   183,  9694,20141208,  -11,    0
   183,  9694,20141209,  -39,    0
   183,  9694,20141210,   23,    0
   183,  9694,20141211,   16,    0
   183,  9694,20141212,   10,    0
   183,  9694,20141213,  -17,    0
   183,  9694,20141214,   -2,    0
   183,  9694,20141215,   24,    0
   183,  9694,20141216,   -8,    0
   183,  9694,20141217,  -56,    0
   183,  9694,20141218,  -28,    0
   183,  9694,20141219,  -23,    0
   183,  9694,20141220,  -88,    0
   183,  9694,20141221,  -95,    0
   183,  9694,20141222,  -40,    0
   183,  9694,20141223, -121,    0
   183,  9694,20141224, -103,    0
   183,  9694,20141225, -171,    0
   183,  9694,20141226, -175,    0
   183,  9694,20141227, -219,    0
   183,  9694,20141228, -176,    0
   183,  9694,20141229, -116,    0
   183,  9694,20141230,  -90,    0
   183,  9694,20141231,  -50,    0
   183,  9694,20150101,   14,    0
   183,  9694,20150102,   38,    0
   183,  9694,20150103,  -25,    0
   183,  9694,20150104,  -74,    0
   183,  9694,20150105,  -66,    0
   183,  9694,20150106,   -2,    0
   183,  9694,20150107,    6,    0
   183,  9694,20150108,   18,    0
   183,  9694,20150109,  -50,    0
   183,  9694,20150110,  -41,    0
   183,  9694,20150111,  -65,    0
   183,  9694,20150112,  -71,    0
   183,  9694,20150113,    2,    0
   183,  9694,20150114,  -19,    0
   183,  9694,20150115,    0,    0
   183,  9694,20150116,   21,    0
   183,  9694,20150117,  -12,    0
   183,  9694,20150118,  -84,    0
   183,  9694,20150119,  -42,    0
   183,  9694,20150120,  -26,    0
   183,  9694,20150121,  -20,    0
   183,  9694,20150122,  -53,    0
   183,  9694,20150123, -129,    0
   183,  9694,20150124,   -3,    0
   183,  9694,20150125,  -83,    0
   183,  9694,20150126,    3,    0
   183,  9694,20150127,  -75,    0
   183,  9694,20150128,   13,    0
   183,  9694,20150129,    7,    0
   183,  9694,20150130,   -9,    0
   183,  9694,20150131,  -14,    0
   183,  9694,20150201,  -35,    0
   183,  9694,20150202,  -53,    0
   183,  9694,20150203,  -79,    0
   183,  9694,20150204, -132,    0
   183,  9694,20150205, -151,    0
   183,  9694,20150206,  -92,    0
   183,  9694,20150207,  -54,    0
   183,  9694,20150208,  -39,    0
   183,  9694,20150209,  -42,    0
   183,  9694,20150210,  -10,    0
   183,  9694,20150211,   14,    0
   183,  9694,20150212,   -8,    0
   183,  9694,20150213,   -9,    0
   183,  9694,20150214,  -11,    0
   183,  9694,20150215,  -14,    0
   183,  9694,20150216,  -34,    0
   183,  9694,20150217,    9,    0
   183,  9694,20150218,   38,    0
   183,  9694,20150219,   44,    0
   183,  9694,20150220,   35,    0
   183,  9694,20150221,   -4,    0
   183,  9694,20150222,  -23,    0
   183,  9694,20150223,    5,    0
   183,  9694,20150224,   12,    0
   183,  9694,20150225,   25,    0
   183,  9694,20150226,   21,    0
   183,  9694,20150227,   10,    0
   183,  9694,20150228,   11,    0
   183,  9694,20150301,   10,    0
   183,  9694,20150302,   26,    0
   183,  9694,20150303,    8,    0
   183,  9694,20150304,  -15,    0
   183,  9694,20150305,  -13,    0
   183,  9694,20150306,   36,    0
   183,  9694,20150307,   52,    0
   183,  9694,20150308,   59,    0
   183,  9694,20150309,   32,    0
   183,  9694,20150310,   59,    0
   183,  9694,20150311,   29,    0
   183,  9694,20150312,   17,    0
   183,  9694,20150313,   -2,    0
   183,  9694,20150314,    7,    0
   183,  9694,20150315,   12,    0
   183,  9694,20150316,   21,    0
   183,  9694,20150317,   24,    0
   183,  9694,20150318,   13,    0
   183,  9694,20150319,    1,    0
   183,  9694,20150320,   17,    0
   183,  9694,20150321,   -8,    0
   183,  9694,20150322,   -1,    0
   183,  9694,20150323,   44,    0
   183,  9694,20150324,   48,    0
   183,  9694,20150325,   -2,    0
   183,  9694,20150326,   -9,    0
   183,  9694,20150327,   15,    0
   183,  9694,20150328,   15,    0
   183,  9694,20150329,   15,    0
   183,  9694,20150330,   25,    0
   183,  9694,20150331,   12,    0
   183,  9694,20150401,   18,    0
   183,  9694,20150402,   29,    0
   183,  9694,20150403,   22,    0
   183,  9694,20150404,   20,    0
   183,  9694,20150405,   13,    0
   183,  9694,20150406,   42,    0
   183,  9694,20150407,   73,    0
   183,  9694,20150408,   75,    0
   183,  9694,20150409,   87,    0
   183,  9694,20150410,   83,    0
   183,  9694,20150411,   68,    0
   183,  9694,20150412,   72,    0
   183,  9694,20150413,   38,    0
   183,  9694,20150414,    8,    0
   183,  9694,20150415,   32,    0
   183,  9694,20150416,   46,    0
   183,  9694,20150417,   63,    0
   183,  9694,20150418,   54,    0
   183,  9694,20150419,   92,    0
   183,  9694,20150420,  127,    0
   183,  9694,20150421,   94,    0
   183,  9694,20150422,   97,    0
   183,  9694,20150423,   93,    0
   183,  9694,20150424,   49,    0
   183,  9694,20150425,   72,    0
   183,  9694,20150426,   63,    0
   183,  9694,20150427,   37,    0
   183,  9694,20150428,   45,    0
   183,  9694,20150429,   42,    0
   183,  9694,20150430,   46,    0
   183,  9694,20150501,-9999,    9
   183,  9694,20150502,   62,    0
   183,  9694,20150503,   55,    0
   183,  9694,20150504,   48,    0
   183,  9694,20150505,   79,    0
   183,  9694,20150506,  112,    0
   183,  9694,20150507,   84,    0
   183,  9694,20150508,   80,    0
   183,  9694,20150509,   65,    0
   183,  9694,20150510,   73,    0
   183,  9694,20150511,   74,    0
   183,  9694,20150512,   91,    0
   183,  9694,20150513,   74,    0
   183,  9694,20150514,   76,    0
   183,  9694,20150515,   80,    0
   183,  9694,20150516,   61,    0
   183,  9694,20150517,   50,    0
   183,  9694,20150518,   79,    0
   183,  9694,20150519,   61,    0
   183,  9694,20150520,   87,    0
   183,  9694,20150521,   89,    0
   183,  9694,20150522,   94,    0
   183,  9694,20150523,  103,    0
   183,  9694,20150524,   75,    0
   183,  9694,20150525,   97,    0
   183,  9694,20150526,   86,    0
   183,  9694,20150527,  108,    0
   183,  9694,20150528,   73,    0
   183,  9694,20150529,   90,    0
   183,  9694,20150530,   68,    0
   183,  9694,20150531,   94,    0
   183,  9694,20150601,  103,    0
   183,  9694,20150602,   78,    0
   183,  9694,20150603,  120,    0
   183,  9694,20150604,  122,    0
   183,  9694,20150605,  124,    0
   183,  9694,20150606,  117,    0
   183,  9694,20150607,  124,    0
   183,  9694,20150608,  111,    0
   183,  9694,20150609,  125,    0
   183,  9694,20150610,  139,    0
   183,  9694,20150611,  155,    0
   183,  9694,20150612,  168,    0
   183,  9694,20150613,  145,    0
   183,  9694,20150614,  117,    0
   183,  9694,20150615,  115,    0
   183,  9694,20150616,  128,    0
   183,  9694,20150617,   93,    0
   183,  9694,20150618,  108,    0
   183,  9694,20150619,  135,    0
   183,  9694,20150620,  163,    0
   183,  9694,20150621,  147,    0
   183,  9694,20150622,  134,    0
   183,  9694,20150623,  147,    0
   183,  9694,20150624,  140,    0
   183,  9694,20150625,  118,    0
   183,  9694,20150626,  132,    0
   183,  9694,20150627,  154,    0
   183,  9694,20150628,  149,    0
   183,  9694,20150629,  157,    0
   183,  9694,20150630,  176,    0
   183,  9694,20150701,  215,    0
   183,  9694,20150702,  206,    0
   183,  9694,20150703,  209,    0
   183,  9694,20150704,  217,    0
   183,  9694,20150705,  210,    0
   183,  9694,20150706,  164,    0
   183,  9694,20150707,  170,    0
   183,  9694,20150708,  120,    0
   183,  9694,20150709,  109,    0
   183,  9694,20150710,  132,    0
   183,  9694,20150711,  153,    0
   183,  9694,20150712,  157,    0
   183,  9694,20150713,  163,    0
   183,  9694,20150714,  165,    0
   183,  9694,20150715,  154,    0
   183,  9694,20150716,  119,    0
   183,  9694,20150717,  141,    0
   183,  9694,20150718,  143,    0
   183,  9694,20150719,  163,    0
   183,  9694,20150720,  163,    0
   183,  9694,20150721,  131,    0
   183,  9694,20150722,  171,    0
   183,  9694,20150723,  144,    0
   183,  9694,20150724,  137,    0
   183,  9694,20150725,  122,    0
   183,  9694,20150726,  109,    0
   183,  9694,20150727,  138,    0
   183,  9694,20150728,  139,    0
   183,  9694,20150729,  139,    0
   183,  9694,20150730,  160,    0
   183,  9694,20150731,  138,    0
   183,  9694,20150801,  136,    0
