EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station JAN MAYEN, NORWAY (STAID: 189)
Blended and updated with sources:589 901001 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   189,   589,19220101,-9999,    9
   189,   589,19220102,-9999,    9
   189,   589,19220103,-9999,    9
   189,   589,19220104,-9999,    9
   189,   589,19220105,-9999,    9
   189,   589,19220106,-9999,    9
   189,   589,19220107,-9999,    9
   189,   589,19220108,-9999,    9
   189,   589,19220109,-9999,    9
   189,   589,19220110,-9999,    9
   189,   589,19220111,-9999,    9
   189,   589,19220112,-9999,    9
   189,   589,19220113,-9999,    9
   189,   589,19220114,-9999,    9
   189,   589,19220115,-9999,    9
   189,   589,19220116,-9999,    9
   189,   589,19220117,-9999,    9
   189,   589,19220118,-9999,    9
   189,   589,19220119,-9999,    9
   189,   589,19220120,-9999,    9
   189,   589,19220121,-9999,    9
   189,   589,19220122,-9999,    9
   189,   589,19220123,-9999,    9
   189,   589,19220124,-9999,    9
   189,   589,19220125,-9999,    9
   189,   589,19220126,-9999,    9
   189,   589,19220127,-9999,    9
   189,   589,19220128,-9999,    9
   189,   589,19220129,-9999,    9
   189,   589,19220130,-9999,    9
   189,   589,19220131,-9999,    9
   189,   589,19220201,-9999,    9
   189,   589,19220202,-9999,    9
   189,   589,19220203,-9999,    9
   189,   589,19220204,-9999,    9
   189,   589,19220205,-9999,    9
   189,   589,19220206,-9999,    9
