EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KJOEREMSGRENDE, NORWAY (STAID: 191)
Blended and updated with sources:595 901233 901236 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   191,   595,19540101,  -72,    0
   191,   595,19540102,   -3,    0
   191,   595,19540103,  -53,    0
   191,   595,19540104, -119,    0
   191,   595,19540105,  -89,    0
   191,   595,19540106,  -90,    0
   191,   595,19540107,  -97,    0
   191,   595,19540108, -120,    0
   191,   595,19540109,  -67,    0
   191,   595,19540110,  -72,    0
   191,   595,19540111,  -78,    0
   191,   595,19540112,  -15,    0
   191,   595,19540113,  -47,    0
   191,   595,19540114,  -12,    0
   191,   595,19540115,  -33,    0
   191,   595,19540116,  -42,    0
   191,   595,19540117,  -44,    0
   191,   595,19540118,  -67,    0
   191,   595,19540119,  -76,    0
   191,   595,19540120,  -45,    0
   191,   595,19540121,  -88,    0
   191,   595,19540122, -178,    0
   191,   595,19540123,  -76,    1
   191,   595,19540124, -167,    0
   191,   595,19540125, -190,    0
   191,   595,19540126, -195,    0
   191,   595,19540127, -223,    0
   191,   595,19540128, -173,    0
   191,   595,19540129, -154,    0
   191,   595,19540130, -202,    0
   191,   595,19540131, -238,    0
   191,   595,19540201, -213,    0
   191,   595,19540202, -198,    0
   191,   595,19540203, -116,    0
   191,   595,19540204,  -68,    0
   191,   595,19540205,  -66,    0
   191,   595,19540206, -112,    0
   191,   595,19540207,  -64,    0
   191,   595,19540208,  -82,    0
   191,   595,19540209, -118,    0
   191,   595,19540210, -136,    0
   191,   595,19540211, -121,    0
   191,   595,19540212, -188,    0
   191,   595,19540213, -214,    0
   191,   595,19540214, -228,    0
   191,   595,19540215, -199,    0
   191,   595,19540216, -200,    0
   191,   595,19540217, -134,    0
   191,   595,19540218, -110,    0
   191,   595,19540219, -111,    0
   191,   595,19540220, -136,    0
   191,   595,19540221, -159,    0
   191,   595,19540222,  -83,    0
   191,   595,19540223,  -64,    0
   191,   595,19540224,  -83,    0
   191,   595,19540225,  -80,    0
   191,   595,19540226,  -83,    0
   191,   595,19540227,  -86,    0
   191,   595,19540228,  -81,    0
   191,   595,19540301,  -83,    0
   191,   595,19540302, -110,    0
   191,   595,19540303, -144,    0
   191,   595,19540304, -136,    0
   191,   595,19540305,  -45,    0
   191,   595,19540306,  -61,    0
   191,   595,19540307,  -51,    0
   191,   595,19540308,  -14,    0
   191,   595,19540309,    4,    0
   191,   595,19540310,  -44,    0
   191,   595,19540311,  -73,    0
   191,   595,19540312,  -14,    0
   191,   595,19540313,    1,    0
   191,   595,19540314,   -8,    0
   191,   595,19540315,   12,    0
   191,   595,19540316,   13,    0
   191,   595,19540317,    6,    0
   191,   595,19540318,   -2,    0
   191,   595,19540319,  -40,    0
   191,   595,19540320,  -49,    0
   191,   595,19540321,  -24,    0
   191,   595,19540322,   21,    0
   191,   595,19540323,   33,    0
   191,   595,19540324,  -59,    0
   191,   595,19540325,  -60,    0
   191,   595,19540326,  -44,    0
   191,   595,19540327,  -11,    0
   191,   595,19540328,  -36,    0
   191,   595,19540329,  -46,    0
   191,   595,19540330,  -44,    0
   191,   595,19540331,  -29,    0
   191,   595,19540401,  -13,    0
   191,   595,19540402,   -6,    0
   191,   595,19540403,   11,    0
   191,   595,19540404,   18,    0
   191,   595,19540405,    4,    0
   191,   595,19540406,   -8,    0
   191,   595,19540407,  -16,    0
   191,   595,19540408,  -39,    0
   191,   595,19540409,    3,    0
   191,   595,19540410,   11,    0
   191,   595,19540411,    9,    0
   191,   595,19540412,   21,    0
   191,   595,19540413,  -15,    0
   191,   595,19540414,  -19,    0
   191,   595,19540415,    2,    0
   191,   595,19540416,  -13,    0
   191,   595,19540417,    3,    0
   191,   595,19540418,    2,    0
   191,   595,19540419,    1,    0
   191,   595,19540420,    6,    0
   191,   595,19540421,  -12,    0
   191,   595,19540422,  -17,    0
   191,   595,19540423,   14,    0
   191,   595,19540424,    1,    0
   191,   595,19540425,   -8,    0
   191,   595,19540426,    1,    0
   191,   595,19540427,   10,    0
   191,   595,19540428,   16,    0
   191,   595,19540429,   -4,    0
   191,   595,19540430,  -12,    0
   191,   595,19540501,    9,    0
   191,   595,19540502,   30,    0
   191,   595,19540503,   38,    0
   191,   595,19540504,   53,    0
   191,   595,19540505,   54,    0
   191,   595,19540506,   44,    0
   191,   595,19540507,   46,    0
   191,   595,19540508,   50,    0
   191,   595,19540509,   65,    0
   191,   595,19540510,   91,    0
   191,   595,19540511,  106,    0
   191,   595,19540512,  115,    0
   191,   595,19540513,  108,    0
   191,   595,19540514,   94,    0
   191,   595,19540515,   61,    0
   191,   595,19540516,   43,    0
   191,   595,19540517,   28,    0
   191,   595,19540518,   47,    0
   191,   595,19540519,   70,    0
   191,   595,19540520,   79,    0
   191,   595,19540521,   90,    0
   191,   595,19540522,  104,    0
   191,   595,19540523,  104,    0
   191,   595,19540524,  129,    0
   191,   595,19540525,  119,    0
   191,   595,19540526,  128,    0
   191,   595,19540527,  147,    0
   191,   595,19540528,  155,    0
   191,   595,19540529,  160,    0
   191,   595,19540530,  140,    0
   191,   595,19540531,   89,    0
   191,   595,19540601,   83,    0
   191,   595,19540602,   59,    0
   191,   595,19540603,   96,    0
   191,   595,19540604,  123,    0
   191,   595,19540605,  122,    0
   191,   595,19540606,  112,    0
   191,   595,19540607,  118,    0
   191,   595,19540608,  107,    0
   191,   595,19540609,   87,    0
   191,   595,19540610,  110,    0
   191,   595,19540611,  116,    0
   191,   595,19540612,   70,    0
   191,   595,19540613,   54,    0
   191,   595,19540614,   82,    0
   191,   595,19540615,   71,    0
   191,   595,19540616,   73,    0
   191,   595,19540617,  116,    0
   191,   595,19540618,  136,    0
   191,   595,19540619,  142,    0
   191,   595,19540620,  128,    0
   191,   595,19540621,  128,    0
   191,   595,19540622,  115,    0
   191,   595,19540623,   90,    0
   191,   595,19540624,   95,    0
   191,   595,19540625,  119,    0
   191,   595,19540626,  107,    0
   191,   595,19540627,   84,    0
   191,   595,19540628,  104,    0
   191,   595,19540629,  102,    0
   191,   595,19540630,   90,    0
   191,   595,19540701,  138,    0
   191,   595,19540702,  105,    0
   191,   595,19540703,  111,    0
   191,   595,19540704,  105,    0
   191,   595,19540705,  110,    0
