EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BULKEN, NORWAY (STAID: 197)
Blended and updated with sources:9430 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   197,  9430,20140501,-9999,    9
   197,  9430,20140502,-9999,    9
   197,  9430,20140503,-9999,    9
   197,  9430,20140504,-9999,    9
   197,  9430,20140505,-9999,    9
   197,  9430,20140506,-9999,    9
   197,  9430,20140507,-9999,    9
   197,  9430,20140508,-9999,    9
   197,  9430,20140509,-9999,    9
   197,  9430,20140510,-9999,    9
   197,  9430,20140511,-9999,    9
   197,  9430,20140512,-9999,    9
   197,  9430,20140513,-9999,    9
   197,  9430,20140514,-9999,    9
   197,  9430,20140515,-9999,    9
   197,  9430,20140516,-9999,    9
   197,  9430,20140517,-9999,    9
   197,  9430,20140518,-9999,    9
   197,  9430,20140519,-9999,    9
   197,  9430,20140520,-9999,    9
   197,  9430,20140521,  148,    0
   197,  9430,20140522,-9999,    9
   197,  9430,20140523,-9999,    9
   197,  9430,20140524,  125,    0
   197,  9430,20140525,  119,    0
   197,  9430,20140526,  117,    0
   197,  9430,20140527,  148,    0
   197,  9430,20140528,  148,    0
   197,  9430,20140529,  144,    0
   197,  9430,20140530,  135,    0
   197,  9430,20140531,  140,    0
   197,  9430,20140601,  144,    0
   197,  9430,20140602,  160,    0
   197,  9430,20140603,  152,    0
   197,  9430,20140604,  129,    0
   197,  9430,20140605,  144,    0
   197,  9430,20140606,  132,    0
   197,  9430,20140607,  147,    0
   197,  9430,20140608,  143,    0
   197,  9430,20140609,  152,    0
   197,  9430,20140610,  159,    0
   197,  9430,20140611,  121,    0
   197,  9430,20140612,   98,    0
   197,  9430,20140613,  134,    0
   197,  9430,20140614,  148,    0
   197,  9430,20140615,  138,    0
   197,  9430,20140616,  146,    0
   197,  9430,20140617,  132,    0
   197,  9430,20140618,  134,    0
   197,  9430,20140619,  112,    0
   197,  9430,20140620,  101,    0
   197,  9430,20140621,   98,    0
   197,  9430,20140622,   98,    0
   197,  9430,20140623,  117,    0
   197,  9430,20140624,  131,    0
   197,  9430,20140625,  141,    0
   197,  9430,20140626,  130,    0
   197,  9430,20140627,  118,    0
   197,  9430,20140628,  130,    0
   197,  9430,20140629,  124,    0
   197,  9430,20140630,  122,    0
   197,  9430,20140701,  138,    0
   197,  9430,20140702,  136,    0
   197,  9430,20140703,  110,    0
   197,  9430,20140704,  126,    0
   197,  9430,20140705,  158,    0
   197,  9430,20140706,  161,    0
   197,  9430,20140707,  153,    0
   197,  9430,20140708,  171,    0
   197,  9430,20140709,  231,    0
   197,  9430,20140710,-9999,    9
   197,  9430,20140711,  223,    0
   197,  9430,20140712,  205,    0
   197,  9430,20140713,  192,    0
   197,  9430,20140714,  176,    0
   197,  9430,20140715,  144,    0
   197,  9430,20140716,  132,    0
   197,  9430,20140717,  131,    0
   197,  9430,20140718,  175,    0
   197,  9430,20140719,  199,    0
   197,  9430,20140720,  215,    0
   197,  9430,20140721,  218,    0
   197,  9430,20140722,  217,    0
   197,  9430,20140723,  231,    0
   197,  9430,20140724,  233,    0
   197,  9430,20140725,  203,    0
   197,  9430,20140726,  194,    0
   197,  9430,20140727,  174,    0
   197,  9430,20140728,  179,    0
   197,  9430,20140729,  175,    0
   197,  9430,20140730,  135,    0
   197,  9430,20140731,  128,    0
   197,  9430,20140801,  133,    0
   197,  9430,20140802,  165,    0
   197,  9430,20140803,  164,    0
   197,  9430,20140804,  175,    0
   197,  9430,20140805,  156,    0
   197,  9430,20140806,  164,    0
   197,  9430,20140807,  152,    0
   197,  9430,20140808,  164,    0
   197,  9430,20140809,  162,    0
   197,  9430,20140810,  162,    0
   197,  9430,20140811,  161,    0
   197,  9430,20140812,  129,    0
   197,  9430,20140813,  134,    0
   197,  9430,20140814,-9999,    9
   197,  9430,20140815,  124,    0
   197,  9430,20140816,  112,    0
   197,  9430,20140817,  108,    0
   197,  9430,20140818,  109,    0
   197,  9430,20140819,  120,    0
   197,  9430,20140820,  116,    0
   197,  9430,20140821,  105,    0
   197,  9430,20140822,  108,    0
   197,  9430,20140823,  108,    0
   197,  9430,20140824,   97,    0
   197,  9430,20140825,  122,    0
   197,  9430,20140826,  125,    0
   197,  9430,20140827,  132,    0
   197,  9430,20140828,  135,    0
   197,  9430,20140829,  148,    0
   197,  9430,20140830,  134,    0
   197,  9430,20140831,  143,    0
   197,  9430,20140901,  133,    0
   197,  9430,20140902,  127,    0
   197,  9430,20140903,  130,    0
   197,  9430,20140904,  139,    0
   197,  9430,20140905,  125,    0
   197,  9430,20140906,  124,    0
   197,  9430,20140907,  135,    0
   197,  9430,20140908,  133,    0
   197,  9430,20140909,  123,    0
   197,  9430,20140910,  119,    0
   197,  9430,20140911,  122,    0
   197,  9430,20140912,  148,    0
   197,  9430,20140913,  137,    0
   197,  9430,20140914,  136,    0
   197,  9430,20140915,  131,    0
   197,  9430,20140916,  136,    0
   197,  9430,20140917,  125,    0
   197,  9430,20140918,  106,    0
   197,  9430,20140919,  107,    0
   197,  9430,20140920,   95,    0
   197,  9430,20140921,   91,    0
   197,  9430,20140922,   70,    0
   197,  9430,20140923,   55,    0
   197,  9430,20140924,   73,    0
   197,  9430,20140925,   68,    0
   197,  9430,20140926,   90,    0
   197,  9430,20140927,   90,    0
   197,  9430,20140928,  100,    0
   197,  9430,20140929,   80,    0
   197,  9430,20140930,   94,    0
   197,  9430,20141001,  109,    0
   197,  9430,20141002,   68,    0
   197,  9430,20141003,  108,    0
   197,  9430,20141004,  150,    0
   197,  9430,20141005,  112,    0
   197,  9430,20141006,  120,    0
   197,  9430,20141007,   90,    0
   197,  9430,20141008,   74,    0
   197,  9430,20141009,   69,    0
   197,  9430,20141010,   73,    0
   197,  9430,20141011,   81,    0
   197,  9430,20141012,   74,    0
   197,  9430,20141013,   70,    0
   197,  9430,20141014,   50,    0
   197,  9430,20141015,   34,    0
   197,  9430,20141016,   33,    0
   197,  9430,20141017,   37,    0
   197,  9430,20141018,   54,    0
   197,  9430,20141019,  107,    0
   197,  9430,20141020,   83,    0
   197,  9430,20141021,   79,    0
   197,  9430,20141022,   63,    0
   197,  9430,20141023,   79,    0
   197,  9430,20141024,   87,    0
   197,  9430,20141025,   76,    0
   197,  9430,20141026,   92,    0
   197,  9430,20141027,   79,    0
   197,  9430,20141028,  102,    0
   197,  9430,20141029,   34,    0
   197,  9430,20141030,   22,    0
   197,  9430,20141031,   33,    0
   197,  9430,20141101,   91,    0
   197,  9430,20141102,   82,    0
   197,  9430,20141103,   58,    0
   197,  9430,20141104,   38,    0
   197,  9430,20141105,   39,    0
   197,  9430,20141106,   34,    0
   197,  9430,20141107,   48,    0
   197,  9430,20141108,   67,    0
   197,  9430,20141109,   64,    0
   197,  9430,20141110,   63,    0
   197,  9430,20141111,   16,    0
   197,  9430,20141112,   52,    0
   197,  9430,20141113,   54,    0
   197,  9430,20141114,   75,    0
   197,  9430,20141115,   79,    0
   197,  9430,20141116,   65,    0
   197,  9430,20141117,   41,    0
   197,  9430,20141118,   30,    0
   197,  9430,20141119,   15,    0
   197,  9430,20141120,    4,    0
   197,  9430,20141121,   -5,    0
   197,  9430,20141122,  -17,    0
   197,  9430,20141123,   15,    0
   197,  9430,20141124,   25,    0
   197,  9430,20141125,   36,    0
   197,  9430,20141126,   -1,    0
   197,  9430,20141127,   24,    0
   197,  9430,20141128,   27,    0
   197,  9430,20141129,   19,    0
