EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LIEPAJA, LATVIA (STAID: 199)
Blended and updated with sources:13968 17402 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   199, 13968,18810101, -167,    1
   199, 13968,18810102, -188,    1
   199, 13968,18810103, -137,    1
   199, 13968,18810104,  -33,    1
   199, 13968,18810105,  -78,    1
   199, 13968,18810106, -154,    1
   199, 13968,18810107, -159,    1
   199, 13968,18810108, -134,    1
   199, 13968,18810109, -113,    1
   199, 13968,18810110,  -32,    1
   199, 13968,18810111,  -66,    1
   199, 13968,18810112,  -62,    1
   199, 13968,18810113,   35,    1
   199, 13968,18810114,  -25,    1
   199, 13968,18810115,  -96,    1
   199, 13968,18810116,  -87,    1
   199, 13968,18810117,  -60,    1
   199, 13968,18810118,   -4,    1
   199, 13968,18810119,   29,    1
   199, 13968,18810120,   21,    1
   199, 13968,18810121,   23,    1
   199, 13968,18810122,   19,    1
   199, 13968,18810123,    8,    1
   199, 13968,18810124,   -2,    1
   199, 13968,18810125,  -12,    1
   199, 13968,18810126,  -44,    1
   199, 13968,18810127,  -62,    1
   199, 13968,18810128,   27,    1
   199, 13968,18810129,   -3,    1
   199, 13968,18810130,   27,    1
   199, 13968,18810131,   10,    1
   199, 13968,18810201,   -6,    1
   199, 13968,18810202,  -16,    1
   199, 13968,18810203,   10,    1
   199, 13968,18810204,   38,    1
   199, 13968,18810205,   12,    1
   199, 13968,18810206,  -59,    1
   199, 13968,18810207, -113,    1
   199, 13968,18810208, -102,    1
   199, 13968,18810209,  -87,    1
   199, 13968,18810210,  -71,    1
   199, 13968,18810211,  -84,    1
   199, 13968,18810212,  -46,    1
   199, 13968,18810213,    2,    1
   199, 13968,18810214,  -21,    1
   199, 13968,18810215,  -71,    1
   199, 13968,18810216,  -50,    1
   199, 13968,18810217,   17,    1
   199, 13968,18810218,  -34,    1
   199, 13968,18810219,  -41,    1
   199, 13968,18810220,  -53,    1
   199, 13968,18810221,  -33,    1
   199, 13968,18810222,  -53,    1
   199, 13968,18810223,  -58,    1
   199, 13968,18810224,    2,    1
   199, 13968,18810225,   19,    1
   199, 13968,18810226,   11,    1
   199, 13968,18810227,  -29,    1
   199, 13968,18810228,  -39,    1
   199, 13968,18810301,  -38,    1
   199, 13968,18810302,  -50,    1
   199, 13968,18810303,  -12,    1
   199, 13968,18810304,   -4,    1
   199, 13968,18810305,   21,    1
   199, 13968,18810306,   27,    1
   199, 13968,18810307,   27,    1
   199, 13968,18810308,    0,    0
   199, 13968,18810309,   -4,    1
   199, 13968,18810310,  -21,    1
   199, 13968,18810311,   -6,    1
   199, 13968,18810312,   15,    1
   199, 13968,18810313,   33,    1
   199, 13968,18810314,   17,    1
   199, 13968,18810315,   -2,    1
   199, 13968,18810316,    9,    1
   199, 13968,18810317,   29,    1
   199, 13968,18810318,    0,    0
   199, 13968,18810319,    6,    1
   199, 13968,18810320,   10,    1
   199, 13968,18810321,    8,    1
   199, 13968,18810322,   -4,    1
   199, 13968,18810323,  -56,    1
   199, 13968,18810324,    5,    1
   199, 13968,18810325,    2,    1
   199, 13968,18810326,   13,    1
   199, 13968,18810327,   11,    1
   199, 13968,18810328,    6,    1
   199, 13968,18810329,    4,    1
   199, 13968,18810330,   24,    1
   199, 13968,18810331,   24,    1
   199, 13968,18810401,   28,    1
   199, 13968,18810402,   54,    1
   199, 13968,18810403,   50,    1
   199, 13968,18810404,   50,    1
   199, 13968,18810405,   55,    1
   199, 13968,18810406,   62,    1
   199, 13968,18810407,   87,    1
   199, 13968,18810408,   27,    1
   199, 13968,18810409,   37,    1
   199, 13968,18810410,   39,    1
