EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BERGEN FLORIDA, NORWAY (STAID: 265)
Blended and updated with sources:5463 901317 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   265,  5463,19570101,   18,    0
   265,  5463,19570102,  -16,    0
   265,  5463,19570103,   10,    0
   265,  5463,19570104,   48,    0
   265,  5463,19570105,   65,    0
   265,  5463,19570106,   39,    0
   265,  5463,19570107,   63,    0
   265,  5463,19570108,   80,    0
   265,  5463,19570109,   57,    0
   265,  5463,19570110,   28,    0
   265,  5463,19570111,   17,    0
   265,  5463,19570112,   50,    0
   265,  5463,19570113,   16,    0
   265,  5463,19570114,  -28,    0
   265,  5463,19570115,   12,    0
   265,  5463,19570116,   34,    0
   265,  5463,19570117,   11,    0
   265,  5463,19570118,   47,    0
   265,  5463,19570119,   52,    0
   265,  5463,19570120,   66,    0
   265,  5463,19570121,   38,    0
   265,  5463,19570122,   32,    0
   265,  5463,19570123,   41,    0
   265,  5463,19570124,   68,    0
   265,  5463,19570125,   34,    0
   265,  5463,19570126,   55,    0
   265,  5463,19570127,   22,    0
   265,  5463,19570128,   44,    0
   265,  5463,19570129,   50,    0
   265,  5463,19570130,   36,    0
   265,  5463,19570131,   90,    0
   265,  5463,19570201,   65,    0
   265,  5463,19570202,   53,    0
   265,  5463,19570203,   47,    0
   265,  5463,19570204,   65,    0
   265,  5463,19570205,   74,    0
   265,  5463,19570206,   58,    0
