EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KVIKKJOKK-ARRENJARKA, SWEDEN (STAID: 338)
Blended and updated with sources:1192 1876 16044 37349 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   338, 16044,19610101,  -86,    0
   338, 16044,19610102, -105,    0
   338, 16044,19610103, -115,    0
   338, 16044,19610104,  -65,    0
   338, 16044,19610105,  -46,    0
   338, 16044,19610106, -163,    0
   338, 16044,19610107, -251,    0
   338, 16044,19610108, -294,    0
   338, 16044,19610109, -319,    0
   338, 16044,19610110, -286,    0
   338, 16044,19610111, -309,    0
   338, 16044,19610112, -275,    0
   338, 16044,19610113, -235,    0
   338, 16044,19610114, -140,    0
   338, 16044,19610115,  -22,    0
   338, 16044,19610116, -101,    0
   338, 16044,19610117, -162,    0
   338, 16044,19610118,  -84,    0
   338, 16044,19610119, -136,    0
   338, 16044,19610120, -231,    0
   338, 16044,19610121, -256,    0
   338, 16044,19610122, -166,    0
   338, 16044,19610123, -168,    0
   338, 16044,19610124, -167,    0
   338, 16044,19610125,  -39,    0
   338, 16044,19610126,  -43,    0
   338, 16044,19610127, -106,    0
   338, 16044,19610128, -121,    0
   338, 16044,19610129,  -28,    0
   338, 16044,19610130, -101,    0
   338, 16044,19610131, -134,    0
   338, 16044,19610201, -155,    0
   338, 16044,19610202, -239,    0
   338, 16044,19610203, -141,    0
   338, 16044,19610204, -174,    0
   338, 16044,19610205, -181,    0
   338, 16044,19610206, -261,    0
   338, 16044,19610207, -176,    0
   338, 16044,19610208,  -52,    0
   338, 16044,19610209, -202,    0
   338, 16044,19610210, -139,    0
   338, 16044,19610211, -110,    0
   338, 16044,19610212,  -91,    0
   338, 16044,19610213,  -92,    0
   338, 16044,19610214,   -2,    0
   338, 16044,19610215,  -29,    0
   338, 16044,19610216,  -22,    0
   338, 16044,19610217,  -19,    0
   338, 16044,19610218,    9,    0
   338, 16044,19610219,  -62,    0
   338,  1192,19610220,    0,    0
   338, 16044,19610221,  -10,    0
   338, 16044,19610222,   47,    0
   338, 16044,19610223,   26,    0
   338, 16044,19610224,  -47,    0
   338, 16044,19610225,  -57,    0
   338, 16044,19610226, -101,    0
   338, 16044,19610227,  -74,    0
   338, 16044,19610228,  -29,    0
   338, 16044,19610301,   -1,    0
   338, 16044,19610302,  -83,    0
   338, 16044,19610303,  -10,    0
   338, 16044,19610304,   27,    0
   338, 16044,19610305,   16,    0
   338, 16044,19610306,   -5,    0
   338, 16044,19610307,  -34,    0
   338, 16044,19610308,  -23,    0
   338, 16044,19610309,   33,    0
   338, 16044,19610310,   44,    0
   338, 16044,19610311,   -6,    0
   338, 16044,19610312,  -13,    0
   338, 16044,19610313,  -33,    0
   338, 16044,19610314,  -97,    0
   338, 16044,19610315,  -44,    0
   338, 16044,19610316,  -99,    0
   338, 16044,19610317, -110,    0
   338, 16044,19610318, -133,    0
   338, 16044,19610319,  -68,    0
   338, 16044,19610320, -117,    0
   338, 16044,19610321,  -83,    0
   338, 16044,19610322,  -70,    0
   338, 16044,19610323,  -38,    0
   338, 16044,19610324,  -29,    0
   338, 16044,19610325,  -31,    0
   338, 16044,19610326,  -34,    0
   338, 16044,19610327,  -54,    0
   338, 16044,19610328,  -27,    0
   338, 16044,19610329,  -98,    0
   338, 16044,19610330, -119,    0
   338, 16044,19610331, -126,    0
   338, 16044,19610401,  -74,    0
   338, 16044,19610402,  -91,    0
   338, 16044,19610403, -112,    0
   338, 16044,19610404,  -89,    0
   338, 16044,19610405,  -57,    0
   338, 16044,19610406,  -85,    0
   338, 16044,19610407,  -58,    0
   338, 16044,19610408,  -44,    0
   338, 16044,19610409,  -34,    0
   338, 16044,19610410,  -64,    0
   338, 16044,19610411,  -83,    0
   338, 16044,19610412,  -63,    0
   338, 16044,19610413,  -80,    0
   338, 16044,19610414,    6,    0
   338, 16044,19610415,   -6,    0
   338, 16044,19610416,   13,    0
   338, 16044,19610417,   23,    0
   338, 16044,19610418,   29,    0
   338, 16044,19610419,  -22,    0
   338, 16044,19610420,  -16,    0
   338, 16044,19610421,   -5,    0
   338, 16044,19610422,  -18,    0
   338, 16044,19610423,  -17,    0
   338, 16044,19610424,   -8,    0
   338, 16044,19610425,   23,    0
   338, 16044,19610426,   40,    0
   338, 16044,19610427,   16,    0
   338, 16044,19610428,    1,    0
   338, 16044,19610429,   -5,    0
   338, 16044,19610430,   -8,    0
   338, 16044,19610501,   -7,    0
   338, 16044,19610502,   15,    0
   338, 16044,19610503,   58,    0
   338, 16044,19610504,   16,    0
   338, 16044,19610505,    9,    0
   338, 16044,19610506,    8,    0
   338, 16044,19610507,   11,    0
   338, 16044,19610508,   37,    0
   338, 16044,19610509,   42,    0
   338, 16044,19610510,   48,    0
   338, 16044,19610511,   42,    0
   338, 16044,19610512,   39,    0
   338, 16044,19610513,   52,    0
   338, 16044,19610514,   46,    0
   338, 16044,19610515,   43,    0
   338, 16044,19610516,   49,    0
   338, 16044,19610517,   55,    0
   338, 16044,19610518,   73,    0
   338, 16044,19610519,   57,    0
   338, 16044,19610520,   39,    0
   338, 16044,19610521,   44,    0
   338, 16044,19610522,   38,    0
   338, 16044,19610523,   61,    0
   338, 16044,19610524,   36,    0
   338, 16044,19610525,   45,    0
   338, 16044,19610526,   37,    0
   338, 16044,19610527,   37,    0
   338, 16044,19610528,   56,    0
   338, 16044,19610529,   70,    0
   338, 16044,19610530,   96,    0
   338, 16044,19610531,  139,    0
   338, 16044,19610601,  169,    0
   338, 16044,19610602,  172,    0
   338, 16044,19610603,  155,    0
   338, 16044,19610604,  142,    0
   338, 16044,19610605,  174,    0
   338, 16044,19610606,  157,    0
   338, 16044,19610607,  165,    0
   338, 16044,19610608,  153,    0
   338, 16044,19610609,  146,    0
   338, 16044,19610610,  125,    0
   338, 16044,19610611,  109,    0
   338, 16044,19610612,  107,    0
   338, 16044,19610613,  118,    0
   338, 16044,19610614,  103,    0
   338, 16044,19610615,   93,    0
   338, 16044,19610616,  117,    0
   338, 16044,19610617,  110,    0
   338, 16044,19610618,   73,    0
   338, 16044,19610619,   93,    0
   338, 16044,19610620,   85,    0
   338, 16044,19610621,   89,    0
   338, 16044,19610622,  100,    0
   338, 16044,19610623,  104,    0
   338, 16044,19610624,   87,    0
   338, 16044,19610625,  112,    0
   338, 16044,19610626,   83,    0
   338, 16044,19610627,   91,    0
   338, 16044,19610628,   79,    0
   338, 16044,19610629,   86,    0
   338, 16044,19610630,   86,    0
   338, 16044,19610701,  134,    0
   338, 16044,19610702,  133,    0
   338, 16044,19610703,  100,    0
   338, 16044,19610704,  105,    0
   338, 16044,19610705,  103,    0
   338, 16044,19610706,  115,    0
   338, 16044,19610707,  117,    0
   338, 16044,19610708,  116,    0
   338, 16044,19610709,  118,    0
   338, 16044,19610710,  146,    0
   338, 16044,19610711,  137,    0
   338, 16044,19610712,  147,    0
   338, 16044,19610713,  161,    0
   338, 16044,19610714,  207,    0
   338, 16044,19610715,  186,    0
   338, 16044,19610716,  181,    0
   338, 16044,19610717,  176,    0
   338, 16044,19610718,  175,    0
   338, 16044,19610719,  170,    0
   338, 16044,19610720,  167,    0
