EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MALUNG, SWEDEN (STAID: 341)
Blended and updated with sources:36449 36452 902407 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   341, 36449,19491201,-9999,    9
   341, 36449,19491202,-9999,    9
   341, 36449,19491203,-9999,    9
   341, 36449,19491204,-9999,    9
   341, 36449,19491205,-9999,    9
   341, 36449,19491206,-9999,    9
   341, 36449,19491207,-9999,    9
   341, 36449,19491208,-9999,    9
   341, 36449,19491209,-9999,    9
   341, 36449,19491210,-9999,    9
   341, 36449,19491211,-9999,    9
   341, 36449,19491212,-9999,    9
   341, 36449,19491213,-9999,    9
   341, 36449,19491214,-9999,    9
   341, 36449,19491215,-9999,    9
   341, 36449,19491216,-9999,    9
   341, 36449,19491217,-9999,    9
   341, 36449,19491218,-9999,    9
   341, 36449,19491219,-9999,    9
   341, 36449,19491220,-9999,    9
   341, 36449,19491221,-9999,    9
   341, 36449,19491222,-9999,    9
   341, 36449,19491223,-9999,    9
   341, 36449,19491224,-9999,    9
   341, 36449,19491225,-9999,    9
   341, 36449,19491226,-9999,    9
   341, 36449,19491227,-9999,    9
   341, 36449,19491228,-9999,    9
   341, 36449,19491229,-9999,    9
   341, 36449,19491230,-9999,    9
   341, 36449,19491231, -118,    1
   341, 36449,19500101,  -94,    1
   341, 36449,19500102,  -24,    1
   341, 36449,19500103,  -88,    1
   341, 36449,19500104, -166,    1
   341, 36449,19500105, -279,    1
   341, 36449,19500106, -236,    1
   341, 36449,19500107, -184,    1
   341, 36449,19500108,  -90,    1
   341, 36449,19500109, -101,    1
   341, 36449,19500110, -137,    1
   341, 36449,19500111,  -95,    1
   341, 36449,19500112,  -64,    1
   341, 36449,19500113,  -80,    1
   341, 36449,19500114,  -99,    1
   341, 36449,19500115,  -88,    1
