EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VALLEY, UNITED KINGDOM (STAID: 350)
Blended and updated with sources:1259 6716 903302 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   350,  1259,19301201,-9999,    9
   350,  1259,19301202,   70,    0
   350,  1259,19301203,   70,    0
   350,  1259,19301204,   58,    0
   350,  1259,19301205,   70,    0
   350,  1259,19301206,   67,    0
   350,  1259,19301207,   67,    0
   350,  1259,19301208,   58,    0
   350,  1259,19301209,   50,    0
   350,  1259,19301210,   44,    0
   350,  1259,19301211,   64,    0
   350,  1259,19301212,   92,    0
   350,  1259,19301213,   80,    0
   350,  1259,19301214,   70,    0
   350,  1259,19301215,   72,    0
   350,  1259,19301216,   66,    0
   350,  1259,19301217,   72,    0
   350,  1259,19301218,   75,    0
   350,  1259,19301219,   92,    0
   350,  1259,19301220,   97,    0
   350,  1259,19301221,   78,    0
   350,  1259,19301222,   78,    0
   350,  1259,19301223,   72,    0
   350,  1259,19301224,   78,    0
   350,  1259,19301225,   58,    0
   350,  1259,19301226,   70,    0
   350,  1259,19301227,   86,    0
   350,  1259,19301228,   86,    0
   350,  1259,19301229,   72,    0
   350,  1259,19301230,   48,    0
   350,  1259,19301231,   56,    0
   350,  1259,19310101,   50,    0
   350,  1259,19310102,   52,    0
   350,  1259,19310103,   50,    0
   350,  1259,19310104,   48,    0
   350,  1259,19310105,   56,    0
   350,  1259,19310106,   34,    0
   350,  1259,19310107,   39,    0
   350,  1259,19310108,   36,    0
   350,  1259,19310109,   64,    0
   350,  1259,19310110,   72,    0
   350,  1259,19310111,   78,    0
   350,  1259,19310112,   62,    0
   350,  1259,19310113,   48,    0
   350,  1259,19310114,   52,    0
   350,  1259,19310115,   64,    0
   350,  1259,19310116,   97,    0
   350,  1259,19310117,   70,    0
   350,  1259,19310118,   80,    0
   350,  1259,19310119,   72,    0
   350,  1259,19310120,   89,    0
   350,  1259,19310121,   66,    0
   350,  1259,19310122,   75,    0
   350,  1259,19310123,   72,    0
   350,  1259,19310124,   67,    0
   350,  1259,19310125,   64,    0
   350,  1259,19310126,   64,    0
   350,  1259,19310127,   50,    0
   350,  1259,19310128,   50,    0
   350,  1259,19310129,   66,    0
   350,  1259,19310130,   52,    0
   350,  1259,19310131,   52,    0
   350,  1259,19310201,   48,    0
   350,  1259,19310202,   52,    0
   350,  1259,19310203,   58,    0
   350,  1259,19310204,   36,    0
   350,  1259,19310205,   50,    0
   350,  1259,19310206,   56,    0
   350,  1259,19310207,   64,    0
   350,  1259,19310208,   66,    0
   350,  1259,19310209,   84,    0
   350,  1259,19310210,   66,    0
   350,  1259,19310211,   66,    0
   350,  1259,19310212,   50,    0
   350,  1259,19310213,   56,    0
   350,  1259,19310214,   56,    0
   350,  1259,19310215,   64,    0
   350,  1259,19310216,   36,    0
   350,  1259,19310217,   42,    0
   350,  1259,19310218,   44,    0
   350,  1259,19310219,   48,    0
   350,  1259,19310220,   56,    0
   350,  1259,19310221,   44,    0
   350,  1259,19310222,   61,    0
   350,  1259,19310223,   64,    0
   350,  1259,19310224,   61,    0
   350,  1259,19310225,   80,    0
   350,  1259,19310226,   86,    0
   350,  1259,19310227,   56,    0
   350,  1259,19310228,   36,    0
   350,  1259,19310301,   28,    0
   350,  1259,19310302,   25,    0
   350,  1259,19310303,   36,    0
   350,  1259,19310304,   44,    0
   350,  1259,19310305,   58,    0
   350,  1259,19310306,   28,    0
   350,  1259,19310307,    0,    0
   350,  1259,19310308,   11,    0
   350,  1259,19310309,    6,    0
   350,  1259,19310310,   22,    0
   350,  1259,19310311,   39,    0
   350,  1259,19310312,   44,    0
   350,  1259,19310313,   44,    0
   350,  1259,19310314,   66,    0
   350,  1259,19310315,   80,    0
   350,  1259,19310316,   53,    0
   350,  1259,19310317,   70,    0
   350,  1259,19310318,   92,    0
   350,  1259,19310319,   86,    0
   350,  1259,19310320,  114,    0
   350,  1259,19310321,   83,    0
   350,  1259,19310322,   72,    0
   350,  1259,19310323,   50,    0
   350,  1259,19310324,   56,    0
   350,  1259,19310325,   66,    0
   350,  1259,19310326,   70,    0
