EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station WADDINGTON, UNITED KINGDOM (STAID: 351)
Blended and updated with sources:1263 6717 903377 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   351,  1263,19490101,-9999,    9
   351,  1263,19490102,   36,    0
   351,  1263,19490103,   -3,    0
   351,  1263,19490104,    8,    0
   351,  1263,19490105,   30,    0
   351,  1263,19490106,   62,    0
   351,  1263,19490107,   89,    0
   351,  1263,19490108,   52,    0
   351,  1263,19490109,   16,    0
   351,  1263,19490110,   34,    0
   351,  1263,19490111,   56,    0
   351,  1263,19490112,   14,    0
   351,  1263,19490113,   33,    0
   351,  1263,19490114,   53,    0
   351,  1263,19490115,   70,    0
   351,  1263,19490116,   69,    0
   351,  1263,19490117,   89,    0
   351,  1263,19490118,   81,    0
   351,  1263,19490119,   86,    0
   351,  1263,19490120,   50,    0
   351,  1263,19490121,   56,    0
   351,  1263,19490122,   36,    0
   351,  1263,19490123,   53,    0
   351,  1263,19490124,   50,    0
   351,  1263,19490125,   12,    0
   351,  1263,19490126,   50,    0
   351,  1263,19490127,   64,    0
   351,  1263,19490128,   14,    0
   351,  1263,19490129,   22,    0
   351,  1263,19490130,   34,    0
   351,  1263,19490131,   42,    0
   351,  1263,19490201,   34,    0
   351,  1263,19490202,   25,    0
   351,  1263,19490203,   14,    0
   351,  1263,19490204,   14,    0
   351,  1263,19490205,   16,    0
   351,  1263,19490206,    3,    0
   351,  1263,19490207,   28,    0
   351,  1263,19490208,   56,    0
   351,  1263,19490209,   53,    0
   351,  1263,19490210,   47,    0
   351,  1263,19490211,   44,    0
   351,  1263,19490212,   44,    0
   351,  1263,19490213,   52,    0
   351,  1263,19490214,   83,    0
   351,  1263,19490215,   97,    0
   351,  1263,19490216,   94,    0
   351,  1263,19490217,   75,    0
   351,  1263,19490218,   52,    0
   351,  1263,19490219,   70,    0
   351,  1263,19490220,   66,    0
   351,  1263,19490221,   89,    0
   351,  1263,19490222,   70,    0
   351,  1263,19490223,   75,    0
   351,  1263,19490224,   70,    0
   351,  1263,19490225,   56,    0
   351,  1263,19490226,   70,    0
   351,  1263,19490227,   56,    0
   351,  1263,19490228,   38,    0
   351,  1263,19490301,   36,    0
   351,  1263,19490302,   20,    0
   351,  1263,19490303,   36,    0
   351,  1263,19490304,   16,    0
   351,  1263,19490305,    8,    0
   351,  1263,19490306,  -11,    0
   351,  1263,19490307,   -2,    0
   351,  1263,19490308,   -3,    0
   351,  1263,19490309,   11,    0
   351,  1263,19490310,   14,    0
   351,  1263,19490311,   28,    0
   351,  1263,19490312,   42,    0
   351,  1263,19490313,   64,    0
   351,  1263,19490314,   47,    0
   351,  1263,19490315,   39,    0
   351,  1263,19490316,   72,    0
   351,  1263,19490317,   78,    0
   351,  1263,19490318,   34,    0
   351,  1263,19490319,   36,    0
   351,  1263,19490320,   38,    0
   351,  1263,19490321,   58,    0
   351,  1263,19490322,   92,    0
   351,  1263,19490323,  120,    0
   351,  1263,19490324,   86,    0
   351,  1263,19490325,   70,    0
   351,  1263,19490326,   61,    0
   351,  1263,19490327,   50,    0
   351,  1263,19490328,   44,    0
   351,  1263,19490329,   48,    0
   351,  1263,19490330,   44,    0
   351,  1263,19490331,   42,    0
   351,  1263,19490401,   56,    0
   351,  1263,19490402,   89,    0
   351,  1263,19490403,   97,    0
   351,  1263,19490404,  131,    0
   351,  1263,19490405,  100,    0
   351,  1263,19490406,  114,    0
   351,  1263,19490407,   64,    0
   351,  1263,19490408,   44,    0
   351,  1263,19490409,   50,    0
   351,  1263,19490410,   58,    0
   351,  1263,19490411,  100,    0
   351,  1263,19490412,  120,    0
   351,  1263,19490413,  139,    0
   351,  1263,19490414,  139,    0
   351,  1263,19490415,  150,    0
   351,  1263,19490416,  172,    0
   351,  1263,19490417,  148,    0
   351,  1263,19490418,  128,    0
   351,  1263,19490419,  106,    0
   351,  1263,19490420,   86,    0
   351,  1263,19490421,   86,    0
   351,  1263,19490422,   67,    0
   351,  1263,19490423,  117,    0
   351,  1263,19490424,  120,    0
   351,  1263,19490425,   84,    0
   351,  1263,19490426,   88,    0
   351,  1263,19490427,   97,    0
   351,  1263,19490428,  131,    0
   351,  1263,19490429,   67,    0
   351,  1263,19490430,   72,    0
   351,  1263,19490501,   86,    0
   351,  1263,19490502,  108,    0
   351,  1263,19490503,   92,    0
   351,  1263,19490504,  100,    0
   351,  1263,19490505,   94,    0
   351,  1263,19490506,   88,    0
   351,  1263,19490507,   84,    0
   351,  1263,19490508,   80,    0
   351,  1263,19490509,   56,    0
   351,  1263,19490510,   92,    0
   351,  1263,19490511,  122,    0
   351,  1263,19490512,  116,    0
   351,  1263,19490513,  125,    0
   351,  1263,19490514,  108,    0
   351,  1263,19490515,   94,    0
   351,  1263,19490516,  108,    0
   351,  1263,19490517,  102,    0
   351,  1263,19490518,  106,    0
   351,  1263,19490519,  122,    0
   351,  1263,19490520,  116,    0
   351,  1263,19490521,  125,    0
   351,  1263,19490522,  128,    0
   351,  1263,19490523,  136,    0
   351,  1263,19490524,  125,    0
   351,  1263,19490525,  128,    0
   351,  1263,19490526,  103,    0
   351,  1263,19490527,   98,    0
   351,  1263,19490528,  125,    0
   351,  1263,19490529,  112,    0
   351,  1263,19490530,  114,    0
   351,  1263,19490531,  117,    0
   351,  1263,19490601,  108,    0
   351,  1263,19490602,  111,    0
   351,  1263,19490603,   97,    0
   351,  1263,19490604,  122,    0
   351,  1263,19490605,  122,    0
   351,  1263,19490606,  156,    0
   351,  1263,19490607,  164,    0
   351,  1263,19490608,  147,    0
   351,  1263,19490609,  142,    0
   351,  1263,19490610,  156,    0
   351,  1263,19490611,  156,    0
   351,  1263,19490612,  161,    0
   351,  1263,19490613,  156,    0
   351,  1263,19490614,  122,    0
   351,  1263,19490615,  122,    0
   351,  1263,19490616,   98,    0
   351,  1263,19490617,  130,    0
   351,  1263,19490618,  111,    0
   351,  1263,19490619,  128,    0
   351,  1263,19490620,  150,    0
   351,  1263,19490621,  156,    0
   351,  1263,19490622,  136,    0
   351,  1263,19490623,  134,    0
   351,  1263,19490624,  144,    0
   351,  1263,19490625,  158,    0
   351,  1263,19490626,  170,    0
   351,  1263,19490627,  206,    0
   351,  1263,19490628,  216,    0
   351,  1263,19490629,  156,    0
   351,  1263,19490630,  175,    0
   351,  1263,19490701,  162,    0
   351,  1263,19490702,  164,    0
   351,  1263,19490703,  178,    0
   351,  1263,19490704,  200,    0
   351,  1263,19490705,  161,    0
   351,  1263,19490706,  150,    0
   351,  1263,19490707,  136,    0
   351,  1263,19490708,  134,    0
   351,  1263,19490709,  156,    0
   351,  1263,19490710,  167,    0
   351,  1263,19490711,  208,    0
   351,  1263,19490712,  225,    0
   351,  1263,19490713,  208,    0
   351,  1263,19490714,  172,    0
   351,  1263,19490715,  144,    0
   351,  1263,19490716,  139,    0
   351,  1263,19490717,  117,    0
   351,  1263,19490718,  131,    0
   351,  1263,19490719,  133,    0
   351,  1263,19490720,  142,    0
   351,  1263,19490721,  180,    0
   351,  1263,19490722,  197,    0
   351,  1263,19490723,  208,    0
   351,  1263,19490724,  202,    0
   351,  1263,19490725,  211,    0
   351,  1263,19490726,  197,    0
   351,  1263,19490727,  211,    0
   351,  1263,19490728,  175,    0
   351,  1263,19490729,  172,    0
   351,  1263,19490730,  158,    0
   351,  1263,19490731,  172,    0
   351,  1263,19490801,  172,    0
   351,  1263,19490802,  170,    0
   351,  1263,19490803,  147,    0
   351,  1263,19490804,  136,    0
   351,  1263,19490805,  184,    0
   351,  1263,19490806,  175,    0
   351,  1263,19490807,  150,    0
   351,  1263,19490808,  161,    0
   351,  1263,19490809,  147,    0
   351,  1263,19490810,  142,    0
   351,  1263,19490811,  139,    0
   351,  1263,19490812,  128,    0
   351,  1263,19490813,  175,    0
   351,  1263,19490814,  178,    0
   351,  1263,19490815,  189,    0
   351,  1263,19490816,  158,    0
   351,  1263,19490817,  134,    0
   351,  1263,19490818,  153,    0
   351,  1263,19490819,  178,    0
   351,  1263,19490820,  192,    0
   351,  1263,19490821,  178,    0
   351,  1263,19490822,  200,    0
   351,  1263,19490823,  186,    0
   351,  1263,19490824,  200,    0
   351,  1263,19490825,  184,    0
   351,  1263,19490826,  158,    0
   351,  1263,19490827,  170,    0
   351,  1263,19490828,  175,    0
   351,  1263,19490829,  180,    0
   351,  1263,19490830,  194,    0
   351,  1263,19490831,  214,    0
   351,  1263,19490901,  180,    0
   351,  1263,19490902,  172,    0
   351,  1263,19490903,  180,    0
   351,  1263,19490904,  194,    0
   351,  1263,19490905,  239,    0
   351,  1263,19490906,  183,    0
   351,  1263,19490907,  161,    0
   351,  1263,19490908,  170,    0
   351,  1263,19490909,  192,    0
   351,  1263,19490910,  178,    0
   351,  1263,19490911,  175,    0
   351,  1263,19490912,  164,    0
   351,  1263,19490913,  166,    0
   351,  1263,19490914,  161,    0
   351,  1263,19490915,  158,    0
   351,  1263,19490916,  122,    0
   351,  1263,19490917,  142,    0
   351,  1263,19490918,  142,    0
   351,  1263,19490919,  130,    0
   351,  1263,19490920,  136,    0
   351,  1263,19490921,  152,    0
   351,  1263,19490922,  144,    0
   351,  1263,19490923,  178,    0
   351,  1263,19490924,  172,    0
   351,  1263,19490925,  167,    0
   351,  1263,19490926,  178,    0
   351,  1263,19490927,  158,    0
   351,  1263,19490928,  144,    0
   351,  1263,19490929,  158,    0
   351,  1263,19490930,  128,    0
   351,  1263,19491001,  128,    0
   351,  1263,19491002,  133,    0
   351,  1263,19491003,  161,    0
   351,  1263,19491004,  144,    0
   351,  1263,19491005,  153,    0
   351,  1263,19491006,  147,    0
   351,  1263,19491007,  153,    0
   351,  1263,19491008,  142,    0
   351,  1263,19491009,  136,    0
   351,  1263,19491010,  128,    0
   351,  1263,19491011,  144,    0
   351,  1263,19491012,  153,    0
   351,  1263,19491013,  142,    0
   351,  1263,19491014,  114,    0
   351,  1263,19491015,  142,    0
