EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CAMBORNE, UNITED KINGDOM (STAID: 352)
Blended and updated with sources:1267 6718 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   352,  1267,19780901,-9999,    9
   352,  1267,19780902,  132,    0
   352,  1267,19780903,  116,    0
   352,  1267,19780904,  142,    0
   352,  1267,19780905,  162,    0
   352,  1267,19780906,  158,    0
   352,  1267,19780907,  166,    0
   352,  1267,19780908,  147,    0
   352,  1267,19780909,  166,    0
   352,  1267,19780910,  162,    0
   352,  1267,19780911,  160,    0
   352,  1267,19780912,  148,    0
   352,  1267,19780913,  164,    0
   352,  1267,19780914,  144,    0
   352,  1267,19780915,  146,    0
   352,  1267,19780916,  142,    0
   352,  1267,19780917,  140,    0
   352,  1267,19780918,  116,    0
   352,  1267,19780919,  119,    0
   352,  1267,19780920,  144,    0
   352,  1267,19780921,  146,    0
   352,  1267,19780922,  154,    0
   352,  1267,19780923,  152,    0
   352,  1267,19780924,  156,    0
   352,  1267,19780925,  152,    0
   352,  1267,19780926,  124,    0
   352,  1267,19780927,  138,    0
   352,  1267,19780928,  146,    0
   352,  1267,19780929,  126,    0
   352,  1267,19780930,  107,    0
   352,  1267,19781001,  122,    0
   352,  1267,19781002,  103,    0
   352,  1267,19781003,  126,    0
   352,  1267,19781004,  124,    0
   352,  1267,19781005,  129,    0
   352,  1267,19781006,  122,    0
   352,  1267,19781007,  144,    0
   352,  1267,19781008,  149,    0
   352,  1267,19781009,  152,    0
   352,  1267,19781010,  162,    0
   352,  1267,19781011,  172,    0
   352,  1267,19781012,  176,    0
   352,  1267,19781013,  154,    0
   352,  1267,19781014,  132,    0
   352,  1267,19781015,  144,    0
   352,  1267,19781016,  124,    0
   352,  1267,19781017,  120,    0
   352,  1267,19781018,   99,    0
   352,  1267,19781019,  110,    0
   352,  1267,19781020,  128,    0
   352,  1267,19781021,  126,    0
   352,  1267,19781022,  126,    0
   352,  1267,19781023,  120,    0
   352,  1267,19781024,  134,    0
   352,  1267,19781025,  136,    0
   352,  1267,19781026,  126,    0
   352,  1267,19781027,  113,    0
   352,  1267,19781028,  126,    0
   352,  1267,19781029,  128,    0
   352,  1267,19781030,  113,    0
   352,  1267,19781031,  136,    0
   352,  1267,19781101,  128,    0
   352,  1267,19781102,  130,    0
   352,  1267,19781103,  107,    0
   352,  1267,19781104,  124,    0
   352,  1267,19781105,  137,    0
   352,  1267,19781106,  118,    0
   352,  1267,19781107,  128,    0
   352,  1267,19781108,  104,    0
   352,  1267,19781109,  105,    0
   352,  1267,19781110,  126,    0
   352,  1267,19781111,  111,    0
   352,  1267,19781112,  114,    0
   352,  1267,19781113,  100,    0
   352,  1267,19781114,  108,    0
   352,  1267,19781115,  130,    0
