EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ZITKOVICI, BELARUS (STAID: 656)
Blended and updated with sources:6736 933027 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   656,933027,19950101,   33,    0
   656,933027,19950102,   -4,    0
   656,933027,19950103,   -2,    0
   656,933027,19950104,  -38,    0
   656,  6736,19950105,  -88,    0
   656,  6736,19950106,  -66,    0
   656,  6736,19950107,  -40,    0
   656,  6736,19950108,  -38,    0
   656,933027,19950109,  -35,    0
   656,  6736,19950110,  -33,    0
   656,933027,19950111,  -20,    0
   656,  6736,19950112,  -92,    0
   656,  6736,19950113,  -48,    0
   656,933027,19950114,  -43,    0
   656,933027,19950115,  -47,    0
   656,933027,19950116,   -8,    0
   656,933027,19950117,  -47,    0
   656,933027,19950118,  -96,    0
   656,  6736,19950119, -116,    0
   656,  6736,19950120, -122,    0
   656,  6736,19950121, -126,    0
   656,  6736,19950122, -108,    0
   656,933027,19950123,  -42,    0
   656,  6736,19950124,   20,    0
   656,933027,19950125,   21,    0
   656,  6736,19950126,   14,    0
   656,933027,19950127,   53,    0
   656,  6736,19950128,    7,    0
   656,  6736,19950129,   24,    0
   656,  6736,19950130,   46,    0
   656,933027,19950131,    9,    0
   656,  6736,19950201,  -26,    0
   656,  6736,19950202,   34,    0
   656,933027,19950203,    6,    0
   656,  6736,19950204,   -8,    0
   656,  6736,19950205,   10,    0
   656,933027,19950206,   10,    0
   656,  6736,19950207,   41,    0
   656,  6736,19950208,   14,    0
   656,933027,19950209,    6,    0
   656,  6736,19950210,  -34,    0
   656,933027,19950211,  -35,    0
   656,  6736,19950212,   30,    0
   656,933027,19950213,   53,    0
   656,  6736,19950214,   32,    0
   656,  6736,19950215,   10,    0
   656,  6736,19950216,   24,    0
   656,933027,19950217,   32,    0
   656,933027,19950218,   56,    0
   656,  6736,19950219,   32,    0
   656,  6736,19950220,   15,    0
   656,  6736,19950221,   32,    0
   656,  6736,19950222,   35,    0
   656,  6736,19950223,   42,    0
   656,933027,19950224,   43,    0
   656,  6736,19950225,   21,    0
   656,933027,19950226,   23,    0
   656,933027,19950227,   20,    0
   656,  6736,19950228,-9999,    9
   656,  6736,19950301,   48,    0
   656,  6736,19950302,   86,    0
   656,  6736,19950303,   66,    0
   656,  6736,19950304,   65,    0
   656,  6736,19950305,   88,    0
   656,  6736,19950306,   82,    0
   656,  6736,19950307,  108,    0
   656,  6736,19950308,   46,    0
   656,933027,19950309,   56,    0
   656,  6736,19950310,   36,    0
   656,933027,19950311,   52,    0
   656,933027,19950312,    3,    0
   656,933027,19950313,  -71,    0
   656,  6736,19950314,  -66,    0
   656,  6736,19950315,  -21,    0
   656,  6736,19950316,  -14,    0
   656,  6736,19950317,   -8,    0
   656,  6736,19950318,    6,    0
   656,  6736,19950319,   54,    0
   656,  6736,19950320,   38,    0
   656,  6736,19950321,   32,    0
   656,933027,19950322,   12,    0
   656,  6736,19950323,   31,    0
   656,  6736,19950324,   26,    0
   656,  6736,19950325,   93,    0
   656,933027,19950326,   35,    0
   656,933027,19950327,   30,    0
   656,  6736,19950328,-9999,    9
   656,  6736,19950329,    3,    0
   656,  6736,19950330,    8,    0
   656,  6736,19950331,   17,    0
   656,  6736,19950401,   20,    0
   656,  6736,19950402,   37,    0
   656,933027,19950403,   48,    0
   656,  6736,19950404,   53,    0
   656,  6736,19950405,   32,    0
   656,  6736,19950406,   22,    0
   656,933027,19950407,   46,    0
   656,933027,19950408,   61,    0
   656,  6736,19950409,   26,    0
   656,  6736,19950410,   18,    0
   656,  6736,19950411,   28,    0
   656,  6736,19950412,   30,    0
   656,  6736,19950413,   48,    0
   656,933027,19950414,  104,    0
   656,  6736,19950415,   72,    0
   656,  6736,19950416,   75,    0
   656,  6736,19950417,  106,    0
   656,  6736,19950418,-9999,    9
   656,  6736,19950419,   89,    0
   656,  6736,19950420,  118,    0
   656,  6736,19950421,  138,    0
   656,  6736,19950422,  164,    0
   656,933027,19950423,  162,    0
   656,  6736,19950424,  164,    0
   656,  6736,19950425,  164,    0
   656,  6736,19950426,  138,    0
   656,  6736,19950427,  128,    0
   656,  6736,19950428,  126,    0
   656,933027,19950429,   88,    0
   656,  6736,19950430,   96,    0
   656,  6736,19950501,   59,    0
   656,  6736,19950502,   30,    0
   656,  6736,19950503,   54,    0
   656,  6736,19950504,  116,    0
   656,933027,19950505,  122,    0
   656,  6736,19950506,   96,    0
   656,933027,19950507,  130,    0
   656,  6736,19950508,  108,    0
   656,  6736,19950509,   84,    0
   656,933027,19950510,   76,    0
   656,  6736,19950511,   60,    0
   656,  6736,19950512,   90,    0
   656,933027,19950513,  144,    0
   656,933027,19950514,  177,    0
   656,  6736,19950515,   90,    0
   656,  6736,19950516,   99,    0
   656,  6736,19950517,  114,    0
   656,  6736,19950518,  161,    0
   656,  6736,19950519,  180,    0
   656,933027,19950520,  190,    0
   656,  6736,19950521,  158,    0
   656,  6736,19950522,  159,    0
   656,  6736,19950523,  151,    0
   656,  6736,19950524,  182,    0
   656,  6736,19950525,  188,    0
   656,  6736,19950526,  182,    0
   656,  6736,19950527,  193,    0
   656,  6736,19950528,  206,    0
   656,  6736,19950529,  220,    0
   656,  6736,19950530,  200,    0
   656,  6736,19950531,  202,    0
   656,  6736,19950601,  215,    0
   656,  6736,19950602,  224,    0
   656,  6736,19950603,  240,    0
   656,933027,19950604,  184,    0
   656,  6736,19950605,  168,    0
   656,  6736,19950606,  178,    0
   656,  6736,19950607,  172,    0
   656,  6736,19950608,  204,    0
   656,  6736,19950609,  207,    0
   656,  6736,19950610,  196,    0
   656,  6736,19950611,  203,    0
   656,  6736,19950612,  216,    0
   656,  6736,19950613,  227,    0
   656,  6736,19950614,  234,    0
   656,  6736,19950615,  207,    0
   656,  6736,19950616,  188,    0
   656,  6736,19950617,  198,    0
   656,  6736,19950618,  183,    0
   656,  6736,19950619,  187,    0
   656,  6736,19950620,  160,    0
   656,  6736,19950621,  164,    0
   656,  6736,19950622,-9999,    9
   656,933027,19950623,  119,    0
   656,  6736,19950624,  135,    0
   656,  6736,19950625,  158,    0
   656,  6736,19950626,  194,    0
   656,  6736,19950627,  202,    0
   656,933027,19950628,  210,    0
   656,  6736,19950629,  178,    0
   656,933027,19950630,  188,    0
   656,  6736,19950701,  169,    0
   656,933027,19950702,  164,    0
   656,  6736,19950703,  164,    0
   656,  6736,19950704,  226,    0
   656,  6736,19950705,  176,    0
   656,933027,19950706,  162,    0
