EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KARASJOK-MARKANNJARGA, NORWAY (STAID: 942)
Blended and updated with sources:592 5496 901065 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
   942,   592,19430101, -351,    0
   942,   592,19430102, -263,    0
   942,   592,19430103, -364,    0
   942,   592,19430104, -366,    0
   942,   592,19430105, -325,    0
   942,   592,19430106, -331,    0
   942,   592,19430107, -276,    0
   942,   592,19430108, -323,    0
   942,   592,19430109, -281,    0
   942,   592,19430110, -217,    0
   942,   592,19430111, -309,    0
   942,   592,19430112, -226,    0
   942,   592,19430113, -107,    0
   942,   592,19430114, -116,    0
   942,   592,19430115, -105,    0
   942,   592,19430116, -116,    0
   942,   592,19430117, -121,    0
   942,   592,19430118, -194,    0
   942,   592,19430119, -181,    0
   942,   592,19430120, -163,    0
   942,   592,19430121, -227,    0
   942,   592,19430122, -240,    0
   942,   592,19430123, -188,    0
   942,   592,19430124, -348,    0
   942,   592,19430125, -221,    0
   942,   592,19430126,  -72,    0
   942,   592,19430127, -137,    0
   942,   592,19430128,  -46,    0
   942,   592,19430129,  -21,    0
   942,   592,19430130,  -33,    0
   942,   592,19430131,  -61,    0
   942,   592,19430201,    9,    1
   942,   592,19430202,   -5,    0
   942,   592,19430203, -106,    0
   942,   592,19430204, -121,    0
   942,   592,19430205, -172,    0
   942,   592,19430206,  -88,    0
   942,   592,19430207,  -85,    0
   942,   592,19430208, -130,    0
   942,   592,19430209, -192,    0
   942,   592,19430210, -152,    0
   942,   592,19430211, -111,    0
   942,   592,19430212,  -38,    0
   942,   592,19430213,  -61,    0
