EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PANEVEZHIS, LITHUANIA (STAID: 1008)
Blended and updated with sources:6788 926529 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1008,  6788,19950101,-9999,    9
  1008,  6788,19950102,-9999,    9
  1008,  6788,19950103,-9999,    9
  1008,  6788,19950104,-9999,    9
  1008,  6788,19950105,-9999,    9
  1008,  6788,19950106,  -84,    0
  1008,  6788,19950107,-9999,    9
  1008,  6788,19950108,-9999,    9
  1008,  6788,19950109,  -30,    0
  1008,  6788,19950110,-9999,    9
  1008,  6788,19950111,-9999,    9
  1008,  6788,19950112,  -34,    0
  1008,  6788,19950113,-9999,    9
  1008,  6788,19950114,-9999,    9
  1008,  6788,19950115,  -16,    0
  1008,  6788,19950116,-9999,    9
  1008,  6788,19950117,-9999,    9
  1008,  6788,19950118,  -74,    0
  1008,  6788,19950119,-9999,    9
  1008,  6788,19950120,  -90,    0
  1008,  6788,19950121,  -88,    0
  1008,  6788,19950122,  -66,    0
  1008,  6788,19950123,-9999,    9
  1008,  6788,19950124,   14,    0
  1008,  6788,19950125,   -3,    0
  1008,  6788,19950126,-9999,    9
  1008,  6788,19950127,-9999,    9
  1008,  6788,19950128,-9999,    9
  1008,  6788,19950129,   18,    0
  1008,  6788,19950130,-9999,    9
  1008,  6788,19950131,-9999,    9
  1008,  6788,19950201,-9999,    9
  1008,  6788,19950202,-9999,    9
  1008,  6788,19950203,-9999,    9
  1008,  6788,19950204,-9999,    9
  1008,  6788,19950205,-9999,    9
  1008,  6788,19950206,-9999,    9
  1008,  6788,19950207,-9999,    9
  1008,  6788,19950208,-9999,    9
  1008,  6788,19950209,  -33,    0
  1008,  6788,19950210,  -23,    0
  1008,  6788,19950211,-9999,    9
  1008,  6788,19950212,-9999,    9
  1008,  6788,19950213,-9999,    9
  1008,  6788,19950214,   42,    0
  1008,  6788,19950215,   42,    0
  1008,  6788,19950216,-9999,    9
  1008,  6788,19950217,   42,    0
  1008,  6788,19950218,-9999,    9
  1008,  6788,19950219,   31,    0
  1008,  6788,19950220,   32,    0
  1008,  6788,19950221,   31,    0
  1008,  6788,19950222,-9999,    9
  1008,  6788,19950223,   54,    0
  1008,  6788,19950224,-9999,    9
  1008,  6788,19950225,   24,    0
  1008,  6788,19950226,-9999,    9
  1008,  6788,19950227,  -12,    0
  1008,  6788,19950228,-9999,    9
  1008,  6788,19950301,   62,    0
  1008,  6788,19950302,-9999,    9
  1008,  6788,19950303,   45,    0
  1008,  6788,19950304,   36,    0
  1008,  6788,19950305,-9999,    9
  1008,  6788,19950306,   50,    0
  1008,  6788,19950307,   19,    0
  1008,  6788,19950308,-9999,    9
  1008,  6788,19950309,-9999,    9
  1008,  6788,19950310,-9999,    9
  1008,  6788,19950311,   34,    0
  1008,  6788,19950312,-9999,    9
  1008,  6788,19950313,-9999,    9
  1008,  6788,19950314,  -29,    0
  1008,  6788,19950315,   -5,    0
  1008,  6788,19950316,   -6,    0
  1008,  6788,19950317,   -2,    0
  1008,  6788,19950318,   17,    0
  1008,  6788,19950319,   40,    0
  1008,  6788,19950320,   28,    0
  1008,  6788,19950321,-9999,    9
  1008,  6788,19950322,   21,    0
  1008,  6788,19950323,-9999,    9
  1008,  6788,19950324,   54,    0
  1008,  6788,19950325,-9999,    9
  1008,  6788,19950326,-9999,    9
  1008,  6788,19950327,   11,    0
  1008,  6788,19950328,-9999,    9
  1008,  6788,19950329,   -3,    0
  1008,  6788,19950330,   16,    0
  1008,  6788,19950331,   15,    0
  1008,  6788,19950401,    2,    0
  1008,  6788,19950402,   32,    0
  1008,  6788,19950403,-9999,    9
  1008,  6788,19950404,   16,    0
  1008,  6788,19950405,   21,    0
  1008,  6788,19950406,   -6,    0
  1008,  6788,19950407,   18,    0
  1008,  6788,19950408,-9999,    9
  1008,  6788,19950409,   22,    0
  1008,  6788,19950410,   22,    0
  1008,  6788,19950411,   18,    0
  1008,  6788,19950412,-9999,    9
  1008,  6788,19950413,-9999,    9
  1008,  6788,19950414,   78,    0
  1008,  6788,19950415,   74,    0
  1008,  6788,19950416,   87,    0
  1008,  6788,19950417,   54,    0
  1008,  6788,19950418,   58,    0
  1008,  6788,19950419,   92,    0
  1008,  6788,19950420,  134,    0
  1008,  6788,19950421,   96,    0
  1008,  6788,19950422,  126,    0
  1008,  6788,19950423,  156,    0
  1008,  6788,19950424,  182,    0
  1008,  6788,19950425,-9999,    9
  1008,  6788,19950426,-9999,    9
  1008,  6788,19950427,-9999,    9
  1008,  6788,19950428,-9999,    9
  1008,  6788,19950429,   44,    0
  1008,  6788,19950430,-9999,    9
  1008,  6788,19950501,   27,    0
  1008,  6788,19950502,   35,    0
  1008,  6788,19950503,   61,    0
  1008,  6788,19950504,  108,    0
  1008,  6788,19950505,   97,    0
  1008,  6788,19950506,   94,    0
  1008,  6788,19950507,   96,    0
  1008,  6788,19950508,-9999,    9
  1008,  6788,19950509,-9999,    9
  1008,  6788,19950510,-9999,    9
  1008,  6788,19950511,   50,    0
  1008,  6788,19950512,   88,    0
  1008,  6788,19950513,-9999,    9
  1008,  6788,19950514,-9999,    9
  1008,  6788,19950515,   74,    0
  1008,  6788,19950516,   62,    0
  1008,  6788,19950517,  117,    0
  1008,  6788,19950518,  146,    0
  1008,  6788,19950519,  166,    0
  1008,  6788,19950520,  101,    0
  1008,  6788,19950521,  113,    0
  1008,  6788,19950522,  106,    0
  1008,  6788,19950523,   81,    0
  1008,  6788,19950524,  134,    0
  1008,  6788,19950525,  180,    0
  1008,  6788,19950526,  160,    0
  1008,  6788,19950527,  173,    0
  1008,  6788,19950528,  213,    0
  1008,  6788,19950529,  218,    0
  1008,  6788,19950530,  228,    0
  1008,  6788,19950531,  215,    0
  1008,  6788,19950601,  211,    0
