EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TVEITSUND, NORWAY (STAID: 1043)
Blended and updated with sources:9761 901455 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1043,  9761,19540101,  -74,    0
  1043,  9761,19540102,   73,    0
  1043,  9761,19540103,   17,    0
  1043,  9761,19540104,  -48,    0
  1043,  9761,19540105,  -96,    0
  1043,  9761,19540106,    8,    0
  1043,  9761,19540107,  -53,    0
  1043,  9761,19540108,  -80,    0
  1043,  9761,19540109,  -16,    0
  1043,  9761,19540110,  -19,    0
  1043,  9761,19540111,  -55,    0
  1043,  9761,19540112,    6,    0
  1043,  9761,19540113,   28,    0
  1043,  9761,19540114,   10,    0
  1043,  9761,19540115,   -8,    0
  1043,  9761,19540116,    3,    0
  1043,  9761,19540117,  -34,    0
  1043,  9761,19540118,  -33,    0
  1043,  9761,19540119,  -21,    0
  1043,  9761,19540120,  -13,    0
  1043,  9761,19540121,  -23,    1
  1043,  9761,19540122,  -79,    0
  1043,  9761,19540123,  -66,    0
  1043,  9761,19540124,  -48,    0
  1043,  9761,19540125,  -59,    0
  1043,  9761,19540126,  -73,    0
  1043,  9761,19540127, -108,    0
  1043,  9761,19540128,  -68,    0
  1043,  9761,19540129, -103,    0
  1043,  9761,19540130, -119,    0
  1043,  9761,19540131, -101,    0
  1043,  9761,19540201,  -50,    0
  1043,  9761,19540202,  -77,    0
  1043,  9761,19540203,  -98,    0
