EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RENA - HAUGEDALEN, NORWAY (STAID: 1053)
Blended and updated with sources:9703 901389 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1053,  9703,19580101, -185,    0
  1053,  9703,19580102, -206,    0
  1053,  9703,19580103, -228,    0
  1053,  9703,19580104, -139,    0
  1053,  9703,19580105,  -78,    0
  1053,  9703,19580106,  -56,    0
  1053,  9703,19580107, -133,    0
  1053,  9703,19580108, -196,    0
  1053,  9703,19580109, -174,    0
  1053,  9703,19580110, -138,    0
  1053,  9703,19580111,  -90,    0
  1053,  9703,19580112,  -44,    0
  1053,  9703,19580113,  -50,    0
  1053,  9703,19580114,  -39,    0
  1053,  9703,19580115,  -68,    0
  1053,  9703,19580116,  -97,    0
  1053,  9703,19580117,  -37,    0
  1053,  9703,19580118,  -68,    0
  1053,  9703,19580119, -114,    0
  1053,  9703,19580120, -177,    0
  1053,  9703,19580121, -188,    0
  1053,  9703,19580122, -201,    0
  1053,  9703,19580123,  -81,    0
  1053,  9703,19580124, -101,    0
  1053,  9703,19580125, -160,    0
  1053,  9703,19580126,  -99,    0
  1053,  9703,19580127,  -35,    0
  1053,  9703,19580128,   -8,    0
  1053,  9703,19580129,  -27,    0
  1053,  9703,19580130,  -17,    0
  1053,  9703,19580131,  -44,    0
  1053,  9703,19580201,  -35,    0
  1053,  9703,19580202,  -48,    0
  1053,  9703,19580203,    1,    0
  1053,  9703,19580204,  -67,    0
  1053,  9703,19580205, -110,    0
  1053,  9703,19580206, -144,    0
  1053,  9703,19580207, -146,    0
  1053,  9703,19580208, -267,    0
  1053,  9703,19580209, -204,    0
  1053,  9703,19580210, -265,    0
  1053,  9703,19580211, -134,    0
  1053,  9703,19580212,  -87,    0
  1053,  9703,19580213,  -84,    0
  1053,  9703,19580214,  -79,    0
  1053,  9703,19580215, -153,    0
  1053,  9703,19580216,  -84,    0
  1053,  9703,19580217,  -49,    0
  1053,  9703,19580218, -131,    0
  1053,  9703,19580219, -166,    0
  1053,  9703,19580220, -151,    0
  1053,  9703,19580221, -166,    0
  1053,  9703,19580222, -135,    0
  1053,  9703,19580223, -247,    0
  1053,  9703,19580224, -256,    0
  1053,  9703,19580225, -253,    0
  1053,  9703,19580226, -227,    0
  1053,  9703,19580227, -246,    0
  1053,  9703,19580228, -109,    0
  1053,  9703,19580301,  -69,    0
  1053,  9703,19580302,  -39,    0
  1053,  9703,19580303,  -47,    0
  1053,  9703,19580304,  -27,    0
  1053,  9703,19580305,  -21,    0
  1053,  9703,19580306,  -53,    0
  1053,  9703,19580307, -107,    0
  1053,  9703,19580308, -109,    0
  1053,  9703,19580309, -150,    0
  1053,  9703,19580310, -185,    0
  1053,  9703,19580311, -112,    0
  1053,  9703,19580312, -108,    0
  1053,  9703,19580313, -130,    0
  1053,  9703,19580314, -141,    0
  1053,  9703,19580315,  -34,    0
  1053,  9703,19580316,  -42,    0
  1053,  9703,19580317,  -99,    0
  1053,  9703,19580318,  -47,    0
  1053,  9703,19580319,  -38,    0
  1053,  9703,19580320,  -81,    0
  1053,  9703,19580321, -106,    0
  1053,  9703,19580322, -101,    0
  1053,  9703,19580323, -102,    0
  1053,  9703,19580324,  -74,    0
  1053,  9703,19580325,  -74,    0
  1053,  9703,19580326,  -69,    0
  1053,  9703,19580327,  -69,    0
  1053,  9703,19580328,  -98,    0
  1053,  9703,19580329,  -93,    0
