EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SKROVA FYR, NORWAY (STAID: 1056)
Blended and updated with sources:4441 33952 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1056,  4441,19531201,-9999,    9
  1056,  4441,19531202,-9999,    9
  1056,  4441,19531203,-9999,    9
  1056,  4441,19531204,-9999,    9
  1056,  4441,19531205,-9999,    9
  1056,  4441,19531206,-9999,    9
  1056,  4441,19531207,-9999,    9
  1056,  4441,19531208,-9999,    9
  1056,  4441,19531209,-9999,    9
  1056,  4441,19531210,-9999,    9
  1056,  4441,19531211,-9999,    9
  1056,  4441,19531212,-9999,    9
  1056,  4441,19531213,-9999,    9
  1056,  4441,19531214,-9999,    9
  1056,  4441,19531215,-9999,    9
  1056,  4441,19531216,-9999,    9
  1056,  4441,19531217,-9999,    9
  1056,  4441,19531218,-9999,    9
  1056,  4441,19531219,-9999,    9
  1056,  4441,19531220,-9999,    9
  1056,  4441,19531221,-9999,    9
  1056,  4441,19531222,-9999,    9
  1056,  4441,19531223,-9999,    9
  1056,  4441,19531224,-9999,    9
  1056,  4441,19531225,-9999,    9
  1056,  4441,19531226,-9999,    9
  1056,  4441,19531227,-9999,    9
  1056,  4441,19531228,-9999,    9
  1056,  4441,19531229,-9999,    9
  1056,  4441,19531230,-9999,    9
  1056,  4441,19531231,-9999,    9
  1056,  4441,19540101,   47,    0
  1056,  4441,19540102,   10,    0
  1056,  4441,19540103,   13,    0
  1056,  4441,19540104,   50,    0
  1056,  4441,19540105,   66,    0
  1056,  4441,19540106,   -1,    0
  1056,  4441,19540107,  -20,    0
  1056,  4441,19540108,    6,    0
  1056,  4441,19540109,  -14,    0
  1056,  4441,19540110,  -34,    0
  1056,  4441,19540111,   -9,    0
  1056,  4441,19540112,  -25,    0
  1056,  4441,19540113,  -18,    0
  1056,  4441,19540114,   11,    0
  1056,  4441,19540115,   -5,    0
  1056,  4441,19540116,   -6,    0
  1056,  4441,19540117,   -8,    0
  1056,  4441,19540118,   -8,    0
  1056,  4441,19540119,  -28,    0
  1056,  4441,19540120,  -24,    0
  1056,  4441,19540121,    4,    0
  1056,  4441,19540122,   28,    0
  1056,  4441,19540123,   18,    0
  1056,  4441,19540124,   38,    0
  1056,  4441,19540125,   37,    0
  1056,  4441,19540126,   13,    0
  1056,  4441,19540127,   -1,    0
  1056,  4441,19540128,    7,    0
  1056,  4441,19540129,   22,    0
  1056,  4441,19540130,  -13,    0
  1056,  4441,19540131,    6,    0
  1056,  4441,19540201,   -2,    0
  1056,  4441,19540202,   18,    0
  1056,  4441,19540203,   16,    0
  1056,  4441,19540204,   13,    0
  1056,  4441,19540205,   36,    0
  1056,  4441,19540206,   16,    0
  1056,  4441,19540207,   34,    0
  1056,  4441,19540208,   -1,    0
  1056,  4441,19540209,    3,    0
  1056,  4441,19540210,   13,    0
  1056,  4441,19540211,   -1,    0
  1056,  4441,19540212,  -25,    0
  1056,  4441,19540213,  -14,    0
  1056,  4441,19540214,    1,    0
  1056,  4441,19540215,   14,    0
  1056,  4441,19540216,    4,    0
  1056,  4441,19540217,   -4,    0
  1056,  4441,19540218,   -9,    0
  1056,  4441,19540219,  -26,    0
  1056,  4441,19540220,  -18,    0
  1056,  4441,19540221,   -7,    0
  1056,  4441,19540222,   15,    0
  1056,  4441,19540223,    6,    0
  1056,  4441,19540224,   28,    0
  1056,  4441,19540225,    8,    0
  1056,  4441,19540226,  -37,    0
  1056,  4441,19540227,  -48,    0
  1056,  4441,19540228,  -32,    0
  1056,  4441,19540301,  -47,    0
  1056,  4441,19540302,  -40,    0
  1056,  4441,19540303,  -25,    0
  1056,  4441,19540304,  -16,    0
  1056,  4441,19540305,  -21,    0
  1056,  4441,19540306,   11,    0
  1056,  4441,19540307,   14,    0
  1056,  4441,19540308,   35,    0
  1056,  4441,19540309,   38,    0
  1056,  4441,19540310,   33,    0
  1056,  4441,19540311,   -8,    0
  1056,  4441,19540312,  -31,    0
  1056,  4441,19540313,  -16,    0
  1056,  4441,19540314,   41,    0
  1056,  4441,19540315,   15,    0
  1056,  4441,19540316,  -15,    0
  1056,  4441,19540317,  -39,    0
  1056,  4441,19540318,  -35,    0
  1056,  4441,19540319,   22,    0
  1056,  4441,19540320,   38,    0
  1056,  4441,19540321,   37,    0
  1056,  4441,19540322,   44,    0
  1056,  4441,19540323,   -9,    0
  1056,  4441,19540324,  -31,    0
  1056,  4441,19540325,  -19,    0
  1056,  4441,19540326,  -10,    0
  1056,  4441,19540327,  -11,    0
  1056,  4441,19540328,  -16,    0
  1056,  4441,19540329,    2,    0
  1056,  4441,19540330,   19,    0
  1056,  4441,19540331,   36,    0
  1056,  4441,19540401,   28,    0
  1056,  4441,19540402,   14,    0
  1056,  4441,19540403,   15,    0
  1056,  4441,19540404,   17,    0
  1056,  4441,19540405,   21,    0
