EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SIHCCAJAVRI, NORWAY (STAID: 1058)
Blended and updated with sources:9487 901199 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1058,  9487,19531201,-9999,    9
  1058,  9487,19531202,-9999,    9
  1058,  9487,19531203,-9999,    9
  1058,  9487,19531204,-9999,    9
  1058,  9487,19531205,-9999,    9
  1058,  9487,19531206,-9999,    9
  1058,  9487,19531207,-9999,    9
  1058,  9487,19531208,-9999,    9
  1058,  9487,19531209,-9999,    9
  1058,  9487,19531210,-9999,    9
  1058,  9487,19531211,-9999,    9
  1058,  9487,19531212,-9999,    9
  1058,  9487,19531213,-9999,    9
  1058,  9487,19531214,-9999,    9
  1058,  9487,19531215,-9999,    9
  1058,  9487,19531216,-9999,    9
  1058,  9487,19531217,-9999,    9
  1058,  9487,19531218,-9999,    9
  1058,  9487,19531219,-9999,    9
  1058,  9487,19531220,-9999,    9
  1058,  9487,19531221,-9999,    9
  1058,  9487,19531222,-9999,    9
  1058,  9487,19531223,-9999,    9
  1058,  9487,19531224,-9999,    9
  1058,  9487,19531225,-9999,    9
  1058,  9487,19531226,-9999,    9
  1058,  9487,19531227,-9999,    9
  1058,  9487,19531228,-9999,    9
  1058,  9487,19531229,-9999,    9
  1058,  9487,19531230,-9999,    9
  1058,  9487,19531231,-9999,    9
  1058,  9487,19540101,  -55,    0
  1058,  9487,19540102, -124,    0
  1058,  9487,19540103, -168,    0
  1058,  9487,19540104,  -86,    0
  1058,  9487,19540105,  -12,    0
  1058,  9487,19540106,  -74,    0
  1058,  9487,19540107, -182,    0
  1058,  9487,19540108, -132,    0
  1058,  9487,19540109, -208,    0
  1058,  9487,19540110, -101,    0
  1058,  9487,19540111, -160,    0
  1058,  9487,19540112, -206,    0
  1058,  9487,19540113, -196,    0
  1058,  9487,19540114, -136,    0
  1058,  9487,19540115,  -84,    0
  1058,  9487,19540116,  -89,    0
  1058,  9487,19540117, -145,    0
  1058,  9487,19540118, -185,    0
  1058,  9487,19540119, -206,    0
  1058,  9487,19540120, -285,    0
  1058,  9487,19540121, -220,    0
  1058,  9487,19540122, -142,    0
  1058,  9487,19540123, -144,    0
  1058,  9487,19540124, -106,    0
  1058,  9487,19540125, -102,    0
  1058,  9487,19540126, -191,    0
  1058,  9487,19540127,  -62,    0
  1058,  9487,19540128,  -96,    0
  1058,  9487,19540129, -112,    0
  1058,  9487,19540130,  -68,    0
  1058,  9487,19540131,  -59,    0
  1058,  9487,19540201, -200,    0
  1058,  9487,19540202, -212,    0
  1058,  9487,19540203, -180,    0
  1058,  9487,19540204, -198,    0
  1058,  9487,19540205,  -85,    0
  1058,  9487,19540206,  -67,    0
  1058,  9487,19540207,  -75,    0
  1058,  9487,19540208,  -80,    0
  1058,  9487,19540209, -142,    0
  1058,  9487,19540210,  -90,    0
  1058,  9487,19540211, -134,    0
  1058,  9487,19540212, -172,    0
  1058,  9487,19540213, -280,    0
  1058,  9487,19540214, -312,    0
  1058,  9487,19540215, -243,    0
  1058,  9487,19540216, -192,    0
  1058,  9487,19540217, -195,    0
  1058,  9487,19540218, -264,    0
  1058,  9487,19540219, -210,    0
  1058,  9487,19540220, -246,    0
  1058,  9487,19540221, -152,    0
  1058,  9487,19540222, -129,    0
  1058,  9487,19540223, -139,    0
  1058,  9487,19540224, -100,    0
  1058,  9487,19540225, -137,    0
  1058,  9487,19540226, -151,    0
