EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PADUN, RUSSIAN FEDERATION (STAID: 1069)
Blended and updated with sources:6796 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1069,  6796,19950101,-9999,    9
  1069,  6796,19950102,-9999,    9
  1069,  6796,19950103,-9999,    9
  1069,  6796,19950104,-9999,    9
  1069,  6796,19950105,-9999,    9
  1069,  6796,19950106,-9999,    9
  1069,  6796,19950107,-9999,    9
  1069,  6796,19950108,-9999,    9
  1069,  6796,19950109,-9999,    9
  1069,  6796,19950110,-9999,    9
  1069,  6796,19950111,-9999,    9
  1069,  6796,19950112,-9999,    9
  1069,  6796,19950113,-9999,    9
  1069,  6796,19950114,-9999,    9
  1069,  6796,19950115,-9999,    9
  1069,  6796,19950116,-9999,    9
  1069,  6796,19950117,  -12,    0
  1069,  6796,19950118,-9999,    9
  1069,  6796,19950119,-9999,    9
  1069,  6796,19950120,-9999,    9
  1069,  6796,19950121,  -92,    0
  1069,  6796,19950122,-9999,    9
  1069,  6796,19950123, -118,    0
  1069,  6796,19950124,  -66,    0
  1069,  6796,19950125,-9999,    9
  1069,  6796,19950126,  -76,    0
  1069,  6796,19950127,-9999,    9
  1069,  6796,19950128,  -88,    0
  1069,  6796,19950129,-9999,    9
  1069,  6796,19950130,-9999,    9
  1069,  6796,19950131,-9999,    9
  1069,  6796,19950201, -110,    0
  1069,  6796,19950202,-9999,    9
  1069,  6796,19950203,-9999,    9
  1069,  6796,19950204,-9999,    9
  1069,  6796,19950205, -116,    0
  1069,  6796,19950206, -116,    0
  1069,  6796,19950207,-9999,    9
  1069,  6796,19950208,-9999,    9
  1069,  6796,19950209, -174,    0
  1069,  6796,19950210,-9999,    9
  1069,  6796,19950211,-9999,    9
  1069,  6796,19950212,-9999,    9
  1069,  6796,19950213,-9999,    9
  1069,  6796,19950214,-9999,    9
  1069,  6796,19950215,-9999,    9
  1069,  6796,19950216,  -21,    1
  1069,  6796,19950217,  -11,    1
  1069,  6796,19950218,-9999,    9
  1069,  6796,19950219,  -12,    1
  1069,  6796,19950220,-9999,    9
  1069,  6796,19950221,-9999,    9
  1069,  6796,19950222,-9999,    9
  1069,  6796,19950223,-9999,    9
  1069,  6796,19950224,  -44,    1
  1069,  6796,19950225,  -36,    1
  1069,  6796,19950226,  -15,    1
  1069,  6796,19950227,-9999,    9
  1069,  6796,19950228,  -46,    0
  1069,  6796,19950301,  -35,    0
  1069,  6796,19950302,-9999,    9
  1069,  6796,19950303,  -38,    0
  1069,  6796,19950304,-9999,    9
  1069,  6796,19950305,  -88,    0
  1069,  6796,19950306,  -50,    0
  1069,  6796,19950307,-9999,    9
  1069,  6796,19950308,-9999,    9
  1069,  6796,19950309,  -79,    0
  1069,  6796,19950310,  -94,    0
  1069,  6796,19950311,-9999,    9
  1069,  6796,19950312,    0,    0
  1069,  6796,19950313,   36,    0
  1069,  6796,19950314,-9999,    9
  1069,  6796,19950315,-9999,    9
  1069,  6796,19950316,-9999,    9
  1069,  6796,19950317,  -46,    0
  1069,  6796,19950318,  -26,    0
  1069,  6796,19950319,  -25,    0
  1069,  6796,19950320,  -25,    0
  1069,  6796,19950321,  -23,    0
  1069,  6796,19950322,-9999,    9
  1069,  6796,19950323,-9999,    9
  1069,  6796,19950324,-9999,    9
  1069,  6796,19950325,  -14,    0
  1069,  6796,19950326,  -36,    1
  1069,  6796,19950327,  -62,    1
  1069,  6796,19950328,  -61,    1
  1069,  6796,19950329,  -36,    1
  1069,  6796,19950330,  -32,    1
  1069,  6796,19950331,-9999,    9
  1069,  6796,19950401,-9999,    9
  1069,  6796,19950402,-9999,    9
  1069,  6796,19950403,  -54,    1
  1069,  6796,19950404,-9999,    9
  1069,  6796,19950405,-9999,    9
  1069,  6796,19950406,  -66,    0
  1069,  6796,19950407,-9999,    9
  1069,  6796,19950408,-9999,    9
  1069,  6796,19950409,  -70,    0
  1069,  6796,19950410,  -16,    0
  1069,  6796,19950411,    2,    0
  1069,  6796,19950412,   -4,    0
  1069,  6796,19950413,   -5,    0
  1069,  6796,19950414,   38,    0
  1069,  6796,19950415,   26,    0
  1069,  6796,19950416,    9,    0
  1069,  6796,19950417,   26,    0
  1069,  6796,19950418,   36,    0
  1069,  6796,19950419,   31,    0
  1069,  6796,19950420,   44,    0
  1069,  6796,19950421,   52,    0
  1069,  6796,19950422,-9999,    9
  1069,  6796,19950423,    9,    0
  1069,  6796,19950424,-9999,    9
