EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ABRAMOVSKIJ_MAJAK, RUSSIAN FEDERATION (STAID: 1086)
Blended and updated with sources:6805 922365 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1086,922365,19950101,  -44,    0
  1086,  6805,19950102,  -54,    0
  1086,922365,19950103,  -40,    0
  1086,  6805,19950104,  -74,    0
  1086,  6805,19950105,-9999,    9
  1086,922365,19950106,  -36,    0
  1086,922365,19950107,  -23,    0
  1086,922365,19950108,  -20,    0
  1086,922365,19950109,  -14,    0
  1086,  6805,19950110,  -36,    0
  1086,922365,19950111,  -34,    0
  1086,922365,19950112,  -97,    0
  1086,922365,19950113,  -94,    0
  1086,922365,19950114, -135,    0
  1086,922365,19950115,  -72,    0
  1086,  6805,19950116,-9999,    9
  1086,922365,19950117,  -43,    0
  1086,922365,19950118,   15,    0
  1086,  6805,19950119,  -38,    0
  1086,922365,19950120,  -82,    0
  1086,922365,19950121,  -98,    0
  1086,922365,19950122, -115,    0
  1086,922365,19950123, -173,    0
  1086,  6805,19950124, -135,    0
  1086,  6805,19950125,  -76,    0
  1086,922365,19950126,  -36,    0
  1086,922365,19950127,  -27,    0
  1086,  6805,19950128,  -26,    0
  1086,  6805,19950129,-9999,    9
  1086,922365,19950130,  -66,    0
  1086,922365,19950131,  -35,    0
  1086,922365,19950201,  -52,    0
  1086,922365,19950202, -142,    0
  1086,  6805,19950203, -124,    0
  1086,922365,19950204, -118,    0
  1086,922365,19950205,  -56,    0
  1086,922365,19950206, -121,    0
  1086,922365,19950207,  -56,    0
  1086,922365,19950208, -126,    0
  1086,922365,19950209, -152,    0
  1086,  6805,19950210, -138,    0
  1086,922365,19950211, -126,    0
  1086,  6805,19950212, -152,    0
  1086,922365,19950213, -125,    0
  1086,922365,19950214,  -59,    0
  1086,  6805,19950215,-9999,    9
