EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BELYJ, RUSSIAN FEDERATION (STAID: 1165)
Blended and updated with sources:6836 926585 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1165,  6836,19950101,-9999,    9
  1165,  6836,19950102,-9999,    9
  1165,926585,19950103,  -41,    0
  1165,926585,19950104, -109,    0
  1165,  6836,19950105,  -93,    0
  1165,926585,19950106, -136,    0
  1165,926585,19950107,  -64,    0
  1165,926585,19950108, -130,    0
  1165,926585,19950109,  -65,    0
  1165,  6836,19950110,-9999,    9
  1165,  6836,19950111,  -86,    0
  1165,  6836,19950112,  -44,    0
  1165,926585,19950113,  -45,    1
  1165,  6836,19950114,  -48,    0
  1165,926585,19950115,  -63,    0
  1165,  6836,19950116,  -42,    0
  1165,  6836,19950117,-9999,    9
  1165,  6836,19950118, -150,    0
  1165,  6836,19950119, -130,    0
  1165,  6836,19950120, -138,    0
  1165,  6836,19950121,-9999,    9
  1165,  6836,19950122, -148,    0
  1165,926585,19950123, -118,    0
  1165,926585,19950124,  -37,    0
  1165,926585,19950125,  -45,    0
  1165,  6836,19950126,  -14,    0
  1165,  6836,19950127,   10,    0
  1165,926585,19950128,  -10,    0
  1165,926585,19950129,   -7,    0
  1165,  6836,19950130,   62,    0
  1165,926585,19950131,   10,    0
  1165,926585,19950201,  -98,    0
  1165,  6836,19950202,  -26,    0
  1165,926585,19950203,  -13,    0
  1165,926585,19950204,  -46,    0
  1165,  6836,19950205,   -9,    0
  1165,926585,19950206,   -7,    0
  1165,  6836,19950207,   12,    0
  1165,926585,19950208,  -48,    0
  1165,926585,19950209,  -50,    0
  1165,926585,19950210,  -52,    0
  1165,  6836,19950211,  -26,    0
  1165,  6836,19950212,  -36,    0
  1165,  6836,19950213,   -8,    0
  1165,926585,19950214,   33,    0
  1165,  6836,19950215,    8,    0
  1165,  6836,19950216,    7,    0
  1165,926585,19950217,    8,    0
  1165,  6836,19950218,   14,    0
  1165,926585,19950219,   15,    0
  1165,  6836,19950220,    2,    0
  1165,926585,19950221,    8,    0
  1165,  6836,19950222,   -8,    0
  1165,  6836,19950223,-9999,    9
  1165,  6836,19950224,    4,    0
  1165,  6836,19950225,    6,    0
  1165,  6836,19950226,    0,    0
  1165,926585,19950227,    0,    0
  1165,  6836,19950228,  -40,    0
  1165,  6836,19950301,   20,    0
  1165,  6836,19950302,-9999,    9
  1165,926585,19950303,   45,    0
  1165,  6836,19950304,   22,    0
  1165,  6836,19950305,   48,    0
  1165,  6836,19950306,   57,    0
  1165,  6836,19950307,   72,    0
  1165,  6836,19950308,   20,    0
  1165,  6836,19950309,   30,    0
  1165,  6836,19950310,   30,    0
  1165,926585,19950311,   23,    0
  1165,926585,19950312,  -39,    0
  1165,  6836,19950313,  -74,    0
  1165,  6836,19950314,  -68,    0
  1165,  6836,19950315,  -30,    0
  1165,  6836,19950316,  -40,    0
  1165,  6836,19950317,  -29,    0
  1165,926585,19950318,  -19,    0
  1165,  6836,19950319,   12,    0
  1165,926585,19950320,   20,    0
  1165,  6836,19950321,   20,    0
  1165,  6836,19950322,    5,    0
  1165,  6836,19950323,    4,    0
  1165,  6836,19950324,   14,    0
  1165,  6836,19950325,   34,    0
  1165,926585,19950326,   27,    0
  1165,  6836,19950327,   12,    0
  1165,  6836,19950328,-9999,    9
  1165,  6836,19950329,  -16,    0
  1165,  6836,19950330,   -2,    0
  1165,  6836,19950331,    7,    0
  1165,  6836,19950401,    4,    0
  1165,  6836,19950402,   -2,    0
  1165,  6836,19950403,    1,    0
  1165,  6836,19950404,   -2,    0
  1165,926585,19950405,   17,    0
  1165,  6836,19950406,    9,    0
  1165,  6836,19950407,   24,    0
  1165,  6836,19950408,   -4,    0
  1165,  6836,19950409,-9999,    9
  1165,  6836,19950410,   30,    0
  1165,  6836,19950411,   24,    0
  1165,  6836,19950412,   58,    0
  1165,  6836,19950413,   46,    0
  1165,  6836,19950414,   39,    0
  1165,  6836,19950415,-9999,    9
  1165,  6836,19950416,   74,    0
  1165,  6836,19950417,   86,    0
  1165,  6836,19950418,  109,    0
  1165,926585,19950419,  106,    0
  1165,926585,19950420,  141,    0
  1165,  6836,19950421,  158,    0
  1165,  6836,19950422,  149,    0
  1165,  6836,19950423,-9999,    9
  1165,  6836,19950424,  170,    0
  1165,  6836,19950425,  171,    0
