EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VLADIMIR, RUSSIAN FEDERATION (STAID: 1218)
Blended and updated with sources:6853 927532 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1218,  6853,19950101,-9999,    9
  1218,  6853,19950102,-9999,    9
  1218,927532,19950103,  -19,    0
  1218,927532,19950104,  -71,    0
  1218,927532,19950105,  -75,    0
  1218,927532,19950106,  -42,    0
  1218,927532,19950107,  -99,    0
  1218,927532,19950108,  -98,    0
  1218,927532,19950109,  -80,    0
  1218,927532,19950110, -131,    0
  1218,927532,19950111,  -86,    0
  1218,927532,19950112,  -59,    0
  1218,  6853,19950113,-9999,    9
  1218,  6853,19950114,  -48,    0
  1218,927532,19950115,  -72,    0
  1218,927532,19950116,  -91,    0
  1218,  6853,19950117,-9999,    9
  1218,  6853,19950118, -182,    0
  1218,  6853,19950119, -188,    0
  1218,  6853,19950120, -156,    0
  1218,  6853,19950121, -152,    0
  1218,  6853,19950122,-9999,    9
  1218,  6853,19950123, -108,    0
  1218,927532,19950124,  -90,    0
  1218,  6853,19950125,-9999,    9
  1218,927532,19950126,  -21,    0
  1218,  6853,19950127,-9999,    9
  1218,927532,19950128,    7,    0
  1218,  6853,19950129,-9999,    9
  1218,  6853,19950130,   -9,    0
  1218,  6853,19950131,-9999,    9
  1218,927532,19950201,  -32,    0
  1218,  6853,19950202,-9999,    9
  1218,  6853,19950203,  -10,    0
  1218,927532,19950204,  -82,    0
  1218,  6853,19950205,  -49,    0
  1218,927532,19950206,  -24,    0
  1218,927532,19950207,   -5,    0
  1218,927532,19950208,  -14,    0
  1218,  6853,19950209,  -64,    0
  1218,927532,19950210,  -21,    1
  1218,  6853,19950211,  -30,    0
  1218,927532,19950212,  -37,    0
  1218,  6853,19950213,  -70,    0
  1218,927532,19950214,  -22,    0
  1218,927532,19950215,   17,    0
  1218,927532,19950216,   -1,    0
  1218,  6853,19950217,  -11,    0
  1218,927532,19950218,   -4,    0
  1218,  6853,19950219,   10,    0
  1218,927532,19950220,    8,    0
