EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FALSTERBO, SWEDEN (STAID: 1418)
Blended and updated with sources:35126 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1418, 35126,19481231,   28,    1
  1418, 35126,19490101,   38,    1
  1418, 35126,19490102,   49,    1
  1418, 35126,19490103,   41,    1
  1418, 35126,19490104,   22,    1
  1418, 35126,19490105,   14,    1
  1418, 35126,19490106,   37,    1
  1418, 35126,19490107,   46,    1
  1418, 35126,19490108,   40,    1
  1418, 35126,19490109,   19,    1
  1418, 35126,19490110,   14,    1
  1418, 35126,19490111,   21,    1
  1418, 35126,19490112,   29,    1
  1418, 35126,19490113,   21,    1
  1418, 35126,19490114,   45,    1
  1418, 35126,19490115,   35,    1
  1418, 35126,19490116,   12,    1
  1418, 35126,19490117,   30,    1
  1418, 35126,19490118,   45,    1
  1418, 35126,19490119,   58,    1
  1418, 35126,19490120,   47,    1
  1418, 35126,19490121,   27,    1
  1418, 35126,19490122,  -45,    1
  1418, 35126,19490123,   11,    1
  1418, 35126,19490124,   31,    1
  1418, 35126,19490125,   26,    1
  1418, 35126,19490126,   -6,    1
  1418, 35126,19490127,   14,    1
  1418, 35126,19490128,   31,    1
  1418, 35126,19490129,   15,    1
  1418, 35126,19490130,   43,    1
  1418, 35126,19490131,   21,    1
  1418, 35126,19490201,   -2,    1
  1418, 35126,19490202,   -5,    1
  1418, 35126,19490203,   27,    1
  1418, 35126,19490204,   44,    1
  1418, 35126,19490205,   23,    1
  1418, 35126,19490206,   14,    1
  1418, 35126,19490207,   -8,    1
  1418, 35126,19490208,   15,    1
  1418, 35126,19490209,   25,    1
  1418, 35126,19490210,   29,    1
  1418, 35126,19490211,   15,    1
  1418, 35126,19490212,    7,    1
  1418, 35126,19490213,   11,    1
  1418, 35126,19490214,   36,    1
  1418, 35126,19490215,   46,    1
  1418, 35126,19490216,   48,    1
  1418, 35126,19490217,   45,    1
  1418, 35126,19490218,   31,    1
  1418, 35126,19490219,   25,    1
  1418, 35126,19490220,   28,    1
  1418, 35126,19490221,   52,    1
  1418, 35126,19490222,   48,    1
  1418, 35126,19490223,   56,    1
  1418, 35126,19490224,   39,    1
  1418, 35126,19490225,   42,    1
  1418, 35126,19490226,   40,    1
  1418, 35126,19490227,   30,    1
  1418, 35126,19490228,   19,    1
  1418, 35126,19490301,    3,    1
  1418, 35126,19490302,  -33,    1
  1418, 35126,19490303,  -23,    1
  1418, 35126,19490304,  -38,    1
  1418, 35126,19490305,  -55,    1
  1418, 35126,19490306,  -24,    1
  1418, 35126,19490307,  -25,    1
  1418, 35126,19490308,  -16,    1
  1418, 35126,19490309,   -2,    1
  1418, 35126,19490310,    3,    1
  1418, 35126,19490311,    4,    1
  1418, 35126,19490312,    6,    1
  1418, 35126,19490313,   32,    1
  1418, 35126,19490314,   34,    1
  1418, 35126,19490315,   33,    1
  1418, 35126,19490316,   11,    1
  1418, 35126,19490317,   17,    1
  1418, 35126,19490318,   10,    1
  1418, 35126,19490319,    4,    1
  1418, 35126,19490320,   22,    1
  1418, 35126,19490321,   21,    1
  1418, 35126,19490322,   35,    1
  1418, 35126,19490323,   42,    1
  1418, 35126,19490324,   49,    1
  1418, 35126,19490325,   48,    1
  1418, 35126,19490326,   54,    1
  1418, 35126,19490327,   45,    1
  1418, 35126,19490328,   43,    1
  1418, 35126,19490329,   48,    1
  1418, 35126,19490330,   55,    1
  1418, 35126,19490331,   46,    1
  1418, 35126,19490401,   35,    1
  1418, 35126,19490402,   24,    1
  1418, 35126,19490403,   48,    1
  1418, 35126,19490404,   72,    1
  1418, 35126,19490405,   69,    1
  1418, 35126,19490406,   56,    1
  1418, 35126,19490407,   50,    1
