EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HOBURG, SWEDEN (STAID: 1420)
Blended and updated with sources:35402 902679 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1420, 35402,19490101,   35,    1
  1420, 35402,19490102,   40,    1
  1420, 35402,19490103,   41,    1
  1420, 35402,19490104,   22,    1
  1420, 35402,19490105,   23,    1
  1420, 35402,19490106,   38,    1
  1420, 35402,19490107,   43,    1
  1420, 35402,19490108,   38,    1
  1420, 35402,19490109,   -2,    1
  1420, 35402,19490110,    7,    1
  1420, 35402,19490111,   20,    1
  1420, 35402,19490112,   30,    1
  1420, 35402,19490113,   -3,    1
  1420, 35402,19490114,   36,    1
  1420, 35402,19490115,   23,    1
  1420, 35402,19490116,  -34,    1
  1420, 35402,19490117,  -18,    1
  1420, 35402,19490118,   30,    1
  1420, 35402,19490119,   38,    1
  1420, 35402,19490120,   36,    1
  1420, 35402,19490121,   -6,    1
  1420, 35402,19490122,  -35,    1
  1420, 35402,19490123,  -14,    1
  1420, 35402,19490124,   30,    1
  1420, 35402,19490125,   28,    1
  1420, 35402,19490126,   18,    1
  1420, 35402,19490127,    5,    1
  1420, 35402,19490128,   37,    1
  1420, 35402,19490129,   27,    1
  1420, 35402,19490130,   33,    1
  1420, 35402,19490131,    0,    0
  1420, 35402,19490201,  -30,    1
  1420, 35402,19490202,  -26,    1
  1420, 35402,19490203,   23,    1
  1420, 35402,19490204,   34,    1
  1420, 35402,19490205,   19,    1
  1420, 35402,19490206,   13,    1
  1420, 35402,19490207,   12,    1
  1420, 35402,19490208,    4,    1
  1420, 35402,19490209,   24,    1
  1420, 35402,19490210,   11,    1
  1420, 35402,19490211,    8,    1
  1420, 35402,19490212,   -2,    1
  1420, 35402,19490213,    7,    1
  1420, 35402,19490214,   26,    1
  1420, 35402,19490215,   30,    1
  1420, 35402,19490216,   47,    1
  1420, 35402,19490217,   47,    1
  1420, 35402,19490218,   29,    1
  1420, 35402,19490219,   23,    1
