EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BORAS, SWEDEN (STAID: 1422)
Blended and updated with sources:35615 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1422, 35615,19610101,   -2,    0
  1422, 35615,19610102,    7,    0
  1422, 35615,19610103,   10,    0
  1422, 35615,19610104,    7,    0
  1422, 35615,19610105,    8,    0
  1422, 35615,19610106,    7,    0
  1422, 35615,19610107,   -1,    0
  1422, 35615,19610108,  -17,    0
  1422, 35615,19610109,   -5,    0
  1422, 35615,19610110,   -5,    0
  1422, 35615,19610111,  -36,    0
  1422, 35615,19610112,  -66,    0
  1422, 35615,19610113,   21,    0
  1422, 35615,19610114,   -6,    0
  1422, 35615,19610115,   11,    0
  1422, 35615,19610116,  -35,    0
  1422, 35615,19610117,  -31,    0
  1422, 35615,19610118,  -54,    0
  1422, 35615,19610119,  -68,    0
  1422, 35615,19610120,  -52,    0
  1422, 35615,19610121,  -61,    0
  1422, 35615,19610122,  -71,    0
  1422, 35615,19610123,  -44,    0
  1422, 35615,19610124,  -71,    0
  1422, 35615,19610125, -115,    0
  1422, 35615,19610126,  -89,    0
  1422, 35615,19610127,  -58,    0
  1422, 35615,19610128,   -2,    0
  1422, 35615,19610129,    6,    0
  1422, 35615,19610130,   37,    0
  1422, 35615,19610131,   22,    0
  1422, 35615,19610201,   16,    0
  1422, 35615,19610202,    6,    0
  1422, 35615,19610203,  -23,    0
  1422, 35615,19610204,  -60,    0
  1422, 35615,19610205,  -80,    0
  1422, 35615,19610206,   -1,    0
  1422, 35615,19610207,   27,    0
  1422, 35615,19610208,    1,    0
  1422, 35615,19610209,    7,    0
  1422, 35615,19610210,   12,    0
  1422, 35615,19610211,   28,    0
  1422, 35615,19610212,   16,    0
  1422, 35615,19610213,    3,    0
  1422, 35615,19610214,   50,    0
  1422, 35615,19610215,   28,    0
  1422, 35615,19610216,   40,    0
  1422, 35615,19610217,   41,    0
  1422, 35615,19610218,   24,    0
  1422, 35615,19610219,   40,    0
  1422, 35615,19610220,   26,    0
  1422, 35615,19610221,   31,    0
  1422, 35615,19610222,   17,    0
  1422, 35615,19610223,   -6,    0
  1422, 35615,19610224,  -14,    0
  1422, 35615,19610225,   28,    0
  1422, 35615,19610226,   39,    0
  1422, 35615,19610227,   57,    0
  1422, 35615,19610228,   33,    0
  1422, 35615,19610301,   22,    0
  1422, 35615,19610302,    4,    0
  1422, 35615,19610303,   44,    0
  1422, 35615,19610304,   43,    0
  1422, 35615,19610305,   31,    0
  1422, 35615,19610306,   66,    0
  1422, 35615,19610307,   72,    0
  1422, 35615,19610308,   35,    0
  1422, 35615,19610309,   89,    0
  1422, 35615,19610310,   57,    0
  1422, 35615,19610311,   58,    0
  1422, 35615,19610312,   64,    0
  1422, 35615,19610313,   35,    0
  1422, 35615,19610314,   56,    0
  1422, 35615,19610315,   64,    0
  1422, 35615,19610316,   78,    0
  1422, 35615,19610317,   59,    0
  1422, 35615,19610318,   32,    0
  1422, 35615,19610319,  -22,    0
  1422, 35615,19610320,  -23,    0
  1422, 35615,19610321,   -8,    0
  1422, 35615,19610322,   -8,    0
  1422, 35615,19610323,   55,    0
  1422, 35615,19610324,   60,    0
  1422, 35615,19610325,   68,    0
  1422, 35615,19610326,   52,    0
  1422, 35615,19610327,   22,    0
  1422, 35615,19610328,   14,    0
  1422, 35615,19610329,   25,    0
  1422, 35615,19610330,   16,    0
  1422, 35615,19610331,  -11,    0
  1422, 35615,19610401,   -5,    0
  1422, 35615,19610402,    9,    0
  1422, 35615,19610403,  -18,    0
  1422, 35615,19610404,   -3,    0
  1422, 35615,19610405,  -14,    0
  1422, 35615,19610406,   43,    0
  1422, 35615,19610407,   58,    0
  1422, 35615,19610408,   32,    0
  1422, 35615,19610409,   22,    0
  1422, 35615,19610410,   26,    0
  1422, 35615,19610411,   47,    0
  1422, 35615,19610412,   66,    0
  1422, 35615,19610413,   88,    0
  1422, 35615,19610414,   82,    0
  1422, 35615,19610415,   82,    0
  1422, 35615,19610416,   83,    0
  1422, 35615,19610417,   95,    0
  1422, 35615,19610418,   62,    0
  1422, 35615,19610419,   54,    0
  1422, 35615,19610420,   69,    0
  1422, 35615,19610421,   68,    0
  1422, 35615,19610422,  100,    0
  1422, 35615,19610423,  128,    0
  1422, 35615,19610424,  139,    0
  1422, 35615,19610425,  137,    0
  1422, 35615,19610426,  126,    0
  1422, 35615,19610427,  118,    0
  1422, 35615,19610428,   85,    0
  1422, 35615,19610429,   80,    0
  1422, 35615,19610430,   78,    0
  1422, 35615,19610501,  100,    0
  1422, 35615,19610502,   85,    0
  1422, 35615,19610503,   86,    0
  1422, 35615,19610504,  101,    0
  1422, 35615,19610505,   93,    0
  1422, 35615,19610506,   93,    0
  1422, 35615,19610507,   89,    0
  1422, 35615,19610508,   92,    0
  1422, 35615,19610509,   84,    0
  1422, 35615,19610510,   85,    0
  1422, 35615,19610511,   90,    0
  1422, 35615,19610512,   99,    0
  1422, 35615,19610513,   89,    0
  1422, 35615,19610514,   75,    0
  1422, 35615,19610515,   93,    0
  1422, 35615,19610516,   92,    0
  1422, 35615,19610517,  104,    0
  1422, 35615,19610518,  116,    0
  1422, 35615,19610519,   96,    0
  1422, 35615,19610520,   73,    0
  1422, 35615,19610521,  100,    0
  1422, 35615,19610522,  103,    0
  1422, 35615,19610523,  108,    0
  1422, 35615,19610524,  106,    0
  1422, 35615,19610525,  103,    0
  1422, 35615,19610526,   96,    0
  1422, 35615,19610527,   88,    0
  1422, 35615,19610528,   91,    0
  1422, 35615,19610529,   91,    0
  1422, 35615,19610530,  148,    0
  1422, 35615,19610531,  159,    0
  1422, 35615,19610601,  135,    0
  1422, 35615,19610602,  152,    0
  1422, 35615,19610603,  193,    0
  1422, 35615,19610604,  191,    0
  1422, 35615,19610605,  193,    0
  1422, 35615,19610606,  201,    0
  1422, 35615,19610607,  187,    0
  1422, 35615,19610608,  177,    0
  1422, 35615,19610609,  156,    0
  1422, 35615,19610610,  132,    0
  1422, 35615,19610611,  143,    0
  1422, 35615,19610612,  139,    0
  1422, 35615,19610613,  141,    0
  1422, 35615,19610614,  137,    0
  1422, 35615,19610615,  163,    0
  1422, 35615,19610616,  166,    0
  1422, 35615,19610617,  147,    0
  1422, 35615,19610618,  150,    0
  1422, 35615,19610619,  131,    0
  1422, 35615,19610620,  125,    0
  1422, 35615,19610621,  131,    0
  1422, 35615,19610622,  126,    0
  1422, 35615,19610623,  122,    0
  1422, 35615,19610624,  128,    0
  1422, 35615,19610625,  133,    0
  1422, 35615,19610626,  131,    0
  1422, 35615,19610627,  128,    0
  1422, 35615,19610628,  132,    0
  1422, 35615,19610629,  154,    0
  1422, 35615,19610630,  169,    0
  1422, 35615,19610701,  180,    0
  1422, 35615,19610702,  206,    0
  1422, 35615,19610703,  171,    0
  1422, 35615,19610704,  130,    0
  1422, 35615,19610705,  123,    0
  1422, 35615,19610706,  121,    0
  1422, 35615,19610707,  133,    0
  1422, 35615,19610708,  129,    0
  1422, 35615,19610709,  131,    0
  1422, 35615,19610710,  130,    0
  1422, 35615,19610711,  137,    0
  1422, 35615,19610712,  150,    0
  1422, 35615,19610713,  149,    0
  1422, 35615,19610714,  148,    0
  1422, 35615,19610715,  135,    0
  1422, 35615,19610716,  149,    0
  1422, 35615,19610717,  153,    0
  1422, 35615,19610718,  159,    0
  1422, 35615,19610719,  143,    0
  1422, 35615,19610720,  155,    0
  1422, 35615,19610721,  170,    0
  1422, 35615,19610722,  169,    0
  1422, 35615,19610723,  154,    0
  1422, 35615,19610724,  158,    0
  1422, 35615,19610725,  148,    0
  1422, 35615,19610726,  137,    0
  1422, 35615,19610727,  127,    0
  1422, 35615,19610728,  123,    0
  1422, 35615,19610729,  162,    0
  1422, 35615,19610730,  159,    0
  1422, 35615,19610731,  163,    0
  1422, 35615,19610801,  140,    0
  1422, 35615,19610802,  154,    0
  1422, 35615,19610803,  139,    0
  1422, 35615,19610804,  112,    0
  1422, 35615,19610805,  144,    0
  1422, 35615,19610806,  146,    0
  1422, 35615,19610807,  126,    0
  1422, 35615,19610808,  143,    0
  1422, 35615,19610809,  154,    0
  1422, 35615,19610810,  140,    0
  1422, 35615,19610811,  140,    0
  1422, 35615,19610812,  136,    0
  1422, 35615,19610813,  136,    0
  1422, 35615,19610814,  118,    0
  1422, 35615,19610815,  118,    0
  1422, 35615,19610816,  114,    0
  1422, 35615,19610817,  125,    0
  1422, 35615,19610818,  132,    0
  1422, 35615,19610819,  131,    0
  1422, 35615,19610820,  121,    0
  1422, 35615,19610821,  125,    0
  1422, 35615,19610822,  133,    0
  1422, 35615,19610823,  120,    0
  1422, 35615,19610824,  119,    0
  1422, 35615,19610825,  109,    0
  1422, 35615,19610826,  113,    0
  1422, 35615,19610827,  151,    0
  1422, 35615,19610828,  143,    0
  1422, 35615,19610829,  163,    0
  1422, 35615,19610830,  160,    0
  1422, 35615,19610831,  176,    0
  1422, 35615,19610901,  170,    0
  1422, 35615,19610902,  155,    0
  1422, 35615,19610903,  131,    0
  1422, 35615,19610904,  122,    0
  1422, 35615,19610905,  130,    0
  1422, 35615,19610906,  131,    0
  1422, 35615,19610907,  130,    0
  1422, 35615,19610908,  121,    0
  1422, 35615,19610909,  113,    0
  1422, 35615,19610910,  110,    0
  1422, 35615,19610911,  136,    0
  1422, 35615,19610912,  132,    0
  1422, 35615,19610913,  114,    0
