EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VAN, TURKEY (STAID: 1439)
Blended and updated with sources:6898 917170 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1439,  6898,19570701,  208,    0
  1439,  6898,19570702,  220,    0
  1439,  6898,19570703,  128,    0
  1439,  6898,19570704,  120,    0
  1439,  6898,19570705,  164,    0
  1439,  6898,19570706,  170,    0
  1439,  6898,19570707,  180,    0
  1439,  6898,19570708,  200,    0
  1439,  6898,19570709,  192,    0
  1439,  6898,19570710,  214,    0
  1439,  6898,19570711,  208,    0
  1439,  6898,19570712,  200,    0
  1439,  6898,19570713,  206,    0
  1439,  6898,19570714,  197,    0
  1439,  6898,19570715,  200,    0
  1439,  6898,19570716,  170,    0
  1439,  6898,19570717,  200,    0
  1439,  6898,19570718,  220,    0
  1439,  6898,19570719,  200,    0
  1439,  6898,19570720,  200,    0
  1439,  6898,19570721,  220,    0
  1439,  6898,19570722,  230,    0
  1439,  6898,19570723,  208,    0
  1439,  6898,19570724,  214,    0
  1439,  6898,19570725,  225,    0
  1439,  6898,19570726,  214,    0
  1439,  6898,19570727,  214,    0
  1439,  6898,19570728,  208,    0
  1439,  6898,19570729,  222,    0
  1439,  6898,19570730,  242,    0
  1439,  6898,19570731,  256,    0
  1439,  6898,19570801,  258,    0
  1439,  6898,19570802,  250,    0
  1439,  6898,19570803,  250,    0
  1439,  6898,19570804,  253,    0
  1439,  6898,19570805,  244,    0
  1439,  6898,19570806,  256,    0
  1439,  6898,19570807,  230,    0
  1439,  6898,19570808,  184,    0
  1439,  6898,19570809,  206,    0
  1439,  6898,19570810,  206,    0
  1439,  6898,19570811,  220,    0
  1439,  6898,19570812,  220,    0
  1439,  6898,19570813,  214,    0
  1439,  6898,19570814,  200,    0
  1439,  6898,19570815,  192,    0
  1439,  6898,19570816,  170,    0
  1439,  6898,19570817,  189,    0
  1439,  6898,19570818,  200,    0
  1439,  6898,19570819,  194,    0
  1439,  6898,19570820,  206,    0
  1439,  6898,19570821,  208,    0
  1439,  6898,19570822,  206,    0
  1439,  6898,19570823,  211,    0
  1439,  6898,19570824,  208,    0
  1439,  6898,19570825,  194,    0
  1439,  6898,19570826,  200,    0
  1439,  6898,19570827,  200,    0
  1439,  6898,19570828,  186,    0
  1439,  6898,19570829,  197,    0
  1439,  6898,19570830,  208,    0
  1439,  6898,19570831,  206,    0
  1439,  6898,19570901,  200,    0
  1439,  6898,19570902,  211,    0
  1439,  6898,19570903,  220,    0
  1439,  6898,19570904,  203,    0
  1439,  6898,19570905,  206,    0
  1439,  6898,19570906,  206,    0
  1439,  6898,19570907,  208,    0
  1439,  6898,19570908,  192,    0
  1439,  6898,19570909,  208,    0
  1439,  6898,19570910,  203,    0
  1439,  6898,19570911,  192,    0
  1439,  6898,19570912,  192,    0
  1439,  6898,19570913,  170,    0
  1439,  6898,19570914,  175,    0
  1439,  6898,19570915,  186,    0
  1439,  6898,19570916,  175,    0
  1439,  6898,19570917,  197,    0
  1439,  6898,19570918,  180,    0
  1439,  6898,19570919,  175,    0
  1439,  6898,19570920,  170,    0
  1439,  6898,19570921,  170,    0
  1439,  6898,19570922,  170,    0
  1439,  6898,19570923,  170,    0
  1439,  6898,19570924,  175,    0
  1439,  6898,19570925,  175,    0
  1439,  6898,19570926,  170,    0
  1439,  6898,19570927,  158,    0
  1439,  6898,19570928,  136,    0
  1439,  6898,19570929,  144,    0
  1439,  6898,19570930,  136,    0
  1439,  6898,19571001,  156,    0
  1439,  6898,19571002,  161,    0
  1439,  6898,19571003,  139,    0
  1439,  6898,19571004,  144,    0
  1439,  6898,19571005,  150,    0
  1439,  6898,19571006,  144,    0
  1439,  6898,19571007,  150,    0
  1439,  6898,19571008,  130,    0
  1439,  6898,19571009,  125,    0
  1439,  6898,19571010,   84,    0
  1439,  6898,19571011,   50,    0
  1439,  6898,19571012,   44,    0
  1439,  6898,19571013,   44,    0
  1439,  6898,19571014,   70,    0
  1439,  6898,19571015,   86,    0
  1439,  6898,19571016,  100,    0
  1439,  6898,19571017,   94,    0
  1439,  6898,19571018,   94,    0
  1439,  6898,19571019,  106,    0
  1439,  6898,19571020,  100,    0
  1439,  6898,19571021,  103,    0
  1439,  6898,19571022,   84,    0
  1439,  6898,19571023,   75,    0
  1439,  6898,19571024,   94,    0
  1439,  6898,19571025,  100,    0
  1439,  6898,19571026,   94,    0
  1439,  6898,19571027,  106,    0
  1439,  6898,19571028,   86,    0
  1439,  6898,19571029,   84,    0
  1439,  6898,19571030,   94,    0
  1439,  6898,19571031,  106,    0
  1439,  6898,19571101,  111,    0
  1439,  6898,19571102,  111,    0
  1439,  6898,19571103,   80,    0
  1439,  6898,19571104,   92,    0
  1439,  6898,19571105,   66,    0
  1439,  6898,19571106,   72,    0
  1439,  6898,19571107,   89,    0
  1439,  6898,19571108,   72,    0
  1439,  6898,19571109,   66,    0
  1439,  6898,19571110,   72,    0
  1439,  6898,19571111,   75,    0
  1439,  6898,19571112,   75,    0
  1439,  6898,19571113,   94,    0
  1439,  6898,19571114,   97,    0
  1439,  6898,19571115,   75,    0
  1439,  6898,19571116,   70,    0
  1439,  6898,19571117,   50,    0
