EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station VLADIMIR-VOLYNSKIJ, UKRAINE (STAID: 1451)
Blended and updated with sources:6899 933177 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1451,933177,19950101,   29,    0
  1451,933177,19950102,   -1,    0
  1451,933177,19950103,  -16,    0
  1451,933177,19950104,  -54,    0
  1451,933177,19950105,  -87,    0
  1451,933177,19950106,  -54,    0
  1451,933177,19950107,  -31,    0
  1451,933177,19950108,  -35,    0
  1451,933177,19950109,  -29,    0
  1451,933177,19950110,  -23,    0
  1451,933177,19950111,  -10,    0
  1451,933177,19950112,  -30,    0
  1451,933177,19950113,  -33,    0
  1451,933177,19950114,  -48,    0
  1451,933177,19950115,  -72,    0
  1451,933177,19950116,  -11,    0
  1451,933177,19950117,  -76,    0
  1451,933177,19950118,  -73,    0
  1451,933177,19950119, -100,    0
  1451,933177,19950120,  -92,    0
  1451,933177,19950121, -104,    0
  1451,933177,19950122,  -72,    0
  1451,  6899,19950123,   -1,    0
  1451,  6899,19950124,   28,    0
  1451,933177,19950125,   33,    0
  1451,  6899,19950126,   34,    0
  1451,933177,19950127,   60,    0
  1451,  6899,19950128,   16,    0
  1451,  6899,19950129,   35,    0
  1451,  6899,19950130,   52,    0
  1451,933177,19950131,    4,    0
  1451,  6899,19950201,   -8,    0
  1451,  6899,19950202,   42,    0
  1451,933177,19950203,   13,    0
  1451,  6899,19950204,    2,    0
  1451,  6899,19950205,   14,    0
  1451,  6899,19950206,   20,    0
  1451,  6899,19950207,   52,    0
  1451,  6899,19950208,   30,    0
  1451,933177,19950209,   -9,    0
  1451,  6899,19950210,  -32,    0
  1451,  6899,19950211,  -14,    0
  1451,  6899,19950212,   60,    0
  1451,  6899,19950213,   60,    0
  1451,  6899,19950214,   51,    0
  1451,  6899,19950215,   42,    0
  1451,  6899,19950216,   54,    0
  1451,  6899,19950217,   65,    0
  1451,  6899,19950218,   52,    0
  1451,  6899,19950219,   34,    0
  1451,  6899,19950220,   26,    0
  1451,933177,19950221,   52,    0
  1451,933177,19950222,   48,    0
  1451,  6899,19950223,   26,    0
  1451,  6899,19950224,   35,    0
  1451,  6899,19950225,   46,    0
  1451,  6899,19950226,   22,    0
  1451,933177,19950227,   18,    0
  1451,  6899,19950228,   24,    0
  1451,  6899,19950301,   58,    0
  1451,  6899,19950302,   78,    0
  1451,  6899,19950303,   63,    0
  1451,  6899,19950304,   72,    0
  1451,  6899,19950305,   94,    0
  1451,  6899,19950306,   86,    0
  1451,933177,19950307,   54,    0
  1451,  6899,19950308,   22,    0
  1451,  6899,19950309,   46,    0
  1451,  6899,19950310,   27,    0
  1451,  6899,19950311,   14,    0
  1451,933177,19950312,   29,    0
  1451,933177,19950313,  -28,    0
  1451,  6899,19950314,  -58,    0
  1451,  6899,19950315,  -26,    0
  1451,  6899,19950316,   -3,    0
  1451,  6899,19950317,   26,    0
  1451,  6899,19950318,   45,    0
  1451,  6899,19950319,   34,    0
  1451,  6899,19950320,   34,    0
  1451,  6899,19950321,   35,    0
  1451,  6899,19950322,   21,    0
  1451,  6899,19950323,   21,    0
  1451,  6899,19950324,   38,    0
  1451,  6899,19950325,   72,    0
  1451,933177,19950326,   33,    0
  1451,  6899,19950327,   52,    0
  1451,  6899,19950328,   10,    0
  1451,  6899,19950329,   20,    0
  1451,  6899,19950330,   22,    0
  1451,  6899,19950331,    7,    0
  1451,  6899,19950401,    8,    0
  1451,  6899,19950402,   34,    0
  1451,  6899,19950403,   66,    0
  1451,933177,19950404,   98,    0
  1451,933177,19950405,   41,    0
  1451,  6899,19950406,   70,    0
  1451,  6899,19950407,   82,    0
  1451,933177,19950408,   55,    0
  1451,933177,19950409,   28,    0
  1451,933177,19950410,   13,    0
  1451,  6899,19950411,   14,    0
  1451,933177,19950412,   -1,    0
  1451,  6899,19950413,   14,    0
  1451,  6899,19950414,   58,    0
  1451,  6899,19950415,   85,    0
  1451,  6899,19950416,   80,    0
  1451,  6899,19950417,   54,    0
  1451,  6899,19950418,   66,    0
  1451,  6899,19950419,  116,    0
  1451,  6899,19950420,  128,    0
  1451,  6899,19950421,  140,    0
  1451,  6899,19950422,  162,    0
  1451,  6899,19950423,  142,    0
  1451,933177,19950424,  161,    0
  1451,  6899,19950425,  138,    0
  1451,  6899,19950426,  118,    0
  1451,  6899,19950427,  119,    0
  1451,  6899,19950428,  134,    0
  1451,933177,19950429,   85,    0
  1451,  6899,19950430,   70,    0
  1451,  6899,19950501,   72,    0
  1451,  6899,19950502,   49,    0
  1451,  6899,19950503,   70,    0
  1451,  6899,19950504,  101,    0
  1451,  6899,19950505,  112,    0
  1451,  6899,19950506,   94,    0
  1451,  6899,19950507,  116,    0
  1451,933177,19950508,  121,    0
  1451,933177,19950509,  106,    0
  1451,  6899,19950510,   90,    0
  1451,  6899,19950511,   92,    0
  1451,  6899,19950512,  104,    0
  1451,  6899,19950513,  163,    0
  1451,933177,19950514,  150,    0
  1451,  6899,19950515,   90,    0
  1451,  6899,19950516,   97,    0
  1451,  6899,19950517,  135,    0
  1451,  6899,19950518,  164,    0
  1451,  6899,19950519,  168,    0
  1451,  6899,19950520,  154,    0
  1451,  6899,19950521,  141,    0
  1451,  6899,19950522,  110,    0
  1451,  6899,19950523,  130,    0
  1451,  6899,19950524,  140,    0
  1451,  6899,19950525,  156,    0
  1451,  6899,19950526,  186,    0
  1451,  6899,19950527,  180,    0
  1451,  6899,19950528,  191,    0
  1451,  6899,19950529,  194,    0
  1451,  6899,19950530,  212,    0
  1451,  6899,19950531,  186,    0
  1451,  6899,19950601,  213,    0
  1451,933177,19950602,  230,    0
  1451,933177,19950603,  193,    0
  1451,  6899,19950604,  136,    0
  1451,933177,19950605,  171,    0
  1451,  6899,19950606,  164,    0
  1451,  6899,19950607,  168,    0
  1451,  6899,19950608,  196,    0
  1451,  6899,19950609,  196,    0
  1451,  6899,19950610,  203,    0
  1451,  6899,19950611,  186,    0
  1451,  6899,19950612,  204,    0
  1451,  6899,19950613,  202,    0
  1451,933177,19950614,  182,    0
  1451,  6899,19950615,  174,    0
  1451,  6899,19950616,  175,    0
  1451,  6899,19950617,  174,    0
  1451,  6899,19950618,  173,    0
  1451,  6899,19950619,  184,    0
  1451,  6899,19950620,  160,    0
  1451,  6899,19950621,  152,    0
  1451,933177,19950622,  162,    0
  1451,  6899,19950623,  128,    0
  1451,  6899,19950624,  136,    0
  1451,  6899,19950625,  160,    0
  1451,  6899,19950626,  181,    0
  1451,  6899,19950627,  183,    0
  1451,  6899,19950628,  198,    0
  1451,  6899,19950629,  175,    0
  1451,  6899,19950630,  188,    0
  1451,  6899,19950701,  184,    0
  1451,933177,19950702,  174,    0
  1451,  6899,19950703,  204,    0
  1451,933177,19950704,  235,    0
  1451,  6899,19950705,  176,    0
  1451,  6899,19950706,  167,    0
  1451,  6899,19950707,  150,    0
  1451,  6899,19950708,  178,    0
  1451,  6899,19950709,  226,    0
  1451,933177,19950710,  190,    0
  1451,  6899,19950711,  216,    0
  1451,  6899,19950712,  189,    0
  1451,933177,19950713,  136,    0
  1451,  6899,19950714,  210,    0
  1451,  6899,19950715,  220,    0
  1451,  6899,19950716,  236,    0
  1451,  6899,19950717,  222,    0
  1451,  6899,19950718,  212,    0
  1451,  6899,19950719,  204,    0
  1451,  6899,19950720,  197,    0
  1451,  6899,19950721,  210,    0
  1451,  6899,19950722,  240,    0
  1451,933177,19950723,  211,    0
  1451,  6899,19950724,  182,    0
  1451,  6899,19950725,  164,    0
  1451,  6899,19950726,  170,    0
  1451,  6899,19950727,  184,    0
  1451,  6899,19950728,  182,    0
  1451,  6899,19950729,  197,    0
  1451,  6899,19950730,  210,    0
  1451,  6899,19950731,  210,    0
