EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KONOTOP, UKRAINE (STAID: 1461)
Blended and updated with sources:6901 933261 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1461,933261,19950101,   22,    1
  1461,933261,19950102,    5,    0
  1461,  6901,19950103,  -25,    0
  1461,933261,19950104,  -41,    0
  1461,  6901,19950105,  -82,    0
  1461,  6901,19950106,  -80,    0
  1461,933261,19950107,  -58,    0
  1461,933261,19950108,  -63,    0
  1461,933261,19950109, -107,    0
  1461,  6901,19950110,  -56,    0
  1461,933261,19950111,  -29,    0
  1461,933261,19950112,  -34,    0
  1461,933261,19950113,  -48,    0
  1461,  6901,19950114,  -54,    0
  1461,  6901,19950115,-9999,    9
  1461,  6901,19950116,  -41,    0
  1461,933261,19950117,  -74,    0
  1461,  6901,19950118, -118,    0
  1461,  6901,19950119, -108,    0
  1461,  6901,19950120, -126,    0
  1461,  6901,19950121, -138,    0
  1461,  6901,19950122, -154,    0
  1461,933261,19950123, -112,    0
  1461,  6901,19950124,  -37,    0
  1461,933261,19950125,    7,    0
  1461,  6901,19950126,  -14,    0
  1461,  6901,19950127,    0,    0
  1461,933261,19950128,    0,    0
  1461,933261,19950129,  -22,    0
  1461,933261,19950130,   -3,    0
  1461,933261,19950131,    5,    0
  1461,933261,19950201,  -53,    0
  1461,  6901,19950202,  -38,    0
  1461,933261,19950203,    6,    0
  1461,  6901,19950204,  -56,    0
  1461,933261,19950205,  -20,    0
  1461,  6901,19950206,    8,    0
  1461,933261,19950207,   15,    0
  1461,933261,19950208,   14,    0
  1461,933261,19950209,    9,    0
  1461,  6901,19950210,  -28,    0
  1461,933261,19950211,  -29,    0
  1461,  6901,19950212,    6,    0
  1461,  6901,19950213,   37,    0
  1461,  6901,19950214,   28,    0
  1461,933261,19950215,   26,    0
  1461,  6901,19950216,    8,    0
  1461,933261,19950217,    4,    0
  1461,  6901,19950218,   16,    0
  1461,933261,19950219,   20,    0
  1461,  6901,19950220,   12,    0
  1461,  6901,19950221,   -2,    0
  1461,  6901,19950222,   30,    0
  1461,  6901,19950223,   28,    0
  1461,933261,19950224,   21,    0
  1461,933261,19950225,   30,    0
  1461,933261,19950226,   50,    0
  1461,  6901,19950227,   21,    0
  1461,  6901,19950228,    0,    0
  1461,  6901,19950301,   42,    0
  1461,933261,19950302,   85,    0
  1461,  6901,19950303,   64,    0
  1461,  6901,19950304,   93,    0
  1461,  6901,19950305,  106,    0
  1461,  6901,19950306,  110,    0
  1461,933261,19950307,  103,    0
  1461,  6901,19950308,   58,    0
  1461,  6901,19950309,-9999,    9
  1461,933261,19950310,   65,    0
  1461,933261,19950311,   53,    0
  1461,933261,19950312,  -20,    0
  1461,933261,19950313,  -83,    0
  1461,933261,19950314,  -43,    0
  1461,933261,19950315,  -28,    0
  1461,933261,19950316,  -34,    0
  1461,933261,19950317,  -22,    0
  1461,933261,19950318,   15,    0
  1461,  6901,19950319,   46,    0
  1461,933261,19950320,   54,    0
  1461,933261,19950321,   45,    0
  1461,933261,19950322,   16,    0
  1461,  6901,19950323,   10,    0
  1461,  6901,19950324,   16,    0
  1461,  6901,19950325,   35,    0
  1461,933261,19950326,   46,    0
  1461,  6901,19950327,   34,    0
  1461,933261,19950328,   47,    0
  1461,  6901,19950329,    2,    0
  1461,  6901,19950330,   22,    0
  1461,  6901,19950331,   23,    0
  1461,933261,19950401,   -5,    0
  1461,  6901,19950402,   18,    0
  1461,933261,19950403,   37,    0
  1461,933261,19950404,   45,    0
  1461,933261,19950405,   21,    0
  1461,  6901,19950406,   37,    0
  1461,  6901,19950407,   46,    0
  1461,933261,19950408,   78,    0
  1461,933261,19950409,   57,    0
  1461,  6901,19950410,   30,    0
  1461,  6901,19950411,   18,    0
  1461,  6901,19950412,   48,    0
  1461,  6901,19950413,   76,    0
  1461,  6901,19950414,   93,    0
  1461,  6901,19950415,   68,    0
  1461,  6901,19950416,   89,    0
  1461,  6901,19950417,   94,    0
  1461,  6901,19950418,  100,    0
  1461,  6901,19950419,  111,    0
  1461,  6901,19950420,  166,    0
  1461,  6901,19950421,  158,    0
  1461,  6901,19950422,  170,    0
  1461,  6901,19950423,  164,    0
  1461,  6901,19950424,  184,    0
  1461,933261,19950425,  186,    0
  1461,  6901,19950426,  134,    0
  1461,933261,19950427,  131,    0
  1461,  6901,19950428,  142,    0
  1461,  6901,19950429,  118,    0
  1461,  6901,19950430,   74,    0
  1461,  6901,19950501,   76,    0
  1461,  6901,19950502,   26,    0
  1461,  6901,19950503,   59,    0
  1461,  6901,19950504,   74,    0
  1461,  6901,19950505,  101,    0
  1461,  6901,19950506,  118,    0
  1461,  6901,19950507,  118,    0
  1461,933261,19950508,  127,    0
  1461,  6901,19950509,  112,    0
  1461,933261,19950510,  108,    0
  1461,  6901,19950511,   79,    0
  1461,  6901,19950512,  110,    0
  1461,  6901,19950513,  146,    0
  1461,  6901,19950514,  210,    0
  1461,933261,19950515,  182,    0
  1461,  6901,19950516,  104,    0
  1461,  6901,19950517,   99,    0
  1461,  6901,19950518,  146,    0
  1461,  6901,19950519,  150,    0
  1461,  6901,19950520,  170,    0
  1461,  6901,19950521,  168,    0
  1461,  6901,19950522,  181,    0
  1461,  6901,19950523,  178,    0
  1461,  6901,19950524,  207,    0
  1461,933261,19950525,  202,    0
  1461,  6901,19950526,  186,    0
  1461,  6901,19950527,  216,    0
  1461,  6901,19950528,  221,    0
  1461,  6901,19950529,  211,    0
  1461,  6901,19950530,  216,    0
  1461,  6901,19950531,  218,    0
  1461,  6901,19950601,  234,    0
  1461,  6901,19950602,  244,    0
  1461,  6901,19950603,  235,    0
  1461,  6901,19950604,  237,    0
  1461,  6901,19950605,  195,    0
