EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station UZHHOROD, UKRAINE (STAID: 1526)
Blended and updated with sources:6914 14316 17472 933631 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1526,  6914,19460101, -177,    0
  1526,  6914,19460102, -218,    0
  1526,  6914,19460103, -172,    0
  1526,  6914,19460104, -120,    0
  1526,  6914,19460105,  -28,    0
  1526,  6914,19460106,  -34,    0
  1526,  6914,19460107,  -57,    0
  1526,  6914,19460108,  -78,    0
  1526,  6914,19460109,  -85,    0
  1526,  6914,19460110,  -94,    0
  1526,  6914,19460111, -114,    0
  1526,  6914,19460112,  -76,    0
  1526,  6914,19460113,  -26,    0
  1526,  6914,19460114,   17,    0
  1526,  6914,19460115,    0,    0
  1526,  6914,19460116,  -18,    0
  1526,  6914,19460117,    0,    0
  1526,  6914,19460118,   -2,    0
  1526,  6914,19460119,   -6,    0
  1526,  6914,19460120,  -16,    0
  1526,  6914,19460121,  -32,    0
  1526,  6914,19460122,  -40,    0
  1526,  6914,19460123, -118,    0
  1526,  6914,19460124, -140,    0
  1526,  6914,19460125, -118,    0
  1526,  6914,19460126,  -82,    0
  1526,  6914,19460127,  -54,    0
  1526,  6914,19460128,    2,    0
  1526,  6914,19460129,   -8,    0
  1526,  6914,19460130,  -16,    0
  1526,  6914,19460131,  -36,    0
  1526, 17472,19460201,-9999,    9
  1526, 17472,19460202,-9999,    9
  1526, 17472,19460203,-9999,    9
  1526, 17472,19460204,-9999,    9
  1526, 17472,19460205,-9999,    9
  1526, 17472,19460206,-9999,    9
  1526, 17472,19460207,-9999,    9
  1526, 17472,19460208,-9999,    9
  1526, 17472,19460209,-9999,    9
  1526, 17472,19460210,-9999,    9
  1526, 17472,19460211,-9999,    9
  1526, 17472,19460212,-9999,    9
  1526, 17472,19460213,-9999,    9
  1526, 17472,19460214,-9999,    9
  1526, 17472,19460215,-9999,    9
  1526, 17472,19460216,-9999,    9
  1526, 17472,19460217,-9999,    9
  1526, 17472,19460218,-9999,    9
  1526, 17472,19460219,-9999,    9
  1526, 17472,19460220,-9999,    9
  1526, 17472,19460221,-9999,    9
  1526, 17472,19460222,-9999,    9
  1526, 17472,19460223,-9999,    9
  1526, 17472,19460224,-9999,    9
  1526, 17472,19460225,-9999,    9
  1526, 17472,19460226,-9999,    9
  1526, 17472,19460227,-9999,    9
  1526, 17472,19460228,-9999,    9
  1526, 17472,19460301,-9999,    9
  1526, 17472,19460302,-9999,    9
  1526, 17472,19460303,-9999,    9
  1526, 17472,19460304,-9999,    9
  1526, 17472,19460305,-9999,    9
  1526, 17472,19460306,-9999,    9
  1526, 17472,19460307,-9999,    9
  1526, 17472,19460308,-9999,    9
  1526, 17472,19460309,-9999,    9
  1526, 17472,19460310,-9999,    9
  1526, 17472,19460311,-9999,    9
  1526, 17472,19460312,-9999,    9
  1526, 17472,19460313,-9999,    9
  1526, 17472,19460314,-9999,    9
  1526, 17472,19460315,-9999,    9
  1526, 17472,19460316,-9999,    9
  1526, 17472,19460317,-9999,    9
  1526, 17472,19460318,-9999,    9
  1526, 17472,19460319,-9999,    9
  1526, 17472,19460320,-9999,    9
  1526, 17472,19460321,-9999,    9
  1526, 17472,19460322,-9999,    9
  1526, 17472,19460323,-9999,    9
  1526, 17472,19460324,-9999,    9
  1526, 17472,19460325,-9999,    9
  1526, 17472,19460326,-9999,    9
  1526, 17472,19460327,-9999,    9
  1526, 17472,19460328,-9999,    9
  1526, 17472,19460329,-9999,    9
  1526, 17472,19460330,-9999,    9
  1526, 17472,19460331,-9999,    9
  1526, 17472,19460401,-9999,    9
  1526, 17472,19460402,-9999,    9
  1526, 17472,19460403,-9999,    9
  1526, 17472,19460404,-9999,    9
  1526, 17472,19460405,-9999,    9
  1526, 17472,19460406,-9999,    9
  1526, 17472,19460407,-9999,    9
  1526, 17472,19460408,-9999,    9
  1526, 17472,19460409,-9999,    9
  1526, 17472,19460410,-9999,    9
  1526, 17472,19460411,-9999,    9
  1526, 17472,19460412,-9999,    9
  1526, 17472,19460413,-9999,    9
  1526, 17472,19460414,-9999,    9
  1526, 17472,19460415,-9999,    9
  1526, 17472,19460416,-9999,    9
  1526, 17472,19460417,-9999,    9
  1526, 17472,19460418,-9999,    9
  1526, 17472,19460419,-9999,    9
  1526, 17472,19460420,-9999,    9
  1526, 17472,19460421,-9999,    9
  1526, 17472,19460422,-9999,    9
  1526, 17472,19460423,-9999,    9
  1526, 17472,19460424,-9999,    9
  1526, 17472,19460425,-9999,    9
  1526, 17472,19460426,-9999,    9
  1526, 17472,19460427,-9999,    9
  1526, 17472,19460428,-9999,    9
  1526, 17472,19460429,-9999,    9
  1526, 17472,19460430,-9999,    9
  1526, 14316,19460501,  213,    0
  1526, 14316,19460502,  210,    0
  1526, 14316,19460503,  210,    0
  1526, 14316,19460504,  190,    0
  1526, 14316,19460505,  169,    0
  1526, 14316,19460506,  183,    0
  1526, 14316,19460507,  184,    0
  1526, 14316,19460508,  164,    0
  1526, 14316,19460509,  125,    0
  1526, 14316,19460510,   94,    0
  1526, 14316,19460511,  140,    0
  1526, 14316,19460512,  165,    0
  1526, 14316,19460513,  180,    0
  1526, 14316,19460514,  213,    0
  1526, 14316,19460515,  160,    0
  1526, 14316,19460516,  154,    0
  1526, 14316,19460517,  185,    0
  1526, 14316,19460518,  183,    0
  1526, 14316,19460519,  170,    0
  1526, 14316,19460520,  164,    0
  1526, 14316,19460521,  178,    0
  1526, 14316,19460522,  193,    0
  1526, 14316,19460523,  162,    0
  1526, 14316,19460524,  194,    0
  1526, 14316,19460525,  211,    0
  1526, 14316,19460526,  224,    0
  1526, 14316,19460527,  214,    0
  1526, 14316,19460528,  196,    0
  1526, 14316,19460529,  208,    0
  1526, 14316,19460530,  208,    0
  1526, 14316,19460531,  195,    0
  1526, 14316,19460601,  203,    0
  1526, 14316,19460602,  218,    0
  1526, 14316,19460603,  207,    0
  1526, 14316,19460604,  174,    0
  1526, 14316,19460605,  171,    0
  1526, 14316,19460606,  164,    0
  1526, 14316,19460607,  206,    0
  1526, 14316,19460608,  244,    0
  1526, 14316,19460609,  246,    0
  1526, 14316,19460610,  251,    0
  1526, 14316,19460611,  248,    0
  1526, 14316,19460612,  210,    0
  1526, 14316,19460613,  233,    0
  1526, 14316,19460614,  172,    0
  1526, 14316,19460615,  128,    0
  1526, 14316,19460616,  164,    0
  1526, 14316,19460617,  161,    0
  1526, 14316,19460618,  160,    0
  1526, 14316,19460619,  180,    0
  1526, 14316,19460620,  224,    0
  1526, 14316,19460621,  193,    0
  1526, 14316,19460622,  229,    0
  1526, 14316,19460623,  273,    0
  1526, 14316,19460624,  207,    0
  1526, 14316,19460625,  174,    0
  1526, 14316,19460626,  176,    0
  1526, 14316,19460627,  193,    0
  1526, 14316,19460628,  220,    0
  1526, 14316,19460629,  226,    0
  1526, 14316,19460630,  226,    0
  1526, 14316,19460701,  228,    0
  1526, 14316,19460702,  236,    0
  1526, 14316,19460703,  221,    0
  1526, 14316,19460704,  244,    0
  1526, 14316,19460705,  243,    0
  1526, 14316,19460706,  235,    0
  1526, 14316,19460707,  256,    0
  1526, 14316,19460708,  216,    0
  1526, 14316,19460709,  203,    0
  1526, 14316,19460710,  185,    0
  1526, 14316,19460711,  182,    0
  1526, 14316,19460712,  151,    0
  1526, 14316,19460713,  181,    0
  1526, 14316,19460714,  198,    0
  1526, 14316,19460715,  220,    0
  1526, 14316,19460716,  210,    0
  1526, 14316,19460717,  214,    0
  1526, 14316,19460718,  270,    0
  1526, 14316,19460719,  258,    0
  1526, 14316,19460720,  257,    0
  1526, 14316,19460721,  254,    0
  1526, 14316,19460722,  181,    0
  1526, 14316,19460723,  191,    0
  1526, 14316,19460724,  206,    0
  1526, 14316,19460725,  232,    0
  1526, 14316,19460726,  262,    0
  1526, 14316,19460727,  264,    0
  1526, 14316,19460728,  250,    0
  1526, 14316,19460729,  236,    0
  1526, 14316,19460730,  218,    0
  1526, 14316,19460731,  210,    0
  1526, 14316,19460801,  217,    0
  1526, 14316,19460802,  186,    0
  1526, 14316,19460803,  182,    0
  1526, 14316,19460804,  217,    0
  1526, 14316,19460805,  214,    0
  1526, 14316,19460806,  205,    0
  1526, 14316,19460807,  205,    0
  1526, 14316,19460808,  224,    0
  1526, 14316,19460809,  233,    0
  1526, 14316,19460810,  270,    0
  1526, 14316,19460811,  298,    0
  1526, 14316,19460812,  271,    0
  1526, 14316,19460813,  266,    0
  1526, 14316,19460814,  241,    0
  1526, 14316,19460815,  236,    0
  1526, 14316,19460816,  216,    0
  1526, 14316,19460817,  228,    0
  1526, 14316,19460818,  290,    0
  1526, 14316,19460819,  304,    0
  1526, 14316,19460820,  294,    0
  1526, 14316,19460821,  240,    0
  1526, 14316,19460822,  216,    0
  1526, 14316,19460823,  190,    0
  1526, 14316,19460824,  162,    0
  1526, 14316,19460825,  174,    0
  1526, 14316,19460826,  168,    0
  1526, 14316,19460827,  182,    0
  1526, 14316,19460828,  183,    0
  1526, 14316,19460829,  182,    0
  1526, 14316,19460830,  213,    0
  1526, 14316,19460831,  233,    0
  1526, 14316,19460901,  199,    0
  1526, 14316,19460902,  191,    0
  1526, 14316,19460903,  202,    0
  1526, 14316,19460904,  186,    0
  1526, 14316,19460905,  220,    0
  1526, 14316,19460906,  263,    0
  1526, 14316,19460907,  254,    0
  1526, 14316,19460908,  220,    0
  1526, 14316,19460909,  246,    0
  1526, 14316,19460910,  189,    0
  1526, 14316,19460911,  165,    0
  1526, 14316,19460912,  152,    0
  1526, 14316,19460913,  146,    0
  1526, 14316,19460914,  166,    0
  1526, 14316,19460915,  166,    0
  1526, 14316,19460916,  158,    0
  1526, 14316,19460917,  153,    0
  1526, 14316,19460918,  183,    0
  1526, 14316,19460919,  180,    0
  1526, 14316,19460920,  157,    0
  1526, 14316,19460921,  175,    0
  1526, 14316,19460922,  129,    0
  1526, 14316,19460923,  126,    0
  1526, 14316,19460924,  162,    0
  1526, 14316,19460925,  180,    0
  1526, 14316,19460926,  178,    0
  1526, 14316,19460927,  156,    0
  1526, 14316,19460928,  152,    0
  1526, 14316,19460929,  112,    0
  1526, 14316,19460930,  122,    0
  1526, 14316,19461001,  110,    0
  1526, 14316,19461002,   86,    0
  1526, 14316,19461003,   64,    0
  1526, 14316,19461004,   42,    0
  1526, 14316,19461005,   74,    0
  1526, 14316,19461006,   68,    0
  1526, 14316,19461007,   85,    0
  1526, 14316,19461008,   80,    0
  1526, 14316,19461009,   62,    0
  1526, 14316,19461010,   58,    0
  1526, 14316,19461011,   66,    0
  1526, 14316,19461012,   63,    0
  1526, 14316,19461013,   77,    0
  1526, 14316,19461014,   23,    0
  1526, 14316,19461015,   40,    0
  1526, 14316,19461016,   52,    0
  1526, 14316,19461017,   23,    0
  1526, 14316,19461018,   50,    0
  1526, 14316,19461019,   82,    0
