EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LJUBASEVKA, UKRAINE (STAID: 1548)
Blended and updated with sources:6918 933761 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1548,  6918,19950101,-9999,    9
  1548,  6918,19950102,-9999,    9
  1548,  6918,19950103,-9999,    9
  1548,  6918,19950104,  -20,    0
  1548,  6918,19950105,  -48,    0
  1548,  6918,19950106,  -38,    0
  1548,933761,19950107,  -26,    0
  1548,933761,19950108,  -15,    0
  1548,  6918,19950109,  -26,    0
  1548,  6918,19950110,  -31,    0
  1548,933761,19950111,  -27,    0
  1548,933761,19950112,  -47,    0
  1548,  6918,19950113,  -82,    0
  1548,  6918,19950114,  -58,    0
  1548,  6918,19950115,-9999,    9
  1548,  6918,19950116,  -53,    0
  1548,  6918,19950117,-9999,    9
  1548,933761,19950118, -126,    0
  1548,  6918,19950119, -114,    0
  1548,933761,19950120, -160,    0
  1548,  6918,19950121, -154,    0
  1548,  6918,19950122, -135,    0
  1548,  6918,19950123,  -44,    0
  1548,  6918,19950124,   -4,    0
  1548,933761,19950125,   19,    0
  1548,  6918,19950126,   14,    0
  1548,  6918,19950127,   27,    0
  1548,933761,19950128,   11,    0
  1548,  6918,19950129,   -8,    0
  1548,  6918,19950130,  -12,    0
  1548,933761,19950131,   18,    0
  1548,933761,19950201,  -50,    0
  1548,  6918,19950202,-9999,    9
  1548,933761,19950203,   -1,    0
  1548,  6918,19950204,  -18,    0
  1548,933761,19950205,  -29,    0
  1548,  6918,19950206,   -4,    0
  1548,  6918,19950207,   16,    0
  1548,933761,19950208,   50,    0
  1548,933761,19950209,   57,    0
  1548,933761,19950210,   -1,    0
  1548,  6918,19950211,   -3,    0
  1548,  6918,19950212,   53,    0
  1548,  6918,19950213,   38,    0
  1548,  6918,19950214,   15,    0
  1548,  6918,19950215,   18,    0
  1548,  6918,19950216,   20,    0
  1548,  6918,19950217,   30,    0
  1548,  6918,19950218,   48,    0
  1548,933761,19950219,   43,    0
  1548,933761,19950220,   45,    0
  1548,933761,19950221,   48,    0
  1548,  6918,19950222,   44,    0
  1548,  6918,19950223,   44,    0
  1548,  6918,19950224,   67,    0
  1548,  6918,19950225,   96,    0
  1548,  6918,19950226,   86,    0
  1548,  6918,19950227,  101,    0
  1548,  6918,19950228,   38,    0
  1548,  6918,19950301,   76,    0
  1548,  6918,19950302,   87,    0
  1548,  6918,19950303,   85,    0
  1548,  6918,19950304,  116,    0
  1548,  6918,19950305,  108,    0
  1548,  6918,19950306,  112,    0
  1548,  6918,19950307,   97,    0
  1548,  6918,19950308,   50,    0
  1548,  6918,19950309,-9999,    9
  1548,  6918,19950310,   24,    0
  1548,  6918,19950311,   28,    0
  1548,933761,19950312,   31,    0
  1548,933761,19950313,  -55,    0
  1548,933761,19950314,  -54,    0
  1548,  6918,19950315,  -29,    0
  1548,  6918,19950316,  -18,    0
  1548,  6918,19950317,  -12,    0
  1548,  6918,19950318,   28,    0
  1548,  6918,19950319,-9999,    9
  1548,933761,19950320,   71,    0
  1548,  6918,19950321,   36,    0
  1548,  6918,19950322,   33,    0
  1548,933761,19950323,   20,    0
  1548,  6918,19950324,   12,    0
  1548,  6918,19950325,   36,    0
  1548,  6918,19950326,   58,    0
  1548,  6918,19950327,   74,    0
  1548,  6918,19950328,-9999,    9
  1548,  6918,19950329,   -1,    0
  1548,  6918,19950330,   17,    0
  1548,  6918,19950331,   10,    0
  1548,  6918,19950401,-9999,    9
  1548,  6918,19950402,   44,    0
  1548,  6918,19950403,   79,    0
  1548,  6918,19950404,  113,    0
  1548,933761,19950405,   53,    0
  1548,  6918,19950406,   62,    0
  1548,  6918,19950407,   74,    0
  1548,  6918,19950408,   96,    0
  1548,  6918,19950409,   70,    0
  1548,  6918,19950410,   40,    0
  1548,  6918,19950411,   38,    0
  1548,  6918,19950412,   40,    0
  1548,  6918,19950413,   77,    0
  1548,933761,19950414,  103,    0
  1548,  6918,19950415,  104,    0
  1548,933761,19950416,   68,    0
  1548,  6918,19950417,   79,    0
  1548,  6918,19950418,   86,    0
  1548,  6918,19950419,  102,    0
  1548,  6918,19950420,  121,    0
  1548,  6918,19950421,  172,    0
  1548,  6918,19950422,  175,    0
  1548,933761,19950423,   85,    0
  1548,  6918,19950424,  146,    0
  1548,  6918,19950425,  135,    0
  1548,  6918,19950426,  109,    0
  1548,  6918,19950427,  139,    0
  1548,  6918,19950428,  138,    0
  1548,  6918,19950429,  128,    0
  1548,  6918,19950430,-9999,    9
  1548,  6918,19950501,   98,    0
  1548,  6918,19950502,   90,    0
  1548,  6918,19950503,   45,    0
  1548,  6918,19950504,   72,    0
  1548,  6918,19950505,   91,    0
  1548,933761,19950506,  121,    0
  1548,  6918,19950507,   98,    0
  1548,933761,19950508,  123,    0
  1548,  6918,19950509,-9999,    9
  1548,933761,19950510,  133,    0
  1548,  6918,19950511,   84,    0
  1548,  6918,19950512,  130,    0
  1548,  6918,19950513,  154,    0
  1548,  6918,19950514,-9999,    9
  1548,933761,19950515,  118,    0
  1548,  6918,19950516,   98,    0
  1548,  6918,19950517,  124,    0
  1548,  6918,19950518,  128,    0
  1548,  6918,19950519,  146,    0
  1548,  6918,19950520,  156,    0
  1548,  6918,19950521,  188,    0
  1548,  6918,19950522,  183,    0
  1548,  6918,19950523,  158,    0
  1548,  6918,19950524,-9999,    9
  1548,  6918,19950525,  180,    0
  1548,  6918,19950526,  186,    0
  1548,  6918,19950527,  215,    0
  1548,  6918,19950528,  215,    0
  1548,  6918,19950529,  208,    0
  1548,  6918,19950530,  213,    0
  1548,  6918,19950531,  220,    0
  1548,  6918,19950601,-9999,    9
  1548,933761,19950602,  243,    0
  1548,  6918,19950603,  230,    0
  1548,933761,19950604,  208,    0
  1548,  6918,19950605,  166,    0
  1548,  6918,19950606,  176,    0
  1548,  6918,19950607,  198,    0
  1548,  6918,19950608,  183,    0
  1548,  6918,19950609,  194,    0
  1548,  6918,19950610,  196,    0
  1548,  6918,19950611,  208,    0
  1548,  6918,19950612,  222,    0
  1548,  6918,19950613,  234,    0
  1548,  6918,19950614,  242,    0
  1548,  6918,19950615,  239,    0
  1548,  6918,19950616,  240,    0
  1548,  6918,19950617,  216,    0
  1548,  6918,19950618,  204,    0
  1548,  6918,19950619,  206,    0
  1548,  6918,19950620,-9999,    9
  1548,  6918,19950621,  184,    0
  1548,  6918,19950622,  201,    0
  1548,  6918,19950623,  184,    0
  1548,933761,19950624,  181,    0
  1548,  6918,19950625,  210,    0
  1548,933761,19950626,  150,    0
  1548,  6918,19950627,  196,    0
  1548,  6918,19950628,  191,    0
  1548,933761,19950629,  170,    0
  1548,  6918,19950630,  204,    0
  1548,  6918,19950701,  210,    0
  1548,933761,19950702,  215,    0
  1548,  6918,19950703,  215,    0
  1548,  6918,19950704,  235,    0
  1548,  6918,19950705,-9999,    9
  1548,  6918,19950706,  212,    0
  1548,  6918,19950707,  174,    0
