EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IZJUM, UKRAINE (STAID: 1603)
Blended and updated with sources:6926 934415 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1603,934415,19950101,   43,    0
  1603,934415,19950102,    9,    0
  1603,934415,19950103,    8,    0
  1603,  6926,19950104,  -42,    0
  1603,  6926,19950105,  -72,    0
  1603,  6926,19950106,  -68,    0
  1603,934415,19950107,  -39,    0
  1603,934415,19950108,  -78,    0
  1603,  6926,19950109,  -82,    0
  1603,934415,19950110,  -63,    0
  1603,934415,19950111,  -20,    0
  1603,934415,19950112,   12,    0
  1603,934415,19950113,    3,    0
  1603,  6926,19950114,  -44,    0
  1603,934415,19950115,  -53,    0
  1603,934415,19950116,  -57,    0
  1603,934415,19950117,  -83,    0
  1603,934415,19950118, -103,    0
  1603,934415,19950119,  -94,    0
  1603,  6926,19950120, -111,    0
  1603,  6926,19950121, -108,    0
  1603,934415,19950122,  -96,    0
  1603,934415,19950123, -123,    0
  1603,  6926,19950124,  -25,    0
  1603,  6926,19950125,-9999,    9
  1603,  6926,19950126,   18,    0
  1603,934415,19950127,   31,    0
  1603,  6926,19950128,-9999,    9
  1603,  6926,19950129,   -9,    0
  1603,  6926,19950130,   30,    0
  1603,  6926,19950131,   38,    0
  1603,934415,19950201,   13,    0
  1603,934415,19950202,  -52,    0
  1603,934415,19950203,   -4,    0
  1603,934415,19950204,  -56,    0
  1603,  6926,19950205,  -56,    0
  1603,  6926,19950206,  -15,    0
  1603,  6926,19950207,    5,    0
  1603,  6926,19950208,   30,    0
  1603,  6926,19950209,   33,    0
  1603,934415,19950210,    3,    0
  1603,  6926,19950211,  -31,    0
  1603,  6926,19950212,    8,    0
  1603,  6926,19950213,   28,    0
  1603,  6926,19950214,   25,    0
  1603,  6926,19950215,   17,    0
  1603,934415,19950216,    2,    0
  1603,  6926,19950217,    4,    0
  1603,  6926,19950218,   18,    0
  1603,  6926,19950219,   32,    0
  1603,934415,19950220,   21,    0
  1603,  6926,19950221,    5,    0
  1603,934415,19950222,    8,    0
  1603,  6926,19950223,   32,    0
  1603,  6926,19950224,   23,    0
  1603,  6926,19950225,   80,    0
  1603,  6926,19950226,   87,    0
  1603,  6926,19950227,  108,    0
  1603,934415,19950228,   43,    0
  1603,934415,19950301,   38,    0
  1603,934415,19950302,   89,    0
  1603,934415,19950303,   69,    0
  1603,934415,19950304,   98,    0
  1603,934415,19950305,  106,    0
  1603,934415,19950306,  115,    0
  1603,  6926,19950307,   34,    0
  1603,  6926,19950308,   26,    0
  1603,  6926,19950309,   77,    0
  1603,934415,19950310,   60,    0
  1603,  6926,19950311,   47,    0
  1603,934415,19950312,  -13,    0
  1603,  6926,19950313,  -88,    0
  1603,  6926,19950314,  -32,    0
  1603,  6926,19950315,  -26,    0
  1603,  6926,19950316,  -22,    0
  1603,  6926,19950317,  -22,    0
  1603,  6926,19950318,   14,    0
  1603,  6926,19950319,   57,    0
  1603,  6926,19950320,   73,    0
  1603,934415,19950321,   60,    0
  1603,934415,19950322,   53,    0
  1603,  6926,19950323,   28,    0
  1603,  6926,19950324,   28,    0
  1603,934415,19950325,   39,    0
  1603,  6926,19950326,   40,    0
  1603,  6926,19950327,   44,    0
  1603,  6926,19950328,  106,    0
  1603,934415,19950329,   12,    0
  1603,  6926,19950330,    6,    0
  1603,934415,19950331,   13,    0
  1603,  6926,19950401,   38,    0
  1603,  6926,19950402,   30,    0
  1603,  6926,19950403,   54,    0
  1603,  6926,19950404,   67,    0
  1603,  6926,19950405,-9999,    9
  1603,934415,19950406,   53,    0
  1603,  6926,19950407,   64,    0
  1603,  6926,19950408,   67,    0
  1603,  6926,19950409,  104,    0
  1603,  6926,19950410,   93,    0
  1603,934415,19950411,  125,    0
  1603,934415,19950412,   73,    0
  1603,  6926,19950413,   80,    0
  1603,  6926,19950414,  116,    0
  1603,  6926,19950415,  110,    0
  1603,  6926,19950416,  100,    0
  1603,  6926,19950417,  129,    0
  1603,934415,19950418,  136,    0
  1603,  6926,19950419,  149,    0
  1603,  6926,19950420,  167,    0
  1603,  6926,19950421,  172,    0
  1603,  6926,19950422,  149,    0
  1603,  6926,19950423,  164,    0
  1603,  6926,19950424,  188,    0
  1603,  6926,19950425,  176,    0
  1603,  6926,19950426,  150,    0
  1603,  6926,19950427,  146,    0
  1603,  6926,19950428,  163,    0
  1603,  6926,19950429,  136,    0
  1603,934415,19950430,  120,    0
  1603,  6926,19950501,  120,    0
  1603,  6926,19950502,   86,    0
  1603,  6926,19950503,   66,    0
  1603,  6926,19950504,   68,    0
  1603,  6926,19950505,  100,    0
  1603,  6926,19950506,  131,    0
  1603,934415,19950507,  136,    0
  1603,934415,19950508,  104,    0
  1603,  6926,19950509,  142,    0
  1603,934415,19950510,  127,    0
  1603,  6926,19950511,  102,    0
  1603,  6926,19950512,  110,    0
  1603,  6926,19950513,  184,    0
  1603,934415,19950514,  233,    0
  1603,934415,19950515,  202,    0
  1603,934415,19950516,  106,    0
  1603,  6926,19950517,  116,    0
  1603,  6926,19950518,  118,    0
  1603,  6926,19950519,  178,    0
  1603,  6926,19950520,  184,    0
  1603,  6926,19950521,-9999,    9
  1603,  6926,19950522,  186,    0
  1603,  6926,19950523,  193,    0
  1603,  6926,19950524,  232,    0
  1603,  6926,19950525,  231,    0
  1603,934415,19950526,  233,    0
  1603,  6926,19950527,  193,    0
  1603,  6926,19950528,  216,    0
  1603,  6926,19950529,  226,    0
  1603,  6926,19950530,  214,    0
  1603,  6926,19950531,  207,    0
  1603,  6926,19950601,  218,    0
  1603,  6926,19950602,  224,    0
  1603,  6926,19950603,  224,    0
  1603,  6926,19950604,-9999,    9
  1603,934415,19950605,  250,    0
  1603,  6926,19950606,  212,    0
  1603,934415,19950607,  194,    0
  1603,934415,19950608,  176,    0
  1603,934415,19950609,  183,    0
  1603,934415,19950610,  207,    0
  1603,934415,19950611,  212,    0
  1603,934415,19950612,  218,    0
  1603,934415,19950613,  227,    0
  1603,934415,19950614,  230,    0
  1603,934415,19950615,  245,    0
  1603,934415,19950616,  246,    0
  1603,934415,19950617,  256,    0
  1603,934415,19950618,  258,    0
  1603,934415,19950619,  267,    0
  1603,934415,19950620,  205,    0
  1603,934415,19950621,  155,    0
  1603,934415,19950622,  153,    0
  1603,934415,19950623,  215,    0
  1603,934415,19950624,  211,    0
  1603,934415,19950625,  228,    0
  1603,934415,19950626,  250,    0
  1603,934415,19950627,  236,    0
  1603,  6926,19950628,-9999,    9
  1603,934415,19950629,  211,    0
  1603,934415,19950630,  220,    0
  1603,934415,19950701,  219,    0
  1603,934415,19950702,  214,    0
  1603,934415,19950703,  191,    0
  1603,934415,19950704,   87,    0
  1603,934415,19950705,  226,    0
  1603,934415,19950706,  221,    0
  1603,934415,19950707,  214,    0
  1603,934415,19950708,  193,    0
  1603,934415,19950709,  213,    0
  1603,934415,19950710,  240,    0
  1603,934415,19950711,  244,    0
  1603,  6926,19950712,  240,    0
  1603,  6926,19950713,  228,    0
  1603,  6926,19950714,  222,    0
  1603,  6926,19950715,  228,    0
  1603,  6926,19950716,  217,    0
  1603,  6926,19950717,  181,    0
  1603,  6926,19950718,  185,    0
  1603,  6926,19950719,  192,    0
  1603,  6926,19950720,  185,    0
  1603,  6926,19950721,  180,    0
  1603,  6926,19950722,  196,    0
  1603,  6926,19950723,  214,    0
  1603,  6926,19950724,  248,    0
  1603,  6926,19950725,  221,    0
  1603,  6926,19950726,  227,    0
  1603,  6926,19950727,  210,    0
  1603,  6926,19950728,  162,    0
  1603,  6926,19950729,  166,    0
  1603,  6926,19950730,-9999,    9
  1603,  6926,19950731,-9999,    9
  1603,  6926,19950801,  219,    0
  1603,  6926,19950802,  230,    0
  1603,  6926,19950803,  240,    0
  1603,  6926,19950804,  224,    0
  1603,  6926,19950805,  226,    0
  1603,934415,19950806,  210,    0
  1603,  6926,19950807,  172,    0
  1603,  6926,19950808,-9999,    9
  1603,934415,19950809,  179,    0
  1603,  6926,19950810,  158,    0
  1603,  6926,19950811,  168,    0
