EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NEWTON RIGG, UNITED KINGDOM (STAID: 1804)
Blended and updated with sources:6998 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1804,  6998,19600101,   80,    0
  1804,  6998,19600102,   34,    0
  1804,  6998,19600103,   34,    0
  1804,  6998,19600104,   50,    0
  1804,  6998,19600105,   39,    0
  1804,  6998,19600106,   28,    1
  1804,  6998,19600107,    6,    0
  1804,  6998,19600108,   20,    0
  1804,  6998,19600109,   20,    0
  1804,  6998,19600110,   -2,    0
  1804,  6998,19600111,    8,    0
  1804,  6998,19600112,   20,    1
  1804,  6998,19600113,   -2,    0
  1804,  6998,19600114,  -11,    0
  1804,  6998,19600115,    0,    0
  1804,  6998,19600116,   14,    0
  1804,  6998,19600117,    8,    0
  1804,  6998,19600118,   28,    0
  1804,  6998,19600119,   28,    0
  1804,  6998,19600120,    8,    0
  1804,  6998,19600121,   42,    0
  1804,  6998,19600122,   53,    0
  1804,  6998,19600123,   94,    1
  1804,  6998,19600124,   39,    0
  1804,  6998,19600125,   42,    0
  1804,  6998,19600126,    3,    0
  1804,  6998,19600127,    0,    0
  1804,  6998,19600128,   14,    0
  1804,  6998,19600129,   22,    0
  1804,  6998,19600130,   30,    0
  1804,  6998,19600131,   42,    0
  1804,  6998,19600201,   70,    0
  1804,  6998,19600202,   78,    0
  1804,  6998,19600203,   89,    1
  1804,  6998,19600204,   61,    0
  1804,  6998,19600205,   50,    0
  1804,  6998,19600206,   22,    0
  1804,  6998,19600207,   22,    0
  1804,  6998,19600208,    8,    0
  1804,  6998,19600209,    8,    0
  1804,  6998,19600210,    2,    0
  1804,  6998,19600211,   -6,    0
  1804,  6998,19600212,   -2,    0
  1804,  6998,19600213,  -20,    0
  1804,  6998,19600214,  -16,    0
  1804,  6998,19600215,   -8,    0
  1804,  6998,19600216,   11,    1
  1804,  6998,19600217,  -30,    0
  1804,  6998,19600218,  -34,    0
  1804,  6998,19600219,    0,    0
  1804,  6998,19600220,    8,    0
  1804,  6998,19600221,   19,    0
  1804,  6998,19600222,   14,    0
  1804,  6998,19600223,   -3,    0
  1804,  6998,19600224,    0,    0
  1804,  6998,19600225,   28,    0
  1804,  6998,19600226,   48,    0
  1804,  6998,19600227,   62,    0
  1804,  6998,19600228,   94,    0
  1804,  6998,19600229,  114,    1
  1804,  6998,19600301,   86,    0
  1804,  6998,19600302,   75,    0
  1804,  6998,19600303,   75,    0
  1804,  6998,19600304,   42,    0
  1804,  6998,19600305,   80,    1
  1804,  6998,19600306,   42,    0
  1804,  6998,19600307,   28,    1
  1804,  6998,19600308,    8,    0
  1804,  6998,19600309,   16,    0
  1804,  6998,19600310,   36,    0
  1804,  6998,19600311,   69,    1
  1804,  6998,19600312,   42,    0
  1804,  6998,19600313,   58,    0
  1804,  6998,19600314,   86,    1
  1804,  6998,19600315,   75,    1
  1804,  6998,19600316,   58,    1
  1804,  6998,19600317,   39,    0
  1804,  6998,19600318,   42,    0
  1804,  6998,19600319,   44,    0
  1804,  6998,19600320,   61,    0
  1804,  6998,19600321,   52,    0
  1804,  6998,19600322,   66,    0
  1804,  6998,19600323,   52,    0
  1804,  6998,19600324,   78,    0
  1804,  6998,19600325,   30,    0
  1804,  6998,19600326,   44,    0
  1804,  6998,19600327,   58,    0
  1804,  6998,19600328,   36,    0
  1804,  6998,19600329,   47,    0
  1804,  6998,19600330,   39,    0
  1804,  6998,19600331,   44,    0
  1804,  6998,19600401,   44,    0
  1804,  6998,19600402,   69,    0
  1804,  6998,19600403,   75,    0
  1804,  6998,19600404,   94,    0
  1804,  6998,19600405,  102,    1
  1804,  6998,19600406,   88,    0
  1804,  6998,19600407,   85,    0
  1804,  6998,19600408,   78,    0
  1804,  6998,19600409,   98,    1
  1804,  6998,19600410,   72,    0
  1804,  6998,19600411,   80,    0
  1804,  6998,19600412,   80,    0
  1804,  6998,19600413,   89,    0
  1804,  6998,19600414,   58,    0
  1804,  6998,19600415,   78,    0
  1804,  6998,19600416,   53,    0
  1804,  6998,19600417,   50,    0
  1804,  6998,19600418,   72,    0
  1804,  6998,19600419,  108,    0
  1804,  6998,19600420,   80,    0
  1804,  6998,19600421,   78,    0
  1804,  6998,19600422,  108,    0
  1804,  6998,19600423,  102,    0
  1804,  6998,19600424,   92,    0
  1804,  6998,19600425,   94,    0
  1804,  6998,19600426,   80,    0
  1804,  6998,19600427,   78,    0
  1804,  6998,19600428,   78,    0
  1804,  6998,19600429,   72,    0
  1804,  6998,19600430,   69,    0
  1804,  6998,19600501,   80,    0
  1804,  6998,19600502,   75,    0
  1804,  6998,19600503,   94,    0
  1804,  6998,19600504,   89,    0
  1804,  6998,19600505,  114,    0
  1804,  6998,19600506,  103,    0
  1804,  6998,19600507,  128,    0
  1804,  6998,19600508,  128,    0
  1804,  6998,19600509,  139,    0
  1804,  6998,19600510,  144,    0
  1804,  6998,19600511,  108,    0
  1804,  6998,19600512,  116,    0
  1804,  6998,19600513,  119,    0
  1804,  6998,19600514,  120,    0
  1804,  6998,19600515,  125,    0
  1804,  6998,19600516,  144,    0
  1804,  6998,19600517,  134,    0
  1804,  6998,19600518,  114,    0
  1804,  6998,19600519,  102,    0
  1804,  6998,19600520,   86,    0
  1804,  6998,19600521,  111,    0
  1804,  6998,19600522,  100,    0
  1804,  6998,19600523,  111,    0
  1804,  6998,19600524,  108,    0
  1804,  6998,19600525,   86,    0
  1804,  6998,19600526,  150,    0
  1804,  6998,19600527,  144,    0
  1804,  6998,19600528,  116,    0
  1804,  6998,19600529,  122,    0
  1804,  6998,19600530,  114,    0
  1804,  6998,19600531,  119,    0
  1804,  6998,19600601,  130,    0
  1804,  6998,19600602,  148,    0
  1804,  6998,19600603,  180,    0
  1804,  6998,19600604,  172,    0
  1804,  6998,19600605,  186,    0
  1804,  6998,19600606,  172,    1
  1804,  6998,19600607,  112,    0
  1804,  6998,19600608,  122,    0
  1804,  6998,19600609,  130,    0
  1804,  6998,19600610,  120,    0
  1804,  6998,19600611,  134,    0
  1804,  6998,19600612,  134,    0
  1804,  6998,19600613,  111,    0
  1804,  6998,19600614,  122,    0
  1804,  6998,19600615,  114,    0
  1804,  6998,19600616,  153,    0
  1804,  6998,19600617,  180,    0
  1804,  6998,19600618,  164,    0
  1804,  6998,19600619,  130,    0
  1804,  6998,19600620,  148,    0
  1804,  6998,19600621,  175,    0
  1804,  6998,19600622,  189,    0
  1804,  6998,19600623,  180,    0
  1804,  6998,19600624,  178,    0
  1804,  6998,19600625,  189,    0
  1804,  6998,19600626,  164,    0
  1804,  6998,19600627,  138,    0
  1804,  6998,19600628,  125,    0
  1804,  6998,19600629,  111,    0
  1804,  6998,19600630,   94,    0
  1804,  6998,19600701,  122,    0
  1804,  6998,19600702,  142,    0
  1804,  6998,19600703,  144,    0
