EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SKEGNESS, UNITED KINGDOM (STAID: 1839)
Blended and updated with sources:7033 903392 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1839,  7033,19600101,   94,    1
  1839,  7033,19600102,   42,    0
  1839,  7033,19600103,   47,    0
  1839,  7033,19600104,   64,    0
  1839,  7033,19600105,   64,    0
  1839,  7033,19600106,   30,    0
  1839,  7033,19600107,   11,    0
  1839,  7033,19600108,   25,    0
  1839,  7033,19600109,   22,    0
  1839,  7033,19600110,   16,    0
  1839,  7033,19600111,   50,    1
  1839,  7033,19600112,   11,    0
  1839,  7033,19600113,    3,    0
  1839,  7033,19600114,    0,    0
  1839,  7033,19600115,   19,    0
  1839,  7033,19600116,   14,    0
  1839,  7033,19600117,   -6,    0
  1839,  7033,19600118,   14,    0
  1839,  7033,19600119,   42,    0
  1839,  7033,19600120,   19,    0
  1839,  7033,19600121,   42,    0
  1839,  7033,19600122,   86,    0
  1839,  7033,19600123,   92,    1
  1839,  7033,19600124,   72,    0
  1839,  7033,19600125,   50,    1
  1839,  7033,19600126,   22,    0
  1839,  7033,19600127,   31,    0
  1839,  7033,19600128,   61,    0
  1839,  7033,19600129,   34,    0
  1839,  7033,19600130,   47,    0
  1839,  7033,19600131,   58,    1
  1839,  7033,19600201,   48,    0
  1839,  7033,19600202,   61,    0
  1839,  7033,19600203,   75,    0
  1839,  7033,19600204,   58,    0
  1839,  7033,19600205,   48,    0
  1839,  7033,19600206,   44,    0
  1839,  7033,19600207,   53,    0
  1839,  7033,19600208,   42,    0
  1839,  7033,19600209,   50,    0
  1839,  7033,19600210,   42,    1
  1839,  7033,19600211,   16,    0
  1839,  7033,19600212,   30,    0
  1839,  7033,19600213,   34,    1
  1839,  7033,19600214,    8,    0
  1839,  7033,19600215,    6,    0
  1839,  7033,19600216,   25,    1
  1839,  7033,19600217,  -11,    0
  1839,  7033,19600218,   -2,    0
  1839,  7033,19600219,   28,    0
  1839,  7033,19600220,   48,    0
  1839,  7033,19600221,   36,    0
  1839,  7033,19600222,   19,    0
  1839,  7033,19600223,   36,    0
  1839,  7033,19600224,   14,    0
  1839,  7033,19600225,   39,    0
  1839,  7033,19600226,   78,    0
  1839,  7033,19600227,   92,    0
  1839,  7033,19600228,  117,    0
  1839,  7033,19600229,  114,    0
  1839,  7033,19600301,  100,    0
  1839,  7033,19600302,  100,    0
  1839,  7033,19600303,   80,    0
  1839,  7033,19600304,   72,    0
  1839,  7033,19600305,   56,    1
  1839,  7033,19600306,   42,    1
  1839,  7033,19600307,   34,    1
  1839,  7033,19600308,   22,    0
  1839,  7033,19600309,   31,    0
  1839,  7033,19600310,   44,    0
  1839,  7033,19600311,   56,    0
  1839,  7033,19600312,   56,    0
  1839,  7033,19600313,   72,    0
  1839,  7033,19600314,   64,    0
  1839,  7033,19600315,   64,    0
  1839,  7033,19600316,   56,    1
  1839,  7033,19600317,   42,    0
  1839,  7033,19600318,   38,    0
  1839,  7033,19600319,   50,    0
  1839,  7033,19600320,   47,    0
  1839,  7033,19600321,   50,    0
  1839,  7033,19600322,   53,    0
  1839,  7033,19600323,   56,    0
  1839,  7033,19600324,   64,    0
  1839,  7033,19600325,   58,    0
  1839,  7033,19600326,   58,    0
  1839,  7033,19600327,   52,    0
  1839,  7033,19600328,   56,    0
  1839,  7033,19600329,   52,    0
  1839,  7033,19600330,   53,    0
  1839,  7033,19600331,   56,    0
  1839,  7033,19600401,   56,    0
  1839,  7033,19600402,   69,    0
  1839,  7033,19600403,   80,    0
  1839,  7033,19600404,  108,    0
  1839,  7033,19600405,  108,    0
  1839,  7033,19600406,  116,    0
  1839,  7033,19600407,  114,    0
  1839,  7033,19600408,  112,    0
  1839,  7033,19600409,  103,    0
  1839,  7033,19600410,   97,    0
  1839,  7033,19600411,   89,    0
  1839,  7033,19600412,   75,    0
  1839,  7033,19600413,  120,    0
  1839,  7033,19600414,   92,    0
  1839,  7033,19600415,   84,    0
  1839,  7033,19600416,   53,    0
  1839,  7033,19600417,   58,    0
  1839,  7033,19600418,   42,    0
  1839,  7033,19600419,   72,    0
  1839,  7033,19600420,   86,    0
  1839,  7033,19600421,   80,    0
  1839,  7033,19600422,   82,    0
  1839,  7033,19600423,  100,    0
  1839,  7033,19600424,   83,    0
  1839,  7033,19600425,   72,    0
  1839,  7033,19600426,   75,    0
  1839,  7033,19600427,   72,    0
  1839,  7033,19600428,   81,    0
  1839,  7033,19600429,   80,    0
  1839,  7033,19600430,   64,    0
  1839,  7033,19600501,   78,    0
  1839,  7033,19600502,   66,    0
  1839,  7033,19600503,  114,    0
  1839,  7033,19600504,  111,    0
  1839,  7033,19600505,  150,    0
  1839,  7033,19600506,  150,    0
  1839,  7033,19600507,  134,    0
  1839,  7033,19600508,  116,    0
  1839,  7033,19600509,  120,    0
  1839,  7033,19600510,  122,    0
  1839,  7033,19600511,  114,    0
  1839,  7033,19600512,  117,    0
  1839,  7033,19600513,  131,    0
  1839,  7033,19600514,  150,    0
  1839,  7033,19600515,  142,    0
  1839,  7033,19600516,  119,    0
  1839,  7033,19600517,  128,    1
  1839,  7033,19600518,  103,    1
  1839,  7033,19600519,   92,    0
  1839,  7033,19600520,   88,    0
  1839,  7033,19600521,  106,    0
  1839,  7033,19600522,  122,    0
  1839,  7033,19600523,  142,    0
  1839,  7033,19600524,  136,    0
  1839,  7033,19600525,  120,    0
  1839,  7033,19600526,  166,    0
  1839,  7033,19600527,  170,    1
  1839,  7033,19600528,  136,    1
  1839,  7033,19600529,   94,    0
  1839,  7033,19600530,   98,    0
  1839,  7033,19600531,   97,    0
  1839,  7033,19600601,  125,    0
  1839,  7033,19600602,  150,    0
  1839,  7033,19600603,  134,    0
  1839,  7033,19600604,  142,    0
  1839,  7033,19600605,  150,    0
  1839,  7033,19600606,  194,    0
  1839,  7033,19600607,  148,    0
  1839,  7033,19600608,  161,    0
