EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROTHAMSTED, UNITED KINGDOM (STAID: 1844)
Blended and updated with sources:7038 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1844,  7038,19600101,   98,    1
  1844,  7038,19600102,   56,    0
  1844,  7038,19600103,   72,    0
  1844,  7038,19600104,   78,    1
  1844,  7038,19600105,   66,    1
  1844,  7038,19600106,   28,    1
  1844,  7038,19600107,   -6,    0
  1844,  7038,19600108,   16,    1
  1844,  7038,19600109,    3,    0
  1844,  7038,19600110,   -2,    0
  1844,  7038,19600111,   12,    1
  1844,  7038,19600112,   -6,    1
  1844,  7038,19600113,  -25,    0
  1844,  7038,19600114,  -28,    0
  1844,  7038,19600115,  -14,    0
  1844,  7038,19600116,    0,    0
  1844,  7038,19600117,   -3,    0
  1844,  7038,19600118,    8,    0
  1844,  7038,19600119,   47,    1
  1844,  7038,19600120,   20,    0
  1844,  7038,19600121,   50,    0
  1844,  7038,19600122,   61,    0
  1844,  7038,19600123,   98,    0
  1844,  7038,19600124,   89,    1
  1844,  7038,19600125,   48,    1
  1844,  7038,19600126,   11,    0
  1844,  7038,19600127,   34,    0
  1844,  7038,19600128,   39,    0
  1844,  7038,19600129,   44,    0
  1844,  7038,19600130,   56,    0
  1844,  7038,19600131,   75,    0
  1844,  7038,19600201,   50,    0
  1844,  7038,19600202,   61,    0
  1844,  7038,19600203,   80,    1
  1844,  7038,19600204,   58,    0
  1844,  7038,19600205,   47,    0
  1844,  7038,19600206,   28,    0
  1844,  7038,19600207,   25,    0
  1844,  7038,19600208,    2,    0
  1844,  7038,19600209,   25,    0
  1844,  7038,19600210,   34,    1
  1844,  7038,19600211,    6,    0
  1844,  7038,19600212,   11,    0
  1844,  7038,19600213,    8,    0
  1844,  7038,19600214,   20,    0
  1844,  7038,19600215,   11,    0
  1844,  7038,19600216,   14,    0
  1844,  7038,19600217,    0,    0
  1844,  7038,19600218,    0,    0
  1844,  7038,19600219,   20,    0
  1844,  7038,19600220,   44,    0
  1844,  7038,19600221,   36,    0
  1844,  7038,19600222,   28,    0
  1844,  7038,19600223,   36,    0
  1844,  7038,19600224,   11,    0
  1844,  7038,19600225,   34,    0
  1844,  7038,19600226,   72,    0
  1844,  7038,19600227,   89,    0
  1844,  7038,19600228,  111,    0
  1844,  7038,19600229,  120,    0
  1844,  7038,19600301,  100,    0
  1844,  7038,19600302,   98,    0
  1844,  7038,19600303,   78,    0
  1844,  7038,19600304,   56,    0
  1844,  7038,19600305,   50,    0
  1844,  7038,19600306,   44,    1
  1844,  7038,19600307,   16,    0
  1844,  7038,19600308,    8,    0
  1844,  7038,19600309,   30,    0
  1844,  7038,19600310,   75,    0
  1844,  7038,19600311,   75,    0
  1844,  7038,19600312,   78,    0
  1844,  7038,19600313,   80,    0
  1844,  7038,19600314,   86,    0
  1844,  7038,19600315,  100,    1
  1844,  7038,19600316,   50,    1
  1844,  7038,19600317,   34,    0
  1844,  7038,19600318,   30,    0
  1844,  7038,19600319,   39,    0
  1844,  7038,19600320,   38,    0
  1844,  7038,19600321,   44,    0
  1844,  7038,19600322,   58,    0
  1844,  7038,19600323,   70,    0
  1844,  7038,19600324,   89,    0
  1844,  7038,19600325,   81,    1
  1844,  7038,19600326,   52,    0
  1844,  7038,19600327,   50,    0
  1844,  7038,19600328,   48,    1
  1844,  7038,19600329,   36,    0
  1844,  7038,19600330,   48,    0
  1844,  7038,19600331,   56,    0
  1844,  7038,19600401,   47,    0
  1844,  7038,19600402,   88,    0
  1844,  7038,19600403,   97,    0
  1844,  7038,19600404,  103,    0
  1844,  7038,19600405,  108,    0
  1844,  7038,19600406,  111,    0
  1844,  7038,19600407,  122,    0
  1844,  7038,19600408,  117,    0
  1844,  7038,19600409,  102,    0
  1844,  7038,19600410,   88,    0
  1844,  7038,19600411,   75,    0
  1844,  7038,19600412,   64,    0
  1844,  7038,19600413,  106,    0
  1844,  7038,19600414,   86,    0
  1844,  7038,19600415,   72,    0
  1844,  7038,19600416,   56,    0
  1844,  7038,19600417,   53,    0
  1844,  7038,19600418,   52,    0
  1844,  7038,19600419,   78,    0
  1844,  7038,19600420,  106,    0
  1844,  7038,19600421,  108,    0
  1844,  7038,19600422,   80,    0
  1844,  7038,19600423,   83,    0
  1844,  7038,19600424,   84,    0
  1844,  7038,19600425,   78,    0
  1844,  7038,19600426,   92,    0
  1844,  7038,19600427,   58,    0
  1844,  7038,19600428,   61,    0
  1844,  7038,19600429,   72,    0
  1844,  7038,19600430,   64,    0
  1844,  7038,19600501,   72,    0
  1844,  7038,19600502,   78,    0
  1844,  7038,19600503,  100,    0
  1844,  7038,19600504,   94,    0
  1844,  7038,19600505,  144,    0
  1844,  7038,19600506,  128,    0
  1844,  7038,19600507,  152,    0
  1844,  7038,19600508,  150,    0
  1844,  7038,19600509,  172,    0
  1844,  7038,19600510,  144,    0
  1844,  7038,19600511,  144,    0
  1844,  7038,19600512,  142,    0
  1844,  7038,19600513,  139,    0
  1844,  7038,19600514,  144,    0
  1844,  7038,19600515,  139,    0
  1844,  7038,19600516,  133,    0
  1844,  7038,19600517,  125,    1
  1844,  7038,19600518,   89,    0
  1844,  7038,19600519,  100,    0
  1844,  7038,19600520,   92,    0
  1844,  7038,19600521,   89,    0
  1844,  7038,19600522,  120,    0
  1844,  7038,19600523,  117,    0
  1844,  7038,19600524,  128,    0
  1844,  7038,19600525,  114,    0
  1844,  7038,19600526,  158,    0
  1844,  7038,19600527,  167,    0
  1844,  7038,19600528,  144,    0
  1844,  7038,19600529,  108,    0
  1844,  7038,19600530,  111,    0
  1844,  7038,19600531,  111,    0
  1844,  7038,19600601,  139,    0
  1844,  7038,19600602,  153,    0
  1844,  7038,19600603,  153,    0
  1844,  7038,19600604,  181,    0
  1844,  7038,19600605,  197,    0
  1844,  7038,19600606,  178,    0
  1844,  7038,19600607,  125,    0
  1844,  7038,19600608,  142,    0
  1844,  7038,19600609,  142,    0
  1844,  7038,19600610,  130,    0
  1844,  7038,19600611,  142,    0
  1844,  7038,19600612,  144,    0
  1844,  7038,19600613,  125,    0
  1844,  7038,19600614,  120,    0
  1844,  7038,19600615,  139,    0
  1844,  7038,19600616,  164,    0
  1844,  7038,19600617,  192,    0
  1844,  7038,19600618,  203,    0
  1844,  7038,19600619,  189,    0
  1844,  7038,19600620,  152,    0
  1844,  7038,19600621,  170,    0
  1844,  7038,19600622,  166,    0
  1844,  7038,19600623,  158,    1
  1844,  7038,19600624,  142,    0
