EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BUXTON, UNITED KINGDOM (STAID: 1849)
Blended and updated with sources:7043 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1849,  7043,19600101,-9999,    9
  1849,  7043,19600102,   42,    0
  1849,  7043,19600103,   66,    1
  1849,  7043,19600104,   47,    1
  1849,  7043,19600105,   34,    1
  1849,  7043,19600106,   22,    0
  1849,  7043,19600107,   25,    1
  1849,  7043,19600108,  -20,    0
  1849,  7043,19600109,   11,    0
  1849,  7043,19600110,    3,    0
  1849,  7043,19600111,   11,    1
  1849,  7043,19600112,-9999,    9
  1849,  7043,19600113,  -14,    0
  1849,  7043,19600114,  -25,    0
  1849,  7043,19600115,   -2,    0
  1849,  7043,19600116,    3,    0
  1849,  7043,19600117,  -16,    0
  1849,  7043,19600118,   31,    1
  1849,  7043,19600119,-9999,    9
  1849,  7043,19600120,   33,    0
  1849,  7043,19600121,   42,    0
  1849,  7043,19600122,   53,    0
  1849,  7043,19600123,-9999,    9
  1849,  7043,19600124,-9999,    9
  1849,  7043,19600125,-9999,    9
  1849,  7043,19600126,    3,    0
  1849,  7043,19600127,    3,    0
  1849,  7043,19600128,   14,    0
  1849,  7043,19600129,   34,    0
  1849,  7043,19600130,   36,    0
  1849,  7043,19600131,   30,    0
  1849,  7043,19600201,   64,    0
  1849,  7043,19600202,   58,    0
  1849,  7043,19600203,   58,    0
  1849,  7043,19600204,   50,    0
  1849,  7043,19600205,   39,    1
  1849,  7043,19600206,    3,    0
  1849,  7043,19600207,   14,    0
  1849,  7043,19600208,   11,    0
  1849,  7043,19600209,   14,    1
  1849,  7043,19600210,-9999,    9
  1849,  7043,19600211,   -8,    0
  1849,  7043,19600212,   -6,    0
  1849,  7043,19600213,  -22,    0
  1849,  7043,19600214,  -36,    0
  1849,  7043,19600215,  -11,    0
  1849,  7043,19600216,  -16,    0
  1849,  7043,19600217,  -14,    0
  1849,  7043,19600218,  -42,    0
  1849,  7043,19600219,    8,    0
  1849,  7043,19600220,   16,    0
  1849,  7043,19600221,    8,    0
  1849,  7043,19600222,  -14,    0
  1849,  7043,19600223,   -8,    0
  1849,  7043,19600224,  -16,    0
  1849,  7043,19600225,   36,    0
  1849,  7043,19600226,   64,    0
  1849,  7043,19600227,   70,    0
  1849,  7043,19600228,   97,    1
  1849,  7043,19600229,   86,    0
  1849,  7043,19600301,   83,    0
  1849,  7043,19600302,   84,    0
  1849,  7043,19600303,   78,    0
  1849,  7043,19600304,   58,    1
  1849,  7043,19600305,   25,    1
  1849,  7043,19600306,   20,    1
  1849,  7043,19600307,-9999,    9
  1849,  7043,19600308,   11,    0
  1849,  7043,19600309,   20,    0
  1849,  7043,19600310,   33,    0
  1849,  7043,19600311,   50,    0
  1849,  7043,19600312,   53,    0
  1849,  7043,19600313,   64,    0
  1849,  7043,19600314,   67,    1
  1849,  7043,19600315,-9999,    9
  1849,  7043,19600316,-9999,    9
  1849,  7043,19600317,   22,    0
  1849,  7043,19600318,   28,    0
  1849,  7043,19600319,   42,    0
  1849,  7043,19600320,   44,    0
  1849,  7043,19600321,   30,    0
  1849,  7043,19600322,   38,    0
  1849,  7043,19600323,   56,    0
