EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MALVERN, UNITED KINGDOM (STAID: 1855)
Blended and updated with sources:7049 903527 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1855,  7049,19600101,  100,    1
  1855,  7049,19600102,   58,    0
  1855,  7049,19600103,   84,    0
  1855,  7049,19600104,   89,    1
  1855,  7049,19600105,   72,    1
  1855,  7049,19600106,   34,    1
  1855,  7049,19600107,    0,    0
  1855,  7049,19600108,   11,    0
  1855,  7049,19600109,    8,    0
  1855,  7049,19600110,   16,    0
  1855,  7049,19600111,   30,    0
  1855,  7049,19600112,   25,    1
  1855,  7049,19600113,    3,    0
  1855,  7049,19600114,  -22,    0
  1855,  7049,19600115,    2,    0
  1855,  7049,19600116,   19,    0
  1855,  7049,19600117,   22,    0
  1855,  7049,19600118,   44,    0
  1855,  7049,19600119,   66,    1
  1855,  7049,19600120,   34,    0
  1855,  7049,19600121,   53,    0
  1855,  7049,19600122,   70,    0
  1855,  7049,19600123,  106,    1
  1855,  7049,19600124,   75,    0
  1855,  7049,19600125,   58,    1
  1855,  7049,19600126,   11,    0
  1855,  7049,19600127,   25,    0
  1855,  7049,19600128,   22,    0
  1855,  7049,19600129,   50,    0
  1855,  7049,19600130,   58,    0
  1855,  7049,19600131,   86,    0
  1855,  7049,19600201,   66,    0
  1855,  7049,19600202,   67,    0
  1855,  7049,19600203,   94,    1
  1855,  7049,19600204,   70,    0
  1855,  7049,19600205,   64,    1
  1855,  7049,19600206,   39,    0
  1855,  7049,19600207,   36,    0
  1855,  7049,19600208,   14,    0
  1855,  7049,19600209,   22,    0
  1855,  7049,19600210,   39,    1
  1855,  7049,19600211,    6,    0
  1855,  7049,19600212,   11,    0
  1855,  7049,19600213,   -2,    0
  1855,  7049,19600214,   20,    0
  1855,  7049,19600215,   16,    0
  1855,  7049,19600216,   25,    0
  1855,  7049,19600217,   22,    0
  1855,  7049,19600218,   14,    0
  1855,  7049,19600219,   42,    0
  1855,  7049,19600220,   56,    0
  1855,  7049,19600221,   44,    0
  1855,  7049,19600222,   31,    0
  1855,  7049,19600223,   34,    0
  1855,  7049,19600224,   22,    0
  1855,  7049,19600225,   42,    0
  1855,  7049,19600226,   66,    0
  1855,  7049,19600227,   86,    0
  1855,  7049,19600228,  122,    0
  1855,  7049,19600229,  114,    0
  1855,  7049,19600301,  108,    0
  1855,  7049,19600302,   89,    0
  1855,  7049,19600303,   98,    0
  1855,  7049,19600304,   72,    0
  1855,  7049,19600305,   64,    0
  1855,  7049,19600306,   58,    0
  1855,  7049,19600307,   36,    1
  1855,  7049,19600308,   20,    0
  1855,  7049,19600309,   36,    0
  1855,  7049,19600310,   56,    0
  1855,  7049,19600311,   78,    0
  1855,  7049,19600312,   75,    0
  1855,  7049,19600313,   80,    0
  1855,  7049,19600314,   86,    0
  1855,  7049,19600315,   97,    1
  1855,  7049,19600316,   58,    1
  1855,  7049,19600317,   38,    0
  1855,  7049,19600318,   42,    0
  1855,  7049,19600319,   50,    0
  1855,  7049,19600320,   72,    0
  1855,  7049,19600321,   56,    0
  1855,  7049,19600322,   58,    0
  1855,  7049,19600323,   75,    0
  1855,  7049,19600324,   94,    0
  1855,  7049,19600325,   72,    0
  1855,  7049,19600326,   61,    0
  1855,  7049,19600327,   61,    0
  1855,  7049,19600328,   61,    1
  1855,  7049,19600329,   39,    0
  1855,  7049,19600330,   39,    0
  1855,  7049,19600331,   66,    0
  1855,  7049,19600401,   58,    0
  1855,  7049,19600402,   80,    0
  1855,  7049,19600403,   97,    0
  1855,  7049,19600404,  106,    0
  1855,  7049,19600405,  119,    0
  1855,  7049,19600406,  125,    0
  1855,  7049,19600407,   89,    0
  1855,  7049,19600408,  100,    0
  1855,  7049,19600409,  119,    0
  1855,  7049,19600410,  100,    0
  1855,  7049,19600411,   84,    0
  1855,  7049,19600412,   94,    0
  1855,  7049,19600413,  116,    0
  1855,  7049,19600414,   94,    1
  1855,  7049,19600415,   72,    0
  1855,  7049,19600416,   75,    0
  1855,  7049,19600417,   70,    0
  1855,  7049,19600418,   80,    0
  1855,  7049,19600419,   78,    0
  1855,  7049,19600420,  120,    0
  1855,  7049,19600421,  114,    0
  1855,  7049,19600422,  116,    0
  1855,  7049,19600423,  108,    0
  1855,  7049,19600424,  108,    0
  1855,  7049,19600425,  100,    0
  1855,  7049,19600426,  114,    0
  1855,  7049,19600427,   94,    0
  1855,  7049,19600428,   92,    0
  1855,  7049,19600429,   72,    0
  1855,  7049,19600430,   84,    0
  1855,  7049,19600501,   89,    0
  1855,  7049,19600502,  103,    0
  1855,  7049,19600503,  111,    0
  1855,  7049,19600504,  106,    0
  1855,  7049,19600505,  150,    0
  1855,  7049,19600506,  153,    0
  1855,  7049,19600507,  156,    0
  1855,  7049,19600508,  172,    0
  1855,  7049,19600509,  161,    0
