EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station EASTBOURNE, UNITED KINGDOM (STAID: 1864)
Blended and updated with sources:7058 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  1864,  7058,19600101,  100,    1
  1864,  7058,19600102,   72,    0
  1864,  7058,19600103,   94,    0
  1864,  7058,19600104,   98,    0
  1864,  7058,19600105,  108,    1
  1864,  7058,19600106,   52,    0
  1864,  7058,19600107,   28,    0
  1864,  7058,19600108,   28,    0
  1864,  7058,19600109,   28,    0
  1864,  7058,19600110,    3,    0
  1864,  7058,19600111,   20,    0
  1864,  7058,19600112,   11,    0
  1864,  7058,19600113,   -8,    0
  1864,  7058,19600114,  -22,    0
  1864,  7058,19600115,   -8,    0
  1864,  7058,19600116,    0,    0
  1864,  7058,19600117,   22,    0
  1864,  7058,19600118,   42,    0
  1864,  7058,19600119,   64,    0
  1864,  7058,19600120,   58,    0
  1864,  7058,19600121,   64,    0
  1864,  7058,19600122,   94,    0
  1864,  7058,19600123,   94,    0
  1864,  7058,19600124,   94,    0
  1864,  7058,19600125,   53,    0
  1864,  7058,19600126,   39,    0
  1864,  7058,19600127,   53,    0
  1864,  7058,19600128,   56,    0
  1864,  7058,19600129,   58,    0
  1864,  7058,19600130,   66,    0
  1864,  7058,19600131,   80,    0
  1864,  7058,19600201,   61,    0
  1864,  7058,19600202,   78,    0
