EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ONA HUSOY, NORWAY (STAID: 2582)
Blended and updated with sources:9721 9730 9739 901212 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  2582,  9721,19510101,  -13,    0
  2582,  9721,19510102,  -11,    0
  2582,  9721,19510103,    0,    0
  2582,  9721,19510104,  -17,    0
  2582,  9721,19510105,  -23,    0
  2582,  9721,19510106,  -24,    0
  2582,  9721,19510107,  -26,    0
  2582,  9721,19510108,  -13,    0
  2582,  9721,19510109,   -8,    0
  2582,  9721,19510110,    4,    0
  2582,  9721,19510111,   36,    0
  2582,  9721,19510112,   47,    0
  2582,  9721,19510113,   54,    0
  2582,  9721,19510114,   40,    0
  2582,  9721,19510115,   17,    0
  2582,  9721,19510116,   21,    0
  2582,  9721,19510117,   31,    0
  2582,  9721,19510118,   50,    0
  2582,  9721,19510119,   41,    0
  2582,  9721,19510120,    6,    0
  2582,  9721,19510121,    3,    0
  2582,  9721,19510122,   21,    0
  2582,  9721,19510123,   53,    0
  2582,  9721,19510124,   61,    0
  2582,  9721,19510125,   47,    0
  2582,  9721,19510126,   29,    0
  2582,  9721,19510127,   32,    0
  2582,  9721,19510128,   34,    0
  2582,  9721,19510129,   38,    0
  2582,  9721,19510130,   24,    0
  2582,  9721,19510131,   40,    0
  2582,  9721,19510201,   45,    0
  2582,  9721,19510202,   72,    0
  2582,  9721,19510203,   50,    0
  2582,  9721,19510204,   26,    0
  2582,  9721,19510205,   53,    0
  2582,  9721,19510206,   50,    0
  2582,  9721,19510207,   48,    0
  2582,  9721,19510208,   58,    0
  2582,  9721,19510209,   65,    0
  2582,  9721,19510210,   64,    0
  2582,  9721,19510211,   36,    0
  2582,  9721,19510212,   33,    0
  2582,  9721,19510213,   14,    0
  2582,  9721,19510214,   30,    0
  2582,  9721,19510215,   21,    0
  2582,  9721,19510216,   -6,    0
  2582,  9721,19510217,  -12,    0
  2582,  9721,19510218,   33,    0
  2582,  9721,19510219,   47,    0
  2582,  9721,19510220,   35,    0
  2582,  9721,19510221,   47,    0
  2582,  9721,19510222,   41,    0
  2582,  9721,19510223,   37,    0
  2582,  9721,19510224,   39,    0
  2582,  9721,19510225,   11,    0
  2582,  9721,19510226,    7,    0
  2582,  9721,19510227,    8,    0
  2582,  9721,19510228,   42,    0
  2582,  9721,19510301,   50,    0
  2582,  9721,19510302,   62,    0
  2582,  9721,19510303,   64,    0
  2582,  9721,19510304,   73,    0
  2582,  9721,19510305,   44,    0
  2582,  9721,19510306,   38,    0
  2582,  9721,19510307,   36,    0
  2582,  9721,19510308,   31,    0
  2582,  9721,19510309,   14,    0
  2582,  9721,19510310,   -2,    0
  2582,  9721,19510311,  -12,    0
  2582,  9721,19510312,  -24,    0
  2582,  9721,19510313,    0,    0
  2582,  9721,19510314,   24,    0
  2582,  9721,19510315,   28,    0
  2582,  9721,19510316,    6,    0
  2582,  9721,19510317,   11,    0
  2582,  9721,19510318,    5,    0
  2582,  9721,19510319,   -2,    0
  2582,  9721,19510320,   -4,    0
  2582,  9721,19510321,   33,    0
  2582,  9721,19510322,   41,    0
  2582,  9721,19510323,   14,    0
  2582,  9721,19510324,   22,    0
  2582,  9721,19510325,    6,    0
  2582,  9721,19510326,   -3,    0
  2582,  9721,19510327,   12,    0
  2582,  9721,19510328,    8,    0
  2582,  9721,19510329,   10,    0
  2582,  9721,19510330,   20,    0
  2582,  9721,19510331,   24,    0
  2582,  9721,19510401,   29,    0
  2582,  9721,19510402,   39,    0
  2582,  9721,19510403,   47,    0
  2582,  9721,19510404,   57,    0
  2582,  9721,19510405,   49,    0
  2582,  9721,19510406,   48,    0
  2582,  9721,19510407,   46,    0
  2582,  9721,19510408,   46,    0
  2582,  9721,19510409,   38,    0
  2582,  9721,19510410,   25,    0
  2582,  9721,19510411,   29,    0
  2582,  9721,19510412,   37,    0
  2582,  9721,19510413,   48,    0
  2582,  9721,19510414,   45,    0
  2582,  9721,19510415,   26,    0
  2582,  9721,19510416,   32,    0
  2582,  9721,19510417,   29,    0
  2582,  9721,19510418,   21,    0
  2582,  9721,19510419,   10,    0
  2582,  9721,19510420,    5,    0
  2582,  9721,19510421,   15,    0
  2582,  9721,19510422,   28,    0
  2582,  9721,19510423,   51,    0
  2582,  9721,19510424,   66,    0
  2582,  9721,19510425,   50,    0
  2582,  9721,19510426,   51,    0
  2582,  9721,19510427,   39,    0
  2582,  9721,19510428,   38,    0
  2582,  9721,19510429,   48,    0
  2582,  9721,19510430,   55,    0
  2582,  9721,19510501,   49,    0
  2582,  9721,19510502,   46,    0
  2582,  9721,19510503,   47,    0
  2582,  9721,19510504,   44,    0
  2582,  9721,19510505,   42,    0
  2582,  9721,19510506,   41,    0
  2582,  9721,19510507,   45,    0
  2582,  9721,19510508,   51,    0
  2582,  9721,19510509,   50,    0
  2582,  9721,19510510,   51,    0
  2582,  9721,19510511,   57,    0
  2582,  9721,19510512,   66,    0
  2582,  9721,19510513,   58,    0
  2582,  9721,19510514,   55,    0
  2582,  9721,19510515,   47,    0
  2582,  9721,19510516,   64,    0
  2582,  9721,19510517,   69,    0
  2582,  9721,19510518,   78,    0
  2582,  9721,19510519,   62,    0
  2582,  9721,19510520,   59,    0
  2582,  9721,19510521,   55,    0
  2582,  9721,19510522,   58,    0
  2582,  9721,19510523,   52,    0
  2582,  9721,19510524,   57,    0
  2582,  9721,19510525,   64,    0
  2582,  9721,19510526,   63,    0
  2582,  9721,19510527,   62,    0
  2582,  9721,19510528,   61,    0
  2582,  9721,19510529,   59,    0
  2582,  9721,19510530,   67,    0
  2582,  9721,19510531,   71,    0
  2582,  9721,19510601,   68,    0
  2582,  9721,19510602,   58,    0
  2582,  9721,19510603,   67,    0
  2582,  9721,19510604,   73,    0
  2582,  9721,19510605,   73,    0
  2582,  9721,19510606,   58,    0
  2582,  9721,19510607,   58,    0
  2582,  9721,19510608,   69,    0
  2582,  9721,19510609,   63,    0
  2582,  9721,19510610,   68,    0
  2582,  9721,19510611,   62,    0
  2582,  9721,19510612,   75,    0
  2582,  9721,19510613,   90,    0
  2582,  9721,19510614,   85,    0
  2582,  9721,19510615,   88,    0
  2582,  9721,19510616,  107,    0
  2582,  9721,19510617,  102,    0
  2582,  9721,19510618,   99,    0
  2582,  9721,19510619,   94,    0
  2582,  9721,19510620,   79,    0
  2582,  9721,19510621,   92,    0
  2582,  9721,19510622,  112,    0
  2582,  9721,19510623,  103,    0
  2582,  9721,19510624,   87,    0
  2582,  9721,19510625,  114,    0
  2582,  9721,19510626,   95,    0
  2582,  9721,19510627,   92,    0
  2582,  9721,19510628,   88,    0
  2582,  9721,19510629,   94,    0
  2582,  9721,19510630,   98,    0
  2582,  9721,19510701,  106,    0
  2582,  9721,19510702,  106,    0
  2582,  9721,19510703,   96,    0
  2582,  9721,19510704,   81,    0
  2582,  9721,19510705,   80,    0
  2582,  9721,19510706,   91,    0
  2582,  9721,19510707,   94,    0
  2582,  9721,19510708,  101,    0
  2582,  9721,19510709,  102,    0
  2582,  9721,19510710,  107,    0
  2582,  9721,19510711,  114,    0
  2582,  9721,19510712,  129,    0
  2582,  9721,19510713,  109,    0
  2582,  9721,19510714,  117,    0
  2582,  9721,19510715,  119,    0
  2582,  9721,19510716,  123,    0
  2582,  9721,19510717,  110,    0
  2582,  9721,19510718,   96,    0
  2582,  9721,19510719,   97,    0
  2582,  9721,19510720,  106,    0
  2582,  9721,19510721,  113,    0
  2582,  9721,19510722,  124,    0
  2582,  9721,19510723,  133,    0
  2582,  9721,19510724,  128,    0
  2582,  9721,19510725,  123,    0
  2582,  9721,19510726,  130,    0
  2582,  9721,19510727,  140,    0
  2582,  9721,19510728,  131,    0
  2582,  9721,19510729,  110,    0
  2582,  9721,19510730,  117,    0
  2582,  9721,19510731,  126,    0
  2582,  9721,19510801,  139,    0
