EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TRYVASSHOGDA, NORWAY (STAID: 2600)
Blended and updated with sources:9941 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  2600,  9941,19430101,  -94,    0
  2600,  9941,19430102, -134,    0
  2600,  9941,19430103,  -94,    0
  2600,  9941,19430104, -106,    0
  2600,  9941,19430105, -131,    0
  2600,  9941,19430106, -130,    0
  2600,  9941,19430107, -100,    0
  2600,  9941,19430108,  -95,    0
  2600,  9941,19430109, -102,    0
  2600,  9941,19430110, -125,    0
  2600,  9941,19430111,  -92,    0
  2600,  9941,19430112, -129,    0
  2600,  9941,19430113,  -94,    0
  2600,  9941,19430114,  -62,    0
  2600,  9941,19430115,  -44,    0
  2600,  9941,19430116,  -66,    0
  2600,  9941,19430117,  -59,    0
  2600,  9941,19430118,  -27,    0
  2600,  9941,19430119,  -19,    0
  2600,  9941,19430120,  -30,    0
  2600,  9941,19430121,  -69,    0
  2600,  9941,19430122,  -62,    0
  2600,  9941,19430123,  -95,    0
  2600,  9941,19430124, -134,    0
  2600,  9941,19430125,  -74,    0
  2600,  9941,19430126,  -30,    0
  2600,  9941,19430127,  -12,    0
  2600,  9941,19430128,  -37,    0
  2600,  9941,19430129,   -6,    0
  2600,  9941,19430130,  -12,    0
  2600,  9941,19430131,   -4,    0
  2600,  9941,19430201,    0,    0
  2600,  9941,19430202,    0,    0
  2600,  9941,19430203,  -19,    0
  2600,  9941,19430204,  -23,    0
  2600,  9941,19430205,  -48,    0
  2600,  9941,19430206,  -14,    0
  2600,  9941,19430207,  -50,    0
  2600,  9941,19430208,  -74,    0
  2600,  9941,19430209,  -33,    0
  2600,  9941,19430210,  -50,    0
  2600,  9941,19430211,  -44,    0
  2600,  9941,19430212,   14,    0
  2600,  9941,19430213,  -36,    0
  2600,  9941,19430214,  -33,    0
  2600,  9941,19430215,  -23,    0
  2600,  9941,19430216,  -30,    0
  2600,  9941,19430217,  -52,    0
  2600,  9941,19430218,    2,    0
  2600,  9941,19430219,   17,    0
  2600,  9941,19430220,  -17,    0
  2600,  9941,19430221,   -2,    0
  2600,  9941,19430222,   37,    0
  2600,  9941,19430223,   17,    0
  2600,  9941,19430224,   13,    0
  2600,  9941,19430225,   -4,    0
  2600,  9941,19430226,   -6,    0
  2600,  9941,19430227,   47,    0
  2600,  9941,19430228,   37,    0
  2600,  9941,19430301,  -13,    0
  2600,  9941,19430302,   24,    0
  2600,  9941,19430303,  -21,    0
  2600,  9941,19430304,  -31,    0
  2600,  9941,19430305,    4,    0
  2600,  9941,19430306,   10,    0
  2600,  9941,19430307,   35,    0
  2600,  9941,19430308,   -9,    0
  2600,  9941,19430309,   12,    0
  2600,  9941,19430310,   11,    0
  2600,  9941,19430311,    3,    0
  2600,  9941,19430312,  -14,    0
  2600,  9941,19430313,  -16,    0
  2600,  9941,19430314,   -2,    0
  2600,  9941,19430315,    1,    0
  2600,  9941,19430316,   24,    0
  2600,  9941,19430317,  -12,    0
  2600,  9941,19430318,   -5,    0
  2600,  9941,19430319,    3,    0
  2600,  9941,19430320,    1,    0
  2600,  9941,19430321,   20,    0
  2600,  9941,19430322,   21,    0
  2600,  9941,19430323,   46,    0
  2600,  9941,19430324,   16,    0
  2600,  9941,19430325,   15,    0
  2600,  9941,19430326,   18,    0
  2600,  9941,19430327,   -3,    0
  2600,  9941,19430328,   15,    0
  2600,  9941,19430329,   30,    0
  2600,  9941,19430330,   25,    0
  2600,  9941,19430331,   28,    0
  2600,  9941,19430401,   22,    0
  2600,  9941,19430402,   29,    0
  2600,  9941,19430403,   16,    0
  2600,  9941,19430404,   42,    0
  2600,  9941,19430405,   22,    0
  2600,  9941,19430406,    3,    0
  2600,  9941,19430407,  -12,    0
  2600,  9941,19430408,  -18,    0
  2600,  9941,19430409,   -4,    0
  2600,  9941,19430410,   55,    0
  2600,  9941,19430411,   23,    0
  2600,  9941,19430412,   17,    0
  2600,  9941,19430413,   16,    0
  2600,  9941,19430414,   53,    0
  2600,  9941,19430415,   65,    0
  2600,  9941,19430416,   36,    0
  2600,  9941,19430417,   30,    0
  2600,  9941,19430418,   27,    0
  2600,  9941,19430419,   49,    0
  2600,  9941,19430420,   43,    0
  2600,  9941,19430421,   63,    0
  2600,  9941,19430422,   71,    0
  2600,  9941,19430423,   58,    0
  2600,  9941,19430424,   62,    0
  2600,  9941,19430425,   44,    0
  2600,  9941,19430426,   42,    0
  2600,  9941,19430427,   55,    0
  2600,  9941,19430428,   32,    0
  2600,  9941,19430429,   41,    0
  2600,  9941,19430430,   50,    0
  2600,  9941,19430501,   52,    0
  2600,  9941,19430502,   68,    0
  2600,  9941,19430503,   77,    0
  2600,  9941,19430504,   73,    0
  2600,  9941,19430505,   97,    0
  2600,  9941,19430506,   62,    0
  2600,  9941,19430507,   62,    0
  2600,  9941,19430508,   50,    0
  2600,  9941,19430509,   13,    0
  2600,  9941,19430510,   25,    0
  2600,  9941,19430511,   45,    0
  2600,  9941,19430512,   59,    0
  2600,  9941,19430513,   78,    0
  2600,  9941,19430514,  103,    0
  2600,  9941,19430515,   89,    0
  2600,  9941,19430516,   87,    0
  2600,  9941,19430517,   84,    0
  2600,  9941,19430518,   66,    0
  2600,  9941,19430519,   76,    0
  2600,  9941,19430520,   99,    0
  2600,  9941,19430521,  106,    0
  2600,  9941,19430522,  122,    0
