EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MOGEN, NORWAY (STAID: 2644)
Blended and updated with sources:10341 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  2644, 10341,20160201,-9999,    9
  2644, 10341,20160202,-9999,    9
  2644, 10341,20160203,-9999,    9
  2644, 10341,20160204,-9999,    9
  2644, 10341,20160205,-9999,    9
  2644, 10341,20160206,-9999,    9
  2644, 10341,20160207,-9999,    9
  2644, 10341,20160208,-9999,    9
  2644, 10341,20160209,-9999,    9
  2644, 10341,20160210,-9999,    9
  2644, 10341,20160211,-9999,    9
  2644, 10341,20160212,-9999,    9
  2644, 10341,20160213,-9999,    9
  2644, 10341,20160214,-9999,    9
  2644, 10341,20160215,-9999,    9
  2644, 10341,20160216,-9999,    9
  2644, 10341,20160217,-9999,    9
  2644, 10341,20160218,-9999,    9
  2644, 10341,20160219,-9999,    9
  2644, 10341,20160220,-9999,    9
  2644, 10341,20160221,-9999,    9
  2644, 10341,20160222,-9999,    9
  2644, 10341,20160223,-9999,    9
  2644, 10341,20160224,-9999,    9
  2644, 10341,20160225,-9999,    9
  2644, 10341,20160226,-9999,    9
  2644, 10341,20160227,-9999,    9
  2644, 10341,20160228,-9999,    9
  2644, 10341,20160229,-9999,    9
  2644, 10341,20160301,-9999,    9
  2644, 10341,20160302,-9999,    9
  2644, 10341,20160303,-9999,    9
  2644, 10341,20160304,-9999,    9
  2644, 10341,20160305,-9999,    9
  2644, 10341,20160306,-9999,    9
  2644, 10341,20160307,-9999,    9
  2644, 10341,20160308,-9999,    9
  2644, 10341,20160309,-9999,    9
  2644, 10341,20160310,-9999,    9
  2644, 10341,20160311,-9999,    9
  2644, 10341,20160312,-9999,    9
  2644, 10341,20160313,-9999,    9
  2644, 10341,20160314,-9999,    9
  2644, 10341,20160315,-9999,    9
  2644, 10341,20160316,-9999,    9
  2644, 10341,20160317,-9999,    9
  2644, 10341,20160318,-9999,    9
  2644, 10341,20160319,-9999,    9
  2644, 10341,20160320,-9999,    9
  2644, 10341,20160321,-9999,    9
  2644, 10341,20160322,-9999,    9
  2644, 10341,20160323,-9999,    9
  2644, 10341,20160324,-9999,    9
  2644, 10341,20160325,-9999,    9
  2644, 10341,20160326,-9999,    9
  2644, 10341,20160327,-9999,    9
  2644, 10341,20160328,-9999,    9
  2644, 10341,20160329,-9999,    9
  2644, 10341,20160330,  -56,    0
  2644, 10341,20160331,  -67,    0
  2644, 10341,20160401,-9999,    9
  2644, 10341,20160402,    4,    0
  2644, 10341,20160403,    7,    0
  2644, 10341,20160404,   15,    0
  2644, 10341,20160405,-9999,    9
  2644, 10341,20160406,-9999,    9
  2644, 10341,20160407,    9,    0
  2644, 10341,20160408,   -4,    0
  2644, 10341,20160409,  -31,    0
  2644, 10341,20160410,-9999,    9
  2644, 10341,20160411,    6,    0
  2644, 10341,20160412,  -30,    0
  2644, 10341,20160413,  -16,    0
  2644, 10341,20160414,-9999,    9
  2644, 10341,20160415,-9999,    9
  2644, 10341,20160416,-9999,    9
  2644, 10341,20160417,-9999,    9
  2644, 10341,20160418,-9999,    9
  2644, 10341,20160419,-9999,    9
  2644, 10341,20160420,-9999,    9
  2644, 10341,20160421,-9999,    9
  2644, 10341,20160422,-9999,    9
  2644, 10341,20160423,-9999,    9
  2644, 10341,20160424,-9999,    9
  2644, 10341,20160425,-9999,    9
  2644, 10341,20160426,-9999,    9
  2644, 10341,20160427,-9999,    9
  2644, 10341,20160428,-9999,    9
  2644, 10341,20160429,-9999,    9
  2644, 10341,20160430,-9999,    9
  2644, 10341,20160501,-9999,    9
  2644, 10341,20160502,-9999,    9
  2644, 10341,20160503,-9999,    9
  2644, 10341,20160504,-9999,    9
  2644, 10341,20160505,-9999,    9
  2644, 10341,20160506,-9999,    9
  2644, 10341,20160507,-9999,    9
  2644, 10341,20160508,-9999,    9
  2644, 10341,20160509,-9999,    9
  2644, 10341,20160510,-9999,    9
  2644, 10341,20160511,-9999,    9
  2644, 10341,20160512,-9999,    9
  2644, 10341,20160513,-9999,    9
  2644, 10341,20160514,-9999,    9
  2644, 10341,20160515,-9999,    9
  2644, 10341,20160516,-9999,    9
  2644, 10341,20160517,-9999,    9
  2644, 10341,20160518,-9999,    9
  2644, 10341,20160519,-9999,    9
  2644, 10341,20160520,-9999,    9
  2644, 10341,20160521,-9999,    9
  2644, 10341,20160522,-9999,    9
  2644, 10341,20160523,-9999,    9
  2644, 10341,20160524,-9999,    9
  2644, 10341,20160525,-9999,    9
  2644, 10341,20160526,-9999,    9
  2644, 10341,20160527,-9999,    9
  2644, 10341,20160528,-9999,    9
  2644, 10341,20160529,-9999,    9
  2644, 10341,20160530,-9999,    9
  2644, 10341,20160531,-9999,    9
  2644, 10341,20160601,  136,    0
  2644, 10341,20160602,  119,    0
  2644, 10341,20160603,  138,    0
  2644, 10341,20160604,  133,    0
  2644, 10341,20160605,  136,    0
  2644, 10341,20160606,  128,    0
  2644, 10341,20160607,  129,    0
  2644, 10341,20160608,  110,    0
  2644, 10341,20160609,   75,    0
  2644, 10341,20160610,   64,    0
  2644, 10341,20160611,   68,    0
  2644, 10341,20160612,   74,    0
  2644, 10341,20160613,   92,    0
  2644, 10341,20160614,   93,    0
  2644, 10341,20160615,   76,    0
  2644, 10341,20160616,  104,    0
  2644, 10341,20160617,   97,    0
  2644, 10341,20160618,  116,    0
  2644, 10341,20160619,   90,    0
  2644, 10341,20160620,   54,    0
  2644, 10341,20160621,   94,    0
  2644, 10341,20160622,   90,    0
  2644, 10341,20160623,  119,    0
  2644, 10341,20160624,   99,    0
  2644, 10341,20160625,  127,    0
  2644, 10341,20160626,  115,    0
  2644, 10341,20160627,   92,    0
  2644, 10341,20160628,   83,    0
  2644, 10341,20160629,   68,    0
  2644, 10341,20160630,   84,    0
  2644, 10341,20160701,   66,    0
  2644, 10341,20160702,   65,    0
  2644, 10341,20160703,   68,    0
  2644, 10341,20160704,   80,    0
  2644, 10341,20160705,   84,    0
  2644, 10341,20160706,   87,    0
  2644, 10341,20160707,   85,    0
  2644, 10341,20160708,   97,    0
  2644, 10341,20160709,  108,    0
  2644, 10341,20160710,   78,    0
  2644, 10341,20160711,  114,    0
  2644, 10341,20160712,  118,    0
  2644, 10341,20160713,  108,    0
  2644, 10341,20160714,  120,    0
  2644, 10341,20160715,  124,    0
  2644, 10341,20160716,   86,    0
  2644, 10341,20160717,   78,    0
  2644, 10341,20160718,  103,    0
  2644, 10341,20160719,   92,    0
  2644, 10341,20160720,  145,    0
  2644, 10341,20160721,  143,    0
  2644, 10341,20160722,  150,    0
  2644, 10341,20160723,  138,    0
  2644, 10341,20160724,  139,    0
  2644, 10341,20160725,  130,    0
  2644, 10341,20160726,  113,    0
  2644, 10341,20160727,   90,    0
  2644, 10341,20160728,  104,    0
  2644, 10341,20160729,   88,    0
  2644, 10341,20160730,   97,    0
  2644, 10341,20160731,   83,    0
  2644, 10341,20160801,   85,    0
  2644, 10341,20160802,   97,    0
  2644, 10341,20160803,   82,    0
  2644, 10341,20160804,  104,    0
  2644, 10341,20160805,  115,    0
  2644, 10341,20160806,   91,    0
  2644, 10341,20160807,   85,    0
  2644, 10341,20160808,   86,    0
  2644, 10341,20160809,   63,    0
  2644, 10341,20160810,   57,    0
  2644, 10341,20160811,   56,    0
  2644, 10341,20160812,   52,    0
  2644, 10341,20160813,   99,    0
  2644, 10341,20160814,   89,    0
  2644, 10341,20160815,  109,    0
  2644, 10341,20160816,  134,    0
  2644, 10341,20160817,  136,    0
  2644, 10341,20160818,  110,    0
  2644, 10341,20160819,   92,    0
  2644, 10341,20160820,   79,    0
  2644, 10341,20160821,   95,    0
  2644, 10341,20160822,  101,    0
  2644, 10341,20160823,  128,    0
  2644, 10341,20160824,  125,    0
  2644, 10341,20160825,  125,    0
  2644, 10341,20160826,  112,    0
  2644, 10341,20160827,   92,    0
  2644, 10341,20160828,   64,    0
  2644, 10341,20160829,   80,    0
  2644, 10341,20160830,   91,    0
  2644, 10341,20160831,  103,    0
  2644, 10341,20160901,   91,    0
  2644, 10341,20160902,   86,    0
  2644, 10341,20160903,   74,    0
  2644, 10341,20160904,   77,    0
  2644, 10341,20160905,   66,    0
  2644, 10341,20160906,  114,    0
  2644, 10341,20160907,  119,    0
  2644, 10341,20160908,  108,    0
  2644, 10341,20160909,  131,    0
  2644, 10341,20160910,  115,    0
  2644, 10341,20160911,   95,    0
  2644, 10341,20160912,   62,    0
  2644, 10341,20160913,  121,    0
  2644, 10341,20160914,  118,    0
  2644, 10341,20160915,  128,    0
  2644, 10341,20160916,  114,    0
  2644, 10341,20160917,  112,    0
  2644, 10341,20160918,  103,    0
  2644, 10341,20160919,  105,    0
  2644, 10341,20160920,   90,    0
  2644, 10341,20160921,   93,    0
  2644, 10341,20160922,   94,    0
  2644, 10341,20160923,   74,    0
  2644, 10341,20160924,   60,    0
  2644, 10341,20160925,  112,    0
  2644, 10341,20160926,   87,    0
  2644, 10341,20160927,   52,    0
  2644, 10341,20160928,   70,    0
  2644, 10341,20160929,   58,    0
  2644, 10341,20160930,   29,    0
  2644, 10341,20161001,   34,    0
  2644, 10341,20161002,   18,    0
  2644, 10341,20161003,   19,    0
  2644, 10341,20161004,   15,    0
  2644, 10341,20161005,    8,    0
  2644, 10341,20161006,   24,    0
  2644, 10341,20161007,   33,    0
  2644, 10341,20161008,   25,    0
  2644, 10341,20161009,  -13,    0
  2644, 10341,20161010,    9,    0
  2644, 10341,20161011,   -5,    0
  2644, 10341,20161012,    1,    0
  2644, 10341,20161013,  -16,    0
  2644, 10341,20161014,   -3,    0
  2644, 10341,20161015,  -20,    0
  2644, 10341,20161016,   -4,    0
  2644, 10341,20161017,   17,    0
  2644, 10341,20161018,   26,    0
  2644, 10341,20161019,   25,    0
  2644, 10341,20161020,   19,    0
  2644, 10341,20161021,   -5,    0
  2644, 10341,20161022,  -25,    0
  2644, 10341,20161023,  -24,    0
  2644, 10341,20161024,   -3,    0
  2644, 10341,20161025,    6,    0
  2644, 10341,20161026,    8,    0
  2644, 10341,20161027,   43,    0
