EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ORSKOG, NORWAY (STAID: 2709)
Blended and updated with sources:10943 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  2709, 10943,20141101,-9999,    9
  2709, 10943,20141102,-9999,    9
  2709, 10943,20141103,-9999,    9
  2709, 10943,20141104,-9999,    9
  2709, 10943,20141105,-9999,    9
  2709, 10943,20141106,-9999,    9
  2709, 10943,20141107,-9999,    9
  2709, 10943,20141108,-9999,    9
  2709, 10943,20141109,-9999,    9
  2709, 10943,20141110,-9999,    9
  2709, 10943,20141111,-9999,    9
  2709, 10943,20141112,-9999,    9
  2709, 10943,20141113,-9999,    9
  2709, 10943,20141114,-9999,    9
  2709, 10943,20141115,-9999,    9
  2709, 10943,20141116,-9999,    9
  2709, 10943,20141117,   81,    0
  2709, 10943,20141118,   32,    0
  2709, 10943,20141119,   33,    0
  2709, 10943,20141120,   38,    0
  2709, 10943,20141121,    7,    0
  2709, 10943,20141122,   -4,    0
  2709, 10943,20141123,   65,    0
  2709, 10943,20141124,   44,    0
  2709, 10943,20141125,   51,    0
  2709, 10943,20141126,   52,    0
  2709, 10943,20141127,   78,    0
  2709, 10943,20141128,   57,    0
  2709, 10943,20141129,   47,    0
  2709, 10943,20141130,   54,    0
  2709, 10943,20141201,   73,    0
  2709, 10943,20141202,   48,    0
  2709, 10943,20141203,   79,    0
  2709, 10943,20141204,   62,    0
  2709, 10943,20141205,   59,    0
  2709, 10943,20141206,   41,    0
  2709, 10943,20141207,   30,    0
  2709, 10943,20141208,   24,    0
  2709, 10943,20141209,   33,    0
  2709, 10943,20141210,   44,    0
  2709, 10943,20141211,   63,    0
  2709, 10943,20141212,   64,    0
  2709, 10943,20141213,   22,    0
  2709, 10943,20141214,   58,    0
  2709, 10943,20141215,   12,    0
  2709, 10943,20141216,   15,    0
  2709, 10943,20141217,   30,    0
  2709, 10943,20141218,   32,    0
  2709, 10943,20141219,   17,    0
  2709, 10943,20141220,   14,    0
  2709, 10943,20141221,   24,    0
  2709, 10943,20141222,   29,    0
  2709, 10943,20141223,   19,    0
  2709, 10943,20141224,  -46,    0
  2709, 10943,20141225,  -65,    0
  2709, 10943,20141226,  -20,    0
  2709, 10943,20141227,  -51,    0
  2709, 10943,20141228,  -21,    0
  2709, 10943,20141229,   15,    0
  2709, 10943,20141230,   56,    0
  2709, 10943,20141231,   52,    0
  2709, 10943,20150101,   75,    0
  2709, 10943,20150102,   31,    0
  2709, 10943,20150103,   17,    0
  2709, 10943,20150104,    6,    0
  2709, 10943,20150105,   38,    0
  2709, 10943,20150106,   79,    0
  2709, 10943,20150107,   57,    0
  2709, 10943,20150108,   43,    0
  2709, 10943,20150109,   12,    0
  2709, 10943,20150110,   28,    0
  2709, 10943,20150111,    9,    0
  2709, 10943,20150112,   35,    0
  2709, 10943,20150113,   26,    0
  2709, 10943,20150114,   26,    0
  2709, 10943,20150115,   53,    0
  2709, 10943,20150116,   34,    0
  2709, 10943,20150117,   16,    0
  2709, 10943,20150118,   18,    0
  2709, 10943,20150119,   20,    0
  2709, 10943,20150120,   15,    0
  2709, 10943,20150121,   17,    0
  2709, 10943,20150122,   -9,    0
  2709, 10943,20150123,   43,    0
  2709, 10943,20150124,   23,    0
  2709, 10943,20150125,   48,    0
  2709, 10943,20150126,   31,    0
  2709, 10943,20150127,   32,    0
  2709, 10943,20150128,   62,    0
  2709, 10943,20150129,    6,    0
  2709, 10943,20150130,   32,    0
  2709, 10943,20150131,  -10,    0
  2709, 10943,20150201,  -42,    0
  2709, 10943,20150202,   -2,    0
  2709, 10943,20150203,   -2,    0
  2709, 10943,20150204,   -3,    0
  2709, 10943,20150205,   17,    0
  2709, 10943,20150206,   34,    0
  2709, 10943,20150207,   25,    0
  2709, 10943,20150208,   26,    0
  2709, 10943,20150209,   47,    0
  2709, 10943,20150210,   60,    0
  2709, 10943,20150211,   67,    0
  2709, 10943,20150212,   22,    0
  2709, 10943,20150213,   17,    0
  2709, 10943,20150214,   51,    0
  2709, 10943,20150215,   78,    0
  2709, 10943,20150216,   72,    0
  2709, 10943,20150217,   41,    0
  2709, 10943,20150218,   66,    0
  2709, 10943,20150219,   67,    0
  2709, 10943,20150220,   45,    0
  2709, 10943,20150221,   30,    0
  2709, 10943,20150222,   -4,    0
  2709, 10943,20150223,   54,    0
  2709, 10943,20150224,   64,    0
  2709, 10943,20150225,   44,    0
  2709, 10943,20150226,   69,    0
  2709, 10943,20150227,   66,    0
  2709, 10943,20150228,   84,    0
  2709, 10943,20150301,   87,    0
  2709, 10943,20150302,   30,    0
  2709, 10943,20150303,   36,    0
  2709, 10943,20150304,   18,    0
  2709, 10943,20150305,   45,    0
  2709, 10943,20150306,   69,    0
  2709, 10943,20150307,   81,    0
  2709, 10943,20150308,   48,    0
  2709, 10943,20150309,   49,    0
  2709, 10943,20150310,   66,    0
  2709, 10943,20150311,   59,    0
  2709, 10943,20150312,   71,    0
  2709, 10943,20150313,   92,    0
  2709, 10943,20150314,   28,    0
  2709, 10943,20150315,   33,    0
  2709, 10943,20150316,   58,    0
  2709, 10943,20150317,   61,    0
  2709, 10943,20150318,   59,    0
  2709, 10943,20150319,   33,    0
  2709, 10943,20150320,   25,    0
  2709, 10943,20150321,   22,    0
