EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BONES I BARDU, NORWAY (STAID: 2744)
Blended and updated with sources:11266 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  2744, 11266,20180701,-9999,    9
  2744, 11266,20180702,-9999,    9
  2744, 11266,20180703,-9999,    9
  2744, 11266,20180704,-9999,    9
  2744, 11266,20180705,-9999,    9
  2744, 11266,20180706,-9999,    9
  2744, 11266,20180707,-9999,    9
  2744, 11266,20180708,-9999,    9
  2744, 11266,20180709,-9999,    9
  2744, 11266,20180710,-9999,    9
  2744, 11266,20180711,-9999,    9
  2744, 11266,20180712,-9999,    9
  2744, 11266,20180713,-9999,    9
  2744, 11266,20180714,-9999,    9
  2744, 11266,20180715,-9999,    9
  2744, 11266,20180716,-9999,    9
  2744, 11266,20180717,-9999,    9
  2744, 11266,20180718,-9999,    9
  2744, 11266,20180719,-9999,    9
  2744, 11266,20180720,-9999,    9
  2744, 11266,20180721,-9999,    9
  2744, 11266,20180722,-9999,    9
  2744, 11266,20180723,-9999,    9
  2744, 11266,20180724,-9999,    9
  2744, 11266,20180725,-9999,    9
  2744, 11266,20180726,-9999,    9
  2744, 11266,20180727,-9999,    9
  2744, 11266,20180728,-9999,    9
  2744, 11266,20180729,-9999,    9
  2744, 11266,20180730,-9999,    9
  2744, 11266,20180731,-9999,    9
  2744, 11266,20180801,-9999,    9
  2744, 11266,20180802,-9999,    9
  2744, 11266,20180803,-9999,    9
  2744, 11266,20180804,-9999,    9
  2744, 11266,20180805,-9999,    9
  2744, 11266,20180806,-9999,    9
  2744, 11266,20180807,-9999,    9
  2744, 11266,20180808,-9999,    9
  2744, 11266,20180809,-9999,    9
  2744, 11266,20180810,-9999,    9
  2744, 11266,20180811,-9999,    9
  2744, 11266,20180812,-9999,    9
  2744, 11266,20180813,-9999,    9
  2744, 11266,20180814,-9999,    9
  2744, 11266,20180815,-9999,    9
  2744, 11266,20180816,-9999,    9
  2744, 11266,20180817,-9999,    9
  2744, 11266,20180818,-9999,    9
  2744, 11266,20180819,-9999,    9
  2744, 11266,20180820,-9999,    9
  2744, 11266,20180821,-9999,    9
  2744, 11266,20180822,-9999,    9
  2744, 11266,20180823,-9999,    9
  2744, 11266,20180824,-9999,    9
  2744, 11266,20180825,-9999,    9
  2744, 11266,20180826,-9999,    9
  2744, 11266,20180827,-9999,    9
  2744, 11266,20180828,-9999,    9
  2744, 11266,20180829,-9999,    9
  2744, 11266,20180830,-9999,    9
  2744, 11266,20180831,-9999,    9
  2744, 11266,20180901,-9999,    9
  2744, 11266,20180902,-9999,    9
  2744, 11266,20180903,-9999,    9
  2744, 11266,20180904,-9999,    9
  2744, 11266,20180905,-9999,    9
  2744, 11266,20180906,-9999,    9
  2744, 11266,20180907,-9999,    9
  2744, 11266,20180908,-9999,    9
  2744, 11266,20180909,-9999,    9
  2744, 11266,20180910,-9999,    9
  2744, 11266,20180911,-9999,    9
  2744, 11266,20180912,-9999,    9
  2744, 11266,20180913,-9999,    9
  2744, 11266,20180914,-9999,    9
  2744, 11266,20180915,-9999,    9
  2744, 11266,20180916,-9999,    9
  2744, 11266,20180917,-9999,    9
  2744, 11266,20180918,-9999,    9
  2744, 11266,20180919,-9999,    9
  2744, 11266,20180920,-9999,    9
  2744, 11266,20180921,-9999,    9
  2744, 11266,20180922,-9999,    9
  2744, 11266,20180923,-9999,    9
  2744, 11266,20180924,-9999,    9
  2744, 11266,20180925,-9999,    9
  2744, 11266,20180926,-9999,    9
  2744, 11266,20180927,-9999,    9
  2744, 11266,20180928,-9999,    9
  2744, 11266,20180929,-9999,    9
  2744, 11266,20180930,-9999,    9
  2744, 11266,20181001,-9999,    9
  2744, 11266,20181002,-9999,    9
  2744, 11266,20181003,-9999,    9
  2744, 11266,20181004,-9999,    9
  2744, 11266,20181005,-9999,    9
  2744, 11266,20181006,-9999,    9
  2744, 11266,20181007,-9999,    9
  2744, 11266,20181008,-9999,    9
  2744, 11266,20181009,-9999,    9
  2744, 11266,20181010,-9999,    9
  2744, 11266,20181011,-9999,    9
  2744, 11266,20181012,-9999,    9
  2744, 11266,20181013,-9999,    9
  2744, 11266,20181014,-9999,    9
  2744, 11266,20181015,-9999,    9
  2744, 11266,20181016,-9999,    9
  2744, 11266,20181017,-9999,    9
  2744, 11266,20181018,-9999,    9
  2744, 11266,20181019,-9999,    9
  2744, 11266,20181020,-9999,    9
  2744, 11266,20181021,-9999,    9
  2744, 11266,20181022,-9999,    9
  2744, 11266,20181023,   -3,    0
  2744, 11266,20181024,  -55,    0
  2744, 11266,20181025,  -73,    0
  2744, 11266,20181026,  -77,    0
  2744, 11266,20181027,  -69,    0
  2744, 11266,20181028,  -48,    0
  2744, 11266,20181029,  -35,    0
  2744, 11266,20181030,  -38,    0
  2744, 11266,20181031,    1,    0
  2744, 11266,20181101,   32,    0
  2744, 11266,20181102,   65,    0
  2744, 11266,20181103,   18,    0
  2744, 11266,20181104,   43,    0
  2744, 11266,20181105,   51,    0
  2744, 11266,20181106,   49,    0
  2744, 11266,20181107,    7,    0
  2744, 11266,20181108,   -5,    0
  2744, 11266,20181109,   17,    0
  2744, 11266,20181110,   49,    0
  2744, 11266,20181111,   62,    0
  2744, 11266,20181112,   57,    0
  2744, 11266,20181113,   19,    0
  2744, 11266,20181114,   42,    0
  2744, 11266,20181115,   59,    0
  2744, 11266,20181116,   77,    0
  2744, 11266,20181117,   32,    0
  2744, 11266,20181118,  -20,    0
  2744, 11266,20181119,   37,    0
  2744, 11266,20181120,   15,    0
  2744, 11266,20181121,  -28,    0
  2744, 11266,20181122,   10,    0
  2744, 11266,20181123,    4,    0
  2744, 11266,20181124,   -5,    0
  2744, 11266,20181125,  -22,    0
