EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DIVIDALEN, NORWAY (STAID: 2745)
Blended and updated with sources:11275 901198 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  2745, 11275,19561201,-9999,    9
  2745, 11275,19561202,-9999,    9
  2745, 11275,19561203,-9999,    9
  2745, 11275,19561204,-9999,    9
  2745, 11275,19561205,-9999,    9
  2745, 11275,19561206,-9999,    9
  2745, 11275,19561207,-9999,    9
  2745, 11275,19561208,-9999,    9
  2745, 11275,19561209,-9999,    9
  2745, 11275,19561210,-9999,    9
  2745, 11275,19561211,-9999,    9
  2745, 11275,19561212,-9999,    9
  2745, 11275,19561213,-9999,    9
  2745, 11275,19561214,-9999,    9
  2745, 11275,19561215,-9999,    9
  2745, 11275,19561216,-9999,    9
  2745, 11275,19561217,-9999,    9
  2745, 11275,19561218,-9999,    9
  2745, 11275,19561219,-9999,    9
  2745, 11275,19561220,-9999,    9
  2745, 11275,19561221,-9999,    9
  2745, 11275,19561222,-9999,    9
  2745, 11275,19561223,-9999,    9
  2745, 11275,19561224,-9999,    9
  2745, 11275,19561225,-9999,    9
  2745, 11275,19561226,-9999,    9
  2745, 11275,19561227,-9999,    9
  2745, 11275,19561228,-9999,    9
  2745, 11275,19561229,-9999,    9
  2745, 11275,19561230,-9999,    9
  2745, 11275,19561231,-9999,    9
  2745, 11275,19570101, -113,    0
  2745, 11275,19570102, -152,    0
  2745, 11275,19570103, -110,    0
  2745, 11275,19570104,  -78,    0
  2745, 11275,19570105,  -38,    0
  2745, 11275,19570106,  -59,    0
  2745, 11275,19570107,  -58,    0
  2745, 11275,19570108,   -5,    0
  2745, 11275,19570109,   -6,    0
  2745, 11275,19570110,  -50,    0
  2745, 11275,19570111,  -31,    0
  2745, 11275,19570112, -153,    0
  2745, 11275,19570113, -204,    0
  2745, 11275,19570114,   16,    0
  2745, 11275,19570115,  -38,    0
  2745, 11275,19570116,   -3,    0
  2745, 11275,19570117,   46,    0
  2745, 11275,19570118,   13,    0
  2745, 11275,19570119,  -81,    0
  2745, 11275,19570120,   15,    0
  2745, 11275,19570121,  -43,    0
  2745, 11275,19570122,  -34,    0
  2745, 11275,19570123, -122,    0
  2745, 11275,19570124,  -99,    0
  2745, 11275,19570125, -126,    0
  2745, 11275,19570126,  -66,    0
  2745, 11275,19570127,  -78,    0
  2745, 11275,19570128,  -97,    0
  2745, 11275,19570129,  -76,    0
  2745, 11275,19570130,   23,    0
  2745, 11275,19570131,    1,    0
  2745, 11275,19570201,  -36,    0
  2745, 11275,19570202,  -91,    0
  2745, 11275,19570203,    5,    0
  2745, 11275,19570204,  -38,    0
  2745, 11275,19570205,  -52,    0
  2745, 11275,19570206,  -35,    0
  2745, 11275,19570207, -107,    0
  2745, 11275,19570208, -159,    0
  2745, 11275,19570209, -185,    0
  2745, 11275,19570210, -168,    0
  2745, 11275,19570211, -185,    0
  2745, 11275,19570212, -173,    0
  2745, 11275,19570213, -172,    0
  2745, 11275,19570214, -156,    0
  2745, 11275,19570215, -150,    0
  2745, 11275,19570216, -107,    0
  2745, 11275,19570217,  -94,    0
  2745, 11275,19570218,  -58,    0
  2745, 11275,19570219,  -93,    0
  2745, 11275,19570220,  -73,    0
  2745, 11275,19570221,  -42,    0
  2745, 11275,19570222, -115,    0
  2745, 11275,19570223,  -94,    0
  2745, 11275,19570224,  -87,    0
  2745, 11275,19570225,  -59,    0
  2745, 11275,19570226,  -90,    0
  2745, 11275,19570227, -112,    0
  2745, 11275,19570228,  -79,    0
  2745, 11275,19570301,  -32,    0
  2745, 11275,19570302,  -33,    0
  2745, 11275,19570303,  -32,    0
  2745, 11275,19570304,  -73,    0
  2745, 11275,19570305, -108,    0
  2745, 11275,19570306,  -79,    0
  2745, 11275,19570307,  -50,    0
  2745, 11275,19570308,  -35,    0
  2745, 11275,19570309,    8,    0
  2745, 11275,19570310,   17,    0
  2745, 11275,19570311,    8,    0
  2745, 11275,19570312,  -38,    0
  2745, 11275,19570313, -102,    0
  2745, 11275,19570314, -184,    0
  2745, 11275,19570315, -148,    0
  2745, 11275,19570316, -139,    0
  2745, 11275,19570317, -108,    0
  2745, 11275,19570318, -139,    0
  2745, 11275,19570319, -191,    0
  2745, 11275,19570320, -141,    0
  2745, 11275,19570321, -138,    0
  2745, 11275,19570322, -152,    0
  2745, 11275,19570323,  -50,    0
  2745, 11275,19570324,  -63,    0
  2745, 11275,19570325,   -5,    0
  2745, 11275,19570326,   47,    0
  2745, 11275,19570327,   17,    0
  2745, 11275,19570328,  -21,    0
  2745, 11275,19570329,   -1,    0
  2745, 11275,19570330,  -11,    0
  2745, 11275,19570331,   22,    0
  2745, 11275,19570401,   -3,    0
