EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station STORLIEN-VISJOVALEN, SWEDEN (STAID: 3527)
Blended and updated with sources:36806 902206 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3527, 36806,19621001,   95,    0
  3527, 36806,19621002,  115,    0
  3527, 36806,19621003,   88,    0
  3527, 36806,19621004,   73,    0
  3527, 36806,19621005,   64,    0
  3527, 36806,19621006,   56,    0
  3527, 36806,19621007,   72,    0
  3527, 36806,19621008,   70,    0
  3527, 36806,19621009,   81,    0
  3527, 36806,19621010,   31,    0
  3527, 36806,19621011,   13,    0
  3527, 36806,19621012,    0,    0
  3527, 36806,19621013,   11,    0
  3527, 36806,19621014,  -28,    0
  3527, 36806,19621015,  -30,    0
  3527, 36806,19621016,   27,    0
  3527, 36806,19621017,   55,    0
  3527, 36806,19621018,   21,    0
  3527, 36806,19621019,   -2,    0
  3527, 36806,19621020,   34,    0
  3527, 36806,19621021,   60,    0
  3527, 36806,19621022,   64,    0
  3527, 36806,19621023,   54,    0
  3527, 36806,19621024,    7,    0
  3527, 36806,19621025,   55,    0
  3527, 36806,19621026,  -17,    0
  3527, 36806,19621027,  -19,    0
  3527, 36806,19621028,    3,    0
  3527, 36806,19621029,  -24,    0
  3527, 36806,19621030,    0,    0
  3527, 36806,19621031,   17,    0
  3527, 36806,19621101,    6,    0
  3527, 36806,19621102,  -23,    0
  3527, 36806,19621103,    0,    0
  3527, 36806,19621104,   35,    0
  3527, 36806,19621105,   10,    0
  3527, 36806,19621106,   -4,    0
  3527, 36806,19621107,  -22,    0
  3527, 36806,19621108,    2,    0
  3527, 36806,19621109,   -8,    0
  3527, 36806,19621110,   10,    0
  3527, 36806,19621111,   -1,    0
  3527, 36806,19621112,  -46,    0
  3527, 36806,19621113,  -21,    0
  3527, 36806,19621114,   -9,    0
  3527, 36806,19621115,  -34,    0
  3527, 36806,19621116,  -77,    0
  3527, 36806,19621117,  -68,    0
  3527, 36806,19621118,  -79,    0
  3527, 36806,19621119,  -75,    0
  3527, 36806,19621120,  -93,    0
  3527, 36806,19621121, -121,    0
  3527, 36806,19621122,  -86,    0
  3527, 36806,19621123, -150,    0
  3527, 36806,19621124,  -55,    0
  3527, 36806,19621125,  -21,    0
  3527, 36806,19621126,    6,    0
  3527, 36806,19621127,  -21,    0
  3527, 36806,19621128,  -39,    0
  3527, 36806,19621129,  -89,    0
  3527, 36806,19621130,  -79,    0
  3527, 36806,19621201,  -30,    0
  3527, 36806,19621202,   10,    0
  3527, 36806,19621203,   20,    0
  3527, 36806,19621204,   20,    0
  3527, 36806,19621205,   40,    0
  3527, 36806,19621206,   30,    0
  3527, 36806,19621207,  -15,    0
  3527, 36806,19621208,    7,    0
  3527, 36806,19621209,   -5,    0
  3527, 36806,19621210,  -39,    0
  3527, 36806,19621211, -103,    0
  3527, 36806,19621212, -116,    0
  3527, 36806,19621213, -125,    0
  3527, 36806,19621214, -196,    0
  3527, 36806,19621215, -104,    0
  3527, 36806,19621216, -134,    0
  3527, 36806,19621217, -140,    0
  3527, 36806,19621218, -143,    0
  3527, 36806,19621219, -124,    0
  3527, 36806,19621220, -111,    0
  3527, 36806,19621221,  -73,    0
  3527, 36806,19621222,  -33,    0
  3527, 36806,19621223,  -25,    0
  3527, 36806,19621224,   12,    0
  3527, 36806,19621225,  -16,    0
  3527, 36806,19621226,  -60,    0
  3527, 36806,19621227,  -66,    0
  3527, 36806,19621228,  -96,    0
  3527, 36806,19621229, -161,    0
  3527, 36806,19621230, -193,    0
  3527, 36806,19621231,  -75,    0
  3527, 36806,19630101,-9999,    9
  3527, 36806,19630102,-9999,    9
  3527, 36806,19630103,-9999,    9
  3527, 36806,19630104,-9999,    9
  3527, 36806,19630105,-9999,    9
  3527, 36806,19630106,-9999,    9
  3527, 36806,19630107,-9999,    9
  3527, 36806,19630108,-9999,    9
  3527, 36806,19630109,-9999,    9
  3527, 36806,19630110,-9999,    9
  3527, 36806,19630111,-9999,    9
  3527, 36806,19630112,-9999,    9
  3527, 36806,19630113,-9999,    9
  3527, 36806,19630114,-9999,    9
  3527, 36806,19630115,-9999,    9
  3527, 36806,19630116,-9999,    9
  3527, 36806,19630117,-9999,    9
  3527, 36806,19630118,-9999,    9
  3527, 36806,19630119,-9999,    9
  3527, 36806,19630120,-9999,    9
  3527, 36806,19630121,-9999,    9
  3527, 36806,19630122,-9999,    9
  3527, 36806,19630123,-9999,    9
  3527, 36806,19630124,-9999,    9
  3527, 36806,19630125,-9999,    9
  3527, 36806,19630126,-9999,    9
  3527, 36806,19630127,-9999,    9
  3527, 36806,19630128,-9999,    9
  3527, 36806,19630129,-9999,    9
  3527, 36806,19630130,-9999,    9
  3527, 36806,19630131,-9999,    9
  3527, 36806,19630201, -180,    0
  3527, 36806,19630202, -129,    0
  3527, 36806,19630203,  -77,    0
  3527, 36806,19630204, -136,    0
  3527, 36806,19630205, -140,    0
  3527, 36806,19630206,  -85,    0
  3527, 36806,19630207, -130,    0
  3527, 36806,19630208, -214,    0
  3527, 36806,19630209, -182,    0
  3527, 36806,19630210, -109,    0
  3527, 36806,19630211,  -97,    0
  3527, 36806,19630212,  -73,    0
  3527, 36806,19630213,  -56,    0
  3527, 36806,19630214,  -76,    0
  3527, 36806,19630215, -101,    0
  3527, 36806,19630216,  -62,    0
  3527, 36806,19630217, -138,    0
  3527, 36806,19630218, -114,    0
  3527, 36806,19630219,  -82,    0
  3527, 36806,19630220,  -51,    0
  3527, 36806,19630221,  -67,    0
  3527, 36806,19630222,  -68,    0
  3527, 36806,19630223,  -61,    0
  3527, 36806,19630224,  -62,    0
  3527, 36806,19630225,  -26,    0
  3527, 36806,19630226,  -10,    0
  3527, 36806,19630227,  -16,    0
  3527, 36806,19630228,  -27,    0
  3527, 36806,19630301,   -8,    0
  3527, 36806,19630302,   -4,    0
  3527, 36806,19630303,  -16,    0
  3527, 36806,19630304,  -39,    0
  3527, 36806,19630305,  -86,    0
  3527, 36806,19630306,  -11,    0
  3527, 36806,19630307,    4,    0
  3527, 36806,19630308,  -60,    0
  3527, 36806,19630309,  -97,    0
  3527, 36806,19630310,  -89,    0
  3527, 36806,19630311, -152,    0
  3527, 36806,19630312, -107,    0
  3527, 36806,19630313, -134,    0
  3527, 36806,19630314, -130,    0
  3527, 36806,19630315,  -76,    0
  3527, 36806,19630316,  -36,    0
  3527, 36806,19630317,  -50,    0
  3527, 36806,19630318,  -47,    0
  3527, 36806,19630319,  -95,    0
  3527, 36806,19630320,  -96,    0
  3527, 36806,19630321,  -50,    0
  3527, 36806,19630322,  -71,    0
  3527, 36806,19630323,  -60,    0
  3527, 36806,19630324,    5,    0
  3527, 36806,19630325,  -80,    0
  3527, 36806,19630326, -102,    0
  3527, 36806,19630327,  -68,    0
  3527, 36806,19630328,  -58,    0
  3527, 36806,19630329,  -16,    0
  3527, 36806,19630330,  -38,    0
  3527, 36806,19630331,  -50,    0
  3527, 36806,19630401,  -35,    0
  3527, 36806,19630402,  -21,    0
  3527, 36806,19630403,   -6,    0
  3527, 36806,19630404,  -20,    0
  3527, 36806,19630405,  -32,    0
  3527, 36806,19630406,  -43,    0
  3527, 36806,19630407,  -15,    0
  3527, 36806,19630408,  -20,    0
  3527, 36806,19630409,  -42,    0
  3527, 36806,19630410,  -32,    0
  3527, 36806,19630411,   11,    0
  3527, 36806,19630412,   14,    0
  3527, 36806,19630413,   -5,    0
  3527, 36806,19630414,   -9,    0
  3527, 36806,19630415,    2,    0
  3527, 36806,19630416,    0,    0
  3527, 36806,19630417,    0,    0
