EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NEWPORT FURNACE, IRELAND (STAID: 3546)
Blended and updated with sources:16140 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  3546, 16140,20060101,   77,    0
  3546, 16140,20060102,   81,    0
  3546, 16140,20060103,   77,    0
  3546, 16140,20060104,   69,    0
  3546, 16140,20060105,   52,    0
  3546, 16140,20060106,   34,    0
  3546, 16140,20060107,   29,    0
  3546, 16140,20060108,   41,    0
  3546, 16140,20060109,   59,    0
  3546, 16140,20060110,   97,    0
  3546, 16140,20060111,   80,    0
  3546, 16140,20060112,   90,    0
  3546, 16140,20060113,   91,    0
  3546, 16140,20060114,   53,    0
  3546, 16140,20060115,   59,    0
  3546, 16140,20060116,   69,    0
  3546, 16140,20060117,   92,    0
  3546, 16140,20060118,   94,    0
  3546, 16140,20060119,  108,    0
  3546, 16140,20060120,   65,    0
  3546, 16140,20060121,   75,    0
  3546, 16140,20060122,   74,    0
  3546, 16140,20060123,   82,    0
  3546, 16140,20060124,   74,    0
  3546, 16140,20060125,   58,    0
  3546, 16140,20060126,   53,    0
  3546, 16140,20060127,   33,    0
  3546, 16140,20060128,   46,    0
  3546, 16140,20060129,   44,    0
  3546, 16140,20060130,   10,    0
  3546, 16140,20060131,   21,    0
  3546, 16140,20060201,   36,    0
  3546, 16140,20060202,   72,    0
  3546, 16140,20060203,   78,    0
  3546, 16140,20060204,   71,    0
  3546, 16140,20060205,   72,    0
  3546, 16140,20060206,   77,    0
  3546, 16140,20060207,   91,    0
  3546, 16140,20060208,   67,    0
  3546, 16140,20060209,   51,    0
  3546, 16140,20060210,   56,    0
  3546, 16140,20060211,   63,    0
  3546, 16140,20060212,   89,    0
  3546, 16140,20060213,  101,    0
  3546, 16140,20060214,   85,    0
  3546, 16140,20060215,   70,    0
  3546, 16140,20060216,   59,    0
  3546, 16140,20060217,   55,    0
  3546, 16140,20060218,   54,    0
  3546, 16140,20060219,   45,    0
  3546, 16140,20060220,   55,    0
  3546, 16140,20060221,   56,    0
  3546, 16140,20060222,   45,    0
  3546, 16140,20060223,   51,    0
  3546, 16140,20060224,   66,    0
  3546, 16140,20060225,   47,    0
  3546, 16140,20060226,   51,    0
  3546, 16140,20060227,   50,    0
  3546, 16140,20060228,   41,    0
  3546, 16140,20060301,   19,    0
  3546, 16140,20060302,   20,    0
  3546, 16140,20060303,   14,    0
  3546, 16140,20060304,   22,    0
  3546, 16140,20060305,   46,    0
  3546, 16140,20060306,   50,    0
  3546, 16140,20060307,   64,    0
  3546, 16140,20060308,   90,    0
  3546, 16140,20060309,   69,    0
  3546, 16140,20060310,   71,    0
  3546, 16140,20060311,   67,    0
  3546, 16140,20060312,   84,    0
  3546, 16140,20060313,  101,    0
  3546, 16140,20060314,   98,    0
  3546, 16140,20060315,   75,    0
  3546, 16140,20060316,   48,    0
  3546, 16140,20060317,   39,    0
  3546, 16140,20060318,   60,    0
  3546, 16140,20060319,   52,    0
  3546, 16140,20060320,   58,    0
  3546, 16140,20060321,   44,    0
  3546, 16140,20060322,   34,    0
  3546, 16140,20060323,   39,    0
  3546, 16140,20060324,   64,    0
  3546, 16140,20060325,   85,    0
  3546, 16140,20060326,  113,    0
  3546, 16140,20060327,  104,    0
  3546, 16140,20060328,   74,    0
  3546, 16140,20060329,   70,    0
  3546, 16140,20060330,   78,    0
  3546, 16140,20060331,   86,    0
  3546, 16140,20060401,   89,    0
  3546, 16140,20060402,   83,    0
  3546, 16140,20060403,   70,    0
  3546, 16140,20060404,   53,    0
  3546, 16140,20060405,   45,    0
  3546, 16140,20060406,   78,    0
  3546, 16140,20060407,   75,    0
  3546, 16140,20060408,   63,    0
  3546, 16140,20060409,   61,    0
  3546, 16140,20060410,   61,    0
  3546, 16140,20060411,   88,    0
  3546, 16140,20060412,   98,    0
  3546, 16140,20060413,  101,    0
  3546, 16140,20060414,   90,    0
  3546, 16140,20060415,   97,    0
  3546, 16140,20060416,   99,    0
  3546, 16140,20060417,  100,    0
  3546, 16140,20060418,   86,    0
  3546, 16140,20060419,   84,    0
  3546, 16140,20060420,   99,    0
  3546, 16140,20060421,  118,    0
  3546, 16140,20060422,   95,    0
  3546, 16140,20060423,  105,    0
  3546, 16140,20060424,   83,    0
  3546, 16140,20060425,  103,    0
  3546, 16140,20060426,  110,    0
  3546, 16140,20060427,  112,    0
  3546, 16140,20060428,  106,    0
  3546, 16140,20060429,  117,    0
  3546, 16140,20060430,   96,    0
  3546, 16140,20060501,   93,    0
  3546, 16140,20060502,   92,    0
  3546, 16140,20060503,  104,    0
  3546, 16140,20060504,  127,    0
  3546, 16140,20060505,  111,    0
  3546, 16140,20060506,  120,    0
  3546, 16140,20060507,  118,    0
  3546, 16140,20060508,  103,    0
  3546, 16140,20060509,  137,    0
  3546, 16140,20060510,  153,    0
  3546, 16140,20060511,  166,    0
  3546, 16140,20060512,  130,    0
  3546, 16140,20060513,  118,    0
  3546, 16140,20060514,  116,    0
  3546, 16140,20060515,  126,    0
  3546, 16140,20060516,  129,    0
  3546, 16140,20060517,  128,    0
  3546, 16140,20060518,  122,    0
  3546, 16140,20060519,  121,    0
  3546, 16140,20060520,  111,    0
  3546, 16140,20060521,   68,    0
  3546, 16140,20060522,   81,    0
  3546, 16140,20060523,   80,    0
  3546, 16140,20060524,   94,    0
  3546, 16140,20060525,   94,    0
  3546, 16140,20060526,  128,    0
  3546, 16140,20060527,  131,    0
  3546, 16140,20060528,  119,    0
  3546, 16140,20060529,  106,    0
  3546, 16140,20060530,  107,    0
  3546, 16140,20060531,  105,    0
  3546, 16140,20060601,  129,    0
  3546, 16140,20060602,  141,    0
  3546, 16140,20060603,  137,    0
  3546, 16140,20060604,  165,    0
  3546, 16140,20060605,  167,    0
  3546, 16140,20060606,  164,    0
  3546, 16140,20060607,  155,    0
  3546, 16140,20060608,  182,    0
  3546, 16140,20060609,  192,    0
  3546, 16140,20060610,  188,    0
  3546, 16140,20060611,  150,    0
