EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station EGGEBEK, GERMANY (STAID: 4038)
Blended and updated with sources:21548 910034 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4038, 21548,20000701,  127,    0
  4038, 21548,20000702,  146,    0
  4038, 21548,20000703,  170,    0
  4038, 21548,20000704,  181,    0
  4038, 21548,20000705,  155,    0
  4038, 21548,20000706,  130,    0
  4038, 21548,20000707,  126,    0
  4038, 21548,20000708,  130,    0
  4038, 21548,20000709,  132,    0
  4038, 21548,20000710,  128,    0
  4038, 21548,20000711,  146,    0
  4038, 21548,20000712,  125,    0
  4038, 21548,20000713,  141,    0
  4038, 21548,20000714,  134,    0
  4038, 21548,20000715,  131,    0
  4038, 21548,20000716,  148,    0
  4038, 21548,20000717,  140,    0
  4038, 21548,20000718,  130,    0
  4038, 21548,20000719,  135,    0
  4038, 21548,20000720,  136,    0
  4038, 21548,20000721,  173,    0
  4038, 21548,20000722,  168,    0
  4038, 21548,20000723,  164,    0
  4038, 21548,20000724,  186,    0
  4038, 21548,20000725,  156,    0
  4038, 21548,20000726,  158,    0
  4038, 21548,20000727,  144,    0
  4038, 21548,20000728,  153,    0
  4038, 21548,20000729,  168,    0
  4038, 21548,20000730,  145,    0
  4038, 21548,20000731,  139,    0
  4038, 21548,20000801,  173,    0
  4038, 21548,20000802,  170,    0
  4038, 21548,20000803,  154,    0
  4038, 21548,20000804,  159,    0
  4038, 21548,20000805,  153,    0
  4038, 21548,20000806,  166,    0
  4038, 21548,20000807,  134,    0
  4038, 21548,20000808,  134,    0
  4038, 21548,20000809,  149,    0
  4038, 21548,20000810,  165,    0
  4038, 21548,20000811,  144,    0
  4038, 21548,20000812,  149,    0
