EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ALTENSTADT, GERMANY (STAID: 4062)
Blended and updated with sources:21836 910954 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4062, 21836,20010401,-9999,    9
  4062,910954,20010402,   94,    0
  4062,910954,20010403,  104,    0
  4062,910954,20010404,  108,    0
  4062,910954,20010405,   50,    0
  4062,910954,20010406,   74,    0
  4062, 21836,20010407,-9999,    9
  4062, 21836,20010408,   41,    0
  4062,910954,20010409,   53,    0
  4062,910954,20010410,   68,    0
  4062,910954,20010411,   63,    0
  4062,910954,20010412,   58,    0
  4062, 21836,20010413,-9999,    9
  4062, 21836,20010414,-9999,    9
  4062, 21836,20010415,-9999,    9
  4062, 21836,20010416,   28,    0
  4062,910954,20010417,   38,    0
  4062,910954,20010418,   46,    0
  4062,910954,20010419,   31,    0
  4062,910954,20010420,   15,    0
  4062, 21836,20010421,-9999,    9
  4062, 21836,20010422,   11,    0
  4062,910954,20010423,   37,    0
  4062,910954,20010424,   93,    0
  4062,910954,20010425,  118,    0
  4062,910954,20010426,   88,    0
  4062,910954,20010427,   77,    0
  4062, 21836,20010428,-9999,    9
  4062, 21836,20010429,  123,    0
  4062,910954,20010430,  148,    0
  4062, 21836,20010501,  172,    0
  4062,910954,20010502,  160,    0
  4062,910954,20010503,  163,    0
  4062,910954,20010504,  140,    0
  4062, 21836,20010505,-9999,    9
  4062, 21836,20010506,   72,    0
  4062,910954,20010507,   85,    0
  4062,910954,20010508,   99,    0
  4062,910954,20010509,  136,    0
  4062,910954,20010510,  129,    0
  4062,910954,20010511,  126,    0
  4062, 21836,20010512,-9999,    9
  4062, 21836,20010513,  142,    0
  4062,910954,20010514,  160,    0
  4062,910954,20010515,  135,    0
  4062,910954,20010516,  148,    0
  4062,910954,20010517,  138,    0
  4062,910954,20010518,  100,    0
  4062, 21836,20010519,-9999,    9
  4062, 21836,20010520,  133,    0
  4062,910954,20010521,  137,    0
  4062,910954,20010522,  138,    0
  4062,910954,20010523,  151,    0
  4062, 21836,20010524,  167,    0
  4062,910954,20010525,  145,    0
  4062, 21836,20010526,-9999,    9
  4062, 21836,20010527,  198,    0
  4062,910954,20010528,  209,    0
  4062,910954,20010529,  214,    0
  4062,910954,20010530,  215,    0
  4062, 21836,20010531,  142,    0
  4062,910954,20010601,  132,    0
  4062, 21836,20010602,-9999,    9
  4062, 21836,20010603,-9999,    9
  4062, 21836,20010604,   88,    0
  4062,910954,20010605,  120,    0
  4062,910954,20010606,  137,    0
  4062,910954,20010607,  158,    0
  4062,910954,20010608,  155,    0
  4062, 21836,20010609,-9999,    9
  4062, 21836,20010610,  107,    0
  4062,910954,20010611,   99,    0
  4062,910954,20010612,  120,    0
  4062,910954,20010613,  147,    0
  4062, 21836,20010614,  147,    0
  4062,910954,20010615,  171,    0
  4062, 21836,20010616,-9999,    9
  4062, 21836,20010617,  125,    0
  4062,910954,20010618,  126,    0
  4062,910954,20010619,  120,    0
  4062,910954,20010620,  128,    0
  4062,910954,20010621,  150,    0
  4062,910954,20010622,  173,    0
  4062, 21836,20010623,-9999,    9
  4062, 21836,20010624,  173,    0
  4062,910954,20010625,  178,    0
  4062,910954,20010626,  183,    0
  4062,910954,20010627,  206,    0
  4062,910954,20010628,  172,    0
  4062,910954,20010629,  194,    0
  4062, 21836,20010630,-9999,    9
  4062, 21836,20010701,  166,    0
  4062,910954,20010702,  173,    0
  4062,910954,20010703,  154,    0
  4062,910954,20010704,  167,    0
  4062,910954,20010705,  181,    0
  4062,910954,20010706,  207,    0
  4062, 21836,20010707,-9999,    9
  4062, 21836,20010708,  140,    0
  4062,910954,20010709,  175,    0
  4062,910954,20010710,  183,    0
  4062,910954,20010711,  181,    0
  4062,910954,20010712,  177,    0
  4062,910954,20010713,  163,    0
  4062, 21836,20010714,-9999,    9
  4062, 21836,20010715,  149,    0
  4062,910954,20010716,  121,    0
  4062,910954,20010717,  149,    0
  4062,910954,20010718,  142,    0
  4062,910954,20010719,  150,    0
  4062,910954,20010720,  138,    0
  4062, 21836,20010721,-9999,    9
  4062, 21836,20010722,  170,    0
  4062,910954,20010723,  190,    0
  4062,910954,20010724,  185,    0
  4062,910954,20010725,  193,    0
  4062,910954,20010726,  191,    0
  4062,910954,20010727,  204,    0
  4062, 21836,20010728,-9999,    9
  4062, 21836,20010729,  199,    0
  4062,910954,20010730,  217,    0
  4062,910954,20010731,  211,    0
  4062,910954,20010801,  226,    0
  4062,910954,20010802,  230,    0
  4062,910954,20010803,  224,    0
  4062, 21836,20010804,-9999,    9
  4062, 21836,20010805,  163,    0
  4062,910954,20010806,  155,    0
  4062,910954,20010807,  192,    0
  4062,910954,20010808,  178,    0
  4062,910954,20010809,  178,    0
  4062,910954,20010810,  156,    0
  4062, 21836,20010811,-9999,    9
  4062, 21836,20010812,  143,    0
  4062,910954,20010813,  172,    0
  4062,910954,20010814,  198,    0
  4062, 21836,20010815,  236,    0
  4062,910954,20010816,  232,    0
  4062,910954,20010817,  192,    0
  4062, 21836,20010818,-9999,    9
  4062, 21836,20010819,  198,    0
  4062,910954,20010820,  175,    0
  4062,910954,20010821,  177,    0
  4062,910954,20010822,  173,    0
  4062,910954,20010823,  182,    0
  4062,910954,20010824,  187,    0
  4062, 21836,20010825,-9999,    9
  4062, 21836,20010826,  201,    0
  4062,910954,20010827,  213,    0
  4062,910954,20010828,  167,    0
  4062,910954,20010829,  145,    0
  4062,910954,20010830,  131,    0
  4062,910954,20010831,  147,    0
  4062, 21836,20010901,-9999,    9
  4062, 21836,20010902,  116,    0
  4062,910954,20010903,  146,    0
  4062,910954,20010904,  139,    0
  4062,910954,20010905,  113,    0
  4062,910954,20010906,  128,    0
  4062,910954,20010907,  128,    0
  4062, 21836,20010908,-9999,    9
  4062, 21836,20010909,   78,    0
  4062,910954,20010910,   67,    0
  4062,910954,20010911,   87,    0
  4062,910954,20010912,   98,    0
  4062,910954,20010913,  137,    0
  4062,910954,20010914,  107,    0
  4062, 21836,20010915,-9999,    9
  4062, 21836,20010916,   72,    0
  4062,910954,20010917,   75,    0
  4062,910954,20010918,   97,    0
  4062,910954,20010919,   90,    0
  4062,910954,20010920,  122,    0
  4062,910954,20010921,  111,    0
  4062, 21836,20010922,-9999,    9
  4062, 21836,20010923,  101,    0
  4062,910954,20010924,  121,    0
  4062,910954,20010925,  107,    0
  4062,910954,20010926,  110,    0
  4062,910954,20010927,  110,    0
  4062,910954,20010928,  120,    0
  4062, 21836,20010929,-9999,    9
  4062, 21836,20010930,  106,    0
  4062,910954,20011001,  131,    0
  4062,910954,20011002,  208,    0
  4062, 21836,20011003,  168,    0
  4062,910954,20011004,  128,    0
  4062,910954,20011005,  125,    0
  4062, 21836,20011006,-9999,    9
  4062, 21836,20011007,  127,    0
  4062,910954,20011008,  158,    0
  4062,910954,20011009,  146,    0
  4062,910954,20011010,  138,    0
  4062,910954,20011011,  131,    0
  4062,910954,20011012,  137,    0
  4062, 21836,20011013,-9999,    9
  4062, 21836,20011014,  137,    0
  4062,910954,20011015,  145,    0
  4062,910954,20011016,  141,    0
  4062,910954,20011017,  131,    0
  4062,910954,20011018,  126,    0
  4062,910954,20011019,  126,    0
  4062, 21836,20011020,-9999,    9
  4062, 21836,20011021,   97,    0
  4062,910954,20011022,  119,    0
  4062,910954,20011023,   88,    0
  4062,910954,20011024,  105,    0
  4062,910954,20011025,  105,    0
  4062,910954,20011026,  102,    0
  4062, 21836,20011027,-9999,    9
  4062, 21836,20011028,  115,    0
  4062,910954,20011029,  136,    0
  4062,910954,20011030,  163,    0
  4062,910954,20011031,  148,    0
  4062, 21836,20011101,   33,    0
  4062,910954,20011102,   34,    0
  4062, 21836,20011103,-9999,    9
  4062, 21836,20011104,   58,    0
  4062,910954,20011105,   53,    0
  4062,910954,20011106,   65,    0
  4062,910954,20011107,   63,    0
  4062,910954,20011108,   78,    0
  4062,910954,20011109,   11,    0
  4062, 21836,20011110,-9999,    9
  4062, 21836,20011111,  -17,    0
  4062,910954,20011112,   -4,    0
  4062,910954,20011113,   -8,    0
  4062,910954,20011114,  -11,    0
  4062,910954,20011115,  -24,    0
  4062,910954,20011116,   -3,    0
  4062, 21836,20011117,-9999,    9
  4062, 21836,20011118,  -45,    0
  4062,910954,20011119,  -28,    0
  4062,910954,20011120,    7,    0
  4062,910954,20011121,   -2,    0
  4062,910954,20011122,   14,    0
  4062,910954,20011123,    2,    0
  4062, 21836,20011124,-9999,    9
  4062, 21836,20011125,   22,    0
  4062,910954,20011126,   45,    0
  4062,910954,20011127,   48,    0
  4062,910954,20011128,   31,    0
  4062,910954,20011129,   32,    0
  4062,910954,20011130,   47,    0
  4062,910954,20011201,   69,    0
  4062,910954,20011202,   72,    0
  4062,910954,20011203,   50,    0
  4062,910954,20011204,   63,    0
  4062,910954,20011205,   58,    0
  4062,910954,20011206,   59,    0
  4062,910954,20011207,   11,    0
  4062, 21836,20011208,-9999,    9
  4062, 21836,20011209,  -40,    0
  4062,910954,20011210,  -28,    0
  4062,910954,20011211,  -28,    0
  4062,910954,20011212,   -9,    0
  4062,910954,20011213,  -63,    0
  4062,910954,20011214, -156,    0
  4062, 21836,20011215,-9999,    9
  4062, 21836,20011216,  -82,    0
  4062,910954,20011217,  -86,    0
  4062,910954,20011218,  -33,    0
  4062,910954,20011219,  -60,    0
  4062,910954,20011220,  -55,    0
  4062,910954,20011221,  -87,    0
  4062, 21836,20011222,-9999,    9
  4062, 21836,20011223,-9999,    9
  4062, 21836,20011224,-9999,    9
  4062, 21836,20011225,-9999,    9
  4062, 21836,20011226,  -22,    0
  4062,910954,20011227,  -46,    0
  4062,910954,20011228,   -2,    0
  4062, 21836,20011229,-9999,    9
  4062, 21836,20011230,-9999,    9
  4062, 21836,20011231,-9999,    9
  4062, 21836,20020101,  -74,    0
  4062,910954,20020102,  -57,    0
  4062,910954,20020103,  -54,    0
  4062,910954,20020104,  -66,    0
  4062, 21836,20020105,-9999,    9
  4062, 21836,20020106,  -66,    0
  4062,910954,20020107,  -46,    0
  4062,910954,20020108,  -46,    0
  4062,910954,20020109,  -28,    0
  4062,910954,20020110,  -21,    0
  4062,910954,20020111,  -28,    0
  4062, 21836,20020112,-9999,    9
  4062, 21836,20020113,  -22,    0
  4062,910954,20020114,  -29,    0
  4062,910954,20020115,  -41,    0
  4062,910954,20020116,  -42,    0
  4062,910954,20020117,   -7,    0
  4062,910954,20020118,  -33,    0
  4062, 21836,20020119,-9999,    9
  4062, 21836,20020120,   47,    0
  4062,910954,20020121,   62,    0
  4062,910954,20020122,   41,    0
  4062,910954,20020123,   25,    0
  4062,910954,20020124,   58,    0
  4062,910954,20020125,   46,    0
  4062, 21836,20020126,-9999,    9
  4062, 21836,20020127,   89,    0
  4062,910954,20020128,   90,    0
  4062,910954,20020129,   85,    0
  4062,910954,20020130,  105,    0
  4062,910954,20020131,   71,    0
  4062,910954,20020201,   70,    0
  4062, 21836,20020202,-9999,    9
  4062, 21836,20020203,   63,    0
  4062,910954,20020204,   67,    0
  4062,910954,20020205,   70,    0
  4062,910954,20020206,   63,    0
  4062,910954,20020207,   20,    0
  4062,910954,20020208,   30,    0
  4062, 21836,20020209,-9999,    9
  4062, 21836,20020210,   49,    0
  4062,910954,20020211,   80,    0
  4062,910954,20020212,  100,    0
  4062,910954,20020213,  105,    0
  4062,910954,20020214,   53,    0
  4062,910954,20020215,   20,    0
  4062, 21836,20020216,-9999,    9
  4062, 21836,20020217,   34,    0
  4062,910954,20020218,   31,    0
  4062,910954,20020219,   24,    0
  4062,910954,20020220,   31,    0
  4062,910954,20020221,   26,    0
  4062,910954,20020222,  -27,    0
  4062, 21836,20020223,-9999,    9
  4062, 21836,20020224,  -19,    0
  4062,910954,20020225,   16,    0
  4062,910954,20020226,   75,    0
  4062,910954,20020227,   54,    0
  4062,910954,20020228,   43,    0
  4062,910954,20020301,   50,    0
  4062, 21836,20020302,-9999,    9
  4062, 21836,20020303,    6,    0
  4062,910954,20020304,   19,    0
  4062,910954,20020305,   48,    0
  4062,910954,20020306,   51,    0
  4062,910954,20020307,   86,    0
  4062,910954,20020308,   86,    0
  4062, 21836,20020309,-9999,    9
  4062, 21836,20020310,   59,    0
  4062,910954,20020311,   74,    0
  4062,910954,20020312,   90,    0
  4062,910954,20020313,  112,    0
  4062,910954,20020314,   94,    0
  4062,910954,20020315,   96,    0
  4062, 21836,20020316,-9999,    9
  4062, 21836,20020317,   74,    0
  4062,910954,20020318,  104,    0
  4062,910954,20020319,   85,    0
  4062,910954,20020320,   92,    0
  4062,910954,20020321,  105,    0
  4062,910954,20020322,   80,    0
  4062, 21836,20020323,-9999,    9
  4062, 21836,20020324,   -8,    0
  4062,910954,20020325,   -1,    0
  4062,910954,20020326,   -3,    0
  4062,910954,20020327,    6,    0
  4062,910954,20020328,   26,    0
  4062, 21836,20020329,-9999,    9
  4062, 21836,20020330,-9999,    9
  4062, 21836,20020331,-9999,    9
  4062, 21836,20020401,   84,    0
  4062,910954,20020402,   85,    0
  4062,910954,20020403,   86,    0
  4062,910954,20020404,   72,    0
  4062,910954,20020405,   44,    0
  4062, 21836,20020406,-9999,    9
  4062, 21836,20020407,   41,    0
  4062,910954,20020408,   48,    0
  4062,910954,20020409,   45,    0
  4062,910954,20020410,   40,    0
  4062,910954,20020411,   76,    0
  4062,910954,20020412,   93,    0
  4062, 21836,20020413,-9999,    9
  4062, 21836,20020414,   50,    0
  4062,910954,20020415,   26,    0
  4062,910954,20020416,   41,    0
  4062,910954,20020417,   61,    0
  4062,910954,20020418,   66,    0
  4062,910954,20020419,   51,    0
  4062, 21836,20020420,-9999,    9
  4062, 21836,20020421,   73,    0
  4062,910954,20020422,   93,    0
  4062,910954,20020423,  106,    0
  4062, 21836,20020424,   79,    0
  4062,910954,20020425,  102,    0
  4062,910954,20020426,  132,    0
  4062, 21836,20020427,-9999,    9
  4062, 21836,20020428,   95,    0
