EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BIRX/RHON, GERMANY (STAID: 4103)
Blended and updated with sources:22328 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4103, 22328,19910101,  -10,    0
  4103, 22328,19910102,   18,    0
  4103, 22328,19910103,   32,    0
  4103, 22328,19910104,    2,    0
  4103, 22328,19910105,  -24,    0
  4103, 22328,19910106,  -26,    0
  4103, 22328,19910107,    8,    0
  4103, 22328,19910108,   13,    0
  4103, 22328,19910109,   34,    0
  4103, 22328,19910110,   48,    0
  4103, 22328,19910111,   36,    0
  4103, 22328,19910112,   -3,    0
  4103, 22328,19910113,  -26,    0
  4103, 22328,19910114,  -40,    0
  4103, 22328,19910115,  -37,    0
  4103, 22328,19910116,  -51,    0
  4103, 22328,19910117,  -44,    0
  4103, 22328,19910118,  -42,    0
  4103, 22328,19910119,  -26,    0
  4103, 22328,19910120,  -28,    0
  4103, 22328,19910121,   -8,    0
  4103, 22328,19910122,  -20,    0
  4103, 22328,19910123,  -27,    0
  4103, 22328,19910124,  -40,    0
  4103, 22328,19910125,  -44,    0
  4103, 22328,19910126,  -52,    0
  4103, 22328,19910127,  -33,    0
  4103, 22328,19910128,  -66,    0
  4103, 22328,19910129,  -41,    0
  4103, 22328,19910130,  -54,    0
  4103, 22328,19910131,  -78,    0
  4103, 22328,19910201,  -78,    0
  4103, 22328,19910202,  -92,    0
  4103, 22328,19910203,  -91,    0
  4103, 22328,19910204,  -74,    0
  4103, 22328,19910205, -107,    0
  4103, 22328,19910206, -178,    0
  4103, 22328,19910207, -114,    0
  4103, 22328,19910208, -100,    0
  4103, 22328,19910209,  -82,    0
  4103, 22328,19910210,  -59,    0
  4103, 22328,19910211,  -81,    0
  4103, 22328,19910212,  -70,    0
  4103, 22328,19910213,  -86,    0
  4103, 22328,19910214,  -93,    0
  4103, 22328,19910215,  -64,    0
  4103, 22328,19910216,  -56,    0
  4103, 22328,19910217,  -68,    0
  4103, 22328,19910218,  -47,    0
  4103, 22328,19910219,  -26,    0
  4103, 22328,19910220,   16,    0
  4103, 22328,19910221,    8,    0
  4103, 22328,19910222,    2,    0
  4103, 22328,19910223,   18,    0
  4103, 22328,19910224,   42,    0
  4103, 22328,19910225,   46,    0
  4103, 22328,19910226,   12,    0
  4103, 22328,19910227,  -26,    0
  4103, 22328,19910228,  -29,    0
  4103, 22328,19910301,  -16,    0
  4103, 22328,19910302,  -17,    0
  4103, 22328,19910303,   14,    0
