EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GREIZ-DOLAU, GERMANY (STAID: 4162)
Blended and updated with sources:23036 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4162, 23036,19910101,   36,    0
  4162, 23036,19910102,   63,    0
  4162, 23036,19910103,   81,    0
  4162, 23036,19910104,   64,    0
  4162, 23036,19910105,   46,    0
  4162, 23036,19910106,   42,    0
  4162, 23036,19910107,   53,    0
  4162, 23036,19910108,   59,    0
  4162, 23036,19910109,   75,    0
  4162, 23036,19910110,  105,    0
  4162, 23036,19910111,   75,    0
  4162, 23036,19910112,   29,    0
  4162, 23036,19910113,    7,    0
  4162, 23036,19910114,  -22,    0
  4162, 23036,19910115,  -49,    0
  4162, 23036,19910116,  -56,    0
  4162, 23036,19910117,  -51,    0
  4162, 23036,19910118,  -48,    0
  4162, 23036,19910119,  -32,    0
  4162, 23036,19910120,  -22,    0
  4162, 23036,19910121,   14,    0
  4162, 23036,19910122,    7,    0
  4162, 23036,19910123,   14,    0
  4162, 23036,19910124,    0,    0
  4162, 23036,19910125,   -2,    0
  4162, 23036,19910126,   -2,    0
  4162, 23036,19910127,    5,    0
  4162, 23036,19910128,  -18,    0
  4162, 23036,19910129,   -4,    0
  4162, 23036,19910130,   -6,    0
  4162, 23036,19910131,  -81,    0
  4162, 23036,19910201,  -93,    0
  4162, 23036,19910202,  -80,    0
  4162, 23036,19910203, -107,    0
  4162, 23036,19910204,  -66,    0
  4162, 23036,19910205,  -75,    0
  4162, 23036,19910206, -135,    0
  4162, 23036,19910207,  -89,    0
  4162, 23036,19910208,  -50,    0
  4162, 23036,19910209,  -48,    0
  4162, 23036,19910210,   11,    0
  4162, 23036,19910211,  -48,    0
  4162, 23036,19910212,  -30,    0
  4162, 23036,19910213,  -46,    0
  4162, 23036,19910214,  -76,    0
  4162, 23036,19910215,  -26,    0
  4162, 23036,19910216,  -19,    0
  4162, 23036,19910217,  -57,    0
  4162, 23036,19910218,  -10,    0
  4162, 23036,19910219,   -7,    0
  4162, 23036,19910220,   19,    0
  4162, 23036,19910221,   20,    0
  4162, 23036,19910222,    8,    0
  4162, 23036,19910223,   51,    0
  4162, 23036,19910224,   59,    0
  4162, 23036,19910225,   69,    0
  4162, 23036,19910226,   27,    0
  4162, 23036,19910227,    7,    0
  4162, 23036,19910228,   -9,    0
  4162, 23036,19910301,   -9,    0
  4162, 23036,19910302,   28,    0
  4162, 23036,19910303,   51,    0
  4162, 23036,19910304,   30,    0
  4162, 23036,19910305,   54,    0
  4162, 23036,19910306,   63,    0
  4162, 23036,19910307,   54,    0
  4162, 23036,19910308,   57,    0
  4162, 23036,19910309,   61,    0
  4162, 23036,19910310,   56,    0
  4162, 23036,19910311,   60,    0
  4162, 23036,19910312,   74,    0
  4162, 23036,19910313,   64,    0
  4162, 23036,19910314,   69,    0
  4162, 23036,19910315,   96,    0
  4162, 23036,19910316,   88,    0
  4162, 23036,19910317,   79,    0
  4162, 23036,19910318,   72,    0
  4162, 23036,19910319,   85,    0
  4162, 23036,19910320,   95,    0
  4162, 23036,19910321,  143,    0
  4162, 23036,19910322,   66,    0
  4162, 23036,19910323,   80,    0
  4162, 23036,19910324,   63,    0
  4162, 23036,19910325,   58,    0
  4162, 23036,19910326,   32,    0
  4162, 23036,19910327,    5,    0
  4162, 23036,19910328,   -2,    0
  4162, 23036,19910329,   24,    0
  4162, 23036,19910330,   38,    0
  4162, 23036,19910331,   20,    0
  4162, 23036,19910401,   62,    0
  4162, 23036,19910402,   94,    0
  4162, 23036,19910403,  112,    0
  4162, 23036,19910404,   62,    0
  4162, 23036,19910405,   76,    0
  4162, 23036,19910406,   96,    0
  4162, 23036,19910407,   90,    0
  4162, 23036,19910408,   72,    0
  4162, 23036,19910409,   67,    0
  4162, 23036,19910410,   76,    0
  4162, 23036,19910411,   78,    0
  4162, 23036,19910412,   94,    0
  4162, 23036,19910413,   88,    0
  4162, 23036,19910414,   98,    0
  4162, 23036,19910415,   96,    0
  4162, 23036,19910416,   41,    0
  4162, 23036,19910417,   33,    0
  4162, 23036,19910418,    6,    0
  4162, 23036,19910419,   16,    0
  4162, 23036,19910420,    0,    0
  4162, 23036,19910421,    6,    0
  4162, 23036,19910422,   55,    0
  4162, 23036,19910423,   30,    0
  4162, 23036,19910424,   40,    0
  4162, 23036,19910425,   52,    0
  4162, 23036,19910426,   56,    0
  4162, 23036,19910427,   86,    0
  4162, 23036,19910428,   89,    0
  4162, 23036,19910429,   68,    0
  4162, 23036,19910430,   81,    0
  4162, 23036,19910501,   62,    0
  4162, 23036,19910502,   79,    0
  4162, 23036,19910503,   55,    0
  4162, 23036,19910504,   74,    0
  4162, 23036,19910505,   76,    0
  4162, 23036,19910506,   90,    0
  4162, 23036,19910507,   55,    0
  4162, 23036,19910508,   86,    0
  4162, 23036,19910509,   85,    0
  4162, 23036,19910510,  132,    0
