EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HERRENHOF, GERMANY (STAID: 4214)
Blended and updated with sources:23660 29864 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4214, 23660,19910101,   29,    0
  4214, 23660,19910102,   59,    0
  4214, 23660,19910103,   68,    0
  4214, 23660,19910104,   45,    0
  4214, 23660,19910105,   34,    0
  4214, 23660,19910106,   38,    0
  4214, 23660,19910107,   43,    0
  4214, 23660,19910108,   58,    0
  4214, 23660,19910109,   62,    0
  4214, 23660,19910110,   88,    0
  4214, 23660,19910111,   60,    0
  4214, 23660,19910112,   35,    0
  4214, 23660,19910113,    4,    0
  4214, 23660,19910114,  -32,    0
  4214, 23660,19910115,  -66,    0
  4214, 23660,19910116,  -64,    0
  4214, 23660,19910117,  -71,    0
  4214, 23660,19910118,  -56,    0
  4214, 23660,19910119,   10,    0
  4214, 23660,19910120,    0,    0
  4214, 23660,19910121,   16,    0
  4214, 23660,19910122,    8,    0
  4214, 23660,19910123,    2,    0
  4214, 23660,19910124,  -10,    0
  4214, 23660,19910125,  -12,    0
  4214, 23660,19910126,  -15,    0
  4214, 23660,19910127,    0,    0
  4214, 23660,19910128,  -22,    0
  4214, 23660,19910129,  -12,    0
  4214, 23660,19910130,  -23,    0
  4214, 23660,19910131,  -75,    0
  4214, 23660,19910201,  -83,    0
  4214, 23660,19910202, -100,    0
  4214, 23660,19910203,  -97,    0
  4214, 23660,19910204,  -75,    0
  4214, 23660,19910205,  -84,    0
  4214, 23660,19910206, -144,    0
  4214, 23660,19910207, -108,    0
  4214, 23660,19910208,  -74,    0
  4214, 23660,19910209,  -63,    0
  4214, 23660,19910210,  -17,    0
  4214, 23660,19910211,  -42,    0
  4214, 23660,19910212,  -37,    0
