EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HIDDENSEE-VITTE, GERMANY (STAID: 4222)
Blended and updated with sources:23756 29408 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4222, 23756,19470101,  -29,    0
  4222, 23756,19470102,  -31,    0
  4222, 23756,19470103,  -44,    0
  4222, 23756,19470104,  -65,    0
  4222, 23756,19470105, -130,    0
  4222, 23756,19470106, -120,    0
  4222, 23756,19470107, -119,    0
  4222, 23756,19470108, -109,    0
  4222, 23756,19470109,  -87,    0
  4222, 23756,19470110,  -69,    0
  4222, 23756,19470111,  -84,    0
  4222, 23756,19470112,  -78,    0
  4222, 23756,19470113,  -28,    0
  4222, 23756,19470114,   14,    0
  4222, 23756,19470115,   33,    0
  4222, 23756,19470116,   33,    0
  4222, 23756,19470117,   24,    0
  4222, 23756,19470118,   16,    0
  4222, 23756,19470119,    3,    0
  4222, 23756,19470120,    1,    0
  4222, 23756,19470121,  -14,    0
  4222, 23756,19470122,  -25,    0
  4222, 23756,19470123,  -27,    0
  4222, 23756,19470124,  -35,    0
  4222, 23756,19470125,  -29,    0
  4222, 23756,19470126,  -48,    0
  4222, 23756,19470127,  -38,    0
  4222, 23756,19470128,  -72,    0
  4222, 23756,19470129,  -26,    0
  4222, 23756,19470130,  -57,    0
  4222, 23756,19470131,  -79,    0
  4222, 23756,19470201,  -75,    0
  4222, 23756,19470202,  -82,    0
  4222, 23756,19470203,  -62,    0
  4222, 23756,19470204,  -28,    0
  4222, 23756,19470205,  -47,    0
  4222, 23756,19470206,  -68,    0
  4222, 23756,19470207,  -80,    0
  4222, 23756,19470208,  -92,    0
  4222, 23756,19470209,  -52,    0
  4222, 23756,19470210,  -62,    0
  4222, 23756,19470211,  -65,    0
  4222, 23756,19470212,  -60,    0
  4222, 23756,19470213,  -41,    0
  4222, 23756,19470214,  -35,    0
  4222, 23756,19470215,  -32,    0
  4222, 23756,19470216,  -42,    0
  4222, 23756,19470217,  -70,    0
  4222, 23756,19470218,  -65,    0
  4222, 23756,19470219,  -55,    0
  4222, 23756,19470220,  -43,    0
  4222, 23756,19470221,  -53,    0
  4222, 23756,19470222,  -65,    0
  4222, 23756,19470223,  -79,    0
  4222, 23756,19470224, -101,    0
  4222, 23756,19470225, -103,    0
  4222, 23756,19470226,  -85,    0
  4222, 23756,19470227,  -89,    0
  4222, 23756,19470228,  -65,    0
  4222, 23756,19470301,  -48,    0
  4222, 23756,19470302,  -86,    0
  4222, 23756,19470303,  -62,    0
  4222, 23756,19470304,  -34,    0
  4222, 23756,19470305,  -37,    0
  4222, 23756,19470306,  -37,    0
  4222, 23756,19470307,  -20,    0
  4222, 23756,19470308,  -58,    0
  4222, 23756,19470309,  -82,    0
  4222, 23756,19470310,  -81,    0
  4222, 23756,19470311,  -66,    0
  4222, 23756,19470312,  -50,    0
  4222, 23756,19470313,  -52,    0
  4222, 23756,19470314,  -33,    0
  4222, 23756,19470315,  -40,    0
  4222, 23756,19470316,   -9,    0
  4222, 23756,19470317,    6,    0
  4222, 23756,19470318,   -1,    0
  4222, 23756,19470319,   10,    0
  4222, 23756,19470320,   21,    0
  4222, 23756,19470321,   13,    0
  4222, 23756,19470322,   53,    0
  4222, 23756,19470323,   54,    0
  4222, 23756,19470324,   30,    0
  4222, 23756,19470325,   12,    0
  4222, 23756,19470326,   21,    0
  4222, 23756,19470327,   18,    0
  4222, 23756,19470328,   10,    0
  4222, 23756,19470329,   59,    0
  4222, 23756,19470330,   73,    0
  4222, 23756,19470331,   78,    0
  4222, 23756,19470401,   61,    0
  4222, 23756,19470402,   14,    0
  4222, 23756,19470403,   11,    0
  4222, 23756,19470404,   17,    0
  4222, 23756,19470405,    8,    0
  4222, 23756,19470406,   28,    0
  4222, 23756,19470407,   28,    0
  4222, 23756,19470408,   30,    0
  4222, 23756,19470409,    4,    0
  4222, 23756,19470410,   16,    0
  4222, 23756,19470411,   43,    0
  4222, 23756,19470412,   47,    0
  4222, 23756,19470413,   27,    0
  4222, 23756,19470414,   60,    0
  4222, 23756,19470415,   47,    0
  4222, 23756,19470416,   50,    0
  4222, 23756,19470417,   47,    0
  4222, 23756,19470418,   26,    0
  4222, 23756,19470419,   86,    0
  4222, 23756,19470420,   88,    0
  4222, 23756,19470421,   72,    0
  4222, 23756,19470422,  151,    0
  4222, 23756,19470423,   90,    0
  4222, 23756,19470424,   66,    0
  4222, 23756,19470425,   78,    0
  4222, 23756,19470426,   68,    0
  4222, 23756,19470427,   94,    0
  4222, 23756,19470428,   60,    0
  4222, 23756,19470429,   53,    0
  4222, 23756,19470430,   48,    0
  4222, 23756,19470501,   36,    0
  4222, 23756,19470502,   40,    0
  4222, 23756,19470503,   44,    0
  4222, 23756,19470504,   61,    0
  4222, 23756,19470505,   68,    0
  4222, 23756,19470506,   89,    0
  4222, 23756,19470507,   96,    0
  4222, 23756,19470508,  105,    0
  4222, 23756,19470509,  137,    0
  4222, 23756,19470510,  115,    0
  4222, 23756,19470511,  115,    0
  4222, 23756,19470512,  125,    0
  4222, 23756,19470513,  159,    0
  4222, 23756,19470514,  190,    0
  4222, 23756,19470515,  178,    0
  4222, 23756,19470516,  103,    0
  4222, 23756,19470517,  120,    0
  4222, 23756,19470518,   91,    0
  4222, 23756,19470519,   78,    0
  4222, 23756,19470520,  110,    0
  4222, 23756,19470521,  105,    0
  4222, 23756,19470522,  112,    0
  4222, 23756,19470523,  132,    0
  4222, 23756,19470524,  153,    0
  4222, 23756,19470525,  107,    0
  4222, 23756,19470526,  143,    0
  4222, 23756,19470527,  143,    0
  4222, 23756,19470528,  126,    0
  4222, 23756,19470529,  157,    0
  4222, 23756,19470530,  190,    0
  4222, 23756,19470531,  224,    0
  4222, 23756,19470601,  181,    0
  4222, 23756,19470602,  175,    0
  4222, 23756,19470603,  162,    0
  4222, 23756,19470604,  155,    0
  4222, 23756,19470605,  133,    0
  4222, 23756,19470606,  147,    0
  4222, 23756,19470607,  132,    0
  4222, 23756,19470608,  133,    0
  4222, 23756,19470609,  132,    0
  4222, 23756,19470610,  129,    0
  4222, 23756,19470611,  122,    0
  4222, 23756,19470612,  133,    0
  4222, 23756,19470613,  164,    0
  4222, 23756,19470614,  158,    0
  4222, 23756,19470615,  155,    0
  4222, 23756,19470616,  130,    0
  4222, 23756,19470617,  140,    0
  4222, 23756,19470618,  158,    0
  4222, 23756,19470619,  180,    0
  4222, 23756,19470620,  192,    0
  4222, 23756,19470621,  216,    0
  4222, 23756,19470622,  160,    0
  4222, 23756,19470623,  157,    0
  4222, 23756,19470624,  157,    0
  4222, 23756,19470625,  183,    0
  4222, 23756,19470626,  210,    0
  4222, 23756,19470627,  219,    0
  4222, 23756,19470628,  225,    0
  4222, 23756,19470629,  267,    0
  4222, 23756,19470630,  255,    0
  4222, 23756,19470701,  191,    0
  4222, 23756,19470702,  173,    0
  4222, 23756,19470703,  199,    0
  4222, 23756,19470704,  221,    0
  4222, 23756,19470705,  189,    0
  4222, 23756,19470706,  148,    0
  4222, 23756,19470707,  181,    0
  4222, 23756,19470708,  147,    0
  4222, 23756,19470709,  159,    0
  4222, 23756,19470710,  158,    0
  4222, 23756,19470711,  144,    0
  4222, 23756,19470712,  158,    0
  4222, 23756,19470713,  161,    0
  4222, 23756,19470714,  174,    0
  4222, 23756,19470715,  183,    0
  4222, 23756,19470716,  195,    0
  4222, 23756,19470717,  184,    0
  4222, 23756,19470718,  166,    0
  4222, 23756,19470719,  170,    0
  4222, 23756,19470720,  180,    0
  4222, 23756,19470721,  180,    0
  4222, 23756,19470722,  188,    0
  4222, 23756,19470723,  203,    0
  4222, 23756,19470724,  228,    0
  4222, 23756,19470725,  202,    0
  4222, 23756,19470726,  201,    0
  4222, 23756,19470727,  186,    0
  4222, 23756,19470728,  190,    0
  4222, 23756,19470729,  184,    0
  4222, 23756,19470730,  192,    0
  4222, 23756,19470731,  178,    0
  4222, 23756,19470801,  180,    0
  4222, 23756,19470802,  174,    0
  4222, 23756,19470803,  191,    0
  4222, 23756,19470804,  194,    0
  4222, 23756,19470805,  202,    0
  4222, 23756,19470806,  199,    0
  4222, 23756,19470807,  180,    0
  4222, 23756,19470808,  181,    0
  4222, 23756,19470809,  183,    0
  4222, 23756,19470810,  192,    0
  4222, 23756,19470811,  196,    0
  4222, 23756,19470812,  202,    0
  4222, 23756,19470813,  204,    0
  4222, 23756,19470814,  206,    0
  4222, 23756,19470815,  208,    0
  4222, 23756,19470816,  215,    0
  4222, 23756,19470817,  218,    0
  4222, 23756,19470818,  194,    0
  4222, 23756,19470819,  180,    0
  4222, 23756,19470820,  170,    0
  4222, 23756,19470821,  182,    0
  4222, 23756,19470822,  186,    0
  4222, 23756,19470823,  182,    0
  4222, 23756,19470824,  175,    0
  4222, 23756,19470825,  186,    0
  4222, 23756,19470826,  183,    0
  4222, 23756,19470827,  202,    0
  4222, 23756,19470828,  165,    0
  4222, 23756,19470829,  154,    0
  4222, 23756,19470830,  148,    0
  4222, 23756,19470831,  180,    0
  4222, 23756,19470901,  169,    0
  4222, 23756,19470902,  168,    0
  4222, 23756,19470903,  166,    0
  4222, 23756,19470904,  158,    0
  4222, 23756,19470905,  170,    0
  4222, 23756,19470906,  173,    0
  4222, 23756,19470907,  173,    0
  4222, 23756,19470908,  179,    0
  4222, 23756,19470909,  167,    0
  4222, 23756,19470910,  170,    0
  4222, 23756,19470911,  180,    0
  4222, 23756,19470912,  210,    0
  4222, 23756,19470913,  229,    0
  4222, 23756,19470914,  178,    0
  4222, 23756,19470915,  195,    0
  4222, 23756,19470916,  214,    0
  4222, 23756,19470917,  195,    0
  4222, 23756,19470918,  172,    0
  4222, 23756,19470919,  172,    0
  4222, 23756,19470920,  212,    0
  4222, 23756,19470921,  186,    0
  4222, 23756,19470922,  168,    0
  4222, 23756,19470923,  134,    0
  4222, 23756,19470924,  136,    0
  4222, 23756,19470925,  148,    0
  4222, 23756,19470926,  158,    0
  4222, 23756,19470927,  158,    0
  4222, 23756,19470928,  146,    0
  4222, 23756,19470929,  125,    0
  4222, 23756,19470930,  114,    0
  4222, 23756,19471001,  113,    0
  4222, 23756,19471002,   98,    0
  4222, 23756,19471003,  108,    0
  4222, 23756,19471004,  138,    0
  4222, 23756,19471005,  130,    0
  4222, 23756,19471006,  135,    0
  4222, 23756,19471007,  127,    0
  4222, 23756,19471008,  114,    0
  4222, 23756,19471009,  122,    0
  4222, 23756,19471010,  121,    0
  4222, 23756,19471011,  132,    0
  4222, 23756,19471012,  127,    0
  4222, 23756,19471013,  126,    0
  4222, 23756,19471014,  130,    0
  4222, 23756,19471015,  130,    0
  4222, 23756,19471016,  110,    0
  4222, 23756,19471017,   85,    0
  4222, 23756,19471018,   89,    0
  4222, 23756,19471019,   65,    0
  4222, 23756,19471020,   80,    0
  4222, 23756,19471021,   61,    0
  4222, 23756,19471022,   82,    0
  4222, 23756,19471023,   45,    0
  4222, 23756,19471024,   62,    0
  4222, 23756,19471025,   45,    0
  4222, 23756,19471026,   54,    0
  4222, 23756,19471027,   74,    0
  4222, 23756,19471028,   44,    0
  4222, 23756,19471029,   74,    0
  4222, 23756,19471030,   61,    0
  4222, 23756,19471031,   61,    0
  4222, 23756,19471101,   71,    0
  4222, 23756,19471102,   73,    0
  4222, 23756,19471103,   75,    0
  4222, 23756,19471104,   79,    0
  4222, 23756,19471105,   78,    0
  4222, 23756,19471106,   87,    0
  4222, 23756,19471107,   49,    0
  4222, 23756,19471108,   39,    0
  4222, 23756,19471109,   76,    0
  4222, 23756,19471110,   73,    0
  4222, 23756,19471111,   81,    0
  4222, 23756,19471112,   84,    0
  4222, 23756,19471113,   60,    0
  4222, 23756,19471114,   63,    0
  4222, 23756,19471115,   39,    0
  4222, 23756,19471116,   32,    0
  4222, 23756,19471117,   30,    0
  4222, 23756,19471118,   21,    0
  4222, 23756,19471119,   24,    0
  4222, 23756,19471120,   17,    0
  4222, 23756,19471121,   91,    0
  4222, 23756,19471122,   96,    0
  4222, 23756,19471123,   87,    0
  4222, 23756,19471124,   62,    0
  4222, 23756,19471125,   41,    0
  4222, 23756,19471126,   35,    0
  4222, 23756,19471127,   29,    0
  4222, 23756,19471128,   19,    0
  4222, 23756,19471129,   32,    0
  4222, 23756,19471130,   22,    0
  4222, 23756,19471201,   26,    0
  4222, 23756,19471202,   53,    0
  4222, 23756,19471203,   51,    0
  4222, 23756,19471204,   28,    0
  4222, 23756,19471205,    8,    0
  4222, 23756,19471206,   23,    0
  4222, 23756,19471207,   42,    0
  4222, 23756,19471208,   25,    0
  4222, 23756,19471209,   35,    0
  4222, 23756,19471210,   36,    0
  4222, 23756,19471211,   53,    0
  4222, 23756,19471212,   68,    0
  4222, 23756,19471213,   47,    0
  4222, 23756,19471214,   24,    0
  4222, 23756,19471215,   15,    0
  4222, 23756,19471216,   11,    0
  4222, 23756,19471217,   20,    0
  4222, 23756,19471218,   16,    0
  4222, 23756,19471219,   -5,    0
  4222, 23756,19471220,   21,    0
  4222, 23756,19471221,   33,    0
  4222, 23756,19471222,   22,    0
  4222, 23756,19471223,   28,    0
  4222, 23756,19471224,   38,    0
  4222, 23756,19471225,   54,    0
  4222, 23756,19471226,   38,    0
  4222, 23756,19471227,   26,    0
  4222, 23756,19471228,   50,    0
  4222, 23756,19471229,   29,    0
  4222, 23756,19471230,    2,    0
  4222, 23756,19471231,  -32,    0
  4222, 23756,19480101,  -18,    0
  4222, 23756,19480102,   32,    0
  4222, 23756,19480103,   51,    0
  4222, 23756,19480104,   58,    0
  4222, 23756,19480105,   71,    0
  4222, 23756,19480106,   37,    0
  4222, 23756,19480107,   15,    0
  4222, 23756,19480108,   45,    0
  4222, 23756,19480109,    2,    0
  4222, 23756,19480110,   -5,    0
  4222, 23756,19480111,  -10,    0
  4222, 23756,19480112,   13,    0
  4222, 23756,19480113,   38,    0
  4222, 23756,19480114,   28,    0
  4222, 23756,19480115,  -31,    0
  4222, 23756,19480116,  -26,    0
  4222, 23756,19480117,  -11,    0
  4222, 23756,19480118,    6,    0
  4222, 23756,19480119,    0,    0
  4222, 23756,19480120,   -8,    0
  4222, 23756,19480121,   -4,    0
  4222, 23756,19480122,  -14,    0
  4222, 23756,19480123,  -21,    0
  4222, 23756,19480124,    3,    0
  4222, 23756,19480125,   11,    0
  4222, 23756,19480126,   11,    0
  4222, 23756,19480127,   11,    0
  4222, 23756,19480128,   18,    0
  4222, 23756,19480129,   18,    0
  4222, 23756,19480130,   35,    0
  4222, 23756,19480131,   53,    0
  4222, 23756,19480201,   42,    0
  4222, 23756,19480202,   55,    0
  4222, 23756,19480203,   47,    0
  4222, 23756,19480204,   39,    0
  4222, 23756,19480205,   38,    0
  4222, 23756,19480206,   38,    0
  4222, 23756,19480207,   30,    0
  4222, 23756,19480208,   28,    0
  4222, 23756,19480209,   22,    0
  4222, 23756,19480210,   16,    0
