EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HOLZDORF (FLUGPLATZ), GERMANY (STAID: 4238)
Blended and updated with sources:23948 910476 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4238, 23948,20000601,  168,    0
  4238, 23948,20000602,  203,    0
  4238, 23948,20000603,  227,    0
  4238, 23948,20000604,  218,    0
  4238, 23948,20000605,  216,    0
  4238, 23948,20000606,  160,    0
  4238, 23948,20000607,  131,    0
  4238, 23948,20000608,  151,    0
  4238, 23948,20000609,  223,    0
  4238, 23948,20000610,  246,    0
  4238, 23948,20000611,  223,    0
  4238, 23948,20000612,  186,    0
  4238, 23948,20000613,  232,    0
  4238, 23948,20000614,  214,    0
  4238, 23948,20000615,  143,    0
  4238, 23948,20000616,  124,    0
  4238, 23948,20000617,  130,    0
  4238, 23948,20000618,  175,    0
  4238, 23948,20000619,  247,    0
  4238, 23948,20000620,  262,    0
  4238, 23948,20000621,  283,    0
  4238, 23948,20000622,  237,    0
  4238, 23948,20000623,  171,    0
  4238, 23948,20000624,  140,    0
  4238, 23948,20000625,  150,    0
  4238, 23948,20000626,  129,    0
  4238, 23948,20000627,  126,    0
  4238, 23948,20000628,  128,    0
  4238, 23948,20000629,  129,    0
  4238, 23948,20000630,  126,    0
  4238, 23948,20000701,  184,    0
  4238, 23948,20000702,  200,    0
  4238, 23948,20000703,  202,    0
  4238, 23948,20000704,  210,    0
  4238, 23948,20000705,  166,    0
  4238, 23948,20000706,  156,    0
  4238, 23948,20000707,  155,    0
  4238, 23948,20000708,  131,    0
  4238, 23948,20000709,  164,    0
