EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station IDAR-OBERSTEIN, GERMANY (STAID: 4253)
Blended and updated with sources:24128 910618 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4253,910618,20000701,  188,    0
  4253,910618,20000702,  207,    0
  4253,910618,20000703,  198,    0
  4253,910618,20000704,  160,    0
  4253,910618,20000705,  160,    0
  4253,910618,20000706,  174,    0
  4253,910618,20000707,  174,    0
  4253,910618,20000708,  130,    0
  4253,910618,20000709,  124,    0
  4253,910618,20000710,  144,    0
  4253,910618,20000711,  124,    0
  4253,910618,20000712,  120,    0
  4253,910618,20000713,  101,    0
  4253,910618,20000714,  133,    0
  4253,910618,20000715,  120,    0
  4253,910618,20000716,  118,    0
  4253,910618,20000717,  121,    0
  4253,910618,20000718,  126,    0
  4253,910618,20000719,  132,    0
  4253,910618,20000720,  143,    0
  4253,910618,20000721,  155,    0
  4253,910618,20000722,  162,    0
  4253,910618,20000723,  163,    0
  4253,910618,20000724,  186,    0
  4253,910618,20000725,  171,    0
  4253,910618,20000726,  156,    0
  4253,910618,20000727,  176,    0
  4253,910618,20000728,  168,    0
  4253,910618,20000729,  156,    0
  4253,910618,20000730,  165,    0
  4253,910618,20000731,  165,    0
  4253,910618,20000801,  185,    0
  4253,910618,20000802,  198,    0
  4253,910618,20000803,  157,    0
  4253,910618,20000804,  157,    0
  4253,910618,20000805,  158,    0
  4253,910618,20000806,  172,    0
  4253,910618,20000807,  179,    0
  4253,910618,20000808,  180,    0
  4253,910618,20000809,  171,    0
  4253,910618,20000810,  186,    0
  4253,910618,20000811,  171,    0
  4253,910618,20000812,  191,    0
  4253,910618,20000813,  196,    0
  4253,910618,20000814,  206,    0
  4253,910618,20000815,  204,    0
  4253,910618,20000816,  181,    0
  4253,910618,20000817,  193,    0
  4253,910618,20000818,  182,    0
  4253,910618,20000819,  200,    0
  4253,910618,20000820,  189,    0
  4253,910618,20000821,  173,    0
  4253,910618,20000822,  156,    0
  4253,910618,20000823,  154,    0
  4253,910618,20000824,  182,    0
  4253,910618,20000825,  175,    0
  4253,910618,20000826,  176,    0
  4253,910618,20000827,  191,    0
  4253, 24128,20000828,  128,    0
  4253,910618,20000829,  156,    0
  4253,910618,20000830,  148,    0
  4253,910618,20000831,  162,    0
  4253,910618,20000901,  135,    0
  4253,910618,20000902,  139,    0
  4253,910618,20000903,  135,    0
  4253,910618,20000904,  115,    0
  4253,910618,20000905,  100,    0
  4253,910618,20000906,  112,    0
  4253,910618,20000907,  138,    0
  4253,910618,20000908,  145,    0
  4253,910618,20000909,  161,    0
  4253,910618,20000910,  168,    0
  4253,910618,20000911,  171,    0
  4253,910618,20000912,  178,    0
  4253,910618,20000913,  170,    0
  4253,910618,20000914,  138,    0
  4253,910618,20000915,  163,    0
  4253,910618,20000916,  150,    0
  4253,910618,20000917,  130,    0
  4253,910618,20000918,  141,    0
  4253,910618,20000919,  149,    0
  4253,910618,20000920,  131,    0
  4253,910618,20000921,  136,    0
  4253,910618,20000922,  117,    0
  4253,910618,20000923,  125,    0
  4253,910618,20000924,  120,    0
  4253,910618,20000925,  149,    0
  4253,910618,20000926,  143,    0
  4253,910618,20000927,  140,    0
  4253,910618,20000928,  158,    0
  4253,910618,20000929,  163,    0
  4253,910618,20000930,  141,    0
  4253,910618,20001001,  135,    0
  4253,910618,20001002,  105,    0
  4253,910618,20001003,  126,    0
  4253,910618,20001004,  118,    0
  4253, 24128,20001005,-9999,    9
  4253,910618,20001006,  100,    0
  4253,910618,20001007,   71,    0
  4253,910618,20001008,   38,    0
  4253,910618,20001009,   95,    0
  4253,910618,20001010,   75,    0
  4253,910618,20001011,   88,    0
  4253,910618,20001012,  109,    0
  4253,910618,20001013,   99,    0
  4253,910618,20001014,   98,    0
  4253,910618,20001015,  141,    0
  4253,910618,20001016,  135,    0
  4253,910618,20001017,  104,    0
  4253,910618,20001018,   61,    0
  4253,910618,20001019,  100,    0
  4253,910618,20001020,  114,    0
  4253,910618,20001021,  112,    0
  4253,910618,20001022,   91,    0
  4253,910618,20001023,  113,    0
  4253,910618,20001024,  116,    0
  4253,910618,20001025,  108,    0
  4253,910618,20001026,  111,    0
  4253,910618,20001027,   86,    0
  4253,910618,20001028,  103,    0
  4253,910618,20001029,   95,    0
  4253,910618,20001030,  113,    0
  4253,910618,20001031,   80,    0
  4253,910618,20001101,   81,    0
  4253,910618,20001102,   88,    0
  4253,910618,20001103,   74,    0
  4253,910618,20001104,   64,    0
  4253,910618,20001105,   55,    0
  4253,910618,20001106,   49,    0
  4253,910618,20001107,   69,    0
  4253,910618,20001108,   70,    0
  4253,910618,20001109,   65,    0
  4253,910618,20001110,   36,    0
  4253,910618,20001111,   57,    0
  4253,910618,20001112,   61,    0
  4253,910618,20001113,   93,    0
  4253,910618,20001114,   68,    0
  4253,910618,20001115,   63,    0
  4253,910618,20001116,   66,    0
  4253,910618,20001117,   37,    0
  4253,910618,20001118,   36,    0
  4253,910618,20001119,   49,    0
  4253,910618,20001120,   51,    0
  4253,910618,20001121,   28,    0
  4253,910618,20001122,   67,    0
  4253,910618,20001123,   50,    0
  4253,910618,20001124,   62,    0
  4253,910618,20001125,   34,    0
  4253,910618,20001126,   48,    0
  4253,910618,20001127,   50,    0
  4253,910618,20001128,   79,    0
  4253,910618,20001129,   83,    0
  4253,910618,20001130,  103,    0
  4253,910618,20001201,   63,    0
  4253,910618,20001202,   57,    0
  4253,910618,20001203,   82,    0
  4253,910618,20001204,   44,    0
  4253,910618,20001205,   58,    0
  4253,910618,20001206,   56,    0
  4253,910618,20001207,   75,    0
  4253,910618,20001208,   88,    0
  4253,910618,20001209,   76,    0
  4253,910618,20001210,   74,    0
  4253,910618,20001211,   96,    0
  4253,910618,20001212,  106,    0
  4253,910618,20001213,   97,    0
  4253,910618,20001214,   81,    0
  4253,910618,20001215,   53,    0
  4253,910618,20001216,   21,    0
  4253,910618,20001217,    7,    0
  4253,910618,20001218,  -17,    0
  4253,910618,20001219,   23,    0
  4253,910618,20001220,    7,    0
  4253,910618,20001221,  -32,    0
  4253,910618,20001222,  -51,    0
  4253,910618,20001223,  -52,    0
  4253,910618,20001224,  -46,    0
  4253,910618,20001225,   -7,    0
  4253,910618,20001226,   -4,    0
  4253,910618,20001227,    7,    0
  4253,910618,20001228,   23,    0
  4253,910618,20001229,    8,    0
  4253,910618,20001230,  -10,    0
  4253,910618,20001231,   -4,    0
  4253,910618,20010101,  -11,    0
  4253,910618,20010102,   50,    0
  4253,910618,20010103,   58,    0
  4253,910618,20010104,   31,    0
  4253,910618,20010105,   68,    0
  4253,910618,20010106,   77,    0
  4253,910618,20010107,   46,    0
  4253,910618,20010108,   21,    0
  4253,910618,20010109,   19,    0
  4253,910618,20010110,   -6,    0
  4253,910618,20010111,   13,    0
  4253,910618,20010112,   -4,    0
  4253,910618,20010113,  -18,    0
  4253,910618,20010114,  -26,    0
  4253,910618,20010115,  -33,    0
  4253,910618,20010116,  -64,    0
  4253,910618,20010117,  -62,    0
  4253,910618,20010118,  -21,    0
  4253,910618,20010119,  -13,    0
  4253,910618,20010120,  -18,    0
  4253,910618,20010121,  -37,    0
  4253, 24128,20010122,   25,    0
  4253,910618,20010123,   43,    0
  4253,910618,20010124,   81,    0
  4253,910618,20010125,   49,    0
  4253,910618,20010126,   43,    0
  4253,910618,20010127,   27,    0
  4253,910618,20010128,   25,    0
  4253,910618,20010129,    2,    0
  4253,910618,20010130,   13,    0
  4253,910618,20010131,  -11,    0
  4253,910618,20010201,   -1,    0
  4253,910618,20010202,  -14,    0
  4253,910618,20010203,   -7,    0
  4253,910618,20010204,   56,    0
  4253,910618,20010205,   57,    0
  4253,910618,20010206,  100,    0
  4253,910618,20010207,   99,    0
  4253,910618,20010208,   96,    0
  4253,910618,20010209,   45,    0
  4253,910618,20010210,   26,    0
  4253,910618,20010211,   31,    0
  4253,910618,20010212,   75,    0
  4253,910618,20010213,   69,    0
  4253,910618,20010214,   34,    0
  4253,910618,20010215,   47,    0
  4253,910618,20010216,   45,    0
  4253,910618,20010217,   43,    0
  4253,910618,20010218,   19,    0
  4253,910618,20010219,   42,    0
  4253,910618,20010220,   28,    0
  4253,910618,20010221,   35,    0
  4253,910618,20010222,   43,    0
  4253,910618,20010223,   20,    0
  4253,910618,20010224,  -16,    0
  4253,910618,20010225,  -32,    0
  4253,910618,20010226,  -20,    0
  4253,910618,20010227,   -9,    0
  4253, 24128,20010228,    0,    0
  4253,910618,20010301,   12,    0
  4253,910618,20010302,   21,    0
  4253,910618,20010303,   18,    0
  4253,910618,20010304,   23,    0
  4253,910618,20010305,   31,    0
  4253,910618,20010306,   32,    0
  4253,910618,20010307,   21,    0
  4253,910618,20010308,   65,    0
  4253,910618,20010309,   83,    0
  4253,910618,20010310,   86,    0
  4253,910618,20010311,  101,    0
  4253,910618,20010312,  100,    0
  4253,910618,20010313,   57,    0
  4253,910618,20010314,   43,    0
  4253,910618,20010315,   78,    0
  4253,910618,20010316,  113,    0
  4253,910618,20010317,  101,    0
  4253,910618,20010318,   84,    0
  4253,910618,20010319,   46,    0
  4253,910618,20010320,   -6,    0
  4253,910618,20010321,   12,    0
  4253,910618,20010322,   70,    0
  4253,910618,20010323,   92,    0
  4253,910618,20010324,  112,    0
  4253,910618,20010325,   77,    0
  4253,910618,20010326,   23,    0
  4253,910618,20010327,   25,    0
  4253,910618,20010328,   40,    0
  4253,910618,20010329,   83,    0
  4253,910618,20010330,   59,    0
  4253,910618,20010331,   33,    0
  4253,910618,20010401,   93,    0
  4253,910618,20010402,  116,    0
  4253,910618,20010403,  131,    0
  4253,910618,20010404,   86,    0
  4253,910618,20010405,   67,    0
  4253,910618,20010406,   78,    0
  4253,910618,20010407,   88,    0
  4253,910618,20010408,   75,    0
  4253,910618,20010409,   64,    0
  4253,910618,20010410,   86,    0
  4253,910618,20010411,   80,    0
  4253,910618,20010412,   62,    0
  4253,910618,20010413,   24,    0
  4253,910618,20010414,   12,    0
  4253,910618,20010415,   46,    0
  4253,910618,20010416,   58,    0
  4253,910618,20010417,   53,    0
  4253,910618,20010418,   46,    0
  4253, 24128,20010419,    0,    0
  4253,910618,20010420,   22,    0
  4253,910618,20010421,   25,    0
  4253,910618,20010422,   49,    0
  4253,910618,20010423,   68,    0
  4253,910618,20010424,   83,    0
  4253,910618,20010425,  108,    0
  4253,910618,20010426,   87,    0
  4253,910618,20010427,   81,    0
  4253,910618,20010428,   95,    0
  4253,910618,20010429,  122,    0
  4253,910618,20010430,  139,    0
  4253,910618,20010501,  152,    0
  4253,910618,20010502,  176,    0
  4253,910618,20010503,  168,    0
  4253,910618,20010504,  132,    0
  4253,910618,20010505,  101,    0
  4253,910618,20010506,   76,    0
  4253,910618,20010507,   87,    0
  4253,910618,20010508,  122,    0
  4253,910618,20010509,  155,    0
  4253,910618,20010510,  158,    0
  4253,910618,20010511,  156,    0
  4253,910618,20010512,  146,    0
  4253,910618,20010513,  153,    0
  4253,910618,20010514,  157,    0
  4253,910618,20010515,  133,    0
  4253,910618,20010516,  119,    0
  4253,910618,20010517,  142,    0
  4253,910618,20010518,   92,    0
  4253,910618,20010519,  108,    0
  4253,910618,20010520,  110,    0
  4253,910618,20010521,  137,    0
  4253,910618,20010522,  131,    0
  4253,910618,20010523,  151,    0
  4253,910618,20010524,  162,    0
  4253,910618,20010525,  175,    0
  4253,910618,20010526,  165,    0
  4253,910618,20010527,  177,    0
  4253,910618,20010528,  193,    0
  4253,910618,20010529,  209,    0
  4253,910618,20010530,  166,    0
  4253,910618,20010531,  163,    0
  4253,910618,20010601,  121,    0
  4253,910618,20010602,  125,    0
  4253,910618,20010603,   89,    0
  4253,910618,20010604,   99,    0
  4253,910618,20010605,  140,    0
  4253,910618,20010606,  148,    0
  4253,910618,20010607,  145,    0
  4253,910618,20010608,  110,    0
  4253,910618,20010609,  108,    0
  4253,910618,20010610,  123,    0
  4253,910618,20010611,  110,    0
  4253,910618,20010612,  113,    0
  4253,910618,20010613,  141,    0
  4253,910618,20010614,  145,    0
  4253,910618,20010615,  161,    0
  4253,910618,20010616,  161,    0
  4253,910618,20010617,  141,    0
  4253,910618,20010618,  138,    0
  4253,910618,20010619,  118,    0
  4253,910618,20010620,  125,    0
  4253,910618,20010621,  157,    0
  4253,910618,20010622,  138,    0
  4253,910618,20010623,  142,    0
  4253,910618,20010624,  167,    0
  4253,910618,20010625,  197,    0
  4253,910618,20010626,  203,    0
  4253,910618,20010627,  200,    0
  4253,910618,20010628,  191,    0
  4253,910618,20010629,  181,    0
  4253,910618,20010630,  198,    0
  4253,910618,20010701,  168,    0
  4253,910618,20010702,  162,    0
  4253,910618,20010703,  173,    0
  4253,910618,20010704,  175,    0
  4253,910618,20010705,  208,    0
  4253,910618,20010706,  225,    0
  4253,910618,20010707,  217,    0
  4253,910618,20010708,  175,    0
  4253,910618,20010709,  176,    0
  4253,910618,20010710,  173,    0
  4253,910618,20010711,  183,    0
  4253,910618,20010712,  143,    0
  4253,910618,20010713,  152,    0
  4253,910618,20010714,  182,    0
  4253,910618,20010715,  153,    0
  4253,910618,20010716,  150,    0
  4253,910618,20010717,  151,    0
  4253,910618,20010718,  165,    0
  4253,910618,20010719,  151,    0
  4253,910618,20010720,  129,    0
  4253,910618,20010721,  150,    0
  4253,910618,20010722,  193,    0
  4253,910618,20010723,  211,    0
  4253,910618,20010724,  211,    0
  4253,910618,20010725,  216,    0
  4253,910618,20010726,  212,    0
  4253,910618,20010727,  218,    0
  4253,910618,20010728,  223,    0
  4253,910618,20010729,  222,    0
  4253,910618,20010730,  214,    0
  4253,910618,20010731,  216,    0
  4253,910618,20010801,  210,    0
  4253,910618,20010802,  209,    0
  4253,910618,20010803,  221,    0
  4253,910618,20010804,  174,    0
  4253,910618,20010805,  151,    0
  4253,910618,20010806,  167,    0
  4253,910618,20010807,  170,    0
  4253,910618,20010808,  171,    0
  4253,910618,20010809,  167,    0
  4253,910618,20010810,  144,    0
  4253,910618,20010811,  133,    0
  4253,910618,20010812,  142,    0
  4253,910618,20010813,  196,    0
  4253,910618,20010814,  214,    0
  4253,910618,20010815,  221,    0
  4253,910618,20010816,  223,    0
  4253,910618,20010817,  192,    0
  4253,910618,20010818,  210,    0
  4253,910618,20010819,  203,    0
  4253,910618,20010820,  190,    0
  4253,910618,20010821,  192,    0
  4253,910618,20010822,  189,    0
  4253,910618,20010823,  196,    0
  4253,910618,20010824,  222,    0
  4253,910618,20010825,  225,    0
