EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KYRITZ, GERMANY (STAID: 4318)
Blended and updated with sources:24908 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4318, 24908,19860601,  114,    0
  4318, 24908,19860602,  127,    0
  4318, 24908,19860603,  140,    0
  4318, 24908,19860604,  109,    0
  4318, 24908,19860605,   99,    0
  4318, 24908,19860606,   87,    0
  4318, 24908,19860607,  108,    0
  4318, 24908,19860608,  113,    0
  4318, 24908,19860609,  137,    0
  4318, 24908,19860610,  176,    0
  4318, 24908,19860611,  132,    0
  4318, 24908,19860612,  126,    0
  4318, 24908,19860613,  143,    0
  4318, 24908,19860614,  169,    0
  4318, 24908,19860615,  192,    0
  4318, 24908,19860616,  210,    0
  4318, 24908,19860617,  229,    0
  4318, 24908,19860618,  208,    0
  4318, 24908,19860619,  190,    0
  4318, 24908,19860620,  188,    0
  4318, 24908,19860621,  155,    0
  4318, 24908,19860622,  164,    0
  4318, 24908,19860623,  167,    0
  4318, 24908,19860624,  172,    0
  4318, 24908,19860625,  183,    0
  4318, 24908,19860626,  197,    0
  4318, 24908,19860627,  206,    0
  4318, 24908,19860628,  206,    0
  4318, 24908,19860629,  195,    0
  4318, 24908,19860630,  202,    0
  4318, 24908,19860701,  231,    0
  4318, 24908,19860702,  247,    0
  4318, 24908,19860703,  251,    0
  4318, 24908,19860704,  217,    0
  4318, 24908,19860705,  209,    0
  4318, 24908,19860706,  173,    0
  4318, 24908,19860707,  167,    0
  4318, 24908,19860708,  143,    0
  4318, 24908,19860709,  135,    0
  4318, 24908,19860710,  131,    0
  4318, 24908,19860711,  129,    0
  4318, 24908,19860712,  126,    0
  4318, 24908,19860713,  141,    0
  4318, 24908,19860714,  152,    0
  4318, 24908,19860715,  161,    0
  4318, 24908,19860716,  203,    0
  4318, 24908,19860717,  238,    0
  4318, 24908,19860718,  171,    0
  4318, 24908,19860719,  146,    0
  4318, 24908,19860720,  162,    0
  4318, 24908,19860721,  175,    0
  4318, 24908,19860722,  175,    0
  4318, 24908,19860723,  166,    0
  4318, 24908,19860724,  137,    0
  4318, 24908,19860725,  145,    0
  4318, 24908,19860726,  160,    0
  4318, 24908,19860727,  187,    0
  4318, 24908,19860728,  216,    0
  4318, 24908,19860729,  232,    0
  4318, 24908,19860730,  181,    0
  4318, 24908,19860731,  210,    0
  4318, 24908,19860801,  184,    0
  4318, 24908,19860802,  214,    0
  4318, 24908,19860803,  249,    0
  4318, 24908,19860804,  257,    0
  4318, 24908,19860805,  184,    0
  4318, 24908,19860806,  167,    0
  4318, 24908,19860807,  209,    0
  4318, 24908,19860808,  184,    0
