EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LAUPHEIM, GERMANY (STAID: 4334)
Blended and updated with sources:25100 28304 910837 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4334, 28304,19870101,   80,    0
  4334, 28304,19870102,   33,    0
  4334, 28304,19870103,  -30,    0
  4334, 28304,19870104,  -17,    0
  4334, 28304,19870105,   22,    0
  4334, 28304,19870106,    5,    0
  4334, 28304,19870107,  -59,    0
  4334, 28304,19870108,  -94,    0
  4334, 28304,19870109,  -58,    0
  4334, 28304,19870110,  -44,    0
  4334, 28304,19870111, -154,    0
  4334, 28304,19870112, -195,    0
  4334, 28304,19870113, -160,    0
  4334, 28304,19870114, -127,    0
  4334, 28304,19870115,  -85,    0
  4334, 28304,19870116,  -74,    0
  4334, 28304,19870117,  -57,    0
  4334, 28304,19870118,  -52,    0
  4334, 28304,19870119,  -46,    0
  4334, 28304,19870120,  -36,    0
  4334, 28304,19870121,  -61,    0
  4334, 28304,19870122,  -68,    0
  4334, 28304,19870123,  -36,    0
  4334, 28304,19870124,   -2,    0
  4334, 28304,19870125,   -6,    0
  4334, 28304,19870126,  -22,    0
  4334, 28304,19870127,  -32,    0
  4334, 28304,19870128,  -30,    0
  4334, 28304,19870129,  -69,    0
  4334, 28304,19870130, -120,    0
  4334, 28304,19870131, -135,    0
  4334, 28304,19870201, -128,    0
  4334, 28304,19870202, -111,    0
  4334, 28304,19870203,  -32,    0
  4334, 28304,19870204,  -14,    0
  4334, 28304,19870205,  -25,    0
  4334, 28304,19870206,    6,    0
  4334, 28304,19870207,   28,    0
  4334, 28304,19870208,   34,    0
  4334, 28304,19870209,   55,    0
  4334, 28304,19870210,   39,    0
  4334, 28304,19870211,   20,    0
  4334, 28304,19870212,   24,    0
  4334, 28304,19870213,   18,    0
  4334, 28304,19870214,   26,    0
  4334, 28304,19870215,   12,    0
  4334, 28304,19870216,    1,    0
  4334, 28304,19870217,  -15,    0
  4334, 28304,19870218,  -22,    0
  4334, 28304,19870219,  -30,    0
  4334, 28304,19870220,   -6,    0
  4334, 28304,19870221,   -6,    0
  4334, 28304,19870222,   -7,    0
  4334, 28304,19870223,  -18,    0
  4334, 28304,19870224,  -88,    0
