EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HEINERSREUTH-VOLLHOF, GERMANY (STAID: 4393)
Blended and updated with sources:25808 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4393, 25808,19470101,  -40,    0
  4393, 25808,19470102,  -26,    0
  4393, 25808,19470103,  -29,    0
  4393, 25808,19470104, -106,    0
  4393, 25808,19470105, -142,    0
  4393, 25808,19470106, -128,    0
  4393, 25808,19470107, -156,    0
  4393, 25808,19470108,  -86,    0
  4393, 25808,19470109,  -28,    0
  4393, 25808,19470110,    3,    0
  4393, 25808,19470111,    5,    0
  4393, 25808,19470112,   34,    0
  4393, 25808,19470113,   36,    0
  4393, 25808,19470114,   29,    0
  4393, 25808,19470115,   42,    0
  4393, 25808,19470116,   -1,    0
  4393, 25808,19470117,   17,    0
  4393, 25808,19470118,   26,    0
  4393, 25808,19470119,   15,    0
  4393, 25808,19470120,  -10,    0
  4393, 25808,19470121,  -27,    0
  4393, 25808,19470122,  -58,    0
  4393, 25808,19470123,  -56,    0
  4393, 25808,19470124, -100,    0
  4393, 25808,19470125, -108,    0
  4393, 25808,19470126, -101,    0
  4393, 25808,19470127, -134,    0
  4393, 25808,19470128, -137,    0
  4393, 25808,19470129,  -67,    0
  4393, 25808,19470130,  -79,    0
  4393, 25808,19470131, -104,    0
  4393, 25808,19470201, -104,    0
  4393, 25808,19470202,  -98,    0
  4393, 25808,19470203,  -60,    0
  4393, 25808,19470204,  -53,    0
  4393, 25808,19470205,  -58,    0
  4393, 25808,19470206,  -79,    0
  4393, 25808,19470207,  -95,    0
  4393, 25808,19470208,  -66,    0
  4393, 25808,19470209,  -38,    0
  4393, 25808,19470210,  -37,    0
  4393, 25808,19470211,  -41,    0
  4393, 25808,19470212,  -25,    0
  4393, 25808,19470213,  -40,    0
  4393, 25808,19470214,  -66,    0
  4393, 25808,19470215,  -80,    0
  4393, 25808,19470216,  -72,    0
  4393, 25808,19470217,  -63,    0
  4393, 25808,19470218,  -68,    0
  4393, 25808,19470219,  -62,    0
  4393, 25808,19470220,  -88,    0
  4393, 25808,19470221,  -37,    0
  4393, 25808,19470222,   18,    0
  4393, 25808,19470223,  -45,    0
  4393, 25808,19470224,  -69,    0
  4393, 25808,19470225,  -62,    0
  4393, 25808,19470226,  -66,    0
  4393, 25808,19470227,  -40,    0
  4393, 25808,19470228,  -11,    0
  4393, 25808,19470301,  -26,    0
  4393, 25808,19470302,  -31,    0
  4393, 25808,19470303,  -80,    0
  4393, 25808,19470304,  -28,    0
  4393, 25808,19470305,   16,    0
  4393, 25808,19470306,   35,    0
  4393, 25808,19470307,   18,    0
  4393, 25808,19470308,  -25,    0
  4393, 25808,19470309,  -10,    0
  4393, 25808,19470310,   -8,    0
