EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORVENICH (FLUGPLATZ), GERMANY (STAID: 4473)
Blended and updated with sources:26768 910502 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4473,910502,20000701,  185,    0
  4473,910502,20000702,  210,    0
  4473,910502,20000703,  205,    0
  4473,910502,20000704,  168,    0
  4473,910502,20000705,  175,    0
  4473,910502,20000706,  177,    0
  4473,910502,20000707,  173,    0
  4473,910502,20000708,  121,    0
  4473,910502,20000709,  134,    0
  4473,910502,20000710,  162,    0
  4473,910502,20000711,  138,    0
  4473,910502,20000712,  123,    0
  4473,910502,20000713,  134,    0
  4473,910502,20000714,  140,    0
  4473,910502,20000715,  131,    0
  4473,910502,20000716,  140,    0
  4473,910502,20000717,  148,    0
  4473,910502,20000718,  161,    0
  4473,910502,20000719,  157,    0
  4473,910502,20000720,  169,    0
  4473,910502,20000721,  168,    0
  4473,910502,20000722,  151,    0
  4473,910502,20000723,  179,    0
  4473,910502,20000724,  186,    0
  4473,910502,20000725,  171,    0
  4473,910502,20000726,  161,    0
  4473,910502,20000727,  171,    0
  4473,910502,20000728,  181,    0
  4473,910502,20000729,  177,    0
  4473,910502,20000730,  176,    0
  4473,910502,20000731,  184,    0
  4473,910502,20000801,  226,    0
  4473,910502,20000802,  211,    0
  4473,910502,20000803,  183,    0
  4473,910502,20000804,  166,    0
  4473,910502,20000805,  180,    0
  4473,910502,20000806,  183,    0
  4473,910502,20000807,  202,    0
  4473,910502,20000808,  203,    0
  4473,910502,20000809,  186,    0
  4473,910502,20000810,  202,    0
  4473,910502,20000811,  198,    0
  4473,910502,20000812,  193,    0
  4473,910502,20000813,  208,    0
  4473,910502,20000814,  220,    0
  4473,910502,20000815,  226,    0
  4473,910502,20000816,  191,    0
  4473,910502,20000817,  201,    0
  4473,910502,20000818,  186,    0
  4473,910502,20000819,  204,    0
  4473,910502,20000820,  196,    0
  4473,910502,20000821,  164,    0
  4473,910502,20000822,  164,    0
  4473,910502,20000823,  167,    0
  4473,910502,20000824,  180,    0
  4473,910502,20000825,  168,    0
  4473,910502,20000826,  202,    0
  4473,910502,20000827,  205,    0
  4473, 26768,20000828,  145,    0
  4473,910502,20000829,  166,    0
  4473,910502,20000830,  163,    0
  4473,910502,20000831,  164,    0
  4473,910502,20000901,  158,    0
  4473,910502,20000902,  155,    0
  4473,910502,20000903,  154,    0
  4473,910502,20000904,  138,    0
  4473,910502,20000905,  146,    0
  4473,910502,20000906,  144,    0
  4473,910502,20000907,  155,    0
  4473,910502,20000908,  176,    0
  4473,910502,20000909,  203,    0
  4473,910502,20000910,  186,    0
  4473,910502,20000911,  195,    0
  4473,910502,20000912,  222,    0
  4473,910502,20000913,  183,    0
  4473,910502,20000914,  171,    0
  4473,910502,20000915,  180,    0
  4473,910502,20000916,  163,    0
  4473,910502,20000917,  141,    0
  4473,910502,20000918,  166,    0
  4473,910502,20000919,  162,    0
  4473,910502,20000920,  160,    0
  4473,910502,20000921,  141,    0
  4473,910502,20000922,  143,    0
  4473,910502,20000923,  146,    0
  4473,910502,20000924,  147,    0
  4473,910502,20000925,  168,    0
  4473,910502,20000926,  188,    0
  4473,910502,20000927,  174,    0
  4473,910502,20000928,  170,    0
  4473,910502,20000929,  191,    0
  4473,910502,20000930,  153,    0
  4473,910502,20001001,  138,    0
  4473,910502,20001002,  132,    0
  4473,910502,20001003,  131,    0
  4473,910502,20001004,  126,    0
  4473,910502,20001005,  145,    0
  4473,910502,20001006,  105,    0
  4473,910502,20001007,   97,    0
  4473,910502,20001008,   76,    0
  4473,910502,20001009,  113,    0
  4473,910502,20001010,  104,    0
  4473,910502,20001011,  113,    0
  4473,910502,20001012,  119,    0
  4473,910502,20001013,  127,    0
  4473,910502,20001014,  101,    0
  4473,910502,20001015,  101,    0
  4473,910502,20001016,  140,    0
  4473,910502,20001017,  113,    0
  4473,910502,20001018,   86,    0
  4473,910502,20001019,  121,    0
  4473,910502,20001020,  113,    0
  4473,910502,20001021,  145,    0
  4473,910502,20001022,  156,    0
  4473,910502,20001023,  145,    0
  4473,910502,20001024,  133,    0
  4473,910502,20001025,  122,    0
  4473,910502,20001026,  118,    0
  4473,910502,20001027,  108,    0
  4473,910502,20001028,  128,    0
  4473,910502,20001029,  103,    0
  4473,910502,20001030,  112,    0
  4473,910502,20001031,  100,    0
  4473,910502,20001101,   95,    0
  4473,910502,20001102,   87,    0
  4473,910502,20001103,   86,    0
  4473,910502,20001104,   78,    0
  4473,910502,20001105,   78,    0
  4473,910502,20001106,   85,    0
  4473,910502,20001107,   83,    0
  4473,910502,20001108,   82,    0
  4473,910502,20001109,   93,    0
  4473,910502,20001110,   73,    0
  4473,910502,20001111,   72,    0
  4473,910502,20001112,   87,    0
  4473,910502,20001113,   98,    0
  4473,910502,20001114,   73,    0
  4473,910502,20001115,   68,    0
  4473,910502,20001116,   64,    0
  4473,910502,20001117,   52,    0
  4473,910502,20001118,   63,    0
  4473,910502,20001119,   83,    0
  4473,910502,20001120,   68,    0
  4473,910502,20001121,   52,    0
  4473,910502,20001122,   85,    0
  4473,910502,20001123,   87,    0
  4473,910502,20001124,   82,    0
  4473,910502,20001125,   53,    0
  4473,910502,20001126,   68,    0
  4473,910502,20001127,   75,    0
  4473,910502,20001128,  101,    0
  4473,910502,20001129,  113,    0
  4473,910502,20001130,  109,    0
  4473,910502,20001201,  107,    0
  4473,910502,20001202,  111,    0
  4473,910502,20001203,   93,    0
  4473,910502,20001204,   72,    0
  4473,910502,20001205,  102,    0
  4473,910502,20001206,  100,    0
  4473,910502,20001207,   83,    0
  4473,910502,20001208,  120,    0
  4473,910502,20001209,  103,    0
  4473,910502,20001210,   95,    0
  4473,910502,20001211,  116,    0
  4473,910502,20001212,  138,    0
  4473,910502,20001213,  120,    0
  4473,910502,20001214,   89,    0
  4473,910502,20001215,   56,    0
  4473,910502,20001216,   33,    0
  4473,910502,20001217,   17,    0
  4473,910502,20001218,   18,    0
  4473,910502,20001219,   43,    0
  4473,910502,20001220,   26,    0
  4473,910502,20001221,    3,    0
  4473,910502,20001222,  -21,    0
  4473,910502,20001223,    4,    0
  4473,910502,20001224,   18,    0
  4473,910502,20001225,   11,    0
  4473, 26768,20001226,    0,    0
  4473,910502,20001227,   16,    0
  4473,910502,20001228,   18,    0
  4473,910502,20001229,   13,    0
  4473,910502,20001230,    6,    0
  4473,910502,20001231,   19,    0
  4473,910502,20010101,   31,    0
  4473,910502,20010102,   90,    0
  4473,910502,20010103,   71,    0
  4473,910502,20010104,   68,    0
  4473,910502,20010105,   88,    0
  4473,910502,20010106,   85,    0
  4473,910502,20010107,   51,    0
  4473,910502,20010108,   36,    0
  4473,910502,20010109,   53,    0
  4473,910502,20010110,   21,    0
  4473,910502,20010111,   32,    0
  4473,910502,20010112,    2,    0
  4473,910502,20010113,   -5,    0
  4473,910502,20010114,  -19,    0
  4473,910502,20010115,  -17,    0
  4473,910502,20010116,  -30,    0
  4473,910502,20010117,  -46,    0
  4473,910502,20010118,   -7,    0
  4473,910502,20010119,   14,    0
  4473,910502,20010120,   10,    0
  4473,910502,20010121,  -19,    0
  4473, 26768,20010122,   60,    0
  4473,910502,20010123,   72,    0
  4473,910502,20010124,   99,    0
  4473,910502,20010125,   58,    0
  4473,910502,20010126,   56,    0
  4473,910502,20010127,   32,    0
  4473,910502,20010128,   30,    0
  4473,910502,20010129,   33,    0
  4473,910502,20010130,   16,    0
  4473,910502,20010131,   13,    0
  4473,910502,20010201,    5,    0
  4473,910502,20010202,   10,    0
  4473,910502,20010203,   34,    0
  4473,910502,20010204,   78,    0
  4473,910502,20010205,   94,    0
  4473,910502,20010206,  131,    0
  4473,910502,20010207,  120,    0
  4473,910502,20010208,  118,    0
  4473,910502,20010209,   68,    0
  4473,910502,20010210,   29,    0
  4473,910502,20010211,   83,    0
  4473,910502,20010212,  112,    0
  4473,910502,20010213,   85,    0
  4473,910502,20010214,   33,    0
  4473,910502,20010215,   58,    0
  4473,910502,20010216,   47,    0
  4473,910502,20010217,   39,    0
  4473,910502,20010218,   17,    0
  4473,910502,20010219,   38,    0
  4473,910502,20010220,   50,    0
  4473,910502,20010221,   44,    0
  4473,910502,20010222,   55,    0
  4473,910502,20010223,   26,    0
  4473,910502,20010224,   -4,    0
  4473,910502,20010225,  -13,    0
  4473,910502,20010226,   19,    0
  4473,910502,20010227,   14,    0
  4473,910502,20010228,   29,    0
  4473,910502,20010301,   26,    0
  4473,910502,20010302,   34,    0
  4473,910502,20010303,    2,    0
  4473,910502,20010304,   23,    0
  4473,910502,20010305,   28,    0
  4473,910502,20010306,   39,    0
  4473,910502,20010307,   67,    0
  4473,910502,20010308,   81,    0
  4473,910502,20010309,   99,    0
  4473,910502,20010310,  107,    0
  4473,910502,20010311,  114,    0
  4473,910502,20010312,  111,    0
  4473,910502,20010313,   73,    0
  4473,910502,20010314,   63,    0
  4473,910502,20010315,   72,    0
  4473,910502,20010316,  103,    0
  4473,910502,20010317,   95,    0
  4473,910502,20010318,   85,    0
  4473,910502,20010319,   60,    0
  4473,910502,20010320,    8,    0
  4473,910502,20010321,   45,    0
  4473,910502,20010322,   75,    0
  4473,910502,20010323,  105,    0
  4473,910502,20010324,  105,    0
  4473,910502,20010325,   65,    0
  4473,910502,20010326,   25,    0
  4473,910502,20010327,   43,    0
  4473,910502,20010328,   71,    0
  4473,910502,20010329,   85,    0
  4473,910502,20010330,   78,    0
  4473,910502,20010331,   58,    0
  4473,910502,20010401,  129,    0
  4473,910502,20010402,  146,    0
  4473,910502,20010403,  156,    0
  4473,910502,20010404,  105,    0
  4473,910502,20010405,   88,    0
  4473,910502,20010406,  108,    0
  4473,910502,20010407,  105,    0
  4473,910502,20010408,   93,    0
  4473,910502,20010409,   77,    0
  4473,910502,20010410,   96,    0
  4473,910502,20010411,   87,    0
  4473,910502,20010412,   62,    0
  4473,910502,20010413,   29,    0
  4473,910502,20010414,   13,    0
