EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BERGEN, GERMANY (STAID: 4483)
Blended and updated with sources:26888 910238 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4483, 26888,20000701,  165,    0
  4483, 26888,20000702,  182,    0
  4483, 26888,20000703,  192,    0
  4483, 26888,20000704,  204,    0
  4483, 26888,20000705,  158,    0
  4483, 26888,20000706,  136,    0
  4483, 26888,20000707,  136,    0
  4483, 26888,20000708,  114,    0
  4483, 26888,20000709,  132,    0
  4483, 26888,20000710,  144,    0
  4483, 26888,20000711,  144,    0
  4483, 26888,20000712,  102,    0
  4483, 26888,20000713,  137,    0
  4483, 26888,20000714,  124,    0
  4483, 26888,20000715,  144,    0
  4483, 26888,20000716,  152,    0
  4483, 26888,20000717,  136,    0
  4483, 26888,20000718,-9999,    9
  4483, 26888,20000719,  130,    0
  4483, 26888,20000720,  146,    0
  4483, 26888,20000721,  145,    0
  4483, 26888,20000722,  167,    0
  4483, 26888,20000723,  159,    0
  4483, 26888,20000724,  199,    0
  4483, 26888,20000725,  169,    0
  4483, 26888,20000726,  172,    0
  4483, 26888,20000727,  176,    0
  4483, 26888,20000728,  145,    0
  4483, 26888,20000729,  157,    0
  4483, 26888,20000730,  158,    0
  4483, 26888,20000731,  144,    0
  4483, 26888,20000801,  195,    0
  4483, 26888,20000802,  158,    0
  4483, 26888,20000803,  163,    0
  4483, 26888,20000804,  169,    0
  4483, 26888,20000805,  148,    0
  4483, 26888,20000806,  175,    0
  4483, 26888,20000807,  144,    0
  4483, 26888,20000808,  132,    0
  4483, 26888,20000809,  136,    0
  4483, 26888,20000810,  174,    0
  4483, 26888,20000811,  165,    0
  4483, 26888,20000812,  174,    0
  4483, 26888,20000813,  186,    0
  4483, 26888,20000814,  238,    0
  4483, 26888,20000815,  205,    0
  4483, 26888,20000816,  170,    0
  4483, 26888,20000817,  186,    0
  4483, 26888,20000818,  184,    0
  4483, 26888,20000819,  178,    0
  4483, 26888,20000820,  182,    0
  4483, 26888,20000821,  138,    0
  4483, 26888,20000822,  134,    0
  4483, 26888,20000823,  133,    0
  4483, 26888,20000824,  161,    0
  4483, 26888,20000825,  146,    0
  4483, 26888,20000826,  176,    0
  4483, 26888,20000827,  187,    0
  4483, 26888,20000828,  140,    0
  4483, 26888,20000829,  155,    0
  4483, 26888,20000830,  134,    0
  4483, 26888,20000831,  134,    0
  4483, 26888,20000901,  159,    0
  4483, 26888,20000902,  118,    0
  4483, 26888,20000903,  137,    0
  4483, 26888,20000904,  112,    0
  4483, 26888,20000905,  109,    0
  4483, 26888,20000906,  128,    0
  4483, 26888,20000907,  154,    0
  4483, 26888,20000908,  159,    0
  4483, 26888,20000909,  156,    0
  4483, 26888,20000910,  159,    0
  4483, 26888,20000911,  158,    0
  4483, 26888,20000912,  180,    0
  4483, 26888,20000913,  145,    0
  4483, 26888,20000914,  158,    0
  4483, 26888,20000915,  160,    0
  4483, 26888,20000916,  139,    0
  4483, 26888,20000917,  137,    0
  4483, 26888,20000918,  119,    0
  4483, 26888,20000919,   98,    0
  4483, 26888,20000920,  102,    0
  4483, 26888,20000921,  122,    0
  4483, 26888,20000922,  104,    0
  4483, 26888,20000923,  122,    0
  4483, 26888,20000924,  110,    0
  4483, 26888,20000925,  100,    0
  4483, 26888,20000926,  126,    0
  4483, 26888,20000927,  134,    0
  4483, 26888,20000928,  168,    0
  4483, 26888,20000929,  177,    0
  4483, 26888,20000930,  141,    0
  4483, 26888,20001001,  144,    0
  4483, 26888,20001002,  117,    0
  4483, 26888,20001003,   96,    0
  4483, 26888,20001004,  108,    0
  4483, 26888,20001005,  123,    0
  4483, 26888,20001006,   82,    0
  4483, 26888,20001007,   72,    0
  4483, 26888,20001008,   85,    0
  4483, 26888,20001009,   82,    0
  4483, 26888,20001010,   78,    0
  4483, 26888,20001011,  107,    0
  4483, 26888,20001012,  105,    0
  4483, 26888,20001013,  108,    0
  4483, 26888,20001014,   96,    0
  4483, 26888,20001015,  120,    0
  4483, 26888,20001016,  140,    0
  4483, 26888,20001017,   76,    0
  4483, 26888,20001018,   73,    0
  4483, 26888,20001019,   90,    0
  4483, 26888,20001020,  111,    0
  4483, 26888,20001021,  104,    0
  4483, 26888,20001022,  124,    0
  4483, 26888,20001023,  124,    0
  4483, 26888,20001024,  106,    0
  4483, 26888,20001025,  115,    0
  4483, 26888,20001026,   83,    0
  4483, 26888,20001027,   94,    0
  4483, 26888,20001028,  112,    0
  4483, 26888,20001029,   94,    0
  4483, 26888,20001030,  108,    0
  4483, 26888,20001031,   94,    0
  4483, 26888,20001101,   76,    0
  4483, 26888,20001102,   84,    0
  4483, 26888,20001103,   74,    0
  4483, 26888,20001104,   60,    0
  4483, 26888,20001105,   42,    0
  4483, 26888,20001106,   54,    0
  4483, 26888,20001107,   75,    0
  4483, 26888,20001108,   87,    0
  4483, 26888,20001109,   82,    0
  4483, 26888,20001110,   73,    0
  4483, 26888,20001111,   69,    0
  4483, 26888,20001112,   86,    0
  4483, 26888,20001113,   88,    0
  4483, 26888,20001114,   69,    0
  4483, 26888,20001115,   52,    0
  4483, 26888,20001116,   48,    0
  4483, 26888,20001117,   48,    0
  4483, 26888,20001118,   48,    0
  4483, 26888,20001119,   71,    0
  4483, 26888,20001120,   49,    0
  4483, 26888,20001121,   29,    0
  4483, 26888,20001122,   70,    0
  4483, 26888,20001123,   52,    0
  4483, 26888,20001124,   49,    0
  4483, 26888,20001125,   26,    0
  4483, 26888,20001126,   60,    0
  4483, 26888,20001127,   33,    0
  4483, 26888,20001128,   88,    0
  4483, 26888,20001129,   94,    0
  4483, 26888,20001130,-9999,    9
  4483, 26888,20001201,   86,    0
  4483, 26888,20001202,   87,    0
  4483, 26888,20001203,   78,    0
  4483, 26888,20001204,   53,    0
  4483, 26888,20001205,   64,    0
  4483, 26888,20001206,   77,    0
  4483, 26888,20001207,   76,    0
  4483, 26888,20001208,   90,    0
  4483, 26888,20001209,   72,    0
  4483, 26888,20001210,   77,    0
  4483, 26888,20001211,  108,    0
  4483, 26888,20001212,  116,    0
  4483, 26888,20001213,   99,    0
  4483, 26888,20001214,   64,    0
  4483, 26888,20001215,   39,    0
  4483, 26888,20001216,   29,    0
  4483, 26888,20001217,   30,    0
  4483, 26888,20001218,    6,    0
  4483, 26888,20001219,   -3,    0
  4483, 26888,20001220,  -10,    0
  4483, 26888,20001221,  -34,    0
  4483, 26888,20001222,  -71,    0
  4483, 26888,20001223,  -56,    0
  4483, 26888,20001224,  -18,    0
  4483, 26888,20001225,  -26,    0
  4483, 26888,20001226,  -32,    0
  4483, 26888,20001227,  -13,    0
  4483, 26888,20001228,   -4,    0
  4483, 26888,20001229,  -10,    0
  4483, 26888,20001230,    0,    0
  4483, 26888,20001231,  -20,    0
  4483, 26888,20010101,   -1,    0
  4483, 26888,20010102,   42,    0
  4483, 26888,20010103,   17,    0
  4483, 26888,20010104,   43,    0
  4483, 26888,20010105,   62,    0
  4483, 26888,20010106,   44,    0
  4483, 26888,20010107,   52,    0
  4483, 26888,20010108,   30,    0
  4483, 26888,20010109,   36,    0
  4483, 26888,20010110,   18,    0
  4483, 26888,20010111,  -16,    0
  4483, 26888,20010112,  -22,    0
  4483, 26888,20010113,  -38,    0
  4483, 26888,20010114,  -29,    0
  4483, 26888,20010115,  -24,    0
  4483, 26888,20010116,  -48,    0
  4483, 26888,20010117,  -48,    0
  4483, 26888,20010118,  -29,    0
  4483, 26888,20010119,  -33,    0
  4483, 26888,20010120,  -27,    0
  4483, 26888,20010121,  -14,    0
  4483, 26888,20010122,   -2,    0
  4483, 26888,20010123,   42,    0
  4483, 26888,20010124,   72,    0
  4483, 26888,20010125,   52,    0
  4483, 26888,20010126,   35,    0
  4483, 26888,20010127,   16,    0
  4483, 26888,20010128,   24,    0
  4483, 26888,20010129,    8,    0
  4483, 26888,20010130,   12,    0
  4483, 26888,20010131,    6,    0
  4483, 26888,20010201,  -14,    0
  4483, 26888,20010202,  -28,    0
  4483, 26888,20010203,  -55,    0
  4483, 26888,20010204,  -44,    0
  4483, 26888,20010205,   40,    0
  4483, 26888,20010206,   84,    0
  4483, 26888,20010207,   87,    0
  4483, 26888,20010208,   90,    0
  4483, 26888,20010209,    2,    0
  4483, 26888,20010210,   -2,    0
  4483, 26888,20010211,   84,    0
  4483, 26888,20010212,   89,    0
  4483, 26888,20010213,-9999,    9
  4483, 26888,20010214,   17,    0
  4483, 26888,20010215,   -8,    0
  4483, 26888,20010216,   25,    0
  4483, 26888,20010217,   13,    0
  4483, 26888,20010218,   42,    0
  4483, 26888,20010219,   34,    0
  4483, 26888,20010220,   45,    0
  4483, 26888,20010221,   49,    0
  4483, 26888,20010222,   25,    0
  4483, 26888,20010223,  -38,    0
  4483, 26888,20010224,  -44,    0
  4483, 26888,20010225,   -3,    0
  4483, 26888,20010226,   -2,    0
  4483, 26888,20010227,   -7,    0
  4483, 26888,20010228,    6,    0
  4483, 26888,20010301,    2,    0
  4483, 26888,20010302,   -8,    0
  4483, 26888,20010303,  -10,    0
  4483, 26888,20010304,   -6,    0
  4483, 26888,20010305,   -9,    0
  4483, 26888,20010306,   -7,    0
  4483, 26888,20010307,   30,    0
  4483, 26888,20010308,   74,    0
  4483, 26888,20010309,   92,    0
  4483, 26888,20010310,   94,    0
  4483, 26888,20010311,  108,    0
  4483, 26888,20010312,   63,    0
