EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station PFORZHEIM-ISPRINGEN, GERMANY (STAID: 4518)
Blended and updated with sources:27308 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4518, 27308,20050901,  219,    0
  4518, 27308,20050902,  208,    0
  4518, 27308,20050903,  204,    0
  4518, 27308,20050904,  191,    0
  4518, 27308,20050905,  188,    0
  4518, 27308,20050906,  195,    0
  4518, 27308,20050907,  201,    0
  4518, 27308,20050908,  207,    0
  4518, 27308,20050909,  203,    0
  4518, 27308,20050910,  196,    0
  4518, 27308,20050911,  163,    0
  4518, 27308,20050912,  166,    0
  4518, 27308,20050913,  158,    0
  4518, 27308,20050914,  171,    0
  4518, 27308,20050915,  169,    0
  4518, 27308,20050916,  143,    0
  4518, 27308,20050917,   93,    0
  4518, 27308,20050918,   95,    0
  4518, 27308,20050919,   97,    0
  4518, 27308,20050920,   99,    0
  4518, 27308,20050921,  109,    0
  4518, 27308,20050922,  116,    0
  4518, 27308,20050923,  132,    0
  4518, 27308,20050924,  146,    0
  4518, 27308,20050925,  155,    0
  4518, 27308,20050926,  152,    0
  4518, 27308,20050927,  147,    0
  4518, 27308,20050928,  140,    0
  4518, 27308,20050929,  117,    0
  4518, 27308,20050930,  105,    0
  4518, 27308,20051001,  115,    0
  4518, 27308,20051002,   98,    0
  4518, 27308,20051003,   96,    0
  4518, 27308,20051004,  133,    0
  4518, 27308,20051005,  153,    0
  4518, 27308,20051006,  137,    0
  4518, 27308,20051007,  120,    0
  4518, 27308,20051008,  120,    0
  4518, 27308,20051009,  126,    0
  4518, 27308,20051010,  117,    0
  4518, 27308,20051011,  112,    0
  4518, 27308,20051012,  118,    0
  4518, 27308,20051013,  103,    0
  4518, 27308,20051014,   99,    0
  4518, 27308,20051015,  100,    0
  4518, 27308,20051016,   96,    0
  4518, 27308,20051017,   73,    0
  4518, 27308,20051018,   65,    0
  4518, 27308,20051019,   66,    0
  4518, 27308,20051020,   89,    0
  4518, 27308,20051021,  138,    0
  4518, 27308,20051022,  154,    0
  4518, 27308,20051023,  125,    0
  4518, 27308,20051024,  107,    0
  4518, 27308,20051025,  149,    0
  4518, 27308,20051026,  147,    0
  4518, 27308,20051027,  127,    0
  4518, 27308,20051028,  117,    0
  4518, 27308,20051029,  110,    0
  4518, 27308,20051030,  104,    0
  4518, 27308,20051031,  107,    0
  4518, 27308,20051101,  120,    0
  4518, 27308,20051102,  109,    0
  4518, 27308,20051103,  139,    0
  4518, 27308,20051104,  121,    0
  4518, 27308,20051105,   89,    0
  4518, 27308,20051106,   66,    0
  4518, 27308,20051107,   62,    0
  4518, 27308,20051108,   72,    0
  4518, 27308,20051109,   62,    0
  4518, 27308,20051110,   68,    0
  4518, 27308,20051111,   55,    0
  4518, 27308,20051112,   55,    0
  4518, 27308,20051113,   60,    0
  4518, 27308,20051114,   36,    0
  4518, 27308,20051115,   33,    0
  4518, 27308,20051116,   44,    0
  4518, 27308,20051117,   24,    0
  4518, 27308,20051118,   15,    0
  4518, 27308,20051119,   -6,    0
  4518, 27308,20051120,   -8,    0
  4518, 27308,20051121,   10,    0
  4518, 27308,20051122,   -8,    0
  4518, 27308,20051123,    6,    0
  4518, 27308,20051124,  -10,    0
  4518, 27308,20051125,   -2,    0
  4518, 27308,20051126,  -10,    0
  4518, 27308,20051127,   -4,    0
  4518, 27308,20051128,   16,    0
  4518, 27308,20051129,   12,    0
  4518, 27308,20051130,    9,    0
  4518, 27308,20051201,   -7,    0
  4518, 27308,20051202,   -5,    0
  4518, 27308,20051203,   42,    0
  4518, 27308,20051204,   76,    0
  4518, 27308,20051205,   56,    0
  4518, 27308,20051206,   26,    0
  4518, 27308,20051207,   28,    0
  4518, 27308,20051208,   21,    0
  4518, 27308,20051209,   15,    0
  4518, 27308,20051210,   -7,    0
  4518, 27308,20051211,  -26,    0
  4518, 27308,20051212,  -12,    0
  4518, 27308,20051213,   16,    0
  4518, 27308,20051214,   14,    0
  4518, 27308,20051215,   28,    0
  4518, 27308,20051216,   38,    0
  4518, 27308,20051217,    4,    0
  4518, 27308,20051218,   -7,    0
  4518, 27308,20051219,    0,    0
  4518, 27308,20051220,    6,    0
  4518, 27308,20051221,    2,    0
  4518, 27308,20051222,    2,    0
  4518, 27308,20051223,   27,    0
  4518, 27308,20051224,   40,    0
  4518, 27308,20051225,   31,    0
  4518, 27308,20051226,    1,    0
  4518, 27308,20051227,  -18,    0
  4518, 27308,20051228,  -47,    0
  4518, 27308,20051229,  -52,    0
  4518, 27308,20051230,  -68,    0
  4518, 27308,20051231,   38,    0
  4518, 27308,20060101,   35,    0
  4518, 27308,20060102,   19,    0
  4518, 27308,20060103,   12,    0
  4518, 27308,20060104,   -1,    0
  4518, 27308,20060105,   -4,    0
  4518, 27308,20060106,   -8,    0
  4518, 27308,20060107,  -17,    0
  4518, 27308,20060108,  -19,    0
  4518, 27308,20060109,  -42,    0
  4518, 27308,20060110,  -49,    0
  4518, 27308,20060111,  -47,    0
  4518, 27308,20060112,   -3,    0
  4518, 27308,20060113,  -33,    0
  4518, 27308,20060114,  -56,    0
  4518, 27308,20060115,  -67,    0
  4518, 27308,20060116,  -52,    0
  4518, 27308,20060117,   15,    0
  4518, 27308,20060118,   31,    0
  4518, 27308,20060119,    8,    0
  4518, 27308,20060120,   27,    0
  4518, 27308,20060121,   34,    0
  4518, 27308,20060122,   -1,    0
  4518, 27308,20060123,  -56,    0
  4518, 27308,20060124,  -54,    0
  4518, 27308,20060125,  -40,    0
  4518, 27308,20060126,  -27,    0
  4518, 27308,20060127,  -98,    0
  4518, 27308,20060128,  -66,    0
  4518, 27308,20060129,  -34,    0
  4518, 27308,20060130,  -46,    0
  4518, 27308,20060131,  -43,    0
  4518, 27308,20060201,  -60,    0
  4518, 27308,20060202,  -76,    0
  4518, 27308,20060203,  -83,    0
  4518, 27308,20060204,  -51,    0
  4518, 27308,20060205,  -19,    0
  4518, 27308,20060206,   -1,    0
  4518, 27308,20060207,   22,    0
  4518, 27308,20060208,   26,    0
  4518, 27308,20060209,    9,    0
  4518, 27308,20060210,   -3,    0
  4518, 27308,20060211,  -26,    0
  4518, 27308,20060212,  -31,    0
  4518, 27308,20060213,  -33,    0
  4518, 27308,20060214,   11,    0
  4518, 27308,20060215,   43,    0
  4518, 27308,20060216,   56,    0
  4518, 27308,20060217,   49,    0
  4518, 27308,20060218,   50,    0
  4518, 27308,20060219,   47,    0
  4518, 27308,20060220,   41,    0
  4518, 27308,20060221,   41,    0
  4518, 27308,20060222,   11,    0
  4518, 27308,20060223,   -4,    0
  4518, 27308,20060224,   11,    0
  4518, 27308,20060225,   -4,    0
  4518, 27308,20060226,  -28,    0
  4518, 27308,20060227,  -22,    0
  4518, 27308,20060228,    1,    0
  4518, 27308,20060301,  -12,    0
  4518, 27308,20060302,  -20,    0
  4518, 27308,20060303,    6,    0
  4518, 27308,20060304,  -21,    0
  4518, 27308,20060305,  -15,    0
  4518, 27308,20060306,   -6,    0
  4518, 27308,20060307,   -8,    0
  4518, 27308,20060308,    0,    0
  4518, 27308,20060309,   77,    0
  4518, 27308,20060310,   40,    0
  4518, 27308,20060311,    7,    0
  4518, 27308,20060312,  -55,    0
  4518, 27308,20060313,  -45,    0
  4518, 27308,20060314,  -29,    0
  4518, 27308,20060315,  -12,    0
  4518, 27308,20060316,   -5,    0
  4518, 27308,20060317,    9,    0
  4518, 27308,20060318,   22,    0
  4518, 27308,20060319,   30,    0
  4518, 27308,20060320,   43,    0
  4518, 27308,20060321,   41,    0
  4518, 27308,20060322,   21,    0
  4518, 27308,20060323,   29,    0
  4518, 27308,20060324,   57,    0
  4518, 27308,20060325,  112,    0
  4518, 27308,20060326,  139,    0
  4518, 27308,20060327,  138,    0
  4518, 27308,20060328,   92,    0
  4518, 27308,20060329,   76,    0
  4518, 27308,20060330,  105,    0
  4518, 27308,20060331,  122,    0
  4518, 27308,20060401,  122,    0
  4518, 27308,20060402,  104,    0
  4518, 27308,20060403,   74,    0
  4518, 27308,20060404,   60,    0
  4518, 27308,20060405,   23,    0
  4518, 27308,20060406,   34,    0
  4518, 27308,20060407,   54,    0
  4518, 27308,20060408,   85,    0
  4518, 27308,20060409,   78,    0
  4518, 27308,20060410,   37,    0
  4518, 27308,20060411,   43,    0
  4518, 27308,20060412,   46,    0
  4518, 27308,20060413,   70,    0
  4518, 27308,20060414,   90,    0
  4518, 27308,20060415,   97,    0
  4518, 27308,20060416,  108,    0
  4518, 27308,20060417,  105,    0
  4518, 27308,20060418,  104,    0
  4518, 27308,20060419,  102,    0
  4518, 27308,20060420,  116,    0
  4518, 27308,20060421,  137,    0
  4518, 27308,20060422,  123,    0
  4518, 27308,20060423,  113,    0
  4518, 27308,20060424,  126,    0
  4518, 27308,20060425,  151,    0
  4518, 27308,20060426,  130,    0
  4518, 27308,20060427,  114,    0
  4518, 27308,20060428,  110,    0
  4518, 27308,20060429,   60,    0
  4518, 27308,20060430,   64,    0
  4518, 27308,20060501,  102,    0
  4518, 27308,20060502,  134,    0
  4518, 27308,20060503,  178,    0
  4518, 27308,20060504,  171,    0
  4518, 27308,20060505,  154,    0
  4518, 27308,20060506,  150,    0
  4518, 27308,20060507,  148,    0
  4518, 27308,20060508,  141,    0
  4518, 27308,20060509,  104,    0
  4518, 27308,20060510,  113,    0
