EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RHEINE-BENTLAGE, GERMANY (STAID: 4557)
Blended and updated with sources:24044 27776 910306 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4557, 24044,20000601,  169,    0
  4557, 24044,20000602,  184,    0
  4557, 24044,20000603,  186,    0
  4557, 24044,20000604,  174,    0
  4557, 24044,20000605,  142,    0
  4557, 24044,20000606,  121,    0
  4557, 24044,20000607,  115,    0
  4557, 24044,20000608,  160,    0
  4557, 24044,20000609,  246,    0
  4557, 24044,20000610,  202,    0
  4557, 24044,20000611,  180,    0
  4557, 24044,20000612,  173,    0
  4557, 24044,20000613,  188,    0
  4557, 24044,20000614,  187,    0
  4557, 24044,20000615,  132,    0
  4557, 24044,20000616,  125,    0
  4557, 24044,20000617,  152,    0
  4557, 24044,20000618,  214,    0
  4557, 24044,20000619,  262,    0
  4557, 24044,20000620,  279,    0
  4557, 24044,20000621,  222,    0
  4557, 24044,20000622,  181,    0
  4557, 24044,20000623,  158,    0
  4557, 24044,20000624,  130,    0
  4557, 24044,20000625,  127,    0
  4557, 24044,20000626,  111,    0
  4557, 24044,20000627,-9999,    9
  4557, 24044,20000628,-9999,    9
  4557, 24044,20000629,-9999,    9
  4557, 24044,20000630,-9999,    9
  4557, 27776,20000701,  142,    0
  4557, 27776,20000702,  208,    0
  4557, 27776,20000703,  188,    0
  4557, 27776,20000704,  175,    0
  4557, 27776,20000705,  159,    0
  4557, 27776,20000706,  161,    0
  4557, 27776,20000707,  132,    0
  4557, 27776,20000708,  131,    0
  4557, 27776,20000709,  132,    0
  4557, 27776,20000710,  146,    0
  4557, 27776,20000711,  139,    0
  4557, 27776,20000712,  121,    0
  4557, 27776,20000713,  140,    0
  4557, 27776,20000714,  124,    0
  4557, 27776,20000715,  118,    0
  4557, 27776,20000716,  136,    0
  4557, 27776,20000717,  132,    0
  4557, 27776,20000718,  130,    0
  4557, 27776,20000719,  141,    0
  4557, 27776,20000720,  173,    0
  4557, 27776,20000721,  162,    0
  4557, 27776,20000722,  172,    0
  4557, 27776,20000723,  166,    0
  4557, 27776,20000724,  184,    0
  4557, 27776,20000725,  176,    0
  4557, 27776,20000726,  162,    0
  4557, 27776,20000727,  173,    0
  4557, 24044,20000728,  152,    0
  4557, 27776,20000729,  159,    0
  4557, 24044,20000730,  159,    0
  4557, 27776,20000731,  178,    0
  4557, 27776,20000801,  210,    0
  4557, 27776,20000802,  178,    0
  4557, 27776,20000803,  184,    0
  4557, 27776,20000804,  166,    0
  4557, 27776,20000805,  155,    0
  4557, 27776,20000806,  182,    0
  4557, 27776,20000807,  159,    0
  4557, 27776,20000808,  159,    0
  4557, 27776,20000809,  162,    0
  4557, 27776,20000810,  187,    0
  4557, 27776,20000811,  178,    0
  4557, 27776,20000812,  172,    0
  4557, 27776,20000813,  206,    0
  4557, 27776,20000814,  228,    0
  4557, 27776,20000815,  192,    0
  4557, 27776,20000816,  188,    0
  4557, 27776,20000817,  177,    0
  4557, 27776,20000818,  190,    0
  4557, 27776,20000819,  187,    0
  4557, 27776,20000820,  186,    0
  4557, 27776,20000821,  142,    0
  4557, 27776,20000822,  144,    0
  4557, 27776,20000823,  149,    0
  4557, 27776,20000824,  162,    0
  4557, 27776,20000825,  164,    0
  4557, 27776,20000826,  196,    0
  4557, 27776,20000827,  163,    0
  4557, 27776,20000828,  158,    0
  4557, 27776,20000829,  138,    0
  4557, 27776,20000830,  140,    0
  4557, 27776,20000831,  140,    0
  4557, 24044,20000901,  142,    0
  4557, 27776,20000902,  141,    0
  4557, 27776,20000903,  123,    0
  4557, 27776,20000904,  130,    0
  4557, 27776,20000905,  145,    0
  4557, 27776,20000906,  134,    0
  4557, 27776,20000907,  143,    0
  4557, 27776,20000908,  176,    0
  4557, 27776,20000909,  176,    0
  4557, 27776,20000910,  174,    0
  4557, 27776,20000911,  172,    0
  4557, 27776,20000912,  196,    0
  4557, 27776,20000913,  153,    0
  4557, 27776,20000914,  158,    0
  4557, 27776,20000915,  176,    0
  4557, 27776,20000916,  134,    0
  4557, 27776,20000917,  141,    0
  4557, 27776,20000918,  156,    0
  4557, 27776,20000919,  155,    0
  4557, 27776,20000920,  118,    0
  4557, 27776,20000921,  104,    0
  4557, 27776,20000922,  138,    0
  4557, 27776,20000923,  136,    0
  4557, 27776,20000924,  137,    0
  4557, 27776,20000925,  142,    0
