EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BERLIN-SCHONEFELD, GERMANY (STAID: 4570)
Blended and updated with sources:27884 27932 28124 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4570, 28124,19470101,  -24,    0
  4570, 28124,19470102,  -35,    0
  4570, 28124,19470103,  -45,    0
  4570, 28124,19470104, -127,    0
  4570, 28124,19470105, -150,    0
  4570, 28124,19470106, -158,    0
  4570, 28124,19470107, -123,    0
  4570, 28124,19470108, -138,    0
  4570, 28124,19470109,  -92,    0
  4570, 28124,19470110,  -99,    0
  4570, 28124,19470111, -166,    0
  4570, 28124,19470112,  -48,    0
  4570, 28124,19470113,   11,    0
  4570, 28124,19470114,   25,    0
  4570, 28124,19470115,   58,    0
  4570, 28124,19470116,   24,    0
  4570, 28124,19470117,   45,    0
  4570, 28124,19470118,   38,    0
  4570, 28124,19470119,   10,    0
  4570, 28124,19470120,  -13,    0
  4570, 28124,19470121,  -22,    1
  4570, 28124,19470122,  -28,    0
  4570, 28124,19470123,  -38,    0
  4570, 28124,19470124,  -45,    0
  4570, 28124,19470125,  -53,    0
  4570, 28124,19470126,  -87,    0
  4570, 28124,19470127, -113,    0
  4570, 28124,19470128, -102,    0
  4570, 28124,19470129,  -94,    0
  4570, 28124,19470130,  -58,    0
  4570, 28124,19470131,  -91,    0
  4570, 28124,19470201,  -99,    0
  4570, 28124,19470202, -107,    0
  4570, 28124,19470203,  -87,    0
  4570, 28124,19470204,  -64,    0
  4570, 28124,19470205,  -58,    0
  4570, 28124,19470206,  -63,    0
  4570, 28124,19470207, -113,    0
  4570, 28124,19470208, -138,    0
  4570, 28124,19470209, -110,    0
  4570, 28124,19470210, -116,    0
  4570, 28124,19470211, -109,    0
  4570, 28124,19470212, -113,    0
  4570, 28124,19470213,  -74,    0
  4570, 28124,19470214,  -63,    0
  4570, 28124,19470215,  -71,    0
  4570, 28124,19470216,  -71,    0
  4570, 28124,19470217, -111,    0
  4570, 28124,19470218,  -79,    0
  4570, 28124,19470219,  -78,    0
  4570, 28124,19470220,  -83,    0
  4570, 28124,19470221,  -89,    0
  4570, 28124,19470222,  -69,    0
  4570, 28124,19470223,  -66,    0
  4570, 28124,19470224,  -75,    0
  4570, 28124,19470225,  -86,    0
  4570, 28124,19470226,  -98,    0
  4570, 28124,19470227,  -65,    0
  4570, 28124,19470228,  -24,    0
  4570, 28124,19470301,  -34,    0
  4570, 28124,19470302,  -47,    0
  4570, 28124,19470303,  -77,    0
  4570, 28124,19470304,  -51,    0
  4570, 28124,19470305,  -34,    0
  4570, 28124,19470306,   -6,    0
  4570, 28124,19470307,   -4,    0
  4570, 28124,19470308,  -28,    0
  4570, 28124,19470309,  -27,    0
  4570, 28124,19470310,  -41,    0
  4570, 28124,19470311,  -46,    0
  4570, 28124,19470312,  -51,    0
  4570, 28124,19470313,  -26,    0
  4570, 28124,19470314,   58,    0
  4570, 28124,19470315,   -6,    0
  4570, 28124,19470316,   16,    0
  4570, 28124,19470317,   45,    0
  4570, 28124,19470318,   21,    0
  4570, 28124,19470319,   35,    0
  4570, 28124,19470320,   58,    0
  4570, 28124,19470321,   71,    0
  4570, 28124,19470322,   82,    0
  4570, 28124,19470323,   97,    0
  4570, 28124,19470324,   73,    0
  4570, 28124,19470325,   27,    0
  4570, 28124,19470326,   59,    0
  4570, 28124,19470327,   37,    0
  4570, 28124,19470328,   99,    0
  4570, 28124,19470329,   84,    0
  4570, 28124,19470330,   88,    0
  4570, 28124,19470331,  104,    0
  4570, 28124,19470401,   98,    0
  4570, 28124,19470402,   76,    0
  4570, 28124,19470403,   50,    0
  4570, 28124,19470404,  100,    0
  4570, 28124,19470405,   55,    0
  4570, 28124,19470406,   73,    0
  4570, 28124,19470407,  104,    0
  4570, 28124,19470408,   98,    0
  4570, 28124,19470409,   39,    0
  4570, 28124,19470410,   48,    0
  4570, 28124,19470411,   56,    0
  4570, 28124,19470412,   80,    0
  4570, 28124,19470413,   96,    0
  4570, 28124,19470414,  134,    0
  4570, 28124,19470415,  126,    0
  4570, 28124,19470416,  158,    0
  4570, 28124,19470417,  156,    0
  4570, 28124,19470418,  108,    0
  4570, 28124,19470419,  126,    0
  4570, 28124,19470420,  149,    0
  4570, 28124,19470421,  119,    0
  4570, 28124,19470422,  168,    0
  4570, 28124,19470423,  125,    0
  4570, 28124,19470424,  109,    0
  4570, 28124,19470425,  126,    0
  4570, 28124,19470426,  123,    0
  4570, 28124,19470427,  121,    0
  4570, 28124,19470428,   85,    0
  4570, 28124,19470429,   87,    0
  4570, 28124,19470430,   97,    0
  4570, 28124,19470501,   73,    0
  4570, 28124,19470502,   81,    0
  4570, 28124,19470503,   75,    0
  4570, 28124,19470504,   76,    0
  4570, 28124,19470505,  112,    0
  4570, 28124,19470506,  144,    0
  4570, 28124,19470507,  172,    0
  4570, 28124,19470508,  181,    0
  4570, 28124,19470509,  187,    0
  4570, 28124,19470510,  182,    0
  4570, 28124,19470511,  204,    0
  4570, 28124,19470512,  204,    0
  4570, 28124,19470513,  203,    0
  4570, 28124,19470514,  215,    0
  4570, 28124,19470515,  186,    0
  4570, 28124,19470516,  146,    0
  4570, 28124,19470517,  165,    0
  4570, 28124,19470518,  154,    0
  4570, 28124,19470519,  131,    0
  4570, 28124,19470520,  146,    0
  4570, 28124,19470521,  143,    0
  4570, 28124,19470522,  171,    0
  4570, 28124,19470523,  178,    0
  4570, 28124,19470524,  170,    0
  4570, 28124,19470525,  192,    0
  4570, 28124,19470526,  208,    0
  4570, 28124,19470527,  201,    0
  4570, 28124,19470528,  175,    0
  4570, 28124,19470529,  200,    0
  4570, 28124,19470530,  215,    0
  4570, 28124,19470531,  235,    0
  4570, 28124,19470601,  257,    0
  4570, 28124,19470602,  261,    0
  4570, 28124,19470603,  242,    0
  4570, 28124,19470604,  236,    0
  4570, 28124,19470605,  192,    0
  4570, 28124,19470606,  155,    0
  4570, 28124,19470607,  144,    0
  4570, 28124,19470608,  142,    0
  4570, 28124,19470609,  120,    0
  4570, 28124,19470610,  120,    0
  4570, 28124,19470611,  122,    0
  4570, 28124,19470612,  134,    0
  4570, 28124,19470613,  159,    0
  4570, 28124,19470614,  196,    0
  4570, 28124,19470615,  176,    0
  4570, 28124,19470616,  149,    0
  4570, 28124,19470617,  171,    0
  4570, 28124,19470618,  194,    0
  4570, 28124,19470619,  216,    0
  4570, 28124,19470620,  212,    0
  4570, 28124,19470621,  209,    0
  4570, 28124,19470622,  171,    0
  4570, 28124,19470623,  172,    0
  4570, 28124,19470624,  194,    0
  4570, 28124,19470625,  224,    0
  4570, 28124,19470626,  250,    0
  4570, 28124,19470627,  262,    0
  4570, 28124,19470628,  272,    0
  4570, 28124,19470629,  278,    0
  4570, 28124,19470630,  258,    0
  4570, 28124,19470701,  212,    0
  4570, 28124,19470702,  188,    0
  4570, 28124,19470703,  211,    0
  4570, 28124,19470704,  233,    0
  4570, 28124,19470705,  204,    0
  4570, 28124,19470706,  164,    0
  4570, 28124,19470707,  195,    0
  4570, 28124,19470708,  173,    0
  4570, 28124,19470709,  170,    0
  4570, 28124,19470710,  149,    0
  4570, 28124,19470711,  148,    0
  4570, 28124,19470712,  158,    0
  4570, 28124,19470713,  180,    0
  4570, 28124,19470714,  193,    0
  4570, 28124,19470715,  200,    0
  4570, 28124,19470716,  224,    0
  4570, 28124,19470717,  206,    0
  4570, 28124,19470718,  184,    0
  4570, 28124,19470719,  192,    0
  4570, 28124,19470720,  192,    0
  4570, 28124,19470721,  190,    0
  4570, 28124,19470722,  218,    0
  4570, 28124,19470723,  226,    0
  4570, 28124,19470724,  239,    0
  4570, 28124,19470725,  252,    0
  4570, 28124,19470726,  224,    0
  4570, 28124,19470727,  214,    0
  4570, 28124,19470728,  195,    0
  4570, 28124,19470729,  242,    0
  4570, 28124,19470730,  209,    0
  4570, 28124,19470731,  198,    0
  4570, 28124,19470801,  186,    0
  4570, 28124,19470802,  178,    0
  4570, 28124,19470803,  206,    0
  4570, 28124,19470804,  230,    0
  4570, 28124,19470805,  220,    0
  4570, 28124,19470806,  188,    0
  4570, 28124,19470807,  166,    0
  4570, 28124,19470808,  163,    0
  4570, 28124,19470809,  180,    0
  4570, 28124,19470810,  194,    0
  4570, 28124,19470811,  198,    0
  4570, 28124,19470812,  219,    0
  4570, 28124,19470813,  206,    0
  4570, 28124,19470814,  222,    0
  4570, 28124,19470815,  226,    0
  4570, 28124,19470816,  222,    0
  4570, 28124,19470817,  225,    0
  4570, 28124,19470818,  231,    0
  4570, 28124,19470819,  206,    0
  4570, 28124,19470820,  182,    0
  4570, 28124,19470821,  181,    0
  4570, 28124,19470822,  184,    0
  4570, 28124,19470823,  183,    0
  4570, 28124,19470824,  164,    0
  4570, 28124,19470825,  182,    0
  4570, 28124,19470826,  184,    0
  4570, 28124,19470827,  194,    0
  4570, 28124,19470828,  167,    0
  4570, 28124,19470829,  146,    0
  4570, 28124,19470830,  138,    0
  4570, 28124,19470831,  146,    0
  4570, 28124,19470901,  156,    0
  4570, 28124,19470902,  164,    0
  4570, 28124,19470903,  157,    0
  4570, 28124,19470904,  132,    0
  4570, 28124,19470905,  154,    0
  4570, 28124,19470906,  150,    0
  4570, 28124,19470907,  157,    0
  4570, 28124,19470908,  169,    0
  4570, 28124,19470909,  166,    0
  4570, 28124,19470910,  178,    0
  4570, 28124,19470911,  182,    0
  4570, 28124,19470912,  222,    0
  4570, 28124,19470913,  226,    0
  4570, 28124,19470914,  228,    0
  4570, 28124,19470915,  219,    0
  4570, 28124,19470916,  226,    0
  4570, 28124,19470917,  228,    0
  4570, 28124,19470918,  208,    0
  4570, 28124,19470919,  221,    0
  4570, 28124,19470920,  230,    0
  4570, 28124,19470921,  194,    0
  4570, 28124,19470922,  156,    0
  4570, 28124,19470923,  123,    0
  4570, 28124,19470924,  127,    0
  4570, 28124,19470925,  151,    0
  4570, 28124,19470926,  186,    0
  4570, 28124,19470927,  196,    0
  4570, 28124,19470928,  166,    0
  4570, 28124,19470929,  111,    0
  4570, 28124,19470930,   98,    0
  4570, 28124,19471001,  105,    0
  4570, 28124,19471002,   78,    0
  4570, 28124,19471003,   58,    0
  4570, 28124,19471004,  129,    0
  4570, 28124,19471005,  108,    0
  4570, 28124,19471006,  120,    0
  4570, 28124,19471007,  124,    0
  4570, 28124,19471008,  122,    0
  4570, 28124,19471009,  125,    0
  4570, 28124,19471010,  126,    0
  4570, 28124,19471011,  134,    0
  4570, 28124,19471012,  115,    0
  4570, 28124,19471013,  116,    0
  4570, 28124,19471014,  114,    0
  4570, 28124,19471015,  102,    0
  4570, 28124,19471016,   98,    0
  4570, 28124,19471017,   62,    0
  4570, 28124,19471018,   51,    0
  4570, 28124,19471019,   36,    0
  4570, 28124,19471020,   38,    0
  4570, 28124,19471021,   36,    0
  4570, 28124,19471022,   56,    0
  4570, 28124,19471023,   48,    0
  4570, 28124,19471024,   26,    0
  4570, 28124,19471025,    2,    0
  4570, 28124,19471026,   18,    0
  4570, 28124,19471027,   48,    0
  4570, 28124,19471028,   29,    0
  4570, 28124,19471029,   31,    0
  4570, 28124,19471030,   51,    0
  4570, 28124,19471031,   58,    0
  4570, 28124,19471101,   73,    0
  4570, 28124,19471102,   50,    0
  4570, 28124,19471103,   83,    0
  4570, 28124,19471104,   70,    0
  4570, 28124,19471105,   70,    0
  4570, 28124,19471106,   71,    0
  4570, 28124,19471107,   32,    0
  4570, 28124,19471108,   17,    0
  4570, 28124,19471109,   74,    0
  4570, 28124,19471110,   82,    0
  4570, 28124,19471111,   76,    0
  4570, 28124,19471112,  102,    0
  4570, 28124,19471113,   66,    0
  4570, 28124,19471114,   57,    0
  4570, 28124,19471115,   46,    0
  4570, 28124,19471116,   38,    0
  4570, 28124,19471117,   12,    0
  4570, 28124,19471118,    2,    0
  4570, 28124,19471119,  -21,    0
  4570, 28124,19471120,   -4,    0
  4570, 28124,19471121,  118,    0
  4570, 28124,19471122,  134,    0
  4570, 28124,19471123,  124,    0
  4570, 28124,19471124,   56,    0
  4570, 28124,19471125,   40,    0
  4570, 28124,19471126,   19,    0
  4570, 28124,19471127,   24,    0
  4570, 28124,19471128,    2,    0
  4570, 28124,19471129,   22,    0
  4570, 28124,19471130,   13,    0
  4570, 28124,19471201,   16,    0
  4570, 28124,19471202,   30,    0
  4570, 28124,19471203,   24,    0
  4570, 28124,19471204,    2,    0
  4570, 28124,19471205,    5,    0
  4570, 28124,19471206,    5,    0
  4570, 28124,19471207,   28,    0
  4570, 28124,19471208,   27,    0
  4570, 28124,19471209,   31,    0
  4570, 28124,19471210,   27,    0
  4570, 28124,19471211,   18,    0
  4570, 28124,19471212,   50,    0
  4570, 28124,19471213,   36,    0
  4570, 28124,19471214,   13,    0
  4570, 28124,19471215,   -3,    0
  4570, 28124,19471216,    0,    0
  4570, 28124,19471217,   -4,    0
  4570, 28124,19471218,  -38,    0
  4570, 28124,19471219,  -29,    0
  4570, 28124,19471220,  -24,    0
  4570, 28124,19471221,   17,    0
  4570, 28124,19471222,   25,    0
  4570, 28124,19471223,   24,    0
  4570, 28124,19471224,   37,    0
  4570, 28124,19471225,   57,    0
  4570, 28124,19471226,   47,    0
  4570, 28124,19471227,   42,    0
  4570, 28124,19471228,   66,    0
  4570, 28124,19471229,   40,    0
  4570, 28124,19471230,   -6,    0
  4570, 28124,19471231,  -20,    0
  4570, 28124,19480101,  -23,    0
  4570, 28124,19480102,   42,    0
  4570, 28124,19480103,   84,    0
  4570, 28124,19480104,  106,    0
  4570, 28124,19480105,  104,    0
  4570, 28124,19480106,   36,    0
  4570, 28124,19480107,   32,    0
  4570, 28124,19480108,   61,    0
  4570, 28124,19480109,    2,    0
  4570, 28124,19480110,   10,    0
  4570, 28124,19480111,  -28,    0
  4570, 28124,19480112,   38,    0
  4570, 28124,19480113,   95,    0
  4570, 28124,19480114,   57,    0
  4570, 28124,19480115,    2,    0
  4570, 28124,19480116,  -16,    0
  4570, 28124,19480117,  -24,    0
  4570, 28124,19480118,    6,    0
  4570, 28124,19480119,  -14,    0
  4570, 28124,19480120,  -16,    0
  4570, 28124,19480121,   -6,    0
  4570, 28124,19480122,   -6,    0
  4570, 28124,19480123,    2,    0
  4570, 28124,19480124,    0,    0
  4570, 28124,19480125,    4,    0
  4570, 28124,19480126,   10,    0
  4570, 28124,19480127,   10,    0
  4570, 28124,19480128,   24,    0
  4570, 28124,19480129,   25,    0
  4570, 28124,19480130,   56,    0
  4570, 28124,19480131,   84,    0
  4570, 28124,19480201,   76,    0
  4570, 28124,19480202,   86,    0
  4570, 28124,19480203,   87,    0
  4570, 28124,19480204,   52,    0
  4570, 28124,19480205,   53,    0
  4570, 28124,19480206,   47,    0
  4570, 28124,19480207,   39,    0
  4570, 28124,19480208,   57,    0
  4570, 28124,19480209,   54,    0
  4570, 28124,19480210,   27,    0
  4570, 28124,19480211,   15,    0
  4570, 28124,19480212,   30,    0
  4570, 28124,19480213,   34,    0
  4570, 28124,19480214,   15,    0
  4570, 28124,19480215,   -4,    0
  4570, 28124,19480216,  -18,    0
  4570, 28124,19480217,  -28,    0
  4570, 28124,19480218,  -38,    0
  4570, 28124,19480219,  -86,    0
  4570, 28124,19480220, -106,    0
  4570, 28124,19480221, -100,    0
  4570, 28124,19480222,  -72,    0
  4570, 28124,19480223,  -51,    0
