EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-05-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SCHIERKE, GERMANY (STAID: 4605)
Blended and updated with sources:28352 31640 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
  4605, 31640,19310101,    6,    0
  4605, 31640,19310102,   -5,    0
  4605, 31640,19310103,   -4,    0
  4605, 31640,19310104,   17,    0
  4605, 31640,19310105,  -17,    0
  4605, 31640,19310106,  -26,    0
  4605, 31640,19310107,  -52,    0
  4605, 31640,19310108,  -91,    0
  4605, 31640,19310109, -108,    0
  4605, 31640,19310110,  -92,    0
  4605, 31640,19310111,  -42,    0
  4605, 31640,19310112,  -21,    0
  4605, 31640,19310113,  -19,    0
  4605, 31640,19310114,  -27,    0
  4605, 31640,19310115,  -51,    0
  4605, 31640,19310116,  -13,    0
  4605, 31640,19310117,  -11,    0
  4605, 31640,19310118,  -22,    0
  4605, 31640,19310119,  -23,    0
  4605, 31640,19310120,  -24,    0
  4605, 31640,19310121,   -3,    0
  4605, 31640,19310122,  -14,    0
  4605, 31640,19310123,   18,    0
  4605, 31640,19310124,    7,    0
  4605, 31640,19310125,   -1,    0
  4605, 31640,19310126,   -8,    0
  4605, 31640,19310127,  -22,    0
  4605, 31640,19310128,  -19,    0
  4605, 31640,19310129,  -17,    0
  4605, 31640,19310130,  -30,    0
  4605, 31640,19310131,  -47,    0
  4605, 31640,19310201,  -47,    0
  4605, 31640,19310202,  -27,    0
  4605, 31640,19310203,  -41,    0
  4605, 31640,19310204,  -73,    0
  4605, 31640,19310205,  -78,    0
  4605, 31640,19310206,  -90,    0
  4605, 31640,19310207, -104,    0
  4605, 31640,19310208,  -93,    0
  4605, 31640,19310209,  -66,    0
  4605, 31640,19310210,   -1,    0
  4605, 31640,19310211,   -6,    0
  4605, 31640,19310212,  -16,    0
  4605, 31640,19310213,  -24,    0
  4605, 31640,19310214,  -39,    0
  4605, 31640,19310215,  -57,    0
  4605, 31640,19310216,  -30,    0
  4605, 31640,19310217,  -13,    0
  4605, 31640,19310218,  -40,    0
  4605, 31640,19310219,  -24,    0
  4605, 31640,19310220,   -9,    0
  4605, 31640,19310221,  -11,    0
  4605, 31640,19310222,   -8,    0
  4605, 31640,19310223,  -27,    0
  4605, 31640,19310224,  -13,    0
  4605, 31640,19310225,   -8,    0
  4605, 31640,19310226,   30,    0
  4605, 31640,19310227,  -10,    0
  4605, 31640,19310228,   14,    0
  4605, 31640,19310301,  -42,    0
  4605, 31640,19310302,  -66,    0
  4605, 31640,19310303,  -43,    0
  4605, 31640,19310304,  -63,    0
  4605, 31640,19310305,  -78,    0
  4605, 31640,19310306,  -84,    0
  4605, 31640,19310307,  -79,    0
  4605, 31640,19310308,  -91,    0
  4605, 31640,19310309, -105,    0
  4605, 31640,19310310, -100,    0
  4605, 31640,19310311,  -68,    0
  4605, 31640,19310312,  -35,    0
  4605, 31640,19310313,  -33,    0
  4605, 31640,19310314,   -8,    0
  4605, 31640,19310315,   -9,    0
  4605, 31640,19310316,  -25,    0
  4605, 31640,19310317,  -39,    0
  4605, 31640,19310318,    3,    0
  4605, 31640,19310319,   43,    0
  4605, 31640,19310320,   38,    0
  4605, 31640,19310321,   58,    0
  4605, 31640,19310322,   45,    0
  4605, 31640,19310323,   36,    0
  4605, 31640,19310324,   62,    0
  4605, 31640,19310325,   10,    0
  4605, 31640,19310326,   17,    0
  4605, 31640,19310327,   31,    0
  4605, 31640,19310328,    7,    0
  4605, 31640,19310329,  -19,    0
  4605, 31640,19310330,  -32,    0
  4605, 31640,19310331,  -34,    0
  4605, 31640,19310401,  -22,    0
  4605, 31640,19310402,   11,    0
  4605, 31640,19310403,   43,    0
  4605, 31640,19310404,   58,    0
  4605, 31640,19310405,   23,    0
  4605, 31640,19310406,    6,    0
  4605, 31640,19310407,   34,    0
  4605, 31640,19310408,   33,    0
  4605, 31640,19310409,   70,    0
  4605, 31640,19310410,   25,    0
  4605, 31640,19310411,   10,    0
  4605, 31640,19310412,   56,    0
  4605, 31640,19310413,   24,    0
  4605, 31640,19310414,   11,    0
  4605, 31640,19310415,    9,    0
  4605, 31640,19310416,   40,    0
  4605, 31640,19310417,   26,    0
  4605, 31640,19310418,   27,    0
  4605, 31640,19310419,   12,    0
  4605, 31640,19310420,   48,    0
  4605, 31640,19310421,    7,    0
  4605, 31640,19310422,   11,    0
  4605, 31640,19310423,   52,    0
  4605, 31640,19310424,   87,    0
  4605, 31640,19310425,  116,    0
  4605, 31640,19310426,   63,    0
  4605, 31640,19310427,   52,    0
  4605, 31640,19310428,   34,    0
  4605, 31640,19310429,   35,    0
  4605, 31640,19310430,   34,    0
  4605, 31640,19310501,   60,    0
  4605, 31640,19310502,  129,    0
  4605, 31640,19310503,  147,    0
  4605, 31640,19310504,  109,    0
  4605, 31640,19310505,   98,    0
  4605, 31640,19310506,  129,    0
  4605, 31640,19310507,  121,    0
  4605, 31640,19310508,   72,    0
  4605, 31640,19310509,   69,    0
  4605, 31640,19310510,   76,    0
  4605, 31640,19310511,  140,    0
  4605, 31640,19310512,  137,    0
  4605, 31640,19310513,  154,    0
  4605, 31640,19310514,  148,    0
  4605, 31640,19310515,  163,    0
  4605, 31640,19310516,  188,    0
  4605, 31640,19310517,  190,    0
  4605, 31640,19310518,  121,    0
  4605, 31640,19310519,  136,    0
  4605, 31640,19310520,  140,    0
  4605, 31640,19310521,   97,    0
  4605, 31640,19310522,  100,    0
  4605, 31640,19310523,  169,    0
  4605, 31640,19310524,  230,    0
  4605, 31640,19310525,  205,    0
  4605, 31640,19310526,  235,    0
  4605, 31640,19310527,  246,    0
  4605, 31640,19310528,  231,    0
  4605, 31640,19310529,  211,    0
  4605, 31640,19310530,  184,    0
  4605, 31640,19310531,  168,    0
  4605, 31640,19310601,  112,    0
  4605, 31640,19310602,   98,    0
  4605, 31640,19310603,  117,    0
  4605, 31640,19310604,  111,    0
  4605, 31640,19310605,  108,    0
  4605, 31640,19310606,  110,    0
  4605, 31640,19310607,  112,    0
  4605, 31640,19310608,  101,    0
  4605, 31640,19310609,  119,    0
  4605, 31640,19310610,  130,    0
  4605, 31640,19310611,  152,    0
  4605, 31640,19310612,  158,    0
  4605, 31640,19310613,  133,    0
  4605, 31640,19310614,  166,    0
  4605, 31640,19310615,  139,    0
  4605, 31640,19310616,  138,    0
  4605, 31640,19310617,  195,    0
  4605, 31640,19310618,   96,    0
  4605, 31640,19310619,  122,    0
  4605, 31640,19310620,  127,    0
  4605, 31640,19310621,  106,    0
  4605, 31640,19310622,  154,    0
  4605, 31640,19310623,  138,    0
  4605, 31640,19310624,  157,    0
  4605, 31640,19310625,  109,    0
  4605, 31640,19310626,  143,    0
  4605, 31640,19310627,  163,    0
  4605, 31640,19310628,  184,    0
  4605, 31640,19310629,  152,    0
  4605, 31640,19310630,  104,    0
  4605, 31640,19310701,  160,    0
  4605, 31640,19310702,  178,    0
  4605, 31640,19310703,  182,    0
  4605, 31640,19310704,  193,    0
  4605, 31640,19310705,  178,    0
  4605, 31640,19310706,  169,    0
  4605, 31640,19310707,  143,    0
  4605, 31640,19310708,  101,    0
  4605, 31640,19310709,  128,    0
  4605, 31640,19310710,  132,    0
  4605, 31640,19310711,  129,    0
  4605, 31640,19310712,  166,    0
  4605, 31640,19310713,  152,    0
  4605, 31640,19310714,  134,    0
  4605, 31640,19310715,  123,    0
  4605, 31640,19310716,  118,    0
  4605, 31640,19310717,  120,    0
  4605, 31640,19310718,  123,    0
  4605, 31640,19310719,  117,    0
  4605, 31640,19310720,  107,    0
  4605, 31640,19310721,   83,    0
  4605, 31640,19310722,  111,    0
  4605, 31640,19310723,  158,    0
  4605, 31640,19310724,  187,    0
  4605, 31640,19310725,  186,    0
  4605, 31640,19310726,  138,    0
  4605, 31640,19310727,  125,    0
  4605, 31640,19310728,  120,    0
  4605, 31640,19310729,  104,    0
  4605, 31640,19310730,  131,    0
  4605, 31640,19310731,  144,    0
  4605, 31640,19310801,  148,    0
  4605, 31640,19310802,  179,    0
  4605, 31640,19310803,  201,    0
  4605, 31640,19310804,  209,    0
  4605, 31640,19310805,  221,    0
  4605, 31640,19310806,  188,    0
  4605, 31640,19310807,  142,    0
  4605, 31640,19310808,  153,    0
  4605, 31640,19310809,  113,    0
